author_name,rating,text
Eric Tseng,5,有全國最便宜的數據之稱的水準書局，確實價格相當誘人，從在光華商場附近我就經常光顧，從店內的名人留言，可以看得出曾老闆的政治立場。每次要去都要低調一點不要讓老闆發現，否則又會像我推銷一堆書籍
Love Suras,1,這家店很可怕，去逛要小心，如果在現場找書久一點，還沒有結帳，就會被老闆三字經問候，被罵“不想買書就不要進來”！本來正打算結帳的。我以前不知道在這裡買了多少書了。回家之後上Google查詢，發現這家店以前還曾經跟客人大打出手，上了新聞媒體，大家要小心自保。
洪浩然,3,書籍眾多，空間狹窄。要找書最好直接問店員。聽說價格便宜，但要的書缺貨，不知道實際優惠內容。
James Chang,1,老闆很誇張，我當時在店裡聽到老闆一直在強迫推銷，客人不買走人後還一直在後面罵髒話問候人家的媽，不知道這樣是否構成公然侮辱了，總之我完全被這樣的店家嚇到，絕對不可能再踏進這裡了。
Daffy Lin,5,位於師大商圈的獨立書店，親切服務加上對書籍瞭若指掌搭配折扣現金價再去零頭，很難不腦波弱狂買書搬回家。搭配藝fun券超值超划算哪^^
葉郁琪,1,找不到書問了老闆，結果老闆好像沒聽到吧，開始瘋狂推銷他手邊的那疊書。後來又重複一次問題，老闆一邊說著沒有一邊做出趕人的手勢。店名叫水準書局應該是種反諷，因為服務一點水準也沒有^ ^
Wynne Huang,4,商品分類是看出版商的，所以不知道出版商不知道從何找起，要問店員。還有老闆太吵了～雖然非常熱心推薦書，可是人家都走到大門口了還一直喊，可能是老闆的樂趣吧！還有書便宜，可以去看看，老闆折扣給很多喔。
小喵,5,書籍種類多，還有專業性的書，老闆們服務態度好，價格實惠，我都在這裡找書
Yvonne Ko,4,"以前比較好，這次去喜歡的書不多。
價格和網路平台有活動時差不多75折，但現在實體書店經營不易，應該給予支持。"
Charles Teng,4,陳列方式不太方便找書，但是折扣很實，老闆賣書也賣的很熱心，適合慢慢逛。
Chloe Huang,1,如果單獨去很容易被強迫推銷，最好結伴
Joan Sun,5,今天去買了幾本書，是個打扮體面的年輕男子負責結帳（猜測是二代？）很客氣周到，也沒有像傳說的老闆強迫推銷情況👍重點是折扣真的很優惠！遠勝網路書店！！希望能多進一些其他出版社的書就很棒了😆
韓馥徽,3,"學生時期覺得便宜的書店
多年後帶孩子來購買沒問太多直接付款
回去網路一查發現價格跟各大網路上最低價格差不多
當年優勢已不復在

雖然網路崛起我想要支持實體店家
但要忍受結帳時未知會就直接拆封書本全部包膜
在書內貼貼紙並寫上水準書局幾折字樣

離開前還要接受老闆一直推銷數本內容畫得很凌亂比圖書館書籍書況還糟的二手書
這樣的書應該直接到漂書站而不是再拿來販賣了"
Ting,5,"裡面許多藏書確實有篩選過，很適合文青進來挖寶，我這一趟順手帶走3本絕版新書，老闆說其中一本11年來都賣不出去，另ㄧ本有點瑕疵老闆檢查過後自動降價，不佔顧客便宜。

走道狹窄，書多但感覺卻不髒亂，有定期整理，大多書都是七折價，比網路書局便宜。種類有電影，藝術，人文，心理，旅遊，美食....涵蓋種類豐富。有幾本好書無人問津，但內容其實都不錯。這次買的幾本書在市面上已經絕版多年，只能在圖書館找到，所以在這間書店以七折價買到絕版新品非常划算。 …"
鍾佳翰,5,"老闆很幽默的獨立書店，也很愛推一些神秘的書XDD

聽老闆跟客人聊天也蠻療癒lol"
Jason Mo,5,文法商書籍最便宜。
chu-chun Yang,5,超適合愛買書又愛聊天的我！❤
張令昌,4,老闆很熱情也很愛看書 但是要注意不要被強迫推銷 否則可能一買就是好幾本書 一定要決定好再去結賬不要猶豫不決
ttotw i,1,老闆真的很誇張 一直強迫推銷 一直問為什麼不買 就算想買也不會買了 從沒見過這樣做生意的 不會再去
Jonathan Kung,5,老闆介紹書很熱忱，聽了會不小心多買幾本
吳六角itaiwan6,5,在水準書局這裡…我找到了…屬於台灣人所獨有的青春…活力與人情味唷～所以…我會大聲說：水準書局是台灣人的書店！
Henry Lin,4,空間很小，書類齊全，找書迅速，折扣不錯，是買書不錯的地方，但要在裡面看書，可會有點不太舒適。
冰奶茶,5,老闆人很好，很有人情味感覺得出來經營書店是有一份理念在，喜歡書的人有時間的話可以來選書價格不會讓你失望，套一句老闆的話：「買書開心嘛！」BTW 錢只是變成你喜歡的樣子(笑
CHEN WILSON,4,書很多，新的舊的都有，還有賣不出去的，老闆也老了！
李大,5,喜歡都來不及了，怎會討厭
alex tsai,5,書類繁多，各年齡層的書都有 ，很方便
Zoe Chen,5,從高中買到現在，每次去師大必去的書局，價格實惠老闆又熱情
Pat Lee,4,"在師大旁邊的小小書店，以實體書店來說，書價真的比較便宜，新書也都有∼

老闆和老闆娘都很親切，雖然老闆很愛結帳時狂推銷其他書籍，但撇開他很愛碎碎念換推薦書籍，價格真的有比較便宜∼"
楊永成,5,"""讀書樂，寫作苦，苦也樂也皆一般""。
讀書改變世界，水準書局貢獻良多。
文史類書籍多，老闆大方折扣多，推薦。"
Bryan Tsou,5,老闆很熱情的要客人多買些書
S U,5,便宜又親切 沒有找的的書還可以請店家幫忙調貨
CH K,4,雖然沒有我要的書籍，但有找到我要的老書
周立生,5,經過師大總是要來逛逛。
Yun Chiao Lin,5,"在台北活那麼久居然現在才去到...
書店小小的但是有非常多的書，排的整整齊齊，書價真的便宜，買完心情很好。
雖然現在有網路書店，價格上很難再去真的pk最低價，可是能夠有一個實體書店，可以進去隨自己心意看看，看到喜歡的就買，新書立刻到手，很爽。"
lee levis,3,"書多，老闆碎碎念。
折扣真的還好。"
Ethan Liu,5,書很便宜，推薦
Kevin Fu,5,老闆給的價格有的甚至比線上通路便宜，值得拜訪
Howard Chen,5,書很多，老闆很慷慨
AnJan Deng,3,四顆星，但老闆一直推銷書會有點煩
Rylee Jen (YourWing 有耳聞),4,令師大人人懷念😂
Yu-Jung Chen,5,"老闆很愛東南西北聊天
書的collection跟無法跟大書店比，但已經不算少。"
Bill Liao,5,特色書店，有溫度的老獨立書店
施定宏（神奇毛巾）,4,某一天的閒聊，聽著師大畢業的校友談論老闆，腦中浮現真的有人這樣做生意嘛！?過年期間去台北旅遊，校友探頭一望，大喜，書局過年期間有營業，我們就踏入店裡準備尋寶，整間店到處都是書，總類豐富，如果有書單不妨直接問老闆，挑選兩本書準備結帳，老闆馬上展現推銷攻勢，櫃台旁成塔的書信手拈來，開始喊價，這本你沒興趣，馬上換下一本接力，雜誌類也會兩本便宜賣加入推銷。我嘗試殺價，老闆是不理會你的殺價的，但是當你不買他推銷的，有可能會降價。最後我買三本書和兩本雜誌，雜誌類要特別注意日期，我沒注意到 …
綠棉花,4,老闆很可愛，會一直推薦你書。
Siang-Huei Huang,5,"很有一番味道的書店，老闆十分有趣與有活力！久久沒來，特地來這買書再次感受懷念的氛圍。
今日老闆名言：「慢慢看啊，找書如同在找情人」"
yi-chang wen,5,老字號的書局！是學生的最愛！曾經年輕過的你（妳）永遠不會忘記！老闆夫妻親切的態度！壓到不能再低的售價會讓愛書人感動！有空去逛逛吧！
承遠呂,5,老闆人真的很好，書也真的很便宜
王祥,1,"老闆主動攀談，聽老闆熱情推銷聽得很開心，結果聽到我和朋友不買書，直接性情大便，還波及其他客人，把趕人出去。
原來有人這樣做生意，大開眼界。"
ludwina,5,店內藏書眾多，老闆很有趣，經常會有優於市面的優惠價格
Mika,4,老闆很有趣，也願意給折扣
Chris Liao,5,大概最少都有75折左右，老闆相當博學有趣，結帳時要習慣老闆的行銷推薦!
徐智罡,5,老闆豪邁，不過有時候會推薦其實你應該讀不下去的書XD 整體來說店裡氣氛輕鬆，老字號特色書局
Astro Duck,4,"台北老牌折扣書店, 愛書人的好去處."
Ming-Chia Hsin,4,偏安一隅，不失其文雅氣息。書籍多，歷史、政治、文學...內容廣且深
Li-Chi Ku,5,水準書局無疑是師大周邊最具特色，也最讓人有感情的地方。在網路書局和電子書大行其道的現代，老闆選書的眼光及其賣書的獨特風格，是讓這間空間窄小的小書店仍能大放光采的關鍵。說也奇怪，不論愛的是哪種領域的書，在這間小小的書店裏總能找到屬於你的書架。20多年來看著櫃台前老闆的髮色從深黑到花白，讓人有一種得能恭逢其盛的幸運感。
Chung-Han Chiang,5,感覺很好，雖然空間有點狹小
Irene Chiu,5,"支持實體書店
可以來體驗愛書又幽默的老闆是怎麼賣書的XD"
賴小蟲,5,文化的天堂，知識的寶庫。
Leon Cheung,5,"龐大藏書量！
價格真的是全國最便宜呢
就是分類有點亂，比較難找書
下次到臺北一定會再來！"
KEVIN CHUNG,5,便宜選擇又多
黃Jasom,2,很多書找不到
林育賢,5,有很多有趣的書，老闆會熱情推薦好書，價格也漂亮
曾湘凌,5,很有個性的獨立書店，內頭擺的都是老闆的精選好書。
姜真如,5,名符其實，減輕常買書的人的負擔，最便宜的書店……找書就像在尋寶，不過也可以拜託帶有電腦般頭腦的小廖幫忙找書，最後，請享受結帳時曾老闆灌迷湯的熱情……
Simon Chen,5,能買到便宜的書，前提是你要懂的拒絕老闆的強勢推銷，有人愛，有人不愛
Mei H.C.M.,5,新書七折很划算，感謝老闆的優惠。
jimmy lee (jimmylee0822),5,老闆服務態度好，藏書量又多，值得大家去的好書店。
金宏明,5,書的價格很好，老闆是愛書之人，即使不經意的走走逛逛，總會有驚喜發生（突然打折，絕版書...等）
Lai Man Leung,5,書很便宜很全面，店員很了解書本，同時非常親切。
Lucia C,1,售書後標記蓋到資料來源，當下反應有空白處可以標記，老闆反而生氣地將人大力推出去店面，非常莫名奇妙。早知道會如此，不如去其他實體書店購買。
沈小刀,5,帶有文化與回憶的傳統書店，書店的感覺是吸引人的，老闆會推薦書，買書好地方
Wen Tze Cheng,4,雖寫22:30關門，但時不時也會延長營業時間
steven zhang,4,"台北地區有名的獨立經營書店,因為經營者跟出版社有淵源,所以書籍的折扣彈性很大,加上可以幫忙訂購書籍進來,所以死忠顧客很多,但還是有些出版社的書籍並沒有陳列,加上因為是獨立經營,每種書籍進的本數並不多,熱門書籍常會先銷售一空"
Steven Hsiao,5,老闆很幽默！他說我女友長的像林志凌
C H,5,特別便宜，如果在店裡找到喜歡的書一定會買
静琬王,4,營業到很晚，折扣多，老闆很親切
Nini Chan,4,從買書人，到朋友，二十幾年來，只要到師大附近，一定會去水準看看曾先生夫妻。書店在網路衝擊下，生態不斷改變，客人少了很多，可是不乏依舊懷念把水準當成必須拜訪的老顧客，一個不只賣書，更有許多書以外的吸引人的地方。台北有這個特別的角落，是吸引人的。
jojo Law,4,"熱愛閱讀的老闆（ 曾大幅），風趣、愛說話。 最愛向人推薦（ 有時係“ 強烈 ”推薦😅）他認為好看的書籍，以及如果你買咗書的話，佢最鍾意係書底印上""全國最便宜的書店""印章（ 以前係用印章，而家先進咗，用貼紙喇😂）。 多年來一直如是。超過20年（至少我眼見嘅已經有20年）
最近呢一次去， 老闆的八歲的孫女仲向我們推薦公公話好好睇既書 😁"
kiddy Liao,5,親切可愛的老闆，實惠的價錢，支持實體書店
林詩,1,"原本選了兩本書但價錢不是理想的價錢所以沒買，跟朋友走了出來沒想到老闆竟然在大街上很大聲的說「你們這樣很像小偷欸」還把我們叫進去說「你們沒有要買也不用逃走啊」「我這樣是在教育你們」「我從以前就是愛罵人」是因為覺得我們是學生好欺負嗎？
還很愛強迫推銷 都說了不感興趣"
eunice lee,5,書以出版社分類 要找某類型的書會比較不好找 但如果知道出版社會找很快 如果長得正書會很便宜 老闆會被老闆娘碎唸 妻管嚴 😂
賴智銘,5,買書都來這買，老板很熱心介紹，書也都很新，屬於知識性的書店
彭威豪,5,全國最便宜的書局！
周雨嫺,5,"店內書很多，可以好好的尋寶～
折扣也蠻不錯的！"
brad hsu,3,"以前唸大學的時候常常去買，因為便宜！老闆喜歡跟女生開玩笑，語氣像在強迫推銷。對男生好像還好。
我現在都先上去「書窩APP」看看有沒有人要賣或借或租（上次還有窩友直接送我），如果沒有，就來水準書局買，還是比較便宜啦！"
堅持善良,5,除了亂，其他都很好
邱冠倫,2,老闆說過兩天來就有要找的書，過兩天跑一趟還是沒補貨⋯
Clyde Wei,5,很特別的一間書店
C.C L,4,價格便宜，老闆會看人另外推銷書籍，折扣也是看人給，女生的折扣會比男生略為優惠一些，空間擁擠，找不到想要的書問老闆比較快
Bonita Lai,5,老闆很有趣很熱情，找到很棒的書很開心
小綠的朋友,3,店面小，書擺放雜亂。看了其它人的評論，我沒有感受到老板是愛書人，感覺就是一般的生意人，只是他賣得恰巧是書，跟八方雲集，麥當勞一樣都是一門生意。書店老板是不是愛書人，看他的臉，聊一聊就知道了，但也因為把價格壓得夠低，所以我給三星，暢銷書比較過並沒有比博客來等網路書店便宜多少，也许10%到15%，至於低價書，低是能夠低到很低如7折、65折要看你需不需要，都是比較冷門、小牌的出版社，這些書佔了書架很大的空間，所以這裡不像誠品或是重慶南路的書店那樣子整齊，而是比較介於倉庫和書店書架之 …
Rex Chuang,4,"給四星理由是：

價格公道經濟，老闆老闆娘算是親切。

但老闆最後會在結帳後，才在特定書籍版權頁貼上一大張貼紙，妨礙版權頁查閱，對於不知道的人感覺很詭異，或許是特殊考量，但應該在結帳前說明。

這點不能苟同，特提出來。
請陌生讀者前往消費時特別注意。"
Vincent Tseng,5,"幾十年前，第一次去水準書局時，店面還在光華商場旁邊。搬到蒲城街後，老闆的 free style 幾乎沒變。

結帳前不要跟老闆唱反調就會有好折扣。結帳後隨便你...
每次看老闆努力推銷書籍給顧客，就覺得好笑。老闆力推的書，喜歡就買，不喜歡就笑笑說下一次。

不喜歡老闆風格的顧客，謝謝你們，別來就算捧場了！去誠品吧！那才是生意人風格的書店。

水準書局是日常生活風格的店，老闆一直很努力，老闆娘一直努力罵他，別亂賣...夫妻鬥嘴鼓就像小時候隔壁鄰居一樣...

希望所有顧客都能開心找到想看的書，這是台灣獨一無二的書店，伴隨著眾多學子求學成長的生涯。很幸運能遇到這家書店！"
余瓊瑤,5,書本的折扣很多，買越多越划算，是愛書人的寶地。
Tom Hsu,5,真。全台最便宜書店！
黃桓,5,價格超便宜 380的書老闆算250！
Anda安達,5,愛台灣啦
sumi liquid,1,"第一次來，印象極差。

只給一星的理由：
1.在挑選書籍的時候，老闆對某位結帳的顧客說『這套990$你幫我賣一百套的話可以賺九萬九』、『你買這幾本加起來只要多少錢，是不是就省了張機票，幫你可以出國玩』，其他說了什麼沒注意，印象最深的就這兩句。
注意到兩件事，結帳的客人是女生&老闆狂推銷，這是常態？

2.順序是這樣的→七點進店，挑選書籍，七點多離店。沒看時間，感覺不超過三十分鐘。 …"
Asta Shao,1,"老闆態度極差，還動手推人，因為他認為手在空中揮動是在打太極（在那狹窄的空間？！）極沒禮貌的把我推出去門外。

沒有如此被對待過…很傻眼。"
YC Lin,5,書比博客來便宜，結帳時老闆會一直推銷書，且會在書的尾頁貼上貼紙，小心撕是可以撕下來不會傷到書，介意這點的人可能買書時要考慮下，新舊書參差在一起，較難找書，給五顆星是因為現在實體書店少很多了，在這種艱難環境下經營書店實屬不易
張金群,5,"書的種類很多元，折扣也不錯。
從大學買到畢業快二十年了，有回來附近就會過來買書。"
Niko Liao,5,"老闆熱情有趣
跟女朋友去，被說能當她的僕人是你的榮幸🤣"
陳亮宇,4,價格算是便宜，但是種類較少，特定的出版社才有，有時候可能還是得跑到大書店買書
陳靖元,5,價格低服務熱情，找不到的書還可以問問老闆可否幫忙訂購
雲寒陵,5,"全台灣最便宜的書店
折扣很好，有時候甚至會超過博客來
但建議要先問想要的書有無庫存
或是否能訂購"
Kuo Chen Huang,5,書便宜，老闆人很友善
