author_name,rating,text
山海幸,5,"可搭捷運至公館站走過來或騎ubike過來
在自來水園區附近
新店溪自行車道右岸 福和橋邊
可順便到公館品嚐美食"
Soo-Kook Hwang,5,"今年春節冷清的很，防疫搞得早上的齋食也沒啦！
願請菩薩保佑，形形色色擲香拜拜的人們，牛年行大運。"
郭根旺,5,"位在台北市公館較古老的寺廟，日據時代至今，是一個有文化氣息的宗廟；外地在台北生根的遊子,可以將祖先牌位擺放著的地方，我選擇在非假日的時候來此拜祭祖先！是一個可以讓人緬懷歷史及自我的地方！"
Maso Lin,5,昭和十四年建造的寶藏巖。有經過可進來參拜一下。
Hao Chen,4,入夜不開放，白天可以來參拜，有公共廁所。
Ko-Han,4,環境清幽，很有特色的歷史區域，周圍還有河濱公園可以散步享受自然
上班族的嚮導夢,5,座落於城市中的村落 打造成藝術村 居民依舊居住於此 部分區域開放給藝術家打造設計 來到此處彷彿來到世外桃源 讓人不禁放慢腳步 靜靜欣賞這片城市中的世外桃源
張姿婷,3,入口都有導覽手冊，但是滿無聊的，就是山上，然後創作空間也幾乎沒有展覽。
mei-chen peng,4,很不錯的文化味道，也有歐風鄉鎮的街弄，走走看看、拍照很多入鏡的小擺設。不收費又有取景拍攝的場景；吃完美食可以到這裏走走逛逛唷！
朱國華,5,這是台北市鬧區旁與世隔絕非常悠靜的地方，賞心，悅目，散步，騎車都很不錯！
楊秉霖,3,"蓮師藥師佛甘露法

渣渣寺（岔岔寺）是藏傳佛教噶舉派寺院。属于以持金剛佛、大成就師帝洛巴、那諾巴、瑪爾巴和密勒日巴，及歷代白帽、红帽和黑帽噶瑪法王傳承的正宗法門噶舉利美不分派。一直修行四教戒密法。
是由傳承中最有證量的上師配製,通常包括證悟上師們個人收藏的甘露丸，稀有材料,及加入歷代傳承祖師及大德們的舍利。許多高僧大德, 大成就者,於那些高證量傳承上師的個人稀有珍藏,及過去歷代承願再來的傳承大師或大德們的舍利,包括了傳承上師智根法王過去幾世的舍利, …"
斬封漩,5,城市中的寶藏，熱鬧與寧靜的交疊，山與河的穿插，情韻只留相片跟回憶
C.F. Chang,4,廟寺莊嚴、安靜、香火鼎盛。開扯前往者，建議停在外面公館收費停車場後再走路5分鐘即達。
kuan jung Chen,4,很漂亮的地方！老眷村路線蜿蜒複雜，濃濃捲村味，也有很多藝術家進駐，很可愛的一個地方，推薦來這邊走走看看
ぎんぱ 銀波,4,"*環境非常清幽
*偶遇寺中師父誦經"
咪咪超肥,5,鄰近河濱步道，適合散步踏青的地方
趙San,5,"清閩墾民沿河居、

彰泉廟宇建虎空、

長廊石窗亭碑記、

佛道兼容香火興。"
洪邦定,4,清康熙時建的寺廟，現在看到的大都是後來重修的面貌，有許多石柱上還刻了昭和十四年的字樣，想來日據時代日本人也參與了修建行列，非假日來此，沒有多少人，假日不知是否也一樣，這裡主祀的是觀世音菩薩，寺裡的觀音像想必也有些歷史了。
呂致仁,4,莊嚴簡單環境清爽，只是不知道如何去停車場，林蔭蔽天、河風吹拂、倚山而住的聚落，彷彿是都市喧鬧區外的桃花源
陳建國,4,看出去比較沒有開闊的感覺因為前面都是高架橋 但是裡面有一些文創商店 還有餐廳，旅宿感覺起來很像小九份的感覺! 每上一個階梯一個轉折 都是一個景 還蠻有趣的 希望以後能夠多多開發這個地方 讓他商業氣息更為濃厚一點!會更加的好玩!
Dreamer W,5,很方便來的地方！ 很適合來走一走，逃離一下繁忙的都市生活～
Tony Chang,5,服務人員親切，解說詳盡。
幸福路上,5,很多文創藝術的小眷村，很多人帶單眼拍攝，很詩情畫意的好地方
sherry chiu,3,入口提供停車場，藝術家進駐後為眷村又注入一股活力，蠻多微型工作室，走起來很有感覺，也有提供導覽和很多活動可參與，寧靜但卻生動的氛圍，若細看每件作品約可待一個下午，蠻不錯的。
Ricky Hi,5,"公館特定景點之一，一定要來♡
莊嚴的神廟，以及藝術家的住所氣質寧靜，
有些可以免費拿得贈品但有些要錢喔！要注意~
穿梭小巷 有點像藝術版小九份♡"
Yen shu,5,古蹟週邊活化與再造~不輸韓國釜山的甘川洞文化村~台灣加油~
liou andy,5,晚上來有不同感覺
吳介中,4,彩會有創意
胡椒,5,"挺好，
鬧中取靜的小區，挺不錯的。"
Steven Tai,4,進入村子以後頗有感促， 感嘆 十幾年下來，政府並沒有 在發揚歷史這個地方 使得上力， 雖然裡面有設定了幾個古蹟， 可是整個村子 並沒有他應該呈現的歷史風貌，也許默默的保留著 原始的樣子就是一種保護吧！
楊宗樺,2,覺得這裡有點不知道主題是什麼
林篤誠,5,很適合逛完公館商圈之後，接近戶外的好去處。
Jim Chen,5,依偎於山坡一隅的小聚落，承載著歷史厚度。
宋尉眉,5,很難想像台北市區有個藝術村的感覺，這裡有許多藝術家進駐，有不同的風貌，值得來走走👍
陳小銘,4,莊嚴肅穆，環境清幽，服務人員親切有禮。
Kevin Jan,4,適合全家假日出來走走、拍照的地方。
妙音,5,"寶藏巖，為臺北最古老的佛寺之一，因靠山崖而建，所以稱為「巖」。創建/起源年代為清乾隆56年(公元1791年)，清道光23年(公元1843年)修建。

寶藏巖是一座佛道兼容的觀音寺，主祀觀音佛祖，兼祀有釋迦牟尼佛、文殊菩薩、普賢菩薩、文昌帝君、關聖帝君、天上聖母、城隍爺、土地公、註生娘娘、彌勒佛、地藏菩薩、開山祖師大德、檀越主等神佛；曾經是文山地區的公廟，也是該地區泉州安溪移民的信仰中心，更是安溪人開拓古亭、公館、及景美一帶的歷史見證。 …"
Candice Chen,4,"平日去有許多店家都不開放
都是小小間的店面有空可以走走看看"
張量明,3,請問什麼是貢高我慢？？？
YU JU LU,5,有廁所可以使用，太感謝了。
黃誠發,4,園區裡有很多裝置藝術，適合休閒！
歐綠歐,5,很莊嚴的一座廟 廟的後方是很文青的地方！
Hsueh-Lin Lu,5,古色古香，環境清幽，服務師父和師姐很專業熱心，適合信眾來參拜！
戰神鄒小捷,5,塗鴉風格，外拍的好地方
JoeBo Chen,4,很有特色的文創聖地！希望可以繼續發產成為文化基地！
JYUN HAO YANG,3,適合散散步，文青一下
周明森,5,曾祖母在此求其充南洋軍伕的兒子平安歸來  次日若有美軍空襲 祖父會先夢見躲進廟裡  知明日美軍必來襲  因此避禍得安
軟綿綿,5,過往的時空背景下所造就的舊聚落
陳宛宛,5,風景特別，鬧中取靜的感覺很好👍
沖田总悟,4,2020 3 20在藝術村前面的寺廟
趙若瑛,4,"300年的廟，稱得上是古蹟了。
人潮很多，香火鼎盛，剛好又臨近公館夜市。"
maji,5,鳥語花香，水源寶藏
跟著Mina吃喝玩樂 分享生活 物品開箱中,5,"寶藏巖應該是現在大家慢慢都知道的一個景點
這裡也是一個好拍 散步不錯的地方哦！

每到假日人潮都很多
有時假日或是節日他們都會辦活動

這裡是眷村，所以有些地方不要誤闖住家
不然會給居民帶來困擾。"
莊昀昀,5,國泰民安。
S.K Huang,5,鬧中取靜的好歇腳處。
王宏哲,3,"歷史悠久的廟宇,交通方便"
徐慈蘭,5,每年的春節全家ㄧ定會前來此佛寺上香祈福，願觀音菩薩大慈大悲保祐ㄧ家人平安順利也會為先生點個每個人$600元的光明燈，待來年的時後再把舊的收據和金紙ㄧ起化掉這是我們ㄧ家人的大事。女兒三年前隻身前往澳洲打工度假的時後也同樣的來到了觀音亭許下了願望，希望能夠平平安安的出門打工賺錢菩薩也是慈悲為懷的答應了，如今女兒ㄧ樣回到了這有著450年歷史靈驗的觀音亭，再度上香還願外再求新的年度裡也能再穫得菩薩的慈悲保祐。非常的幸福滿願只要我們心中有著任何的祈願，菩薩也都會讓芸芸眾生心想事成的，真 …
Ching Yang,5,除了觀音外 後殿還有供奉其他神明 像土地公 文昌帝君 註生娘娘 天上聖母等
LU YU HAN呂諭涵,5,有種小社區的溫馨感，裡面經常舉辦藝文活動。
kelly楊麗菁,3,無障礙空間還不完整。
徒步健走基隆何James Ho,4,慢活休閒好去處
ren coma,4,拍眷村風格的好地方
湯雅雯,4,這個地方有開放一些藝術家的工作，也有做些小販售，覺得很不錯，有許多條路走，給人一種未知的感覺，滿有趣的，很符合寶藏的意思，走一走不知道下個地點會有什麼工作室又或者會遇到什麼。
黑貓,3,傍山建築的寺廟，很特別，與社區的結合，讓寺廟成為當地居民的精神支柱。
Jeffery Lee,5,很多藝術家進駐，將老舊社區打造得非常有文藝氣息，成為台北的另各景點。
丁永春,5,相當有歷史的地方！從清朝乾隆時間到現在！值得一看！
阿c,5,旁邊的文化村很好逛
Fox Wei,4,寶藏巖是個有故事的清代建廟遺存，附近的聚落是開台先民逐代篳路藍縷的開發才形成今天的樣貌，也留下了台北政治發展的痕跡。但是要到附近聚落參觀要在上午十點半以後才能進入。另外，由寶藏巖旁邊的小路下到新店溪旁的永福公園，往西北可沿河邊自行車道走到青年公園，往南可走到碧潭風景區，路程一般速度均約需1.5小時，沿途都是廣大的草地，間有大樹遮蔭，視野遼闊，滿適合帶親子、寵物一遊。
李季樺,5,非常棒的拍照地點
江亘松,5,"這輩子遇到最靈驗的廟
連抽籤都還可以選號碼的"
陳英哲,5,內部除觀音塑像等還有多幅彩繪如五路財神等可以欣賞
李壁郎,4,好停車，風景優。旁邊的聚落有很多值得參觀的。
Barry Lien,5,環境非常幽靜，雖然很多遊客經過，順道參觀，但人多不嘈雜，廟裡更是肅穆，值得一遊，參拜
黃重菁,4,真的是個可以身心靈放鬆的地方，台北市的祕密花園
Jennie Dai,3,不知道公館有這麼偏僻的地方，雖然環境不大，可是有四，五年級生小時候的回憶，有佄仔店神祕的發現…走一走散心的小郊區，還不錯
陳逸群,4,具有強烈的建築風格，其中房屋高低錯落，盤結交錯，比鄰而居。走進其中就能感受到過去，那種鄰居相互扶持，見面打招呼，有好東西一起分享的情誼。當中有許多藝術展覽空間與藝術工作室，可以再裡面逛逛，見到藝術設計者的作品，當中也有音樂表演者的演出，是個可以放鬆的好去處。
Yonton Kormar,3,"假日一堆人，夏天應該很熱，千萬不要夏天來！

基本上也沒什麼好逛的，頂多有一些眷村懷舊感覺。"
黃煥昌,4,歷史古蹟，聽媽説還蠻靈驗
黃德智,4,這裏儼然像是九份的小山城一般，還有滿滿的文青風。
生發張,4,寧靜肅穆
唐翊智,5,"位於台北市公館附近，交通便利，將從前眷村空間活化為觀光好去處著實不錯。
景色優美，適合家庭情侶朋友出門走走，網美拍照好去處BJ4。
天氣好時可遠望遠處山巒景色，與底下車水馬龍的城市街景形成有趣迷人的對比。"
鄭義智,4,小而美~是一個開放式藝術空間，可駐足20分鏡拍照留念，享受不一樣的氣氛
林琨霖,4,還蠻大的 旁邊接福和公園  都可以晃晃
劉德永,3,不錯的古蹟 ，放假的時候可以前來走走
Mickey Lee,3,因為我是上班族…開放的時間…不太方便！
朱淑晏,5,寧靜清幽，沒有一般寺廟的吵雜。平日沒什麼人潮，很適合靜心的地方。
Annie Wang,5,眷村改建，社區很有特色也是不錯的攝影點哦
呂芳,5,新店溪畔難得一見的百年古廟
姜志明,3,還好的景點，略小、消費有些高。
handson Huang,5,這裡時聖地，很靈驗的慈悲諸佛菩薩寶藏巖。
邱錦鴻,5,白衣觀世音大士菩薩保佑北台灣平安順利國泰民安風調雨順
Error 404,5,放鬆和用眼睛聽故事的地方
叡哲ray,5,"拍照點
後面還有彩蛋"
YC Wang,4,文青聚落，適合公館吃飽來散步放鬆。
仁天门,4,我是來旁邊做工的 這裡觀光客很多 很不好停車 寺廟 放什麼你懂得
蔡秉翰,4,"可以停機車🛵
汽車必須停外面"
洪定國,4,以前市區很多人都會在此拜觀音，但如今，好像退燒了點，人沒己前的多。
Liu Harrie,4,新店溪河道邊 景好
鄭慧蓉,5,是一個莊嚴，會讓人心靈平靜的地方
Chelsea Hsiao,4,假日沒事時 很適合逛逛 也可到河岸邊騎單車
yi kao,1,不曉得特色在哪，伴隨市府自以為滴眷村改造，牆壁滴塗鴉掩不住老舊痕跡，在都市中顯得格格不入，掩飾都更政策敗筆
Dylan Blue,4,人少，這大中午還蠻涼爽。門口有兩塊昭和十四年的日期石塊。
江夏萍,5,環境清優，香火鼎盛
陳英哲,5,附近幼稚園老師帶小朋友來此附近農場拔羅蔔 蔥等戶外教學，非常興奮
曾呈謀,5,佛寺加聚落，清淨有人氣
T.C. Yang,3,寶藏巖一座廟。感覺不是真正佛寺
du du,4,文化，懷舊，城市……
素英黃,5,國家古蹟，莊嚴的地方，我們會到這祈福求平安
柳溶聰,5,寶藏巖觀音亭
李健民,5,清靜，莊嚴的古蹟。洗滌身心靈的好地方。
與小3小2,3,"小九份,喜歡文青的可以來這邊逛逛"
York Peng,3,寶藏巖下的萬盛溪垂釣真是很奇特的景像，那裡的魚不能吃吧！
張誼萱,5,"很文青的小地方
台北市特別的角落"
歐陽峰,5,運動，休閒，的好地方，加公館夜市。電影院。
張文惠,4,都市中的鄉村 👍
南港花店 鳳之聲.法國風格 來電預約.,5,代客送花，還願花禮，一束馨香供養慈悲的觀音菩薩，走進大殿，一股感動油然而生
Wang Dyan,4,搭捷運比較方便，假日開車很塞且停車位不多
Chun Eric,5,近公館站，走路約10 - 15分鐘，非常文青且歷史文化感的村落，滿推薦大家來走走逛逛。
lin lin,5,不容易停車走路來比較方便
EVA三式機龍,5,看風景好地方
李餅乾,5,很有眷村的感覺 很難想像公館會有如此懷舊的景點
張明輝,4,不錯的地方，感受一下舊時代的氣氛。
Hsin昕,5,值得來走走的地方！
濼傑凌,5,很不錯的小寺廟，主要參拜觀世音菩薩
張潮,5,散步逛文創，讚👍
陳君謙,4,清爽環境，讚。
