author_name,rating,text
陳虹霖,5,服務人員都非常的客氣和善，器材基本的都有空間雖然不到寬敞但是運動起來還是很舒適！
Posa Huang,5,24h營業！人少 乾淨 器材雖少但重要的都有！
yao jin Jheng,5,客製化解決客人各種問題，非常推薦💪🏻💪🏻💪🏻
張怡平,5,離家裡很近的健身房，超方便～該有的設施都有喔！
Daniel Yang,5,器材充足 更衣室乾淨舒適
Carl Lu,5,"可以讓人很放心地訓練的地方, 盥洗室也非常的乾淨, 工作人員也很專業."
劉祚昕,5,店員親切不會強迫推銷，空間整潔光線明亮，音樂也不會放很大聲，基本的器材跟伸展空間都有。
莊智,5,地點很不錯，離家很近，運動真的很方便
高晨育,5,"環境乾淨整潔簡單舒服
器材該有的都有
工作人員細心且熱情"
盧冠文,5,乾淨整潔明亮的場地，女廁要刷卡入場很安全，24小時營業晚下班也不怕，工作人員都很好。
z L,5,環境乾淨整潔，器材不多但也夠用，平時人也不太多，人員超級親切也不會強迫推銷或緊迫盯人
Joseph Chang,5,24 小時都可以健身的好地方
Ryder Chen,5,環境乾淨，舒服，，人的素質都還不錯~
webber829,5,服務人員很親切!
張秉宏,5,環境優秀，即便在疫情的情況下，仍然積極消毒及打掃，使會員能更安心享受運動！
830Lu,5,環境乾淨舒適 價位合理
JESSIE HUNG,5,ZUMBA的老師好有趣
Sean Su,5,"詳細的介紹整個場館，又不會過分積極推銷，感覺很舒服。
而且整個環境乾淨且舒服，器材該有的都有，
月費裡也包含所有團課，很建議想上團課、或是訓練天數多的人！
24小時的健身房這家真的不錯👍"
浩恩爸爸,5,"我是3月初加入的新會員，JOYFIT安和路店是我第一家入會的健身房，印象非常好。從參觀、入會、學習器材、開始運動，每一階段的體驗感受都很新奇、也很開心。

健身房內硬體器材不錯，但是工作人員的專業和親切更是讓我印象深刻，每一位都是笑臉迎人，很專業並有耐心地回覆每個問題。 …"
carol cheng,5,環境整齊清潔 不想要人擠人健身的民眾非常推薦 還有團課也含在月費裡真的蠻划算
張秀枝,5,離家近方便
Mikko Lin,5,"Abby , mei ,美少女教練美麗又親切"
Kuan Yu Chen,5,超棒的環境和親切的員工～器材設備也很新很充足！
涼瑞斯,5,超棒的 zumba課程大飆汗 又歡樂!盥洗空間超棒的!工作人員很親切!棒
李文龍,5,環境和服務都不錯喔，可以來參加！
Silvia Peng,5,環境清潔，教練親切，運動課程豐富，師資優，老師上課認真！
阿竹,5,👍🏻👍🏻👍🏻
葉雅珮,5,前幾天來這裡參觀，感覺很好整體不會像世界搞的像夜店一樣==。非常的乾淨整潔很舒服😌。後來有有來體驗～有器材使用上的問題你都可以直接詢問店員都非常的親切～～～重點不會像世界拉客😂
Brenda Wei (Auntie_Brenda),5,環境很棒，完全不強迫推銷，服務很好呢
juichun hsu,5,讚👍
Yang Daniel,5,"器材新 環境舒適 更衣室沐浴間十分舒
舒適！"
吳靜春,5,很適合我的生活方式，我很喜歡這邊，一口氣簽三年
莊瑋婷,5,新開的健身房，距離近很方便！！很讚！！
肖萍,5,該店環境舒適，店員都很親切。
賴如芬,5,環境舒適乾淨
Geez Wang,2,剛開幕，入會1000，月費1188，重點要綁兩年約....地方不大器材也不算太多，有免費的教練課程，對比更近的健身房月費600免入會費，還真想不太到在這裡辦會員的理由...
虎姨,5,環境舒適，24小時很方便
HUNGYU KUO,5,乾淨，空氣好，店員服務好
無所不玩MORRIS,5,明亮、舒適健身好地方
張立,5,離家方便
Yiyung Liao,5,場地很乾淨，器材很新。
Melody Chang,5,環境乾淨安全～～這裡的人都很好很漂亮
CY SHNG,5,環境舒適，讚！
Frog Ko,5,環境乾淨整潔，整體很好
Agen,5,很乾淨，服務人員很客氣
Wun ci Huang,5,很乾淨，很舒適。
安祝良,5,環境優，服務佳
Blanco Pai,5,員工親切
SHIHKAI CHOU,5,離家很近，設備新，服務人員親切，會費合理
Viola Ho,5,環境優良、器材新穎
