author_name,rating,text
Ivory,5,"晚下班的晚餐好去處。安居街上多數餐廳在9點前幾乎都打烊，每次晚下班就會來吃滷味，價位偏高，但是食材的品質也比較好，蔬菜跟菇類都有挑過並處理好，火鍋料、肉類等也都有選過，基本上不太會有踩雷的食材。滷汁很香，會有點回甘的味道，搭配吸湯的冬粉很好吃，我通常點純滷汁不加醬，口味剛剛好。
老闆娘很熱情，總會記得客人的口味喜好及常點菜色，有時一進門就會告知平常愛吃的哪樣食材沒了，非常窩心。"
Miya Gong,5,"平價好吃～
剛剛點外送闆娘很貼心打電話來説鑫鑫腸沒了
很多店家一忙就忘記，也不在乎客戶感受
這通電話很窩心♥️"
ida kurniawan,5,這家滷味很入味，老闆及老闆娘很親切，東西又好吃，不膩
勁辣キ腿堡,5,味道很香，份量很夠，辣十分帶勁
JN Lotus,5,"現在滷味差不多都這樣價位了～有時候想吃點別的就會來這裡吃。雖然覺得自己夾得少，但每次上桌都滿滿一大碗哈哈哈。
本來就很喜歡丐幫滷味的口味，之前常來這裡，最近因為吃素吃得有點膩，就又來這裡吃了。
加辣特別療癒！喜歡💕

而且老闆老闆娘也很親切☺️"
Sony Chou,4,東西真的不錯，只是真的不便宜⋯⋯⋯結帳有點嚇到
王柏凱,3,價格非常高，食材並沒有真的非常多選擇，縱使包裝乾淨，但個人不推
林佳慶,2,比起去年漲價不少，隨便點三樣都可以破百，用餐時間等待需要30分，點餐前請三思⋯
WiLL Yeh,5,"味道夠味
室內也還算乾淨
老闆娘人很親切
去一二次就會記得人客口味
很厲害"
Paichen Hsiao,3,口味還行，偏貴
白言飛,5,湯頭不錯……
HY Lee,2,"他們家的東西雖然價格有點貴, 但真的不錯吃. 老闆跟老闆娘態度也都很好, 可是最近經過他們家店面幾次, 發現老闆娘跟女員工都有戴口罩, 男老闆卻從來不戴口罩. 在此武漢肺炎疫情尚屬嚴峻的時期, 希望男老闆也能戴上口罩好讓客人安心, 畢竟現在大部分餐飲業者幾乎都戴上口罩了, 若有消費者認識他們老闆, 請幫忙建議他戴口罩, 謝謝 !"
黃柏皓,5,奇怪，就這家的丐幫最好吃
nedeiaur nedeiaur,3,老闆態度佳，但因為價位較高，所以預期也較高，但吃了覺得口味普通，甚至比不上其它連鎖滷味，所以有點失望。
CYL CYL,3,"今天踏進店後被價目表嚇到。
青菜都變成40元，菇類也通通變成30元，重點是份量真的很少。😣
明明冬天的蔬菜價格是最便宜的阿@@
買起來荷包蠻失血的，雖然店員都很親切，但真的太貴了，可能不會再來了。"
Ruei Li,5,"第一次來就覺得環境跟餐點很乾淨。
價位差不多150一個人就吃得很撐。
需要注意的是「小辣」就已經很辣了。
建議一人點三項就好，不然會不小心吃太撐。"
Chia-Chen Wang,5,好吃！貴得值 等得值
Xin Liu,5,"價格稍高，但還不錯吃連酸菜也蠻好吃的。
下次還會想再去光顧"
Yvonne Wei,5,"環境還滿乾淨，小辣就超級麻～
不是湯多的滷味"
Y C,4,"可以先用line訂餐
外帶的包裝感覺衛生
份量較少 價格偏貴"
Marco Chang,5,超級好吃，搭配上小辣更有一番風味
CHUNG WEI TSAI,3,偏貴
Wang Erika,4,不錯吃，每次點不太多（豆皮，花菜，玉米筍，蒟蒻，王子麵）卻可變出一大碗，很驚人
黃國強,5,好吃，沒話說，裡面內用還有茶水可以飲用，吃不膩，超讚
Ma usepanel,3,"東西好吃，店面也乾淨，店員態度也都很和善親切
只是價錢有點貴"
林湧順,5,東西很好吃 ，老闆 ，老闆娘人很友善 。
吳樂天,3,"口味不錯！老闆娘很客氣…
男老闆一付很高傲的臉
該學學老闆娘的待客之道"
Rae Yu,5,"晚餐必吃！
老闆娘親切"
Pai Cheming,5,乾淨衛生新鮮好吃。比其他滷味貴一點但品質好，個人覺得很值得，想吃好吃新鮮衛生的滷味，來這就對了。
明老師,4,東西有一點貴，但是實在是很好吃，因此還是值得推薦。
ying chun kuo,3,味道不錯，乾淨，價格不便宜，CP普普，最好先打電話，不然人多，老闆一份一份煮要等一回
ya-shuan Chang,5,"超多學生去吃
乾淨又衛生
外帶服務我很喜歡
不過人多時要等很久"
耿筱曾,4,味道不錯，用餐環境中上
蔡晶玫,5,連鎖丐幫吃過最好吃的一家！辣度非常過癮～老闆&老闆娘人都超級好！如果要外帶建議可以先打電話預訂，老闆的手基本上沒有停下來過，難免可能會等比較久一點！
吳弘玄,5,好好吃的滷味，從學生吃到出社會！
Jc Sheen,5,好吃，老闆娘總是可以記住客人的喜好，很用心
程瑋捷,4,"真的好吃，店員態度也都很和善親切
只是價錢稍高"
林威學,4,不錯吃，價格有點貴
Har T,3,"東西不錯吃
CP值低"
鄒妤婕,5,"老闆娘態度一級棒👍
用餐環境乾淨食物也好吃....
整個就是讚讚讚....."
schyler,5,除了豆皮有點爛、需要等一陣子以外都很滿意～好吃！
黃雅惠,5,餐廳乾淨衛生，老闆 老闆娘人也超 Nice 點餐的時候也都有告知時間 很棒！
Esther Wang,4,食物衛生做足，老闆和老闆娘態度很好，口味品質維持的很穩定
Debby Huang,5,滷味好吃 老闆闆娘都很親切 記得客人的喜好👍
Pasca Hsu,4,好食，但是價格偏高。
jun Liu,5,衛生超級棒的一家滷味 食材要人放心 不錯的選擇
Jun Yan,4,價位偏高 但口味不錯
Jessy Yo,4,滷汁口味很棒，魯泡麵真好吃
謝秉夆,5,味道好，服務也很棒，點餐時都有告知等待時間。
Nami Chen,5,店裡很乾淨，食材很新鮮，吃飯時間會稍微需要等一下
Yu-Sheng Li,3,價位偏高的滷味，食量大的人不太建議
昭宏蔡,4,滷味的味道特別讚 好吃
黃靜慧,3,滿好吃的
鄭雅文,4,食物好吃 但位置有點少跟小
Maya Fu (Maya - Evangelist),5,小貴但是好吃
Kai W,3,價格頗貴⋯⋯
黃詮富,1,丐幫魯味是好吃，但同價位商品(黑輪。甜不辣兩個15元部份)不能互搭，結帳完算兩份。跟他說他說系統無法過。第一次看過這總店
Tao515122,3,一般般，價格偏高
Junyou Liu,4,丐幫滷味的醬汁味道很香，免費紅茶也好喝，價位以滷味來說偏高
Chain Guo,5,滷汁是目前我最喜歡的，但等待時間稍久。
Wu Verbal D.,5,很好吃，每個月都會來吃一兩次，服務很用心，相信吃過的人都會了解，雖然座位很少，可是坐下來都會很舒服，因為很乾淨也不會太擠，真的很推薦，希望大家都來賞味。
Wan-Ju Yu,2,餐點偏貴，好吃程度普通，店內乾淨明亮，但不會特別想再光顧
