author_name,rating,text
x yz,1,4/17 13:45分左右 齊瀏海的女店員 沒有問過我要不要微波就撕開包裝 還不讓我換一個新的 說還沒加熱不會影響到⋯⋯？？？包裝都開了是不會變質？還硬要說是我的問題 我明明已經有阻止 如果撕開之後有道歉還不會這麼生氣 態度有夠差 完全沒有歉意 讓人感覺很不爽
C waf L ou,1,拜託買口罩期間只想買水買東西的都不要來，店家只賣口罩，你想買東西必須等單純買口罩排號一百多號的隊伍都買完了，才能輪到你，雙櫃檯一個賣口罩一個給一般民眾買東西不能嗎？需要一副賣口罩最了不起嗎？我是到超商不是藥局吧？所以超商只供給買口罩，那開藥局更妥當，想買瓶水這麼難⋯
David Wang,1,服務態度散慢，自己商店活動跟商品不熟悉
John Liang,4,服務正常，和孩子去對面公園玩完常來買飲料。
汪冠洲,4,方便便利商店，沒洗手間。
柯小智,5,店員服務態度佳！
ys Pan,5,20200511的店員李X芯小姐服務態度良好，而且摸過錢之後都會用酒精消毒雙手，也會隔著衛生紙才碰飲料開口，不直接接觸，非常衛生 令人感到很安心安全，如果我是老闆會很開心有這種員工。客人覺得感恩！
ChungLei Huang,3,小小間的7-11一角
Gabriel Liao,1,大夜班的一個年輕人是怎樣，已經好幾次買東西+買袋子，結完帳就不理人，現在要自己動手裝進去就對了？？奇怪，沒心就不要做阿，711不是最重視員工教育的？
Fangming Hsu,1,有人結帳插隊，店員都不管的。
L. Red,5,"2019/03/23
有個年輕蓄鬍的店員態度很不好，好像我真的欠他錢一樣，每次看到他，我就會直接換間便利商店

2020/08/28
太棒了，那個店員很長一段時間沒有看到了，整間店的服務水準大幅提升"
吳文賢,5,施工前補給
Wi Ki,5,今天有辦試吃，菱格香菠蘿麵包，店長服務態度超好，還買2送一！超好吃的！
Mimi龍,2,"就一般7-11，
差異在態度。"
Johnson Chiang,1,服務超差，態度超差，不建議再來購買
Han Wen,3,不知道是錯覺還是怎樣，咖啡最近的量都很不固定，有時正常有時變少
Serena Tseng,4,冬至前一天去服務挺好的，還請試吃湯圓。
小賴,1,早班短髮店員態度超差
李明益,1,"爛!
服務態度不好。"
廖東玫,5,收發購物方便的好鄰居
Kyle Lin,5,重新裝潢過了 有座位了!!
Kema Chang,5,重新裝潢 位置順暢
Anna Rotaro,1,"(由 Google 提供翻譯) 服務差。生氣的收銀員討厭買主！：（（（

(原始評論)
Bad service. Angry cashiers hate buyers!:((("
SWY,4,"(由 Google 提供翻譯) 中午人也是不少

(原始評論)
中午人也是不少"
陳瑞益,3,"(由 Google 提供翻譯) 普通的小7

(原始評論)
普通的小7"
