author_name,rating,text
freedom貪吃鬼,5,"🔺店內環境不大，但蠻溫馨的🥰當天太晚去了，不然店外應該蠻好拍的📷

▪️黑糖核桃肉桂卷 NT$.70元
▫️雞蛋布丁 NT$.100元

雞蛋布丁
到哪都要點ㄉㄨㄞˉㄉㄨㄞˉ的布丁
表現OK，偏扎實的口感

黑糖核桃肉桂卷
我平常是不太吃肉桂捲的人
但這款我可以接受耶❗️香氣濃郁，我蠻喜歡的
可能黑糖甜味比較重
肉桂的辛辣感沒有感受到❤️"
Yan Chiu,5,"一家差點遺忘的小店，朋友的極力推薦才想起來，肉桂捲屬麵包口感，司康配上的是當季自製的草莓醬，美式咖啡有淺焙跟深焙可以挑選，羅馬咖啡的檸檬汁微酸甜度稍甜但喝起來很濃郁，整體表現很優秀也很平價的一間小店，座位不多不適合太多人一起前往。
#禾雀咖啡 #台北咖啡廳  #咖啡廳 #肉桂捲 #司康 #羅馬咖啡"
Daisy Luo,5,空間不大，但是不會顯得擁擠，空間也很適合讀書或用電腦。肉桂卷很好吃，再訪時點了巧克力司康跟蘋果蛋糕，也都很好吃～
林潁,5,"吃了蠻多家肉桂捲
你們家的真的是很肉桂！
嘴唇會有點過敏ㄉ感覺
一開始吃會覺得有點甜 後面越吃越香
冷吃也很好吃
麵體微有嚼勁 ！"
陳孟筑,5,適合放鬆喝咖啡的地方，充滿植物與乾燥花，環境整潔，糕點麵包都是闆娘純手工製作，熱愛肉桂捲的朋友一定要來試試😊
Nicole Su,5,很喜歡這種潛藏社區之中的咖啡店，小巧可愛，氣氛很輕鬆自在，很有生活感。咖啡和甜點都在水準之上，尤其喜歡肉桂捲，熱騰騰的很好吃～
騏,5,"拿鐵咖啡 口感溫潤圓滑不苦澀
店內環境舒適 非常期待下次的光顧"
Tommy,4,"肉桂捲一般偏向麵包,核桃有點燥,抹茶生乳捲茶香濃不苦澀
熱拿鐵有中深豆跟淺豆可挑  味道都不錯
奶泡打得好  鮮奶使用禾香鮮奶
服務親切雖然店面不大
價格實惠
會想再來
招牌羅馬咖啡酸甜平衡得宜另有黑糖點綴
值得推薦
很適合在夏天的午後來上一杯"
Nora Lin,5,"肉桂捲加熱後外面脆裡面軟，搭配核桃非常好吃！咖啡豆子可以挑選合適的～口感都很滑順跟舒服😌
空間舒適老闆們也都很親切，很適合來休息放空👌👌👌"
Dylan Lin,4,巷弄內環境舒適，但內用限時3hr，就算沒有人的午後也一樣，且使用電腦要付插座費$20
Michael Cheng,3,第一次光臨，拿鐵不錯，肉桂捲太乾，過多的肉桂粉搶了味。
yitzu Chiu,5,"拿鐵比例剛剛好，奶泡滑順細緻一點苦好好喝
肉桂捲微辣沒有太甜
現吃真的好吃
是近期吃過最好吃的了"
Antenna Huang,5,"還未喝過咖啡，但肉桂捲是我吃過多間麵包甜點咖啡店中
表現最得我心的！（相見恨晚）
麵包體不會過於濕軟，有適當大小的孔洞且有彈性
甜度蠻剛好，表面撒肉桂粉多賦予了一些口感（我是無糖霜派）
外帶回家後雖然在冰箱躺了好一陣子（羞愧），
但用烤箱烤到表面微脆後一樣好吃～

話說我本來只是單純被門口的鹿角蕨和白水木吸引ＸＤ"
la liho,5,草莓鮮奶油戚風蛋糕不錯，特別喜歡這家鮮奶油，肉桂捲有點微辣，就沒有那麼喜歡
高瑋成,5,"冰拿鐵口感滑順，濃郁香醇。
肉桂捲 Q彈紮實，核桃脆口，肉桂焦糖濃郁厚重，香氣十足。"
Joyce Lin,5,不論服務、空間、餐點都令人感到溫暖的一間咖啡廳！
George Hu,5,"一個人。咖啡。肉桂捲
不想說話的時候
想喝咖啡的時候
想吃甜甜的時候
都可以去。"
李念白,5,加熱過後的肉桂捲非常美味！老闆是非常重視細節的人，外帶的牛皮紙袋上不只有可愛的招牌印章，而且封口漂亮。
Alissa,3,黑糖鮮奶茶有種藥味，沒有黑糖味
陳映全,5,羅馬咖啡 非常好喝 檸檬的酸和最上層的黑糖調和的很好 下次再來喝喝看其他口味
Raven,4,"<Java Bird Coffee 禾雀咖啡工作室>
位於通化街尾巴充滿綠意的小店，提供手沖和義式咖啡。
座位不多，很適合想要安靜和獨處的人。
除了咖啡外也有相當不錯的手工甜點，點一杯熱拿鐵配上香味十足的肉桂捲是最棒的了！
晚上戶外燈飾點亮後又是另一種風景，很喜歡這種日夜不同個性的裝潢。"
許琪曼,4,"位子不多座位偏小
但甜點口味蠻特殊的 鳳梨口味的戚風蛋糕蠻喜歡的
但低消一定要飲料小扣分"
Corgi Lee,5,"［Java Bird Coffee 禾雀咖啡工作室］

本身我不愛吃肉桂捲，
但這裡的肉桂捲開啟了我的胃，
來過這之後我變得很愛吃肉桂捲，
配上咖啡更是加分！
大家一定要來試試看！

*插座：有，另收費
*網路：有，wifi
*廁所：有
*水：有
*限時：平日有，假日2小時

Instagram：corgilee
Facebook：日嚐．時品

>>>請勿盜圖，若要使用請先詢問我。

#攝影 #咖啡 #甜點 #臺北 #Taipei
#臺灣 #Taiwan #coffee #cafe #cake #日嚐 #日常 #時常 #時嚐 #品嚐 #日嚐時品"
陳逸群,4,店面不大，座位量不算太多，但是給人輕鬆的感覺，擺設搭配輕音樂，適合跟朋友聊聊天，輕聲細語的那種。拿鐵很特別，分成中焙與淺焙，可以根據風味進行選擇，也有其他品項可選擇，另外點心的部分也有一些糕點可選擇。重點是費用沒有很貴，大概是我目前遇過的獨立店家，最便宜的一間，值得推薦。
張竣迪,5,"很可愛的小咖啡店
採光很好，天氣好的時候來坐坐感覺很舒適
咖啡很好喝"
ruwen zhong,5,喜歡這裡的中焙豆！還有放很多肉桂粉的肉桂捲真好吃，氣氛悠哉舒適，消磨時光的好地方
ShiYu Wang,5,"店面雖然小但是很舒適
甜點真的都太驚豔了
咖啡也非常的棒
很推薦的一間店！"
Nell Chen,5,可愛小店，餐點，服務，氣氛都很棒！在這裡休息一下覺得特別舒服😌
陳孟琳,5,"環境好 餐點真材實料 每週必來報到的溫馨小店💙

每來必喝 冰羅馬咖啡 另外大推薦手工司康 超級好吃"
ren,5,肉桂捲好吃，老闆很親切。
姚艾伶,5,古典巧克力好吃😋 很濃郁不死甜
Poya Hsu,5,舒服安靜的小店，肉桂捲😋
書拉密,5,"安靜、舒服的社區型咖啡店。
- 最喜歡這裡的手沖，有時候會有些特殊的豆子，可以主動詢問老闆。
一開始都喝這裡的卡布奇諾，後來也喜歡他們的羅馬咖啡（市面上的檸檬冰美式），檸檬美式每家都有自己的做法，這裡是檸檬酸度比較高的。
- 甜點的話，肉桂捲、海綿蛋糕也不錯，點心呈現的形式滿日系。
- 空間不大，有兩桌戶外區，天氣不熱的時候坐戶外區很舒服，整體氛圍都很舒適安靜，老闆跟老闆娘也給人一種很鄰家的感覺。"
帆,5,"Google到這家咖啡店，小小間，很迷你，可是他不會有壓迫感，裡面很舒服，音樂也很會挑，很放鬆啊～～～～服務很好，男生很親切！！也會微笑，但覺得飲料跟吃的可以再增加一些。

手沖好喝很順，優若蔬果飲好喝，很簡單原味，讚，優格杯我很喜歡，有點吃不夠，肉桂捲很香，但我好像比較喜歡吃濕潤一點的，但也不錯不錯！希望下次可以吃到他們家蛋糕廁所也很乾淨，大家有空可以來這邊放鬆一下，推推。"
抹妹,5,平價 好吃 環境舒適 重點是闆娘人好好！！
林時弘,5,熱卡布口感和味道與Olivia coffee roaster 相似 西達摩搭配哥斯大黎加的配方豆 偏中重培豆喝起來不過焦也不過苦 是很棒的飲品 只可惜這次去沒有吃到肉桂捲
food_uncle307,5,"1+1在臺北$120是佛心價，卡布的奶泡與融合是近期喝過最優的。
窗台前搭配陽光有著隨光影變化街景更是讓加分。
內用冰拿鐵搭配環保玻璃吸管也是地球🌍防衛隊的一份子。"
張正侖,4,店內空間很舒適，咖啡也很好喝，手工優格也不錯！
Alice Lai,5,"拿鐵的奶泡很濃郁但不會蓋過咖啡味，價格實在，甜點草莓慼風很好吃，好像是每天會換；店面不大位子不多，服務很好豐，溫馨的小店。
#ongooglemaps
#localguides
#letsguide"
Bonnie Chen,5,"店內氛圍讓人很放鬆很舒服
肉桂卷真的很好吃
咖啡也很棒
悠閒下午茶的好去處"
聶煒儒,5,特別精緻的一間店 氣氛很棒 老闆娘 老闆人都很很好唷 音樂也超級讚的😍😍😍
房昀靜,5,"位在六張犁的中低價位咖啡廳，離六張犁捷運站走路約5分鐘，內用只有10個位子左右。﻿
提供義式咖啡、手沖和甜點，每天的甜點都不太一樣。價格不貴但甜點飲品都很優質，值得再訪！﻿
﻿
#蘋果磅蛋糕 $130﻿
底部鋪有蘋果，搭配鮮奶油一起吃多了一些變化，口感扎實濕潤，不會過甜過膩，好吃！﻿
﻿
#拿鐵 $90﻿
好喝順口，拉花很美麗"
徐謙慧,5,"一推門進去的感覺就很舒服，「外帶一杯夢想」參與活動的23間店家的名片被整齊的別在牆上。
肉桂蜂蜜還是西西里黑糖，是這裡的活動二選一飲品。
窗外的座位在天氣不熱的時候，應該很迷人。"
Ambrosia Ryo,5,羅馬冰咖啡，酸溜溜~適合夏天。
S H,5,"老闆們態度親切，甜點依季節性不定期更換，每次去都有驚喜。咖啡跟飲料都很好喝。
平日下午店內環境安靜舒服，適合放鬆跟約會的好地方。

Ps. 營業時間跟甜點可以參考臉書，有時會公布資訊。

個人推薦：都很推薦，尤其是各種季節水果的戚風蛋糕。"
ChFa W,5,拿鐵好喝，司康好吃，使用環保吸管很讚，使用插座要收費
巧巧,5,香氣四溢的肉桂麵包加上甜度適中的摩卡，美好的下午時光無比幸福！謝謝店家貼心提供插座充電服務，讓生存在都市叢林中的我得以及時延續手機生命！20元充電費真的值得了！
Axl F.,5,"請大家一定要注意音量，

一起有氣質。"
Carol Huang,5,"I tried Coffee Romano, it’s a bit sourer but perfect for the summer in Taipei 😆the cream on top with the brown sugar added a thickness to the coffee. It’s a perfect match. I also ordered a cappuccino to go, it was soooo good! It’s not too …"
Ss Cc,5,肉桂捲跟頻果派都是水準之上
Richard Hung (洪小R),5,"第一印象，很棒的手沖單品，輕鬆的店家氣氛，讓人驚艷的肉桂捲乾。
店家還有不少單品咖啡可供選擇，蛋糕與甜點的品項也很多，店內空間雖然不大，並不擁擠，若有店內充電需求給要詢問店家。
對於單品咖啡有興趣，可以跟老闆聊聊，詢問風格討論，找到自己喜歡的咖啡是最讓人開心的事情，搭配甜點更有感覺，值得再訪。"
May,4,挺可愛的一間小店，cp值頗高，舒適的天氣坐在外頭吹吹風也是挺舒適！可惜沒吃到肉桂捲，下回在去！
陌紊,5,蘋果派跟肉桂捲超過一百分
黃冠燁,5,尼加拉瓜 尖身波旁 日曬 核果 甜度高 酸質細緻 環境另人放鬆；黑糖牛奶奶泡綿密 滿滿黑糖香 ；肉桂卷 中上可點
ssunnyyw,5,好舒服的地方～肉桂捲好好吃！咖啡很棒！
Dobby,5,太真材實料了
Shikin Y,5,"雖然位置不多，但內用環境很舒適
喜歡有不同豆子可選擇
一定會再來的店！"
Kuan Hsu,4,"蠻用心的小店

手沖咖啡不錯 可以來試試

蛋糕應該也是自製的

今天點檸檬酸磅蛋糕，但我還是比較愛上次點的脆餅...🤣"
甜頭老師（甜頭的中年生活）,5,巷弄間的安靜小店，適合慢慢的品嚐。
周早安,5,羅馬咖啡好喝，肉桂卷好吃
蔡曦陽和蔡曦晨,5,佈置好舒服，聽著好聽的Jazz喝著好喝的咖啡，感覺非常舒服！
陳美儒,5,"小小的一間店，店員親切
甜點跟咖啡都還不錯
司康很推❤️"
Haoyi Fan (告白),4,很舒服的小店，飲料跟蛋糕都很不錯，老闆人很好👍 這次是外帶，下次考慮來內用！
Nami Lin,5,"咖啡好喝 拿鐵$90
可惜沒有外帶優惠"
Jubi lee,4,咖啡好喝蛋糕也好吃，價位很親民
Shih-Chen Chang,5,淺焙拿鐵好喝
weiweiwait,5,義式有淺焙豆可以選擇很驚喜🎊香蕉蛋糕跟鮮奶油蛋糕非常美味！
鈺傑陳,5,輕鬆、舒適的好店，咖啡好喝，特愛冰羅馬咖啡!!超適合耍廢放空!!
Chia Chun Tsai,4,肉桂捲還不錯，環境很舒服的小店
Rody's影像生活,5,"滿常來這家日式(還是北歐?)風格的咖啡廳喝咖啡的
美式品質很穩定，天熱喝杯冰美式最舒服了
店家乾淨舒服糕點又好吃 適合帶本書來發呆一個下午 相當推薦唷"
雨文,5,肉桂捲加羅馬咖啡，推薦
Gabrielle Chanel,5,"咖啡好喝，可以搭配肉桂捲
座位不多，下午常常客滿
老闆用心經營，讚讚"
