author_name,rating,text
Jarod Chen,5,"黃金柚香伯爵 50元

吃到目前為止最推的還是這款黃金柚香伯爵
歐式麵包質地 富口感嚼勁
伯爵茶香十足 再加上糖漬橙片 柚子皮加了不少 微甜的口味很棒

樂田的貝果也不錯 豆漿貝果或豆渣紅藜貝果很適合當各式鹹甜貝果使用

大推 樂田有清楚的熱量標示以及在台北市來說平價的歐包
個人覺得是麵包店中難能可貴的

這次是晚上八點時有5件7折的活動 很划算"
ㄌㄧㄣˊㄔㄥˊ ㄧㄥˇ,1,請問外送員很髒嗎？外送員有毒嗎？外送員有病菌嗎？還外面等勒…
mu mu,5,"司康還不錯，以前就有吃過別家分店的司康，這次吃還是覺得好吃，吃起來很香，口感酥鬆，不過如果有賣不加巧克力豆的原味版本就好了，感覺比較能吃到最純粹的味道。

雲朵麵包也是之前在別家分店買過的品項，個頭大適合多人分食，屬於耐吃款的甜麵包，口感綿柔好嚼，放入口中有細緻的甜香，吃起來不會膩口。 …"
Judy Hsu,1,已經是樂田的常客了，但前幾天消費NO1的起司麵包導致本人腸胃炎！當天送了一個麵包跟朋友，他吃了也嚴重腸胃炎，實在太誇張了，樂田的品管是不是有問題，工廠的員工是否又有做好衛生！讓人一陣子都不會想再消費了。
Bravo Lo,5,跟胖達人初期一樣強調無添加防腐劑、色素、天然發酵，香料有沒有加感覺不出來，如其說詞比街坊店貴一點就無可厚非。
Stephanie LIN,5,咖哩酥、叉燒酥、饅頭…都好好吃。
bear snow,5,地點非常方便，糕點種類多，美味可口用料實在，服務人員親切，晚上8：00後常有令人驚喜的特價活動。
林琬婷,5,"每週必買的一家店~~下班去的時候剛剛好~~

很喜歡他們的五穀類麵包、吐司還有饅頭，吃起來跟別人就是不一樣，用料實在! 讚!
因為我現在在減肥，所以都會買他們的五穀類吐司回來切成小塊用氣炸鍋烤(偶爾也會烤饅頭)~~代替頂好/全聯的高熱量餅乾~推薦給各位減肥朋友，解解嘴饞~"
Crystalyannng,5,"以前從沒想過樂田麵包屋的草莓蛋糕會這麼好吃。
不是普通的奶油，而是香草味中的卡士達～～
草莓大顆又新鮮，意猶未盡。"
劉亞男,4,貝果三個有打折~
yi teh han,5,"不錯吃
價格實惠"
Aileen,5,營業時間長，價位合理穩定 ！
陳建萍,3,今天傍晚買了塔塔馬鈴薯麵包和杏仁丹麥麵包當點心！
呂藹雯,5,非常喜歡！好吃！
Asher,4,口味不錯，種類會定期變化，還有出饅頭包子
Manic Peng,3,麵包比一般質感好些，口味選擇多，只是價格也高一點，有時後快八點會有活動可以買多打折才相對划算一點。
J C,5,服務態度好
Ivy Yang,5,"新推出的草莓貝果很好吃
蔡姓服務人員態度親切"
HARDWOOD KUO (Hardwood),5,"很多素食選擇
麵包有Q勁
好好吃"
Minyu Song,5,推薦👍
Rachel Chen,4,麵包味道好，買了肉桂捲吃，氣味香甜口感軟綿。突然想到前幾天在ikea吃的肉桂捲，真不知當時到底怎麼吞進肚子?
薄雪草,4,店家服務不錯~麵包也算衛生~常常光顧!!
Jerry Chien,4,麵包種類多樣，低中高三種價位都有
莊心,4,知名連鎖麵包店裡 最喜歡的一家 可以吃到一點點健康與美味兼具 介於健康型麵包與一般麵包店之間 更甚於蕃薯藤有機麵包在我心中的地位
曾瑜郡,5,"。

非指本店，只望改善，謝謝
我常被某幹部言語霸凌，向店長反應，只有一次有效，後來店長都冷處理，甚至跟我說，我看都很好啊、若有問題別人怎麼沒反映。我多麼希望有人幫我，因為我很喜歡這份工作。
店長啊！你知道霸凌者是會挑對象的嗎？另個同事知道後，只安慰我說，不要講，沒用的，他跟那幹部上班也是這樣。
有次跟幹部上班，交班少一張大鈔，好險我的有追回來(被幹部帶回家了)，另次搭班的同事就自己賠了，我們都只能懷疑，其他瑣事不贅言。 …"
ks ai,3,晚上8：30分以後，5件麵包7折，可以買！
鄭志煒,4,服務親切，價格合理!
王瑞慧,4,"饅頭Q,內餡好吃健康，麵包沒吃過，看起來不錯吃。"
Barrt Tony,3,外觀做的很可口，價格也不貴，但材料不紮實，吃起來也非常普通，有負盛名。不過路過也是可以去選購看看。
Amy Chen,5,奶茶好喝，麵包幾乎都蠻好吃也平價
Maple Lee,4,葷素標示的很清楚，好吃的麵包點
Derek,4,"味道還不錯
NT 120
莓果起士塔"
