author_name,rating,text
Rita Chiu,1,因為腰不舒服就診，第一次看診時因不清楚治療方式而全部配合，開藥、電療、針灸、推拿，特別跟醫生說仍有哺乳，是否可以不吃藥，醫生回應自己有帶過小孩、知道辛苦，會幫忙調整藥單，吃藥期間也回診了2、3次。 …
Vicky Tang,5,陳院長以前在木柵看診時就病患人滿為患，最近才搬到這開業。他擁有中西醫雙證照，在診療時常結合兩方觀點，還會很耐心的花時間跟病人問診跟解說。診所除了附有推拿師以外，還有各種復建科才會有的儀器，許多傷科宿疾病患，醫生視X光照片，再搭配儀器、針灸跟推拿來治療，療效頗佳。開藥會視病人情況，除了藥粉有時會搭配水藥或藥丸。而且醫生護士都很親切，治療時護士不時還會冒出幾句冷笑話：）
林琨鍠,5,陳醫師超專業、有耐心。
Ch Re,5,路過進來看醫生，很驚艷，醫生看診非常仔細，中西醫並用。
Milk Chen,5,醫生很仔細看診，護士及推拿師傅也很親切！
Cathy Lu,5,"醫生及推拿師傅很細心,服務人員很親切"
曾國霖,5,環境良好，醫師小姐都很親切
Eunie Tsai,5,櫃檯很親切
崇尚,5,"(由 Google 提供翻譯) 更新班表

(原始評論)
更新班表"
york2957,5,"(由 Google 提供翻譯) 很好

(原始評論)
很好"
simon79418,5,"(由 Google 提供翻譯) 好醫生

(原始評論)
Nice doc"
Yasu Lin,5,
王大明,5,
李帛垣,5,
Jerry Chiou,5,
賴秋幸,5,
詹尊揚,5,
陳郁文,5,
Shannon Tien,5,
陳燮溥,5,
Amy Kao,5,
賴秀玲,5,
游James,5,
林元屏,5,
Gill,5,
KC Shen,5,
陳可欣,5,
Angela Chen,5,
wd l,5,
YiYing Chang,5,
fishyuan Huang,5,
簡明亮,5,
黃麗靜,5,
蔡耑米,5,
Jimmy Yang,5,
葉一蓉,5,
勳黃,5,
吳小瑩,5,
Ariel Wu,5,
Hiroshi Syu,5,
戴仁通,5,
連如玉,5,
余慧敏,5,
wendy hsu,5,
Mavis Bao,5,
饒美鳳,5,
林冠廷,5,
盧麗茹,5,
于心立,5,
sunnie Lo,5,
Tseng Yingchi,5,
張俊明,5,
joseph lin,5,
劉友仁,5,
Jennifer Chou,5,
姜勇,5,
Vincent Cheng,5,
蒼瑾,5,
董子豪,5,
Carmen Huang (卡有福寵物商號),5,
Julie Yang,5,
俞振來,5,
陳沛雲,5,
康惠茹,5,
張義泓,5,
Myau-Fang Lin,5,
Yi Ting,5,
Rorita Lin,5,
楊綵褕,5,
Taikumin Ku,5,
黃小芳,5,
Peter Jakarta,5,
謝鈴鈴,5,
謝雅敏,5,
劉麗叔,5,
年代提琴,5,
林玟秀,5,
潘志忠,5,
frances chang,5,
郭昱伶,5,
Huai Ting Chen,5,
chihung Lin,5,
JERRY CHIN,5,
jason shih,5,
侯桂蘭,5,
高千惠,5,
Addie Zeng,5,
黃靜瑢,5,
夏芃芃,5,
林詩穎,1,
蔡绣雲,5,
吳佩珊,5,
ChungHsuan Lan,5,
theresa lu,5,
shihyu chen,5,
車Nelson,5,
janet hsu,5,
Wenpei Lin,5,
王璽權,5,
高仁安,5,
Robin Kao,5,
Aiko Liu,3,
kao antonio,5,
沈中祺,5,
Jih Rong Wu,5,
clifton cheng,5,
時法,5,
王芸榕,5,
Bellastar Tan,5,
梁佳安,5,
Johnny Pu,5,
蘇怡珊,5,
Dedooc Lee,5,
Yen Ho Huang,5,
李諭雯,5,
Nicoletta Gu,5,
鄭湘慧,5,
趙士翔,5,
isis chen,5,
Tseng Wen Hsin,5,
L C,5,
Janet Sha,5,
黃郁秀,5,
Wynn Yiu,5,
朱盛雄,5,
Chiachi CHANG,5,
Ying-Chun Shih,5,
泰德王,5,
胡為賢,5,
許華筆,5,
沈佑婷,5,
Elle Liang,5,
趙碧祺,5,
te康桂瑛,5,
江妙齡,5,
林鳳玲,5,
KAI LIU,5,
圻圻,5,
sabrina800414,5,
chen kapota,5,
劉大哥,5,
Jerry Wang,5,
suhuei chang,5,
白文欽,5,
曾玉汶,5,
林佳瑩,5,
劉寶姝,5,
mao amanda,5,
林妙玲,5,
ruby mai,5,
ytyang2005,5,
Wennie,5,
王安媛,5,
mei-hua Lin,5,
Claire Tsai,5,
Louis Lin,5,
Lesley Lin,5,
