author_name,rating,text
陳育嬋,5,"甜點好吃，店狗超可愛:;(∩ ˘ω˘ ∩);:
佈置很有氣質～老闆娘很親切，很推薦大家來"
Ellen Lin (樂),5,小小一間的蛋糕店，大概8-10個位置；蛋糕很好吃，種類也蠻多的，還有許多的餅乾；店內安安靜靜的，讓人可以稍作休息，渡過一個舒適寧靜的下午；店裡有一個可愛古代牧羊犬，超級可愛♥
TingYin Liu (LemonChan),5,"High quality cake and tea. incredible French chocolate that I almost eat the plate too.😂

好吃的法式甜點，濕潤蛋糕體。"
石玉,5,甜點料好實在，創意十足，口感綿密，扎扎實實的，很不錯的店。
Evie W,3,本來喜歡這間巷子裡佈置溫馨的小店。甜點也好吃有水準。不過有一次聖誕節前想解饞，店長賣了我一個已經不新鮮的藍莓塔，讓我很失望，以為是對「端出去給客人的料理有堅持」的甜點愛好者。
Miss Jelly Pig,4,法式甜點好吃，裝潢很可愛，人不多，能很安靜談事情的咖啡廳
Harry Young,5,好幸福的甜點店！
Amy Wang,4,外帶很划算
Natalie Lin,5,"(由 Google 提供翻譯) 想要一些甜點帶給我的父母。當我在那裡時，我沒有看到完整的蛋糕，我為他們準備了一個藍莓酸奶麵包，結果非常美味！

(原始評論)
Wanted some dessert to bring to my parents. While I didn't see full cakes when I was there, I got a blueberry yogurt loaf for them which turned out to be quite delicious!"
HuaiTi Huang,5,"(由 Google 提供翻譯) 可愛又友好的甜點店。喝彩的蛋糕和麵包。溫暖舒適的氣氛。強烈推薦。

(原始評論)
Lovely and friendly dessert store. Bravo cake and bread. Warm, cozy atmosphere. Highly recommend."
盧碧蓮,5,"(由 Google 提供翻譯) 超好吃巧克力蛋糕

(原始評論)
超好吃巧克力蛋糕"
陳賢文,5,"(由 Google 提供翻譯) 好的

(原始評論)
good"
Baron Cheng,5,"(由 Google 提供翻譯) 非常棒

(原始評論)
非常棒"
Seraph ho,4,
Jill C,2,
41 yasuaki (‪forty‬),5,
黃存錢,4,
Nicolas Boichat,5,
Paul-Mikaël Calixte,5,
