author_name,rating,text
Manto bao,5,"歡迎追蹤🔻🔻🔻
Instagram : mantobao_eating
Fb：饅不住你啦_吃美食GOGO
更多美食文都饅不住你啦🤤🤤
©️版權所有不得任意轉載
——————

-草蝦腰內豬排套餐（350）
👧：阿嗚他們家的豬排我真的很可以啊！！
咬下去的酥聲，麵衣不會過厚，肉質不乾還保持住水分超讚的！豬排的沾醬是用店家提供的芝麻自己動手磨再加豬排醬，一口飯一口豬排，欸！太幸福了吧！
炸草蝦的部分則有些失望，蝦子的口感不如預期中的Q彈.. …"
Yan Zheng (紫月),4,"第一次來此餐廳用餐
服務人員還滿熱心的
服務費付的有理
豬排的麵粉有點太厚以外
其餘都還滿不錯吃的
值得來踩點
這次餐點為
海陸總匯套餐
酥炸鮮蝦排套餐"
chu James,4,一大一小消費$704。整頓感覺相當不錯。表皮酥脆，里肌肉有肥肉部分柔軟Q彈，肉稍嫌乾了點，是路過或想吃飽的理想餐廳。
CChung,4,"MEAL scale：4.0🌟

餐點：蔥燒香煎里肌豬排套餐
價位：350元+一成服務費（低消250元，用餐時間限時90分鐘）

—————評分細節—————
餐點美味（M, meal）🥘
✅餐點口味是否適中？離店前餐點有無食用完畢？
🙅🏻‍♂️食材、份量、烹飪手法是否符合應有之收費價格？
✅店家料理食物之熟度是否恰當？
✅店家料理及運送食物之衛生是否兼顧？
✅餐點內容物是否與菜單相符而無其他異物（如頭髮、昆蟲等）？
✅餐點搭配是否適中且無突兀或衝突之食材？ …"
Wen Xu,1,"單價最高的黑豚厚切 卻半片以上都是油

請服務生來問「卻說是正常」！！？？
如果不要油花要點一般的！？

當人沒吃過黑豚嗎 ，有油花我知道
但這些油真的太多了吧？
我要吃油我可以去市場找黑豬肉攤割出來煸豬油的
（（（（（還更便宜）））））

兩個人進店都點了一樣的餐
兩塊都是一半以上油花 另一塊朋友的更慘
我這塊中間還有一點點點肉 他半塊全油
這不該是機率了吧？

。。炸功不錯，但用油花來湊oz數真的很不欣賞。。

～～～～～既然店家無法處理這部分～～
##想說別浪費，不要不吃。
但吃到1/3的時候快吐！"
王榮寬,5,"內人不慎將湯碗傾倒，導致衣物被湯汁沾溼,求助於女服務員，祇見滿滿的親切服務，不僅專業迅速又貼心！待清理完後;又重新上了湯!超讓人暖心的！總之除了食物好吃外;服務員的態度真是令激賞!"
C,3,小菜不錯吃，湯料很多也好喝，蝦排也還不錯吃，但同行友人覺得黑咖哩不好吃，吃多很膩
Yun-Han Cheng,5,很適合優雅聚餐的好餐廳。炸功跟肉的品質很棒，服務勤快又不會過於熱情，份量很足。若怕吵，可以避開尖峰時段，就能清閒的享用美食
WenJang Liu,4,炸腰內肉軟嫩，推薦博多黑咖哩豬排飯，標示3個辣椒，個人感覺辣度剛剛好，喜歡吃咖哩飯的可以嚐嚐看。
shin cheng,5,一段時間全家必定造訪的餐廳，個人較不喜歡油炸物，所以每次必點紫蘇梅香煎豬排，配著一顆紫蘇梅吃非常開胃！👍
