author_name,rating,text
mi mi,4,"綜合潤餅💰50❤️❤️❤️❤️.5
老闆娘鋪好餅皮後依序灑上花生粉、豆干、小黃瓜絲、菜脯、香菜、蛋絲、醬料、肉片...

餅皮有麥香，叉燒會包入2片，有調味肉質也不柴，但是鮪魚片稍乾，豆干是切片再切丁的大小，如果能再大一點應該更有存在感，最重要的是：菜是熱的👍
而這家不同於其他家潤餅，是有另外加入小黃瓜
各種食材的融合，再加上香菜點綴了潤餅的香氣，還有花生粉的甜，整體表現不錯，份量也不會太小，可惜吃到最後潤餅下面會濕掉，所以會滴汁，吃的時候要小心！希望菜能再瀝乾一點😆 …"
Mari chou,5,"綜合有蛋絲、叉燒、鮪魚、菜圃、小黃瓜、花生粉、高麗菜、豆芽菜、豆乾，料吃起來清爽，叉燒是瘦肉鮪魚也是水煮，餅皮不會乾有點QQ

老闆蠻親切的"
Murphy Chen,4,口味還不錯的潤餅，食量一般的人一個應該就飽了，老闆夫婦的動作算快，10-15分鐘內可以拿到
Kochin Fan,5,"老闆人很好！服務好～
如果不小心放了香菜，直接重做不跟你計較（有時候吃到少拿掉的小小一根心情也會不美麗）
料都很好吃！高麗菜、豆芽、花生粉、叉燒，鮪魚有點乾，可能➕點Mayo比較好但又會變的不「營養」
料可以再多一點點，不然吃起來鬆鬆的

不錯～"
Harry Hwang,3,"2020/10/31 第N次吃

我愛吃潤餅，對於潤餅幾乎沒什麼抗拒力

薄薄的餅皮，包著大量的高麗菜、豆芽菜、一兩片肉，灑上花生粉、香菜。哇啦，完成一個潤餅。

看來簡單，但是高麗菜烹煮得夠不夠軟嫩、菜汁瀝的如何、以及餅皮包得如何，都是學問。

這家潤餅內餡都不錯，算是水準之上，但是餅皮包的有點鬆，不夠緊實，當食客咬下第一口後，整捲潤餅很容易垮了，接著就看到高麗菜、豆芽菜紛紛跳出潤餅捲。

這是我沒給高分的主因。

若老闆能把餅皮包得夠緊實，或許我會給到4顆、甚至5顆喔。 …"
CHEN-YIN WU,2,老闆語氣很不耐煩， 後面很多客人被他催快點點餐， 還聽到嘖聲。
Tody,4,"料不算太多
味道也沒有很出眾
無聊吃吃可以
但不會特別想再買"
賴昱綸,5,好吃，配料實在
徐鈺琇,5,"老闆在製作過程全程戴手套，很衛生推推
點了綜合口味潤餅，份量多，營養又好吃！"
CH K,4,綜合潤餅蠻好吃，份量也夠！
Kehrou Chang,5,"大份量，每個食材處理的都不馬虎。
每了一份鮪魚的，鮪魚超多，非常美味。
小心食用時高麗菜出水滿多的。"
Jummmp,4,還不錯吃～
Emilie Eat,1,"包得不太扎實，所以分量不到很大，不算太平價
吃時會滴湯汁，要小心
-----------------
更新為一星
今天買一捲綜合
料是多次購買以來最少，全部只有一點點鮪魚碎屑，根本沒有吃到的感覺
建議一次包多捲時平均分配一下料......."
Tess Chang,5,"高麗菜湯汁瀝得比較乾，潤餅拿回家沒變糊。
加了小黃瓜，味道比一般潤餅清爽。"
沈彥儒-小個,4,不錯吃，便宜又大
Aya H,5,很好吃，一捲根本可以直接當一餐，料好調味也好，鹹甜適中，餅皮能吃到麥香。
Chi史東,5,"蠻有飽足感
叉燒是指紅燒肉 的樣子"
賴韋良,2,男老闆態度不佳
Jasper,5,好吃 綜合很讚😎
廖元祺,5,阿姨的攤位很乾淨，潤餅的料也很豐富，因為青菜瀝得很乾所以放了一下才吃皮也不會爛爛的，最喜歡的部份是清爽不油膩的鮪魚片🐟
JC C,5,很好吃，難得在北部能吃到正統的潤餅店，其實也是老攤了
洛君瑤,5,從小到大來公館最熟悉不過老味道，綜合潤餅飽嘴美味。
阿志,4,分量足，味道不錯
莊文瑜,5,"(由 Google 提供翻譯) 料很充足，cp值高

(原始評論)
料很充足，cp值高"
Lu Farn,4,
Rou,5,
Cheuk Nam Tsang,1,
林巧均,5,
Chih Yang,5,
呂彥儀,5,
