author_name,rating,text
Lin Carolin,4,"雖然網路上評論店員很兇,但是我個人覺得，只是講話直接了點，並沒有壞意，可以選擇的塔羅牌以及神諭卡種類滿多的，進去店裡看時，需要脫鞋子，走道偏窄，大概可以兩個人擦身而過剛好，現場還有賣很多書籍，也有水晶及塔羅牌相關產品，還有賣桌遊，店面位在公寓大廈的6樓。"
熙（Nina）,5,阿姨人很好，只是說話方式急了一點，而且對阿姨撒嬌阿姨的回覆都很可愛😂如果找不到東西可以麻煩阿姨幫忙找！每次都會看到很神奇的東西❣️
xiang xu,1,"老闆的態度對客人有差別待遇，希望可以更用心用愛經營這間店～生意才會好～
而且有些東西的定價不合理，對自己店內的存貨也不是很熟悉 - -III
不會想再去～"
yu hsuan,1,"老闆娘可以不用當著客人的面跟別的客人說在場客人的壞話欸
有話可以直接講
間接罵人到底什麼莫名行為^_^?

第一次消費經驗算不錯才又再去
結果第二次就見識到評論說的都是真的
氣氣氣氣氣

喔對了
第一次買到的牌是Made in china的"
Cat Huang,5,第一次去的時候，努力的逛完全部層架，也注意到阿嬤要幫現場客人找東西而跑來跑去，而店裡走道本來就只有兩人都要側身才能經過的空間，當時有兩個學生坐在塔羅牌層架那邊，直接擋住走道，而且坐很久，除了讓我少逛到很多樣式的牌，也讓阿嬤在找東西時非常的不便；同時阿嬤還有很多電話訂單，也聽到她自己說她不會用網路，所以是用非常傳統的方式在經營，真的很辛苦；最後等阿嬤終於忙完，請教她動物溝通卡放在哪，阿嬤二話不說立刻進倉庫拿(是倉庫吧因為轉身人就不見了)，那天我也沒買很多啊，一千多塊而已，阿嬤還 …
chiu Chiu,3,東西很多 但很亂 雖然有挖寶的感覺 但仔細看水晶感覺都沒有被照顧好（灰塵多什麼的）感覺磁場很亂 而且水晶價格偏高 但是卡牌真的非常多 老闆娘感覺的確講電話很大聲口氣也不是讓人覺得溫和 但我自己這方面是不會很介意就是了
Tina Hsueh,5,是個可以尋寶的好地方，但前提是自己要清楚要找什麼，大姐很忙～但把要找的東西照片給她，她很快的可以指引你在哪一個架上～
Li ang,5,"老闆人很好，交流互動的感受不錯
雖然東西很多不好找，但是蠻有挖寶探險的樂趣。
我跟朋友在店內逛了很久，並未聽到老闆有催促或不耐煩的反應
反而是有問題都會仔細解答，雖然她真的很忙。
我是覺得 因為空間本來就不大  東西又多
所以來逛的人應該要保持良好的秩序才能讓大家都有舒適的購物環境"
Lui,5,"來這裡買了兩次天使卡牌，阿姨都有算便宜
而且還會給我餅乾(雖然我不吃旺旺但謝謝阿姨）"
Joanne Lee,1,商品種類很多，可以說是應有盡有，但商品擺放雜亂，老闆娘不會主動詢問幫忙，甚至很多時候態度跟說話的口吻很差，對客人挑選這些靈性培養的書籍卡牌的時候說是不知道自己要什麼，事實上沒做過功課的人根本不會想去他這家店好嗎，有夠沒禮貌。
Jim,5,外部是老式公寓，燈光較昏暗。內部雖然凌亂，但至少光線明亮，也有開空調，比較不會悶熱。建議要買什麼先從蝦皮找好再跟阿姨結帳，阿姨很忙沒時間跟你解釋太多。有些人會覺得阿姨很兇，那只是阿姨講話比較快又比較直，沒有惡意，玻璃心請不要來。
曾Q,5,老闆非常有耐心回答，但店內人手有限了，請不要太常煩他。
