author_name,rating,text
Ting,5,"店長鹿鹿超親切！那邊咖啡飲料百元有找，在兼賣咖啡的書店裡，算超便宜的！

因為做大學畢業專題認識鹿途中，鹿鹿接受我們訪問，而且一聊就聊兩三個小時！

這邊的書用租的～旅行時租一本～旅程結束再拿來還～還可以跟老闆分享旅行途中點滴

書店旁邊是通化夜市～看完書吃飯剛好！

昨天去書店取景拍照，順便數了一下店裡有幾隻鹿？我問店長鹿鹿，她算是一隻鹿嗎？她說，那她要不要算兩隻？鹿、鹿。"
Ya Livingston,5,點杯咖啡，悠閒的在店內閱覽旅遊書籍，就算外借價格也很親民，還可以和老闆輕鬆討論旅遊經驗，架上不時舉辦旅相關講座，很值得
AnJan Deng,5,"店面小
旅遊書略少
不過店員親切！"
Nicholas Hsiao,5,喜歡旅遊的可以到這兒買書，找書或是找相關的旅遊資料。老闆人很好，也會幫忙您。
賴美秀,5,這家獨立旅遊書店是一個認識世界的好場所。
朱聖平,5,店內環境舒服，店員人很好很親切，要注意在店內看書有低消
Riva Lin,5,非常溫馨的書店，鹿鹿跟Eva都非常的熱心又專業，所有的旅遊大小事都可以問他們找到解答喔！
Kaishin Chiang,5,"舒適愉快的小空間
可以感受到書店老闆們的用心經營，還有舉辦許多活動。在這個書店不景氣的環境中，難能可貴的旅遊專門書店！"
吳倩倩,2,空間較小，燈光較暗，架上的旅遊書不是很多，但我有找到三本關於北韓的書，很難得
尤珮真,4,很棒的旅遊書店，店長人很好，會給滿多經驗
isoprene-atcg,4,很多旅遊書，第一次去是去上法語採購課，喜歡小空間的學習角落😉
吳承霖,5,以旅遊為主題的選書，空間不大但氛圍溫馨，是旅人及遊子的好去處，每月的定期聚會一定要給自己一次參加的機會。
Ada Chiang,5,很多旅遊資訊的好地方，店長很熱心！推薦給需要旅遊資訊的朋友！
業冠盧,5,很棒的旅遊愛好者小天地，我在這邊可以充電尋找下一個方向，店長也很親切，有家的感覺～
Hsu A-Chao,5,店主人專業熱血又熱心，揪甘心！
陳安安,5,擁有世界各地的旅遊書籍可供購買或租借，環境溫馨，若無購買需求，也可花定價15%的錢租1~10天，或20%的錢租11~20天，適合當出國旅遊工具書使用。
Pedro Hua,5,小而美的旅遊書店，店主也是經驗豐富的旅遊達人，常常會有各式旅遊講座！
Yinhsiao Kuo,5,老闆很好，可以一起討論遊程。
游佩芸,5,老闆很親切、許多旅遊書、還有磁鐵牆～
Edward,5,Awesome!!!服務人員態度蠻好的！會有一些講座可以參加！
Ting Yu Lee,4,很有個性化的一家旅遊書店，不過就算只算旅遊書也不算多
Lub Kc,5,旅遊書很多、店員很專業，基本上無可挑剔
Hsiao-Ting Wang,5,促使人們一圓旅遊夢的地方，非常推薦。
餅,5,老闆人很親切 可以閒聊XD
楊宛玲,5,可以租借旅遊書 很棒
chang katy,5,自助旅行之進階班
純淨廚房Pure Cucina,5,旅者不可錯過。
Chiun Hau You,5,親戚溫暖的小地方
che yu Liu,5,臺北熱情書店
Yilan Wang,4,溫馨
inBlack,4,"(由 Google 提供翻譯) 記得電影「 Notting Hill新娘百分百」中, 男主角休葛蘭經營一家名為「The Travel Book Company」的獨立書店，以旅遊書籍為主題書店。一直很喜歡這種街角書店，在台灣，受手機盛行影響，看書買書的人越來越少，除了誠品外，現在連金石堂都一間間關閉，更何況是獨立書店生存不易啊！ …"
CD,5,"(由 Google 提供翻譯) 我喜歡這家小旅行者的書店。優美的環境和一流的服務。

他們贊助分享有關去過有趣地方的人們的旅行的講座。

我相信他們也有一個小旅館房間供短期住宿。

位於小巷街的光復路與基隆路之間。必須參觀！

(原始評論)
I like this little traveler's book shop.  Nice environment and wonderful service.

They sponsor sharing lectures on …"
Chelle Chin,4,"(由 Google 提供翻譯) 超豐富的旅遊書都可以藉回家慢慢看，費用很便宜！還可以點個飲料，在店內看到爽！老闆也好熱心分享！好棒～

(原始評論)
超豐富的旅遊書都可以借回家慢慢看，費用很便宜！還可以點個飲料，在店內看到爽！老闆也好熱心分享！好棒～"
Viola WEN,5,"(由 Google 提供翻譯) 藏身於基隆路信義路口旁的小巷裡，「鹿途中」的店面並不大，若不稍加註意很容易就會錯過它。雖然名為書店，但店裡也販售咖啡和一些茶類飲料，還擺了幾張舒適的沙發與茶几，窗邊也有一些座位區，呈現出和傳統書店相當不同的舒適氛圍。

(原始評論) …"
매니저구리,5,"(由 Google 提供翻譯) 真溫暖又好。

(原始評論)
너무 따듯하고 좋은 곳이에요."
Joonas Heloterä,5,"(由 Google 提供翻譯) 優越的地理位置，是一家優秀的旅行書店（主要提供中文書籍）。推薦用於沙發衝浪！

(原始評論)
An excellent travel book store (books mostly in Chinese) in a great location. Recommended for couchsurfing!"
Whellow Travel,4,"(由 Google 提供翻譯) 這家商店由兩位女士擁有，小而溫暖。經常打開具有不同主題的活動。

(原始評論)
The shop is owns by two women, small but warm. Quite often to open up events with different topics."
RaphTbm,5,"(由 Google 提供翻譯) 購買旅遊書籍的好地方！關於旅行的定期活動。好員工。

(原始評論)
Nice place to buy travel books! Regular events about travel. Nice staff."
溫風燈,5,"(由 Google 提供翻譯) 老闆娘親切，牆上各國磁鐵琳瑯滿目，很多好看的旅遊文學書，喜歡

(原始評論)
老闆娘親切，牆上各國磁鐵琳琅滿目，很多好看的旅遊文學書，喜歡"
Hank Ho,5,"(由 Google 提供翻譯) 旅人背包客的好朋友

(原始評論)
旅人背包客的好朋友"
Imin Lin,5,"(由 Google 提供翻譯) 值得逛逛

(原始評論)
值得逛逛"
Chris F,5,"(由 Google 提供翻譯) 出國旅行的絕佳選擇。

(原始評論)
Wonderful choice for traveling abroad."
Claire He,5,"(由 Google 提供翻譯) 很棒😁😁😁

(原始評論)
很棒😁😁😁"
#體驗世界旅行社#王度度導遊秘境探險,5,"(由 Google 提供翻譯) 好店

(原始評論)
好店"
Susan Tony,3,"(由 Google 提供翻譯) 好的

(原始評論)
ok"
Suzanne,3,"(由 Google 提供翻譯) 有趣的商店，以獲取旅遊信息

(原始評論)
Interesting shop to catch travel information"
Nicky Lin,5,"(由 Google 提供翻譯) 眾多的旅遊書可藉，不用為了一次的旅遊而購買多本書籍，而且價格合理！

(原始評論)
眾多的旅遊書可借，不用為了一次的旅遊而購買多本書籍，而且價格合理！"
Justin Sung,5,
魷魚絲,4,
allen wang (載湉),2,
Sunny Liu,5,
Mandy Tsai,5,
宋基豪,5,
JMS YANG,5,
Mei,5,
Oppo Cheng,5,
aimee liao,5,
Wen-Che “Eric” Wu,5,
旅遊書店鹿途中,5,
jiun yeh,5,
yu yun Yang,4,
Po-Jen Hsieh,5,
Chailin Li,5,
Bo Ko,5,
邱子菱,4,
anita yang,3,
kuti guy,5,
王怡婷,4,
Jasper Wu,5,
張聰賢,3,
HSU EVA,5,
William Wu,4,
詹凱宇（甚麼時候去日本 いつ日本行くの）,5,
Liam Collins,5,
Meihan Chen,5,
飄流女孩盧阿璞,5,
陳grace,5,
Louis C.,5,
