author_name,rating,text
韓侑純,5,"家人過年要來澳洲玩，除夕前一天才想起來要辦澳簽，整個挫勒等
幸好上網找到通美旅行社，即使是過年期間的急件跟外面的一般件收費一樣
而且效率超好，資料傳過去簽證10分鐘就下來了
真的很感謝通美旅行社讓我們家這趟澳洲行可以圓滿順利

照片附上此行在澳洲拍到的可愛動物們"
林冠水斤,5,超快速 有效率 物美價廉
Lego Land,5,澳洲簽證辦理，帶護照到現場只要五分鐘，速度極快，立刻受到ETA email回傳，費用$300。效率好，服務佳，值得推薦！
Dora,5,"辦澳洲電子簽證 只要300元台幣！
最便宜(⁎⁍̴̛ᴗ⁍̴̛⁎)
而且可以不用到現場
只要電子郵件傳需要的資料給他們就可以辦理了！
我填一填資料傳過去 不到10分鐘
澳洲就寄來核可簽證了 真的效率有夠高！
大推薦這間 他們服務員人也很好 有耐心回答問題
還會提醒要確認資料一定要正確！
我已經去完澳洲回來了 才來做評論的
是很OK的喔！ 推推～
台灣晶片護照去澳洲可以自動通關 速度很快！"
ally wang,5,"大推！不用到現場，mail繳齊資料就可以了！
辦理快速且郭先生親自回電通知結果，驚人地效率！"
YU-TUNG HSU,5,"我就是那個忘記幫爸媽辦簽證
前一天才發現的大笨蛋

萬分感謝通美的幫忙
尤其是在星期六的晚上十點還願意幫忙

簽證十多分鐘就下來了
超級感動、萬分感謝！！！"
Celine Chien,5,辦一家四口的澳洲觀光簽證不到半小時就好了，現場會收到email確認。一個人收費300元，態度親切，值得推薦喔！
薛婷方,5,前幾天去辦澳洲ETA，簽證不到10分鐘就下來了超驚訝😳辦公室的狗好親人讓我摸到捨不得走😂
Dennis Chen,5,親自來體驗澳洲 ETA 辦理，真的很快就好了，店狗是紅貴賓很親人❤️❤️
童御修,5,來辦澳洲簽證，十分鐘就搞定，讚！
yiming wu,5,"辦澳洲簽證快又便宜.
服務親切, 說明也很仔細."
思玄‘s,4,辦簽證很有效率、費用低，但位置不佳，需要稍微找一下
Shelly Wu,5,"收費很合理300，速度又很快，一下子就辦好了

重點是 老闆很親切跟我們聊天 服務態度很好解說的也仔細。

Ps 店狗很可愛🤣"
吳震銘,4,申辦出國電子簽證旅遊，速效服務佳！
Cindy Chu,5,大哥動作超快，而且講解清楚明確，停車還在緩衝時間內就辦好，連停車費都省了！超推~~
angela Huo,5,"來這邊辦澳洲簽證
辦的速度很快
半小時內一定好價錢也很便宜"
Rita,5,現場辦澳洲ETA電子簽證很快速，帶護照正本去，填寫完資料最後等收email就可以了，費用300元比其他旅行社便宜
YI-CHU LIN,5,辦澳洲簽證高效率！服務態度好！值得推薦
Johnny Chen,5,辦澳洲電子簽證快速又親切，收費也較其他旅行社便宜，推！
ross chen,5,速度真的超級快 線上辦10分鐘以內就好了 超誇張 又很便宜 推*100
Wan chun Pan,5,辦澳洲簽證非常快。對面有停車場，一小時40，很方便。辦公室狗狗超可愛的
xin-yu Wu,5,"這個簽證速度給1000分
只要10分鐘立即生效！
價錢又很合理
辦簽證的首選！！！"
Sylvia Wang,5,澳洲簽證效率高 15 分鐘就辦好 收費合理 大推
Liu Ven,5,服務親切、效率高，大約半小時就好了，而且講解的很詳細，並附上中文簽證須知。之前爬文的留言比較久以前，今天20181121去辦，澳簽一樣收費三百，來留言幫推～離開時一隻貴賓狗？！衝出來送客有夠勾錐的ＸＤ
Summer H,5,現場辦澳洲觀光簽，只需帶護照和規費300元，大概等15分鐘就拿到了，態度和善且作業迅速，非常推薦！
Ching-Wen Lai,5,辦理速度非常快!  澳洲電子通關非常方便!
黃品瓅,5,澳洲觀光簽臨櫃辦理速度超快不到10分鐘就好了還只用300塊 超棒👍🏻👍🏻👍🏻
林任家,5,真心推薦，辦理澳洲ＥＴＡ方便又迅速。即使不在台北，email資料也在一小時內辦好！
Vicky Huang,5,辦理澳洲簽證，便宜有效率。值得推薦！
ChunJu LEE,5,辦理澳洲觀光簽 填寫完基本問題到辦理人員確認資料傳送出 不到10分鐘完成 隨後email也馬上收到ETA confirm
sayu wu,5,澳洲簽證在這裡辦又快又便宜！員工大姐人好狗狗又可愛❤️
松本秀,5,臨櫃辦理澳洲觀光簽證，十分鐘內馬上拿到，費用只要$300元，大推哦！便宜又快速～
Brian Hong,5,緊急申請澳洲ETA，超快！！幾分鐘就拿到簽證，效率佳收費便宜。
Danny So,5,辦理澳洲簽證非常便宜又迅速！每次都會來這裡申辦
劉千綺,5,通美旅行社的服務真的非常好，辦理澳洲簽證不到5分鐘就完成，而且員工們都很親切，除了清楚解釋澳洲簽證內容細節之外還熱心分享到澳洲旅行需注意的事項。
yuchiao wang,5,辦澳洲簽證只收300台幣，比別間便宜，動作又很快（約10分鐘結束）服務人員很耐心講解，推推推！
Min Min Hsu,5,週六上午仍有營業，辦理簽證速度快且解說詳細，價格最便宜僅NT300
LJ Chen,5,"超讚,看包客推通美,想說試試看,但因為人在中部,早上11點打電話過去,一位郭先生很熱心的寄email告知須備資料,立馬轉帳300元過去,下午2點26分來信說觀光簽下來了,而且郭先生另外親自來電通知辦成功了,效率高又負責的旅行社,大推👍👍👍"
Yain Main,5,即使是外縣市，協助辦理澳洲簽證迅速（不到十分鐘）有效率而且清楚說明！超推薦！讚👍
Chang Casper,5,申請澳洲簽證服務相當親切，速度很快約10分鐘申請完成
Ni Ko,5,方便快速！效率高服務好！
Betty Chang,5,早上到通美辦理一家3口赴澳的電子旅遊簽證，不到20分鐘就通通搞定了，非常地快速且有效率，現場會影印一份副本讓你帶走留存，服務人員的態度也很良好，會一一跟你說話應該要注意的事項，收費也比一般旅行社便宜，真的是非常推薦！！
Molly Liu,5,快速辦理澳洲簽證，服務佳
Karen Chen (Leti),5,辦澳洲簽證速度很快，100分推薦
李淑芬,5,來此辦澳洲旅行ETA快速有效率，收費也合理
Jensty Wang,5,申辦eta超快速，講解清楚價格便宜，澳簽申辦首選，讚！
椎名薰,5,效率高到嚇我一跳………用mail方式申請不到15分…簽證就下來了😎太厲害
劉紅玉,5,服務親切，找通美旅行社就對了！
Lauren Chen,5,下午一點多寄email，兩點半簽證就通過了！非常迅速有效率！費用還只要300比一般的旅行社都便宜！大力推薦！
yating chang,5,今天上午到通美辦一家三口到澳洲的電子簽證，不到20分鐘就通通搞定了，服務態度很好，還會詳細跟你說明細節跟注意事項，非常推薦！
wei,5,辦澳簽快速、態度好、價格便宜
LU LU,5,20分鐘辦好簽證，辦事人員還提醒了轉機注意事項，覺得非常溫馨。
joy ilo Tai,5,實在是太厲害了這家。早上四點半打過去請求辦簽證，服務貼心周到， 立馬簽證辦下來。 大推真的
Jason Wong,5,2/18要飛澳洲，2/16問女友應該有辦簽證吧？竟然沒辦！？網路上救急找到了通美，在極短的時間內解決了沒簽證這件事，否則十天的澳洲行就要泡湯。
張文鴻,4,服務好，辦事效率快
Nanny Haung,5,來這裡辦澳洲電子簽證，速度快又便宜。
黃蜥蜴,4,"辦理澳洲觀光簽證ETA時間快速
本人&攜帶護照正本即可
約莫10分鐘左右完成
幫忙辦理的人員會仔細跟你解釋需要注意什麼
(電話服務態度會有點惱火XD建議直接去現場)"
Nina Li,5,即使是在外縣市，速度也是超級快。E-mail後不到2個小時，就辦好了。
Mr0130,1,我不是第一個這樣說的，電話那個女的態度真的有夠差，更年期嗎？我絕對沒有亂說，自己打過去體驗就這知道了，大聲三小？就不要哪天遇到壞人，媽的
Miffy K.,2,這幾天打電話過去，說要親辦，不能傳資料就好👎就跟小姐說不在台北市還是一直鬼打牆。也許親辦真的速度很快，但講電話的時候就被惹毛不想再去現場了(無限白眼)
吳晨維,5,在這裡是辦理澳洲簽證最好的旅行社。
Kwei-Farn Liu,5,辦澳洲簽證很快，現場等不到十分鐘就可以拿了，進旅行社有可愛親人的社犬丁丁迎接。
Vicky Lin,5,快速又便宜，人一定要在台灣才可申請澳洲光觀電子簽，大台北一定要見正本護照申請，外縣市可mail資料匯款申請
曉燕,5,第一次到通美辦澳簽，10分鐘就好了，價錢又便宜。工作人員態度親切，值得大推。
Arthur Wu,5,"辦澳洲簽證真的超快速的!!!
我去其他旅行社都要要等好幾天，最短也要我等了一個下午，
這家沒有半小時就幫我弄好了!!!
而且服務態度好，狗狗也超可愛很親近人~~~
大推大推"
CHENG CS,5,辦理澳洲簽證又快又親切 10分鐘內就辦好了
黃亦綸,5,雖然樓下在施工，但5樓一樣營業。澳簽速度很快。
Hsun Jao,5,"一進門就有可愛的小狗們迎接你！
護照給她後不到10分鐘就幫你辦好了
友善且有效率！
是個辦澳洲ETA的好地方！"
fizzy skylock,1,名不副實，打電話過去冷淡說一定要臨櫃拿護照去辦理，只說在台北很近，並不是在台北都很近好嗎
Chang Niwawa,5,"辦澳洲簽證速度很快
還有店狗很可愛"
Wei-Yin Chan,5,辦簽證超級快速價格又親民！
Abbey Yen,5,服務專業又快速!!! :-) 辦理澳洲電子簽證半天取得且直接e-mail寄送資料即可，無需親跑。
林絃玉,5,"服務態度好　速度又快
可以用 E-mail 辦好澳洲簽證
就算不是台北人也可以輕鬆辦理 !"
T,5,快速辦澳洲簽證！很推
羅美蓉,5,辦澳洲簽證超快又便宜（300元）非常滿意。
YC Lee,5,臨櫃辦理澳洲觀光簽真的等一下就好了，服務人員也會很細心提醒注意事項，值得推薦！
Ting Lin,5,"若要辦理澳洲簽證，非常推薦的地方，
快速馬上就可以完成。"
Jimmy Yo,5,順利辦好澳簽，大哥服務滿分！
周育玟,5,辦理簽證專業又快，超級推薦!!
北體龍獅,5,申請澳洲簽證超快，又親切，大推！
Brandon Wang,4,服務態度優良，不過附近停車位不足，相當難找。
蔡曉涵,5,辦理澳洲簽證相當迅速，推薦推薦
Lulu Chen,5,簡單迅速確實，親辦安心又快速
