author_name,rating,text
王開,1,"貴公司門市小姐有夠大牌 生平第一次遇到 如果簡單的客製化蛋糕都不行 那貴公司可能無法跟上現今麵包店的腳步
圖片是請求小姐轉達給師父要畫的客製化蛋糕
小姐居然嗆我 不是我的要求師父就一定要畫
試問我圖片的蛋糕是很困難？
還是我的要求比4寸畫一隻龍還要困難？
我小林麵館員工 歡迎對峙"
C Mickey.,4,"從小買到大的麵包店
平價種類眾多👍
偶爾會開發新口味
會提供試吃
值得回購
但老闆娘不喜歡客戶要求切
#已經包裝好#的蛋糕🤷‍♂️🤷‍♀️"
Leaf Cat Family,5,"我是很挑嘴的人，這家的咖哩魯肉餅是我心目中最好吃的月餅，新鮮料多手藝超好，每年必吃

我阿嬤最愛吃綠豆椪魯肉餅，
看到阿嬤的開心滿足，
要和店家說聲謝謝你們"
陳建萍,1,"一家傳統麵包店！鄰近王貫英圖書館！
昨買乳酪條，居然內餡夾麻糬，非常怪！！！！！！！！！"
珊瑚,4,"好吃的麵包
但價錢稍貴"
Carrr ma,5,回頭客
Bellinda Erawaty Sugijoto,5,"(由 Google 提供翻譯) 這家麵包店離我的心很近，因為它離我在台北的住處非常近，而且非常好。
整整2年，我總是走進商店買麵包和蛋糕。我愛他們賣的一切！芋頭麵包，杏仁麵包，花生，巧克力，紅豆，應有盡有。
他們也有可愛的生日蛋糕。
我最喜歡的當地麵包店。

(原始評論)
This bakery is very close to my heart, because it’s so close to where I live in Taipei and it’s so …"
Fabian V,5,"(由 Google 提供翻譯) 麵包與通常的麵包不同，融合了歐洲和亞洲風味。我特別喜歡精緻的“黑芝麻麻chi包”，我最喜歡的地方。該商店還提供許多不同的托盤，可以品嚐麵包。

(原始評論)
Breads are different from the usual ones with an exciting fusion of European and Asian flavors. I'm especially a fan of the sophisticated ""black …"
藍加（黑貓）,5,
Zhen Chen,5,
張淑媛,5,
陳朝進,3,
吳佳玲,5,
黃仁惠,4,
