author_name,rating,text
劉庭竹,5,店內是真正的「積書盈房」，但是意外的非常乾淨，灰塵不多，價格平實，老闆的生活讓人羨慕不已。
李欣樺,5,"這間書店要心理準備一下：50%的走道，是窄小到連蹲下都有困難(本人身材有比較大一些)，幾乎沒有地方可以坐，然後書都疊的很高很擠，真的怕一個不小心被淹沒在倒塌的書堆🤣🤣🤣。然後空氣較不流通的悶熱空間，卻會有超強電風扇直吹著你，可能要閃一下沒有電風扇吹到的空間，才不會有感冒的風險。地下室因為有風扇不至很熱，主要是真的很悶，戴口罩都快呼吸不過來。

如果上面這些都差可應付，那超乎想像的平實價格等著你🤣。書況比我想像中還要豐富，我原本以為只有善本古籍說。

目前「大部分書籍」有背後貼價再5折的活動，說實在附近應該不會有比這更划算的價格。

找到了一些珍貴的舊書，很開心😍😍😍"
宋立仁,5,永遠都會有挖到寶的感覺！
shin ken,3,讀書會概念不錯
Meng Huang,5,"價格約低於三折，不太確定金額是怎麼算的，標價跟實際金額對不起來。舊書比較多，不過還是可以挖寶。（特別我買的是比較沒有時效性的書，不容易買到對折以下，就很適合來挖寶）

堆滿了書太胖會進不去(是真的...)也要小心撞倒書了"
V kilakila,5,秘密基地，非常愛到這裡挖寶。
neil Chang (MapOtk),2,真的很窄 大部分書都壓著
游志成,5,好豐富的書藏空間
顏才琦,1,完全沒整理，逛都不想逛
王品,2,沒有特別印象
方小呆,5,"(由 Google 提供翻譯) 書很豐富。在促銷，五折買了很多好書

(原始評論)
书很丰富。在促销，五折买了很多好书"
Gloria Borger,5,"(由 Google 提供翻譯) 價格非常便宜這本書的價格在這裡很便宜，強烈推薦

(原始評論)
價格非常便宜 The price for the book is very cheap here, highly recommended"
WeiHung Lee,5,"(由 Google 提供翻譯) 如果我沒記錯的話，這個地方還出售經典的遊戲玩家和早期的NDS和軟骨遊戲。啊，好時光

(原始評論)
If I remember correctly this place also sells classic gameboys and early NDS and cartilage games. Ahh good ol times"
es41926,5,"(由 Google 提供翻譯) 酷

(原始評論)
酷"
月稀,4,
nai yuan hsu,5,
hao yu Chang,5,
huang mini,1,
jhlin1007,5,
ZITING TONG,5,
陳道平,3,
語荷,5,
이승,5,
林銘源,5,
Georges Serveert,5,
Wander Franco,5,
TG,5,
