author_name,rating,text
李育,5,麵包選用原料都很好，真材實料，一點也不馬虎！！好吃~~
Sylvia Chen,5,個人私心覺得比超商和很多麵包店都來得好吃喔 ！真材實料值得給五顆星～還有可愛的臘腸店長
蓁宸,4,"晚上6點多去，架上麵包剩很少...
但白土司很好吃，非常軟！會再回購.."
周傑特,4,中午12點到下午三點東西最齊全
潘彥華,4,"推薦巨蛋（奶酥）菠蘿麵包
現在台北已經很少店在做巨蛋菠蘿，遠比大賣場的好吃唷！！"
楊浩凱,5,全麥吐司既鬆軟又帶有點嚼勁，味道、口感超好吃，比傳統麵包店的、超商的、超市的、甚至是一些連鎖麵包店的，來的好吃太多。
Kal Guo,5,"2018/07更新:
店老闆7月開始暫時轉型，門市將先休息，改為專注供應麵包給外部客戶，如果需要麵包，可以先去跟老闆說。

=====

老闆很用心的麵包店... 難得台北買得到超級好吃的法棍, 吐司口感也紮實卻又不會乾硬, 也不會像一般的過於軟鬆."
Yungwen Lu,5,好吃，推薦
李宜宣,5,麵包好吃，等級不輸吳寶春，價格較親民。
Pablo Sun,4,品項不多，可是麵包好吃！
汪芬,5,讚!好吃!
Kan Li,5,真材實料，很用心的店家
Yc Fann,4,好吃 專業
Lena Ting,4,全麥麵包實在
Jacob Guo,4,法式長棍很棒棒
劉尋雙,4,
Sandra Peng,4,
Yu-Heng Tai (lovesea),4,
劉東耀,3,
陳柏瑋,4,
李亦斌,5,
高偉倫,3,
陳湘苓Yvonne,5,
林智富,3,
