author_name,rating,text
Mimi Mo,5,這家大愛藥局我已經光顧了十多年了！邱藥師非常專業，藥局內也經常引進很多神奇的保健食品！如果你只是要買一些普通日常小藥品，那裡的選擇不是太多哦，但如果你要尋寶（維持美麗與健康）大愛藥局會讓你跟我一樣 ：一試成主顧！^_^
陳真,5,"藥師們都既專業又親切，老闆更是熱心的帥哥藥師，店面窗明几淨，價格實在，童叟無欺，哈哈....我好像在賣膏藥喔~~
不過，這裡真的很不錯，是值得信賴的藥局喔~~!!"
陳30,5,很專業。問個運動痠痛還附帶上了堂營養學...雖然太專業也沒聽懂😂
peiwen su,4,"十多年的健康諮詢良師。
保健方更是隨時代精進，
是位難得的藥師，誠心推薦。"
Derm Chiu,5,藥師很熱心也很專業，有用藥的問題都能詳細的回答。是我們社區的好藥局。
LIN LULU,5,藥局空間舒服又明亮，邱藥師專業又有耐心，不亂推銷，是值得信賴的家庭藥師～
Chen Eric,5,店家態度相當親切，很有耐心聽完客戶的需求再詳細介紹適合的商品！
Shan Kuo,5,藥師親切而且非常專業 ，調理的狀態都非常好 👍 很值得信賴又乾淨 推推
Bill Chen,5,專業不在話下，環境明亮乾淨，理膚折扣多，加會員輕鬆享折扣！
ALLEN WU,5,藥師很熱心，耐心的回答問題，服務親切，店裏產品種類多，可以找到合適的產品
pei chih Yu,5,老闆的專業知識非常好，謝謝他很棒專業建議及完美服務。
Vian Lin,5,藥師很熱心， 詢問問題都會回覆， 推薦的保健食品也很有效，不會亂推薦
楊宗勳,5,"藥師，專業、親切。
是位令人印象深刻的好藥師！"
陳敦傑,5,"邱藥師非常專業, 並且對人非常親切, 講解說明也非常清楚。"
chia-lin H,5,藥師很專業，對複雜困難的情形都有詳細的解說。
李宗安,5,藥師非常專業，針對客人的問題都能一一說明及解決
朱文貞,5,"藥師很親切，也很細心，很有耐心唷！
值得推薦~"
Kelly Lee,1,店員態度很差我看得懂中文只是路過確定口罩時間一下誰會想去買其他藥品15元一個我也不需要
Taylor Lai,5,藥師很專業，知識很豐富，樂意提供藥物諮詢說明。
barbie lee,5,"非常專業的藥師,詢問問題時解釋得很清楚!"
max nature,5,"藥師好專業,我媽常常到大愛諮詢，受益良多"
周宜華,5,老闆很專業，熱誠又有耐性，價錢公道。
張朵朵,5,店員很親切，藥劑師很帥又專業，店內明亮整潔
Lisa Hsu,4,藥師專業服務好，幾乎成家庭醫師很棒
Fay Chen,5,藥師專業服務很親切..很棒的一間藥局
林富智,5,"對症下藥 不錯 不錯
稍微說一下就知道我的症狀！推推推~"
chloe lee,5,藥師親切又專業，藥局環境乾淨舒服！
shun chang,5,藥師很專業，店內整齊乾淨，保健食品又多元
黃小婷,5,"藥師人超級親切
詢問問題也很耐心的回答👍👍👍"
Josephine Chen,5,藥師專業，健康食品種類繁多，一定可以找到您需要的
王凱西,5,老闆專業又負責！值得信賴的好藥師喔！
Swallow,1,態度差到爆！爛店
林可欣,5,藥師介紹的健康食品和藥品很棒！吃了身體都恢復的很健康且調理的很好👍面且藥師很有愛心
Mickey Chang,5,藥師專業，人好相處。
Pipa陳哲彥,5,"用心經營, 藥師專業!"
shujing yang,5,東西放的很整齊，店家也很乾淨！
Beck JSenSt,5,服務態度超讚  好熱心 藥師好專業！！！
黃小皮,5,藥師超級專業👍🏻
Cheng Lin Yu,2,"商品都不標價 問題回覆也不太理
可能沒有很想賣吧"
珍花花,5,服務好又專業👏
小小,5,專業。親切。服務好
陳怡蒨,5,藥師很專業，人也很好
邱惠麗,5,藥劑師親切又專業
Yen Chieh,1,給了我一個不能用的藥膏...無言..看不懂就不要賣給我。
許見行,5,不亂拼價，以藥師專業服務取勝！
Jackie Chiu,5,藥師人很不錯
邱原乘Chris chou,5,讚
Canˇdyˋ Lee,5,藥師很棒!專業!!
Chris Lawrence,5,哈 老闆人相當親切
陳敬麒,4,
CHUN,5,
宋俊賢,5,
Y Chu,5,
robbin shih,5,
Clarence Chou,5,
張騏翔,5,
