author_name,rating,text
李德蓉,5,"CP值高 好吃又便宜的好店！
千層麵套餐$150（千層麵、濃湯、烤布蕾）
濃湯是南瓜濃湯 表現普普
雞肉千層裡面雞肉蠻少的，還加了三色豆，其餘都是白醬跟起司味，也是表現普普
最令人驚艷的就是焦糖烤布蕾！焦糖非常甜，下面的烤布蕾真的是一絕啊啊啊
滑順不膩口，濃郁的味道會蔓延在口中
而且外帶只要$50歐
超推！
老闆也蠻親切的~只是一進去店裡會聞到一股沒打掃乾淨的味道（？"
許嘎菀,4,"（我吃重口味，甜食上算是隻螞蟻，甚至是朋友群之中的超級螞蟻）

牛肉千層麵套餐：
好吃！但吃到後面會有點膩唷～建議熱熱吃👍

【牛肉千層麵】
是好吃的！但因為不常吃西式鹹食，故不多說～

【熔岩巧克力】（原套餐為烤布蕾，可加價換成其他甜品）
會鋪上一大匙的太妃糖醬～合在一起吃有點偏甜，建議請老闆少給一些，或是不加醬也會很好吃唷！

套餐附的濃湯超級好喝！"
Kiwy Ww,4,"套餐很划算，CP值夠。
但店內環境比較普通，廚房是開放式的，在烤千層麵的時候烤箱的味道很重。然後座位區比較小，桌子也是小小的。整體環境不能說是乾淨明亮，我個人是吃完飯就走了，不會想在那邊繼續聊天之類的。

千層麵的話我覺得番茄味很重，是偏酸的番茄味，肉味比較少，不愛濃厚番茄味的人可能不適合這道菜。然後麵體比較厚，會吃到有點重的麵粉味。再來是他的分量，加套餐的話食量小的人會吃飽，但我自己是吃完還覺得有點餓。
套餐的湯比較普通，烤布蕾是好吃的。"
Ren,3,"焦糖布丁NTD50

口感完全是在吃Creme，個人比較喜歡不要整個都是液態的口感，感覺不是在吃布丁比較像是慕斯，如果可以稍微硬一點會更好，但口味是我喜歡的，香草味很香甜度也剛好。焦糖是現點老闆當場拿噴槍噴的。"
Jou,1,"約莫在2013年發現這間特色小店，
那時候店址在永康街的小巷子，
千層麵與甜點都非常美味。

今天走進店裡，
撲鼻而來的是一種不太好聞、衛生堪憂的味道，
和從前明亮乾淨的印象非常不一樣。
外帶了一塊布朗尼回家，
拿起來沒有想像中的紮實沉甸，
聞起來也沒有巧克力的香味，
只聞到糖粉以及店內不太好聞的氣味，
摸看看質地，
也沒有布朗尼的濕潤感，
觀察切面也非常的乾燥，
可以推想出爐已經一段時日了，
應該是以天計算了。

不過我還是切了一小角試試味道，
真的沒有巧克力的香味， …"
Marcus Yang,4,"網路上發現這家店覺得很眼熟，才知道是從永康街搬過來的，消失這麼久一度以為已經收起來了，原來改開在這隱蔽的地方還改名了。
這麼多年了價格幾乎沒變，似乎是因為主要客源是學生，老闆體諒學生才凍漲。
東西一樣好吃，烤布蕾是這家店的招牌。
只是我認為桌上的水瓶可以加個蓋子感覺比較衛生，湯的味道很稀又酸，難喝到真的喝不下去…
建議可以稍微調漲一點維持餐點水平，或是套餐乾脆不要湯了吧。
這份鮭魚菠菜鹹派才100元配料還這麼豐富，就算不餓經過也一定要來一份烤布蕾啦。不過這邊因為沒招牌真的很難找，在外面來回找了幾次才看到，離開時特地在外面拍了一張店門照讓想去的人可以更容易找到。"
林艾霖,2,"2019/5/25到店用餐，食物是好吃的，但是衛生真的很糟，沙拉餐盤邊緣都是油漬，我知道老闆只有一個人無法面面俱到，可是這樣的環境讓我無法再去消費。

衛生是最基本的條件，我看老闆很多東西都是用手直接抓取，上洗手間時看到食物未密封直接擺放在後場桌上，相信我若你真的看到，絕對會懷疑你到底吃進什麼。"
YT Lin,3,"店很不起眼
內部有點髒亂
一進門有點味道
桌上給客人喝的水似乎有點自來水的味道

不過老闆很客氣
食物還算好吃
尤其150可以吃到南瓜濃湯+千層麵+烤布蕾的套餐
已經不錯了"
余柏序,3,"草莓卡士達塔$80：用料實在，但塔皮是軟的，好失望，對我來說甜點塔一定要有脆脆的塔皮才好吃，在意塔皮的不要考慮，會踩大雷🥺
大家狂推的烤布蕾上次有吃過，但自己覺得好像也還好，至少不會比響食天堂的烤布蕾好吃，可能我沒那個品味吧
目前傾向不會再訪，抱歉啦，被朋友揪的話會再給一次機會"
Louise Lin,4,"店面很低調要仔細找，裡面的擺設也看得出老闆的個性（那個燈上面有掛御守很酷XD）。座位不多，環境算是溫馨可愛，有的座位間有隔板可以放心暢談～
烤布蕾大推！！是現烤的！焦糖部分脆！布丁部分是綿綿密密！
燻鮭魚鹹味煎餅肉的部分還好，吃起來頗微妙，不過香菇好像是有烤過，超香一級棒！上面放一堆菜也很讚，健康！一個人吃會很飽！
巧克力熔岩蛋糕，友人吃的，蠻不一樣的是裡面不只巧克力醬還有莓果醬，用酸甜味緩和濃郁的巧味，但巧味真的太濃吃到後來會有點膩，不過整體好吃！
小缺點是衛生需要再加強⋯"
