author_name,rating,text
Mirai Huang,4,超級＄＄＄＄＄，但，很好吃，每一口都要細細品味，好吃呀*\(^o^)/*
Shockyou Cheng,5,"還記得當初在台北喜餅聯展時
小罐子法式手工喜餅 的焦糖核桃那堤 就這樣從多家餅店中掠取了我的心
紅色配上燙金的邊框禮盒 銅金色的提袋
法式復古 內斂而不浮誇
還能免費贈送新人照片卡 於喜餅盒內部   超美的!!!

遇到暖男店長李政達 更是我最幸運的事
展覽人群眾多 大方地給我們試吃好多口味
價格合理 中盒14-16顆 不到700元
又有展覽限定優惠專案可以贈送馬卡龍塔作為婚禮小物
因此就立馬下定

約了時間特別去大安店裡試吃選擇口味
配上熱茶 宛若是下午茶的約會 …"
chien yi FANG,3,第一次購買網友大推哈密瓜蛋糕，坊間確實比較難買到哈密瓜口味蛋糕。但此次購買心得倒是沒有讓我太多的驚豔...，以為哈密瓜會很甜（實際上是淡淡的哈密瓜味），還好奶油本身屬較不甜膩，搭配哈密瓜時不會太搶味道；但蛋糕體本身屬較粗厚的口感。認真覺得如果蛋糕體本身可以再綿密一些會更好。
Jean Lin,5,"初次吃到小罐子是在競爭激烈的喜餅展，一試吃就了解把同業遠遠甩在後方的厲害差異。
小西點或蛋糕都是一流水準，無可挑剔
喜餅訂小罐子，年節蛋糕訂小罐子，再來滿月也訂小罐子吧！
客服親切，唯一許願能有蛋糕宅配服務"
Grace Gau,5,"《彌月試吃體驗》
網路上看到孕媽咪們推薦，資格符合就預約來試吃了！服務人員很親切，並準備了不含咖啡因的玫瑰花茶，也詳細地介紹了產品與包裝，還有可愛的寶寶卡，會搭配盒子做設計。磅蛋糕的質感很好，沒有太大條，是走精緻路線，彌月禮盒組合也可以很多種，蛋糕加上燒菓子，分開的小包裝，保存發送都很容易。

彌月試吃的內容：焦糖核桃塔、焦糖海鹽餅、磅蛋糕、達克瓦茲。"
楊玉玫,1,"今天去拿女兒1歲的生日蛋糕。
有電話再三確認是要哈密瓜口味7”，
今天去拿時想說趁著店員在包裝時順便挑其他小點心所以就沒去注意，
生日pa打開時看到是拿到草苺口味的，覺得心情很差。"
PO PO,5,蛋糕小點類不錯吃，蘭姆葡萄餅乾冷凍後吃很好吃。
周哲緯,5,"餅乾跟塔類不會太甜
好吃"
Echo L,3,"以前經過永康街一定會去買蘭姆葡萄餅乾, 永康街的店員也都很親切,不論當天的穿著打扮或到店裡的時間 與店內的顧客數量, 都不影響親切度與服務品質,
但自從永康街的店面沒有營業後, 到敦化這邊的店面購買過幾次, 店員的態度令人覺得不如永康店,有次還遇到店裡只有我一人, 進去時店員正好在接電話, 我並沒有打斷他, 只是因為很確定要購買的品項,所以靜靜的站在櫃台前等待了一段時間,但店員斜著眼看了我一眼後一句招呼或稍等都沒有, 繼續講電話講了好幾分鐘...聽起來是喜餅相關的業務, 也許喜餅的訂單較大較重要吧
餅乾還是好吃很令人喜愛, 但店員的態度也的確會影響再次消費的意願."
Han Ni,1,"進店問喜餅價格，服務小姐張口就喊大姐🙄️
連預約試吃都不想預約了"
Grace Wei,1,大約2個月前去逛過門市詢問宅配禮盒的預訂時間，男店員說可5天前預訂。因好朋友12/12生日，我12/7去門市要訂購禮盒，當天是女店員顧店，跟我說太早了沒辦法幫我留，還說最近喜餅訂單很多，叫我12/11下午兩點再來選，選完直接幫我寄出。我說因為上班午休時間不長，只能中午可以嗎？他說如果當天沒有餅乾可選，蘭姆葡萄餅禮盒一定會有的，我想說好吧我認了，反正還有機會，而且蘭姆葡萄餅禮盒也很好吃，說好12/11中午我再過來喔，當天還買了幾個餅乾後才離開。 …
Rachel Shen,5,買過切片蛋糕、喜餅和大蛋糕，都很好吃，很特別，可能買到習慣了也沒有特別一個一個拍照，但每次都會得到很好的評價。店長阿達和其他員工都很親切熱心，每次買完（和吃完）都心情很好，強烈推薦👍
