author_name,rating,text
Haung Jimmy,1,"大薯這份量你說吃了不會氣？
能裝修店面不如花錢訓練裝薯條的人怎麼裝大薯"
Evol Pan,3,"疫情這麼嚴峻
店員防疫意識應該再加強
做好的蛋捲冰淇淋放在空氣中這麼久還要給客人
😡
點餐機給錯單子還怪客人拿錯
明明我是刷了電子票卷之後才吐出號碼牌的啊
明明是誠實的客人沒有取非自己的餐
店員第一時間的回應讓人覺得有點不舒服"
Yuchi,5,因應疫情重新裝潢增加了好幾台自助點餐機器，付款方式多元，等候取餐速度也變快
Jordan Wang,1,重新裝潢後人員素質感覺比之前差了呢；另外由於現在只有外帶，來這邊消費的要注意下；這家不知道為什麼很常會漏給餐點☹️☹️
朱江,1,好粗心，時常漏給餐點，錢收了餐點卻拿不齊，真是難以形容
Johnny Liu,4,"裝潢後重新開幕
純粹外帶無內用"
Jo Chang,5,\(-ㅂ-)/ ♥ ♥ ♥ 只有一層，很可愛的店。黑漢堡很好吃
鍾宇明,4,"營業時間：24小時
由於鄰近科技大樓捷運站，
所以生意非常好，
時常擠滿了人。
早上六點算是人最少的時候，
可以輕鬆地用早餐，
香鷄蛋堡份量足，
薯餅金黃色又脆，
玉米濃湯有許多玉米粒。
都很好吃！"
陳碾曆,1,買回來後，大薯條變成中薯條，員工態度很差，好像不想工作，已經換了一次，很兇的問我行不行，我被他片了回來後變中薯條，他好像是經理的樣子，希望大家三思再去。
P W,5,"科技大樓重新裝潢後的店長超棒的, 人很親切, 店員餐點送錯後的危機處理也超好的。儘管店裡第一天超忙, 待人還是很誠懇!!
大推 陳店長!"
An-Sheng Huang,4,科技大樓站附近的麥當勞，吃飯時間會有許多附近的上班族跟大學生到此點餐，用餐的空間不大且座位真的不多，比較適合外帶。
J Lin,3,只有一層樓大約20個座位，男店員很親切有活力精神十足。可惜內用衛生欠佳，蚊子頗多且一直有股味道，建議改善廚餘食餘的清潔問題，以免遭投訴。
mickey M,3,蚊子很多，服務態度也有待加強，常常給錯餐
Ralph Han小韓不吃菜,1,外帶大薯長這樣，已經不是第一次了⋯⋯
Rong-chi Chen,1,"麥脆雞不新鮮又不熟，寫了客服留言，客服回電時質疑⋯⋯為什麼別人沒說？
我也是買了好幾次不新鮮，才忍不住來說的！
堂堂上市公司，竟然是這種反應？"
那個誰,2,"座位太少了，這邊是熱區
平常來用餐的人非常多
櫃檯只有少少的幾個人在服務
根本來不及供應點餐的客人
導致經常大排長龍"
黃國超,2,單點一個漢堡，等了快10分鐘。都懷疑是否叫速食了。
AnJ安,2,最近店內有著濃密的臭味，在店外都能聞到，進去不到1秒就想吐，需要強力改善！
Ivy li,1,整間店充滿惡臭味，蚊子滿天飛，一秒都不想待
Zoey,3,雖然空間不大，但更大的問題是動線，排隊動線離門口太近容易塞住，加上地點人潮多生意好，很容易塞在門口。
陳皓君,1,店員態度差就算了，要什麼沒什麼，那休息就好幹嘛24h，只有兩個客人還要號碼單，找了3.5分鐘才找到，第一次麥當勞有差勁的體驗
陳偉航,5,店員會主動幫你計算怎麼點餐比較划算，讚
Jack Lin,1,門口違停超多，一堆來取餐的外送員都直接騎人行道，錢你們賺，行人安全好像就不關你們的事了一樣，成本外部化高手中的高手
劉至謙,4,目前正在重新裝潢施工喲！不要撲空了
๏_๏ P,4,這間很推薦，因為店裡面有濃厚的阿嬤味
藍藍,4,"少掉的一顆星獻給蘋果派
這家沒有蘋果派QQ （期間限定的其他派也不會出現的樣子"
