author_name,rating,text
Kasa Chien,5,"［專業有品質］
裡面的人員很專業很細心的解釋，可以事先透過Line詢問。作品集印出來的質感，個人覺得很不錯。"
Herriot Huang,5,服務超棒！！ 最後一刻緊急加印的論文poster三小時就印好了
張庭婕,5,"服務態度親切!!!細心報價!!!!!!
想找X之屋之前，請先考慮這家。"
Chenghua Yang,1,來印很多次了，找個零錢問我有沒有零錢，我零錢不多另外有用途，結果還伸頭看我錢包加碎嘴。這是什麼服務態度？
易師堯,5,輸出品質良好服務細心實在，我人不在台北仍用心與我討論我想要的品質，甚至寄送三次打印樣本南下給我親手感受，輸出體驗與品質極佳。
陳姿廷,5,老闆100分，超過打烊時間還幫我們印A0大圖
Yi Chen Kuo,5,人員人超好修正檔案速度又快，大推！
Rose B,5,"紙張品質很好，紙張顯色度與電腦顯色相近零色差！
這家「道林紙」出乎意料品質超好，還有磅數可以挑選，印出來就是跟其他家列印的不一樣！
要列印大量也只要傳檔案到店家信箱就好，店家會聯絡您，印好後親自去領或是寄出，都超方便！
開價的部分都很清楚，很放心！"
Yang Enya,5,公司長期合作的廠商，品質好、服務專業！
Contonlin Lin,5,專業、收費合理、效率好。
Ting A,5,有一位女員工服務很好。
yu-chen Chen,5,品質好 顯色也滿準的 細心！
張康裕,4,交件很快 讚
Paul Hsu,4,不錯
shiba eat u,4,蠻專業的
成邦威,3,印刷品質不錯
Justin Wu,5,"(由 Google 提供翻譯) 很棒的服務和快速的響應

(原始評論)
awesome service and quick response"
Hsiao-Wei Yeh,5,"(由 Google 提供翻譯) 高質量打印。

(原始評論)
High quality prints."
steven chen,5,
Sophia Huang,5,
Luke Yu,5,
陳翰璋,5,
eamus S,5,
楊小董,5,
童童,5,
影印機出租儀美科技,5,
kyce wang,5,
Balaji Sivaramakrishnan,5,
鐘智文,5,
Harry Chuang,5,
Jackeyh Jackey,3,
李世耀,5,
RIVER BOXING,2,
張昀徽,5,
