author_name,rating,text
Hiro Hsiao,5,"1. 時間: 2021/4/25 13:15左右進場, 本來今天是要去肉桂卷市集, 但昨天先行探路後, 現場排隊狀況很亂, 排了也買不到, 所以今日直接來這爽爽的吃肉桂卷及輕鬆的享受下午茶.
2. 現場狀況: 今天週日本想人應很多, 所以趁大家還在吃飯就過來了, 現場只有一組客人, 其它位置任君自選, 不過陸續有客到, 不到2點半就已滿座一直六點半離開時, 仍是滿座。
3. 重點: 今天主要目標是來吃肉桂卷的, 所以先來個肉桂卷解任務, 選了一個肉桂卷, 請店員回溫一下, …"
Hsuan,4,"🍽珠寶盒極緻千層
🍵大吉嶺塔桑莊園，喜瑪拉雅謎境，夏摘

想吃千層應該要選旁邊那塊-紅色情深
此刻的心情😒算了下次再來點吧！

其實不太喜歡吃有關巧克力的甜點
比較喜歡吃70%以上（苦）醇黑巧克力

所以覺得太甜⋯無法整個吃完
但還不錯吃
茶有點太淡但也還可以啦
環境優（3.6四捨五入囉）"
Emily Chang,5,"朋友購買的蛋糕點心，一吃了之後驚為天人，連不愛吃甜食的我都覺得好好吃！！！

檸檬百香果起司慕斯 $ 170
清爽的檸檬香氣外皮是薄博脆脆的一層巧克力

三重奏 $ 170
巧克力慕斯為主的蛋糕，甜而不膩。

皇家伯爵 $ 180
上面有一個他們家自製的橙片，一樣是巧克力為基底的蛋糕帶著伯爵茶的香氣，我覺得這個口味非常特別！"
Owen Liu,5,一家綜合評價很高的店。額外點的麵包都很好吃，特別是辣椒起司，辣辣鹹鹹的口味讓人食慾大增；蛋糕完全不辜負店員的推薦，蒙布朗內餡有塊狀栗子，可以吃出不同層次；珂萃是店員介紹的特色蛋糕，現在回想起來整體很像客家擂茶加上白桃凍點綴，我主要是來吃蛋糕跟麵包，飲料很解渴。
邱麗芸,5,"喜歡吃多層次口感的人絕對不要錯過這家甜點店！
甜度適中，不過份甜，每一口都有驚喜～
這次點了皇家伯爵口味，蛋糕就像個戴高帽的英國女伶～
內用氣氛很好，造景舒適優雅，低消200元！

馬卡龍還可以 覺得沒有特別需要點～（茉莉花口味的樣子）"
yeting chang,4,舒肥雞胸沒有想像中的嫩，餐點普遍來說都不錯吃，但就是有點小貴
WanJu Liao,5,"友人分享的甜點，雖不知道是什麼名字，但真的好吃。
餅皮非常的香，巧克力甜中帶苦，其中還有回馬槍般的酸甜果粒，層次豐富。

美賣喔！"
Alan Yuchen Chang,4,很精緻的蛋糕不僅是外觀，口味甚至上桌的盤子都精心挑選過，店員有能專業細心的說明，貴一點但是開心舒服。
Hung YaYun,4,"芋見$180
芋頭蛋黃酥以西式蛋糕方式拆解呈現
上層芋頭擠花吸晴外
裡頭鹹蛋黃和蛋糕體的堆疊
很有層次

不過甜吃不膩
到了底座塔體本身烘烤酥脆
單吃也會讓人回味😋

真心值得敲碗的一款
適合長輩也能大家人人愛的好選擇👍"
張瀞元,2,"想來這裡買‘法式水果軟糖’，之前在其他分店有買過，覺得好吃！麵包及橘條巧克力和常溫點心都不錯！
覺得這裡的店員有點鬆散，客人要買東西，還自己忙自己的事！
跟店員說要買法式水果軟糖，店員拿了桌上唯一的tray盤，把tray盤上的塑膠條拿掉後就想要直接夾法式水果軟糖⋯真的滿傻眼的！不需要在意‘衛生’的問題嗎？！怎麼會這麼？！教育訓練真的要再加強！"
