author_name,rating,text
shy shine,1,"網路上點了外帶自取，也在線上刷卡付款，於約定的時間內來到現場，排隊的隊伍約有15位到20位，進場的速度大約五分鐘到二十分才能有一位入場。
跟現場的人員建議此方法不合理，因ubereat的餐點可以放在門口，我們因人數限制卻必須在外排隊。
打客服反應也沒人接聽，現場排隊的所有人，若知道網路預定會在現場等超過一小時以上才能拿到餐點，應該就不會選擇購買此家之餐點。
建議不要在網路上讓我們選擇取餐時間，因為這時間與現場的實際狀況完全不同。最後我等了一個多小時才拿到餐，餐點也冷了。"
BB B,1,"防疫配套措施有跟沒有一樣，店內人數5人以下是好事，
但請點完餐的客人出來等，讓餐點好的人進去拿，就這樣也不會?
預定快取要的就是減少滯留群聚的時間，
結果叫可以取餐的人通通擠在門口，不能取餐的人反而在店裡乾等?
不在店裡確診的就不是你們的鍋了是吧?
不要說別人奧客，到了現場看到你們這種擺爛的處理方式還不生氣的人我才覺得奇怪。"
Yi Hsiang Chen,1,外送速度非常慢，等了一小時才到，薯條也涼掉了而且少少的餐點居然還少送了東西，打電話回去說會補送然後就再也沒有消息了？？？
Whitefox Chen,2,"比永和中正路上的KFC好吃多了

2021/3/5更新
今晚去外帶經典A餐(6塊雞+1中薯)加點雞米花，6塊雞點了3塊金沙跟2塊辣味跟1塊原味，結果回到永和的家一看，竟少了一塊原味，想說為了這塊還要過橋就算了，但這讓原本我對這家的信任度打了折，下次要買要在現場做檢查才能離開！"
Emma Hsu,1,疫情限制五人入內沒錯 啊流程動線也不規劃好站門口員工素質又差 一堆人插隊也不管 看不懂員工在做什麼
Stanley Hsueh (Stanleypapa),1,疫情設定的動線很差，電話訂餐來取餐 時間到了還需在門口等上30分鐘
張阿法,1,疫情很嚴重我知道，已經沒有店內用餐了，做個餐點真不是一般的慢，店裡沒人感覺員工也散漫起來了
yy liu,1,"這是我看過最不快取的快取
我的餐點好了不讓我拿是怎樣？
就這樣看著它1個小時，然後變冷掉的垃圾？
然後餐點還是出錯的
2021/5/29 晚上7. 顧門口動線的店員可以開除了"
CC Jung,4,疫情期間、分流管制人員、確保大家安全。
Hanchiang Fu,1,"速度比我阿嬤過馬路還慢....態度也不是說很好
螢幕也是擺設的，備餐跟可以取餐的無法顯示！"
Teddy Hsiao,4,12:35剛在手機線上點餐覺得要等10分鐘，走進店裏看點餐序號時，服務人員主動詢問訂單和很快速 12:40 5分鐘提供好餐點
某梨安子,1,"可以接受沒餐點製作需要時間所以等餐 但不能接受等了以後提醒第二次才發現根本沒準備
飲料還上錯冰量
過去也時常網訂結果現場排超久還沒開始準備，網訂的意義在哪？"
