author_name,rating,text
Catherine Kuo,1,"今天是2021年5月29日，台北市新冠肺癌三級警戒第15天,剛剛下午來買包子,才站在店門排隊處，一旁一位男子在抽煙，口罩戴在下巴，看我來到馬上過來問我要什麼？接著很熟練的戴回口罩幫我夾了我要的包子。
天啊！！！都什麼時後了，你知道新冠肺癌炎光今天就公佈死了21人，每天確診人數居高不下，你知道現在能開店是多珍貴，你脫口罩在一旁抽煙，手部又不隨時消毒，抽煙、找錢、夾包子……病毒就這樣傳染開來。我一回家，包子直接就丟到垃圾袋，準備等一下送上垃圾車。拜託好不好，保護自己也保護他人，。"
Vicky Vicky,5,"一直懷念的口味，純外省口味
每每經過必吃的包子口味
最愛肉包
韭菜包
豆腐包很特別
梅干菜包也好吃"
Vicky Chen,4,"吃了韭菜，鮮肉跟泡菜，每個都13。
韭菜其實還可以，鮮肉跟泡菜比較推薦。不大顆，趁熱吃皮吃起來比較甜。放一晚再吃就沒那麼好吃了"
靜雲流,5,這裡的包子都是當天出爐，皮Q餡滿，太好吃了
Jay Liu,4,好吃的老店包子不多了，尤其是包子麵皮比較紮實有彈性，内餡也是多樣化，整體評價是水準以上值得推薦
Jummmp,4,泡菜包 、南瓜饅頭 中規中矩
Toeby Chang,3,第一次來買人很多要排隊，肉包隔天熱了吃普普通通，泡菜包口味不錯而且料多，值得回購。一顆包子13元算平價。
李瑞芳,4,份量足，餡料味道好，價錢也親民！
Johnny Chen,4,口味不錯、價格划算
claire jeng,3,"包子皮蠻好吃的，第一次嘗試了肉包和梅干菜，兩者之間相較，個人偏好肉包多一咪咪。
包子型體偏小，但以每顆13元的價格又有包餡料的包子來看，倒也不失是個可以嘗試的選擇。"
Yi Chen,4,"冷掉也好吃的包子店
包子體型不大，介於一般包子跟小籠包之間，一顆13塊左右，口味很多，內陷調配的很好吃
包子外皮有發過的甜甜香氣，就算冷掉也好吃
一次起碼要吃個兩顆才會過癮。
大部分的人都是10來顆在買的"
陳又維,5,肉包餡好吃
M.H. Chen,1,拉出塑膠繩，是饅頭不是我.....😢
Coco Wang,1,"有夠「空虛」的鮮肉包, 和名符其實「皮厚餡少」的豆沙包，一顆$13元，失望，雷...."
Felicia Lee,1,水餃想用批發價買指定顆數，每次都說現場沒那麼多不讓我們買，用訂的也不行👎🏻
AA KK,2,"豆沙包皮超厚-1
馬上吃卻是溫的-1
高麗菜包跟鮮肉包也還好

好吃貴一些沒關係
料多大顆貴一點也沒關係
像隔壁樂業麵線
料多大碗貴一些也會捧場"
Sophia Lien,1,應該是換了老闆，現在皮變得有夠厚，咬一口後裡面整個空空的，餡變得超少的，口味完全走味，重點是態度變差了！
Hector Wu,5,"及格了（左鄰右舍貳之貳）

因為去吃樂業麵線​才發現這家包子店。幾年前剛去的時候，感覺上它好像是剛開業。有回無意間吃完了麵線，還沒達成肚皮的滿足感，又發現菜單看板上竟然有梅干菜包。這樣不買都對不起自己了！

在台北真的很難找到及格的梅干菜包。很多年前在民生社區有家「向記」，還有金華街上也有一家有如曇花一現般的包子饅頭店；這兩家各有千秋，算是我吃過最好吃的梅干菜包！ …"
nrtceh chen,4,可以啦！小了點……
KEVIN KUO,3,包子不錯吃，裡面的肉餡味道不錯，算是老店
Andrew Chiu,4,很好吃，傍晚多半需要排隊。特別推薦泡菜包
林書正,4,包子很好吃，一顆13元算合理的價格
陳伯伯,5,現場桿皮 手工製作 真材實料 需要排隊 買十送一
yi fang chiang,4,"高麗菜包 新嫩多汁 口感新鮮
梅乾菜包 偏乾
肉包也不錯"
J radeel,5,推薦泡菜包、豆腐包 和隔壁的麵線一起買是一套的
Fenny Wang,5,鹹包子每一種都好吃~如果不知道要選什麼可以試試豆腐跟泡菜，算是比較特別的口味。
Sara Huang,3,被大排長龍的人潮吸引，但口味與理想有段距離。價位便宜，口味多樣，泡菜包偏甜，回購見仁見智。
黃凱瑞,3,必點肉包(超香的)、泡菜包(夠味)，其他好像比較沒那麼有味道，要排一下隊，價格實在
陳小銘,4,肉包美味可口，價格便宜！
Y.C. Tsai,3,"只有價錢還可以
包子內餡實在乏善可陳啊
試了所有鹹口味包子，
口味實在太淡了，除了肉包有肉以外，其他包子讓我以為我在吃素包子，除非是素食者喜好者，別浪費時間排隊了"
CY W,5,"在這已經住了二十年了，從好幾年前媽媽第一次買回來給我吃，結果一吃上癮！現在已經搬家了，但還是會想念他們的包子。料很實在又夠味，麵皮不死有彈性，最喜歡他們家的泡菜包，有吃過別間包子店的泡菜包，還是最愛這家！
都是現包現蒸的，員工手沒停過，幾乎很少看到他們擺很久再賣，很新鮮，一方面他們家客人潮非常多⋯所以避免上下班或吃飯時間來買～肉包也非常好吃，很推薦，另外控肉包、豆腐包滿特別也可以嘗試看看～
價位、實品大小還有吃進去的感受度，覺得已經算是很棒的了～推薦"
沙通天,1,今天又去買了一次，肉包咬開像貢丸，包子餡料自從原老闆不包了以後偷工減料，未來不會再去！
Aru Jou,5,最喜歡他們的泡菜包！！
周治偉,5,肉鮮味美價格便宜
Kal Guo,5,包子全部都是$13/顆，買10送1，相當實惠。
Chih ching,5,"超好吃的鮮肉包
曾經在幾年前吃過一次之後就念念不忘"
