author_name,rating,text
李嘉軒,5,"很舒適的空間
在這邊認識了湯英伸
獲得了一些省思的機會"
夜璃蝶,5,"很療癒且明亮的空間
可以找到許多攝影相關的書
也有展覽（聽說也有講座）
可以一個人好好跟自己相處+打開新視野的地方
最棒的是這裡對所有人開放！

印章區的印章超可愛可且很貼心（笑）
還有因為使用寫吉達印台，個人私心想加分"
David Chang,4,不錯的看書環境，這邊可以看攝影相關書籍，完全免費。但是只限看裡面的書籍，若自帶自己要自習的書，好像有規定不允許。
Andy Wang,5,很不錯的地方，對於攝影愛好者來說可以帶傷很長時間慢慢瀏覽閱讀各式攝影集或相關書籍。空間不算特別大，雖然平日前去拜訪人不多，假日有可能會擁擠一些。
HSINTIEN LEE,4,以攝影為主題，Free to all 的空間，適合想要翻閱攝影相關書籍與雜誌的文藝青年，度過悠閒的午後時光。
馬品霽,5,"絕對要給5顆星的地方，空間開放，藏書不少，超棒的攝影圖書室！
也要感謝無私捐書的人們！"
李子群,5,可以免費閱覽攝影書的好地方，環境非常舒服😌
Chung Ya-Ya,5,"喜歡攝影人士絕不可以錯過的好地方！
裡面全是攝影書籍！
也有很多獨立出版攝影作品書📖
一個免費的攝影圖書館📙📘📗📕📚"
王文,5,"很棒的地方 免費的空間與攝影書籍 空間對大部分族群都友善 無論是小朋友或是老年人
同時也時常舉辦攝影相關的講座
如果對於攝影有興趣或是想要找一個安靜的空間閱讀的朋友 相當推薦"
Edward Chen,4,有些珍貴且可免費參閱的攝影作品，整體空間明亮
獨孤求食,4,裝潢挺文青的一個地方，還沒進去過，似乎是對外開放而且免費。
H PC,5,免費參訪的閱覽空間，空間內藏書以攝影相關為主，適合在巷弄中晃晃時晃進來走走看看，或許讀點什麼
WU,5,在舊址時期就已經拜訪過，那時還有像木尺的小工具方便大家記住書從哪裡拿（不知道為什麼現在沒有了），也有人員很親切為我介紹想看的書種類。新的空間更大，無障礙廁所更讓人感到十分體貼，這裡真的是天堂哦。歡迎捐款維繫他們的生存～～
李効憲,5,老闆很有理想，身為攝影人，必須支持！
John Lin,5,很棒的空間，有許多攝影相關的書籍，也有很多攝影的講座，值得支持
Monca Wu,5,乾淨簡潔明亮的空間，攝影書籍分類清晰，可以快速的找到自己的愛。
蕭慧雅,5,放置很多攝影書，不時也會辦免費講座，喜歡攝影的人不要錯過
Cheng Jung Huang (CJ),5,收藏許多攝影相關書籍，閱讀空間也很舒適
ruo Wang,5,很適合跟朋友一起來看書哦！最喜歡的NGO🥰
K L,5,很舒服的空間，會辦講座
李忠勳,5,在咖啡廳的樓上，放有很多攝影書籍，閱讀環境舒適。有時候會辦攝影藝術相關的講座，是個喜歡攝影的朋友值得參訪的地方~
Gatto,4,蠻好的地方，有攝影書籍和講座可以參加。樓下的cafe生意不錯，有機會試試
黃陞,5,獨一無二值得花時間一逛的所在。
天天,5,舒服的空間
陳昱達,5,很多攝影集
方宜晟,5,很棒的地方，非常適合對攝影有興趣的人來
CHAO YEN WU (小梅),5,有很多攝影書籍，很值得來
Ling,5,"(由 Google 提供翻譯) 一個小型攝影主題庫。所有人免費。

(原始評論)
A small photography theme library. Free for everyone."
Jim Wong,5,"(由 Google 提供翻譯) 只是喜歡它😊👍

(原始評論)
Just love it😊👍"
Lady Emotions (LadyEmotions),5,"(由 Google 提供翻譯) 很棒的理想

(原始評論)
很棒的理想"
Beth Leigh Z,5,"(由 Google 提供翻譯) 很棒的概念場所，非常獨特，這是我在大多數其他城市中從未見過的東西。如果您喜歡相簿，那麼這裡將是您的幸福之地。工作人員也很好，樂於助人！

(原始評論)
Great concept place, very unique and something I have not seen in most other cities. If you enjoy photo books then this will be your happy place. The staff is also nice and helpful!"
Joey Chou,5,"(由 Google 提供翻譯) 所有人都免費

(原始評論)
Free to all"
Grace Chen,5,"(由 Google 提供翻譯) 一個對攝影感興趣的人的宜人空間。來自不同國家的書籍豐富。

(原始評論)
Pleasant space for people who are interested in photography. Abundant books from different countries."
Coco Lu,5,"(由 Google 提供翻譯) 很棒的地方！

(原始評論)
很棒的地方！"
Yeh JC,5,"(由 Google 提供翻譯) 桃花源

(原始評論)
桃花源"
塗書芃,5,
