author_name,rating,text
39林冠宇,5,以分鐘計費，一分鐘1.1，對單次的十分划算，器材數量尚可，有時候要排隊
RX kao01,5,算是在人潮較熱鬧的地點開的健身房，空間不錯大，價錢非常合理，免綁月免入會，沒有課程推銷。但美中不足的是，淋浴間真的不多，如遇尖峰時段人真的會較擠一些，但整體上是不錯的!!!~
Bowen Ker,5,空間雖說不算太大，但該有的器材一應俱全，環境也維持的很好，來了幾次就直接換月費制的。
陳小珍,3,器材很多但是人也很多每次去都沒有辦法用到想要用的器材
王東太平洋中華台北天龍國五指山下南港北邊地瓜大帝蕃薯鮭魚炒飯,4,一分鐘1.1元搭配住宅近還有營業到半夜一點半還不錯
Nicky Cheng,5,服務好，環境乾淨，以分計費，又有很多付費方案，非常喜歡☺️
美食評論家,5,冷氣夠強，但要挑選沒這麼多人的時段才行
蔡沛勳,5,"以分計價，適合一週運動2-3次的人使用！
器材充足，自由重量區有5組可以用！
但場地偏小，人數太多"
Alexis Sosa,4,"突然不是24H有點難過
不過還是很推薦大家來
器材很棒，環境很好"
王友倫,5,建議早上八點九點來，人比較少
喬瑟夫,5,很棒的健身環境 不會有人一直跟你推銷
陳承豪,4,可能因為價格不貴器材齊全，人滿多的，縱使在週一下午四點的時候，人一樣多
謝昀軒,4,滑步機只有兩台，有一台還常常壞掉維修，希望可以多增加滑步機
Shaun He,5,環境乾淨明亮，用悠遊卡刷卡紀錄，去多久扣多少，價格透明
Chang Weisheng,5,"設備充足, 也會定期添購新設備, 計價方式也有彈性, 十分推薦。"
吳帛謙,3,一分鐘1.1比較適合剛接觸健身不想綁約的人嘗試。有健身習慣的比較不推薦來因為價格並不便宜設備也沒特別好，感覺器材沒在保養。每次回到家都會發現身上一堆鐵鏽。
Shawn Shen,5,優質好店家！
仁常,1,今天去空氣不流通汗臭有點嚴重
Len Arc,4,人越來越多惹，下班時間擠爆。店員人都很nice，只是腳踏車的測速跟計時顯示一直壞掉都不修
Tina Tina,4,人很多 器材要等，就算是離峰時間也很多人，常常會等不到
丁丁,5,"因為前男友辦了體育客的會員
分手後去過兩三次
還認識比他帥的政大帥哥（隨便一個都比他帥）

後來覺得很遠
就都在新莊店
雖然新莊店都沒人要理我
但專心運動好合我意"
