author_name,rating,text
kathy yuan,5,江醫師專業，視病如親。近期門診時間有修改，大家去看診之前請確認一下喔。
解名仁,5,精神科有很多症狀是會遺傳的，二十幾年來都給江醫生看，介紹了六位親人與好友，效果都很好，再嚴重的狀況，交給江醫生就放心了。
呂孟勳,5,在這邊看江醫師也有好一陣子了，謝謝醫師的耐心傾聽，讓我在生活跟工作中可以得到平衡，來這邊需要有些耐心，因為病患很多。
tsss查理,1,不優的診所，看診普通，超級快速，去要記得帶健保卡喔，不然診所會叫你趕快跑去公園路健保局退費，辦理好手續，又會接到健保局來電，說健保局無法匯款到您戶頭，必須要跑到診所裡退費，大家說這間診所是不是很優勒。
宋永鑾,5,我给江醫生看了20多年是一位很好的醫生
羅鳳美,5,江醫生是位既幽默又很有耐心的好醫生
楊雅筑,5,"精神科醫師的病患很多,往往只能一針見血地指出問題的本質,話語有時不會很中聽,所以還可以搭配心理治療師來好好一對一交流,要是要速效處理的話找醫師,要慢慢聊心事的可能要找專業的心理諮商師對談,雖然需要有的自費面談費用,也有一些免費的心理諮詢機構民間或政府的,如張老師生命線,救國團,社會局或是縣市政府都有一些免費的心理諮詢資源,要善加利用,我也是江醫師的病患現在也一邊服藥一邊上班,之前也一直有求救陳國華醫師,邱醫師,真的精神科醫師病患很多,請各位要多加體諒精神科醫師也是有心理調適的 …"
I-Yen Shen,5,很有愛心和耐心的醫生！
Ariel Chen,1,"原本是在大醫院看，但實在太不方便所以就近去這家，想拿在吃的抗焦慮藥
第一次來的時候，醫生很認真仔細聽，也問了很多問題，覺得OK，也給了我要的藥
第二次去也是單純拿藥，後來症狀好很多就沒繼續去
但隔了很久去第三次，居然變得超沒同理心，跟他講我不開心的部分居然說我花痴= =我都還沒講完我整個狀況就開藥說可以了
好吧如果確定知道自己需要固定吃什麼藥，跟他拿很快啦ㄏㄏ"
周小意,5,非常專業的好醫師，是專研身心科的博士級醫師，雖然看診很快，但馬上就能對症下藥，因為他看診近40年，是個非常有經驗、態度和善的好醫師！大推！👍
許閔晴,5,醫生很輕切 人很好
Meng-Hsuan Chiang,5,醫師專業細心，問診有效率，用藥有經驗又到位，非常推薦喔
陳奕廷,5,江醫師很幽默，在其他地方看了很久都沒有好轉，還好有江醫師幫忙調藥，狀況才好轉，太感謝了
hejej ehw,1,就是得病了才會去求醫，結果反被醫生訓了一頓說心態有問題？要我自己改善？能自己解決誰想去看醫生？
Henry Chang,5,感謝江醫師! 長久以來的問題，看了好多家醫院都沒辦法解決，還好有江醫師幫忙調藥，狀況好太多了
MyA Jason,1,"說藥沒效，想請醫師換藥
結果醫生說要吃三個月才有效
最後藥也只開三天份的，醫師比較像病患"
Lin Ming,5,"看了江醫師後失眠終於好多了，是個風趣有有耐心的好醫師
之前失眠已經大半年了，看了許多醫生都時好時壞"
Rachel Ku,5,醫術高明 改善甚多 本來晚上都睡不好 但是在光慧看過以後 真的都治好了
meimei Tang,1,醫生從頭到尾眼神沒有看病患，只在打電腦
李承憲,5,也許家庭失和者他沒用 但精神疾病找他很有用 親身體驗
Celio Franc,1,不知道什麼時候叫到的號跟沒很專注的醫師
Ivana Chen,5,江醫生對病人非常有耐心和愛心，是一位好醫師
Meng-Ta Chiang,5,江醫師幫助我的症狀非常多，人很親切幽默！是個非常棒的醫生。
凱若王,5,當年如果沒有去找江醫生，我可能活不到現在。
Dabom Chen,5,問診親切讓病人安心
Alice Wang,3,醫生人很好 但櫃臺服務態度待改善……
Jenny Cheng,1,醫生對待病人態度不佳，等待時間久還得自認倒楣
蕭佳慧,5,江漢光醫生有內疾，所以特別明瞭
Rick Yang,5,醫師人超好，也很風趣
吳瑞興,5,醫師看診親切風趣，改善許多
薛令儀,5,幽默又懂用藥的好醫生
黃鍾坤,4,江醫師真的是一位認真細心的好醫生!
劉順汶,5,江醫生很專業
amber tien,5,好醫生！
曾則偉,1,護士態度差
to sing Love,5,專業!!!!
Angela Cheng,5,很棒的醫生
Pei-Han Chang,2,
蘇秀如,5,
沈陽,5,
林慧君,5,
鐵人,5,
Dandan,1,
Paul Yeh,5,
林聖文,5,
非炎,5,
Cerrine Chen,4,
IVY CHU,5,
Yu-Lin Lin,1,
真理,5,
