author_name,rating,text
Vincent Huang,1,"又是一個專門欺壓栽贓人民的地方
在盯中壢分局還有松山分局的大家也幫高調下這裡吧，請參考fb粉專「左撇子的電影博物館」"
liz wu,5,"今晚很開心🥳
藉由呂浩警察先生協助顺利從計程車上尋回我的車鑰匙，真的很感謝除了長的帥又很有耐心的😇呂浩警察先生，雖已深夜，還是詳細尋問我搭車的細節，仔細盯著螢幕找著我搭乘的計程車，不到🔟分鐘就順利的連絡到司機⋯ 鑰匙正在回到我身邊"
Piyao Lin,5,"今早發現放在大樓地下室車庫的機車離奇消失，在家附近遍尋不著，為了大樓居家安全，傍晚只好前往安和派出所報案。
五位警察輪流關切丶詢問，認真協助調閱監視器，以便確認機車究竟有沒有被騎回家？！
約莫五分鐘後，前往勘查現場的警察先生電話回報說，車子在我們家附近的711前面找到了。

然後這場烏龍機車偷竊事件，就在聰明的警察們齊心努力下，共耗時十分鐘就宣告破案了。
哎呀，真是不好意思啦⋯⋯🤣"
吳歐巴zz,1,只不過是坐在車上把機車移出來而已，就說我人行道騎車？ 為了抓而抓嗎？ 希望開單的員警下班後不要自己也違規  腳踏車或電動車在人行道上面騎的也不要視而不見專找機車麻煩
黃泰盛（Tyson）,5,剛剛去報案，警察態度很好，不像評價那樣，另外我想提醒大家，雖然警察是有領薪水的，大家也不能態度不好，他沒有應該要對人民態度多好，剛剛裡頭有人報案報到情緒失控，希望大家理性，多體諒警察的辛苦。
Brayan Liu,1,態度有夠差尤其是一個高高戴眼鏡的短髮T
Pei Qiao,1,"態度極差
報案違規停車
口氣不知道在兇什麼
人民保母？
好像有違反法律都不能報案
接到就不耐煩
被用同樣口氣同樣問題反問還叫別人注意態度
現在領百姓薪水的就可以比較大聲是嗎"
steve chen,5,安和派出所的員警，年輕有為，效率一流，台北市的治安就靠你們啦！
Ming Harry,1,非常不要臉以及濫用公權力，沒有任何法律知識
呂紹瑋,1,"8/29凌晨遺失手機，查定位在此間派出所，詢問櫃檯的女警員，她回說沒有收到手機。
過了不久，和家人會面，得知家人打我的電話，是此派出所接的，又再次去派出所詢問女警員。
結果女警員態度非常兇，一直跟我們說沒有、不知道。這時一個男警員來問狀況，她說「你來處理好不好，我搞不懂他們要幹嘛欸。突然沖進來說什麼手機不見#@$_」
所以我們前面慢慢講，講那麼多，都沒在聽是吧？才可以這麼搞不清楚狀況？ …"
YellowKevin,1,態度很差，報一個案換了三個員警，只是想打發我走而已，並且會刁難年輕人
Howard Hsu,1,文昌街一堆違停阻礙交通，不見警察趕人開單，只會開機車違停，這種派出所有什麼用
Stephen Chen,5,警察有點太優秀，我決定全力支持警察！
Fish Shun,1,超級高射炮 業績缺很大
yes121500lbj,5,一個姓林皮膚很黑很像尼哥的員警服務態度良好，不管大大小小的事他都會處理好，如果有人要受理報案找他就對了
Smart Papago,1,"警察搶錢，執法不公，該開未開，大小眼，開單看心情的。
晚上十點多看到有人停在學校門口前輩，想說晚了就跟著暫停一下停那，去夜市買個東西，回來就收到違規的單子了，但我前面路邊紅線的車在我來之前就看他停在那邊，我走了還在，卻沒有被開，連夜市前紅線一堆車停那邊也都沒事，停路邊紅線的車子比起我更容易影響到路上交通吧？我停在紅線內，學校門口，卻被開了。只能說執勤人員大小眼，不公平。
難怪貴所的負評這麼多。"
Lee Zora,4,"親民，不擺架子。👍
謝謝李警官協助，♥️
雖只是腳踏車失竊，
但有報總是有希望。
很感謝貴局的幫忙。"
Tsu Tsu,2,"素質真的...有待加強
當天還沒空把隨身碟影像燒成光碟
就被華麗白眼甩頭又「吼」了一聲的某女警員真是謝謝你優質的態度，令我沒齒難忘
雖然警察不是服務業
但也不需要把情緒發洩在民眾上

多的星星是給少數態度良好又熱心
以及夜班執勤時協助告知相關權益的警員"
陳先生,1,"我走斑馬線有台白色車子闖紅燈完全不減速
去派出所想舉報闖紅燈未禮讓行人蓄意傷人
只得到回覆監視器不能做告發 沒有蓄意傷人這種事
讓人感覺完全不想處理事情
調一下監視器就算沒辦法調出汽車違規或車牌我摸著鼻子也認了卻得到敷衍的回覆
問那如何處理卻說可以去問你的律師
放著違法人在外面跑還嗆人先讀懂法律再來講
原本就很氣那台違規汽車得到的回覆卻讓人更生氣"
R E,1,報案找立委處理不知會不會比較好
