author_name,rating,text
Grace Chuang,5,五顆星給黃警員，用心解決問題，派出所的員警都很親切👍
wei fan Wu,1,無言...員警攔查自己還不是違規
Cains,5,"茶很好喝。喝過小陳sir泡的茶之後，隔壁寧波西街五十嵐已經多年沒去喝。
服務親切，是個推薦的好地點。"
Gary Lee,1,"態度很差，水準很低劣。

員警非常沒有服務精神，油條老大哥樣子，完全不知道現在是民為主的時代了，感覺跟流氓沒什麼差別。

台灣的警察，100% 只是為了錢，這還算了，更重要的是他們經常公器私用，公報私仇，毫無道德底線。所以現在看到警察我都會知道那些是真正的流氓，他們比流氓還狡猾得多了，而他們心裡自己知道這是真的。"
An Chi Tsai,5,整個城市只要有問題的人或本身是問題的人都會找到這邊，所以警察很辛苦，他們每天基本要工作待命12小時，還要面對這些有問題的人和本身是問題的人。 近期有捷運萬大線施工，白天的噪音讓夜班員警的休息時間不得安寧，加上平時要被高層要求民眾要求...... 總之 不要為難警察 各方面來說
GIANT TOUGH,5,辛苦了!維護博愛特區的派出所
Sam Xue,5,讚
T L,5,警員都很親切！
sepia,4,"(由 Google 提供翻譯) 南昌路派出所：負責龍福里、新營裡、南福里等轄內治安、交通事項。

(原始評論)
南昌路派出所：負責龍福里、新營里、南福里等轄內治安、交通事項。"
Chi i,1,"(由 Google 提供翻譯) 傻眼

(原始評論)
傻眼"
Xin,4,"(由 Google 提供翻譯) 南昌路派出所

(原始評論)
南昌路派出所"
Peng Greg,5,
許定凱,5,
詹佳穎,5,
有辰鄭,3,
謝明翰,1,
Weasley Liu,4,
