author_name,rating,text
Erika Lin,5,非常熱心的警察們，協助找到我的手機，非常感動.
as12319240,1,"吳姓員警 於基隆路三段及辛亥路三段交叉處開單，基隆路三段往 中永和方向與辛亥路三段交叉處，我迴轉被攔，說是逆向行駛。 交叉口處無立禁止迴轉，且我在橋墩右側怎麼會知道辛亥路段是綠燈右轉，按照行政罰法第七條，政府處罰人民是有故意或過失，若人民違規是因難以避免或無可避免，不可處罰人民。 此臥龍派出所為了業績及在交通繁忙時段攔車不顧及安全只為業績。打去臥龍派出所交通組承辦人，只說申訴要上網申訴，卻未告知書面申訴的方式，打電話過去提到書面申訴卻吱吱嗚嗚。

一個老鼠屎壞了一鍋粥。"
鄭植夫,1,"奇（極）缺業績的派出所和警員......
每天禱告
祝平安快樂"
謝宏昌,5,"若干年前我在附近犯了案子，我以為可以逍遙法外，有一天兩個警察帶著搜索票來我家，查不出什麼就請我去貴局問筆錄，在現場問案的員警和藹可親，先讓我看犯案的影片和脫逃路線的監視器，內心想小案子也會被地毯式搜查，真是用心
問到中午左右，一個警員出去買便當，問我想吃啥口味，就滷排吧，那個滷排一口咬下去軟中彈牙，滷汁在口中慢慢流出，和白飯瞬間融為一體，還有那個滷蛋，咬下去那個蛋香封住整個口腔，吃到便當都不剩了還猛吸了骨頭兩口，真是意猶未盡 …"
沈翊安,1,"被騙錢去報案，員警看似要吃案的樣子，不但沒有幫做筆錄的意思，還一直重複問無關緊要的問題，最後被問到大崩潰...
被騙錢都好過被來路不明的警察莫名其妙講一堆自以為的訓誡，本來很冷靜的，跟那位警察講一講直接被氣到掉眼淚"
宋易修,1,請警察來處理交通違規，員警態度不是很好。
許哲瑜,1,"東西被偷 吃案打發
慘"
Jack Pan,1,辦案員警態度極差，還會酸被害人，請被害人檢討自己⋯⋯
Lin Shelley,1,女警欺騙我感情
Thomas Yeh,4,"看地圖，由於這個單位名稱滿長的，就覺得這派出所不小，但覺得怎麼會，只不過是在上邊的一個派出所而已。

經過時，看到幾十輛摩托車，加上幾部警用汽車放在停車場，頗有聲勢的，或許是這個地區幅員廣大，道路曲折，需要比較多的治安人員來照顧。

謝謝波力士大人。"
劉宥湘,5,員警筆錄做的很用心也很有耐心，警界就是需要這種警察
Cherry Chen,5,報案時員警問筆錄有條理，也滿親切的。
顏鈺展,1,黃燈說闖紅燈？
高子芸,1,報案時值班員警態度不佳
pei Pei,5,全所員警處理遺失物案十分的親切又認真，不論是當下電話報案到現場處理的員警或是到局作筆錄、尋獲領回、值班台等接觸到的員警，都讓人覺得很親切，最終也幫忙找回遺失物，臥龍派山所員警們真是太強了，希望能給予大大的嘉許👍。
廖小淇,5,受理報案的陳姓員警態度熱心，十分感謝。
林哲綾,5,謝謝這裡的廖國棟員警，讓我們有回家的感覺
Der Der Hsu,5,"2015/8/23警員林文婷(女)盡責，態度良好,給予認同及鼓勵!"
張士新,5,2016/10/28 謝謝警員林文婷協助處理迷路老人事宜 親切的服務態度值得人民信任!
吳樂天,5,有事找他們就對了！
Da Tang,5,服務態度良好 親切
Ming Wu,5,謝謝警察幫我找到車子
cheng nill (千層糕日常),4,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒"
kenyu Chen,4,"(由 Google 提供翻譯) 人民保母???

(原始評論)
人民保母???"
Yen Shun Wang,5,"(由 Google 提供翻譯) 驚人的服務！他幫我找到了我的筆記本電腦!!

(原始評論)
Amazing service!!! They helped me find my laptop!!"
語荷,5,
Andy Chang,3,
Hanna wang,5,
Sara Chuang,5,
许杰,1,
Hank Maguire,4,
G Lin,4,
林易瑭,1,
c.h. Hung,3,
Hank John,5,
Wen Chen Chen,2,
Lipa O,1,
