author_name,rating,text
Hung Chiu,5,"醬汁特別！不是一般的茄汁！
飯能夠選白飯/茄汁飯+15元
蛋包十分軟嫩綿密
肉排多汁、超厚、很嫩
內用還能喝喝到飽的味道蠻濃的味噌湯"
林鴻文,5,"環境與學生時代相比，
重新裝潢 清幽乾淨，
可以位子一樣擁擠。
自助台式味增湯無限暢飲 ，
也提供自助白開水。
蛋包飯蛋皮滑嫩，
咖哩非常日式式口味👍
燒肉丼飯能感受飯粒被醬汁包覆，
微微的辣更是美味。"
Yi-Liang Chen,4,咖哩飯味道濃郁，肉大塊，飯量足。附味噌湯，味道偏鹹。
平凡的我,5,"店內約三十四張用餐位置
如果想要內用享用的時候
建議可以先打通電話詢問
之後再確定是否要店內用
因為尖峰時段實在太多人
由此可知蛋包飯質量很高
店內享有自助茶水和湯品
不過由於今天天氣很高溫
再加上時間實在是不夠用
所以我只選擇雞腿蛋包飯
一上桌蛋包飯氣息沖我身
明明我都還沒有開始動口
口中的唾液不斷瘋狂分泌
難道是因為我本能就知道…
如果我吃了這道料理的話…
一切的一切將會無法停止？
不過就算是這樣！我也要…
奮不顧身的直接將它吃爆！
蛋包飯配上綠豆和番茄醬！ …"
林傑,4,口味甚好，店內用餐時段需長時間等候是明顯缺點。
Huimin Chen,5,每樣都很好吃，個人偏好漢堡排，味噌湯喝到飽有豆腐和滿滿蔥，溫暖胃。
YP Shih,5,"蛋包飯真的很日式，蛋皮軟嫩賣相佳
咖哩色澤跟配料用豬肉比較偏台一點，但也是濃郁好吃
有台式味噌湯可以自取很加分👍

以價位來說內用空間可以再舒適一些（當天用餐冷氣不冷還有漏水😅）"
東方白,5,"蛋包飯本體不落俗套，蛋體綿密厚實，咖哩味道維新，不鹹不刺喉味道溫和，給推！
點了第一名的雞腿蛋包飯、還有第二名的咖哩豬肉飯，滿意！
味噌湯可以自己加大量的蔥，過癮！"
mi mi,3,"香烤雞腿蛋包飯💰170❤️❤️❤️🤍🤍
菜單上標記本店第一名，現作等了一會，雞腿軟嫩口感還不錯，茄汁醬的味道卻拉低了這道餐點評價，相較之下咖哩醬好一些些

咖哩牛肉堡蛋包飯💰220❤️❤️❤️🤍🤍
咖哩醬汁一般，沒有特別出色，牛肉堡厚度夠，但是就是組合牛的口感，味道還行

餐點附兩樣配菜
1.花椰菜-涼的
2.牛蒡絲-過鹹

美味程度：
雞腿➡️牛肉堡
咖哩醬汁➡️紅醬汁

✍️餐點普通，不會再訪。"
范阿丁,5,"Cp非常高
個人覺得咖哩豬肉好好吃，肉軟嫩，醬美味。
附湯是豆腐味增湯超好喝，可續"
NKucha (tau7ling1),3,"店內有自助茶水跟味噌湯，湯料放了豆腐跟海帶芽，味道還滿不錯的。
餐點份量普通偏少，食量大的人應該會吃不夠。雞腿皮脆肉嫩咬下去滿嘴汁，然後那個橫濱醬真的是夜市牛排醬的味道（超驚訝，當初看評論還以為是豪洨），不過蛋包裡只是普通的白飯。

整體而言還行，如果在附近突然想吃有蛋又有雞的料理，可以來試試看這家。"
軟Q吃胖胖.Chubby Q. Foodie,5,"🍛日期：2020/5
🍛用餐時段：晚餐時段
🍛用餐型態：內用（有menu喔）
🍛注文餐點：咖哩豬肉蛋包飯、咖哩炸豬排蛋包飯

有一陣子在附近上班，每週密集光顧的店。 …"
Chad Huang,3,部分豬肉有些老，花椰菜溼溼冷冷。
ZhenYu Hung,4,"咖喱味道不錯 建議加茄汁飯 醬味很夠
算是值得價錢的一家店 但不算多日式"
宋芸芸,3,烤雞腿很多汁很嫩，蛋也很嫩，但花椰菜是冷的⋯醬也不夠熱⋯ 價格不便宜
Henry Hsu,4,味道還ok，不過蛋包飯感覺蛋皮介於濕跟乾的中間，我覺得蛋皮不到很日式，品項價格較高，另外店內味噌湯可以一直喝，而且蔥很大方的讓你自己加
Vicky Syuan,4,"地點位在台電大樓捷運站附近，走路10分鐘就到，店內空間不大，到了用餐時間，客人多，還會兼顧foodpanda 和Uber eats 外送。

這一次，點了咖喱蛋包雞腿飯、咖喱豬排飯，咖哩味道一流，特別是老闆的半熟蛋包飯，看起來超級厲害，配上米飯入口，口感十足！雞腿現烤需要10-15分鐘，豬排軟嫩不柴，配上咖哩超好吃！ …"
chin-yen Tsai,4,"會讓人一口接一口的蛋包飯!!!
橫濱蛋包飯，醬汁有點像酸辣醬，個人不是很喜歡。
比較喜歡咖哩豬肉蛋包飯，豬肉軟嫩好入口。"
Yoway Chang,4,"店面裝潢頗有昭和末期的懷舊風格。服務尚稱親切。價位相當親民。
招牌烤雞腿相當好吃，缺點是必須等很久。
咖哩味較淡，蛋包煎得很不錯。
另有免費自助的味噌湯與茶水。"
Jill Xie,4,"覺得還算不錯，醬汁是偏甜的，
妹妹說肉不錯有嫩，咬下去有聽到清脆的咔滋聲"
jacky kuo,3,"3.9分
湯茶免費續

醬汁是好吃的
炸肉排粉超厚
歐姆蛋也還行
茄汁飯不算重口
分量不算大

價位可以再漂亮點的話就4分up"
徐若芸,5,六七年在國外沒機會吃，大前天吃味道仍一樣！平日中午若要內用建議提早避開用餐尖峰，就是一次很舒服的午餐饗宴：）
