author_name,rating,text
Cheng-Ta Chou,2,東西普遍來說是便宜，但電話中先問有沒有賣+價錢還要先加入會員，這哪招...
william chen,5,這家服務態度非常好價格又超便宜~而且很多別家缺貨的要這裡都有  給五顆星的嫌少~之前別間買藥感覺都被當盤子~所有買要我都優先考慮這家
Sun yi bin,5,服務人員多，速度都很快
Lena,5,這家真的很讚的藥局，很多東西都比一般藥局便宜，服務態度也好，唯一缺點就是超級狹小，但他們服務快速，沒什麼問題，只要我需要買東西，都優先找這家👍這家口罩實名制的量也多，不用帶小孩辛苦排隊
Audrey Britney,5,麻雀雖小 五臟俱全 服務態度好
johnson lai,3,藥價是比其它家藥局便宜些，但場所真的是太狹小了!
L K,4,服務態度很好、價位合理
Ming-Yao Liu,5,東西超便宜，價差也太多了！以前固定在某藥局買，長期被當潘仔不知，直到發現這裏，有些東西少了三分之一甚至一半以上，這家給五顆星都嫌少
Aaron Lee,5,有良心的社區藥局
孫小毛,5,"很有醫德的藥局，藥師非常有耐性。
買指溝炎的藥才40元還講解的很詳細，其他藥局都會推貴的藥。

大推有良心的藥局"
Chen Manniee,5,董家二姐本身是營養師非常專業態度也親切～少東也是專業帥氣的藥師，雖然店面不大但藥品齊全，相關健康護理諮詢服務也都挺周到的！只是人多要等一下下～～
shing hong Chou,5,有些藥真便宜，服務好。
人腐五六,5,藥品齊全又便宜 藥師態度很好也很認真的提供諮詢
John chung,4,服務好，價錢合適！
Anna Lin,5,"服務非常親切,家人買藥的第一首選"
吳亞筑,1,"東西貴到離譜到家了,上一次當以後不會在去買了..."
黃婉婷,5,價格比外面便宜，董家的藥劑師非常熱心講解，針對個人體質推薦適合的，在那學到不少營養疾病相關，店內總是一堆客人。
謝Gina,4,買保健食品給媽媽，店員親切有耐心，意外獲贈一組精美實用大瓷碗，開心！
Miok Kimura,5,店員、藥師都蠻親切的服務，價格便宜，而且有賣理膚寶水啊！～
PAPAC,4,東西超多，想買什麼直接問店員或藥師吧，比連鎖藥妝店便宜一些
Suny Su,5,生意很好，價格便宜
yushan wang,3,非常迷你的店面卻擠滿藥品，好幾位服務人員，總是塞滿許多顧客在等候。
Miss Chen,5,永和地區藥品，保健食品最齊全，且消費不高，藥師會詳細解說
Sally Seeds,5,專業的藥師們！非常有耐心 推薦的藥都很有效
馬克,5,生意好，服務客戶也很專業迅速
常芬,4,小店面 藥品多 比一般藥局廉價  藥師都很親切
汪仁傑,4,"藥師服務親切,藥品齊全價優"
G C,5,藥很便宜，媽媽很愛去
Neele Wang,5,產品齊全，藥師服務好
kyo huang,5,價格沒話說，還會衛教
Andy Ho,3,價錢合理，內部空間稍小
常恆龍,5,要啥有啥 服務親切 價廉物美
Sung Kai Lin,5,"價錢公道,服務也好."
aco wang,4,藥便宜很多，只不過空間稍擠一點
Jason Wang,5,老闆人很好 東西多
彭識穎,5,藥膏便宜
tracy hung,5,專業，便宜
海牛,5,讚而已啊啊啊
Emma Tu,1,超糟的藥局
林雪碧,5,店員人很好
林聖淵,5,"(由 Google 提供翻譯) 佛心超便宜

(原始評論)
佛心超便宜"
夜雨聲煩,5,"(由 Google 提供翻譯) 便宜又好用

(原始評論)
便宜又好用"
eason chen,5,
林尚緯,5,
王丹,4,
Wang Sam,5,
Grace Yu,3,
wei yun,5,
chiuyu Yang,5,
Moo De,1,
Siz,1,
胖喵,5,
zhong gon wang,1,
Chalie Tsai,1,
阿黏黏,2,
Patricia Ho,3,
永生,1,
don Huang,5,
Hower Cheng,5,
張惠敏,3,
林榮祥,5,
Vicky Hu,5,
Ting-Hsuan Hsu,5,
王韋,5,
Tu Maggie,5,
Shaol! Hong,5,
劉又中,5,
王靜以,5,
Ying MW,4,
張曉文-城市,5,
