author_name,rating,text
YiChen Chen,3,2021/04/26，中午初訪，離公車站不遠，捷運站要走一段，人潮還行，買了外帶有特價的水煮雞肉便當，食物配色不錯，口味跟口感還行，不過大概主打不是便當啦，所以便當吃起來比較一般般就是，整體來說，價格不貴，口味OK，青菜量少，其餘正常
Catalina Traveler,5,"通化夜市附近的巷子裡，有一家社會企業餐廳
用餐環境特別舒服，店員服務很好，都很親切
餐點超級便宜～義大利麵只要100元起，價位太佛心了！
非常喜歡這裡，很舒服的店家，東西又很好吃，CP值太高了！"
王品驊,5,"青醬口味較清淡但清爽有香氣，個人覺得加起司粉味道更加圓柔
桂花奶紅去冰微糖香氣甜度適中，超大杯
小禮物手工巧克力布朗尼超好吃！！
推推👍🏻"
kyler Zou,5,"吃到一半才想到要拍😅
跟想象中的蒜泥白肉不太一樣，是剁碎的蒜頭
但是超夠味超好吃😍😍
甜椒跟小黃瓜調味很棒，口感脆脆的👍🏻
地瓜超級甜❤️
紫米是我最愛的粒粒分明的口感～～
推推👍🏻"
Kevin,5,"試吃囍餅，巧克力的都滿好吃的，而且不會太甜。
附贈的飲料也很好喝~"
10 chubby,5,溫馨小店，服務人員大多很年輕，態度親切有禮，店內裝潢簡單溫馨，窗明几淨，據介紹是一間友善弱勢就業的社企餐廳，單純的蕃茄義大利麵份量足，麵Q彈，香氣迷人，主廚功力不弱，各餐點皆現做，需稍稍等候，第二次外帶時，正是晚餐高峰時段，多等了一下，服務人員很客氣的提供我手工餅乾品嘗，不得不說服務真的很貼心，看到服務人員專注製作的飲料，似乎不錯喝，下次有機會再補上心得
Edward Chiang,5,老闆人很好，我誤闖下午茶時間還是幫我煮義大利麵😅東西好吃，下次還會帶朋友來！
林郁雯,5,店內環境溫馨，店員服務親切，很喜歡這間店的創辦理念以及正在做的事情👍，而且不論是青醬炒飯還是桂花奶紅、甜點都很棒，cp值超高的！
蔡穎欣,5,"cp值超高的餐點，
有義大利麵和炒飯可選，青、紅、白醬都很讚。
桂花奶茶超好喝，花香濃郁。
用餐環境舒適，店員和藹親切，
販賣的手工餅乾口味多樣，送禮自用兩相宜。"
謝佩玲,5,"新產品-水煮蒜泥白肉
紫米是我喜歡的偏硬有口感、地瓜超甜、肉片調味很棒。"
謝佳欣,5,"超好吃，餐點不油膩、服務超級讚❤️
大推喜歡吃健康系列的朋朋～"
楊珽淯,5,最喜歡的餐點是松子青醬雞肉義大利麵。用料實在、口味健康清淡又好吃。推薦！
周品樺,5,"松子青醬雞肉炒飯好吃，食材新鮮份量足
認同社會企業理念，協助身心障礙者就業"
a0938507124@gmail. com徐子恆,5,青醬雞肉義大利麵清爽好吃 飲料也很好喝 店員服務態度很親切 大推~
胡喻翔,5,喜歡囍歡樂芽舒服自責在的工作環境，倡導與身心障礙者共創的精神也很值得鼓勵！
Nancy Lee,5,紅醬雞肉義大利麵很好吃，價格又實惠，而且是社會企業喔！
張庭嘉,5,飲料很大杯又很好喝！CP值高！環境也很棒～100分✨
Lucaz Zhao,5,"餐點非常好吃！
我點的是松子青醬鮮蝦義大利麵和松子青醬鮮蝦炒飯，青醬的味道非常濃郁，尤其鮮蝦真的好吃！
值得一來再來，價錢也很便宜！
推薦給大家～"
簡岑庭,5,"▪️位在101/世貿捷運站的小巷弄內，是間社會企業餐廳，販售義大利麵、飲料等，店內位置不多約20個，但當天假日晚餐時段去尚未客滿，用餐還可以順便做公益
▪️義大利麵有清炒、紅醬、白醬、青醬口味，點義大利麵享飲品折價10元，餐點約在100-220元之間，加麵不用錢👍

📍蒜香鮮蝦義大利麵(NT160)：蒜味不會很重，味道適中，蝦子有4隻而且非常新鮮，加麵後的份量差不多八分飽

📍桂花紅茶(NT25)：微糖不會太甜，有一股桂花香，很自然的味道"
王煜翔,5,"很有愛心的店家ヾ(*’Ｏ’*)/
關懷弱勢還有環保習慣，和好吃的義大利麵🤤🤤"
黃琬綺,5,"紅醬雞肉義大利麵好吃！
烏龍拿鐵加蜂蜜珍珠很好喝😍"
潘頭頭,5,溫馨可愛的小店，義大利麵份量超大，口味清爽覺得很棒❤️
紅鈕扣Yvonnecheng,5,"這是一家非常好吃的社會企業的餐廳喔♥️
主要有提供義大利麵跟飲料～
下午14:00-16:00是下午茶時間，
飲料有打9折♥️♥️♥️
能夠來到這邊是因為剛好今年暑期實習跟服務對象們來這邊體驗他們參加的就業實習，所以如果來這邊消費的話，幸運一點就會剛好碰到他們在學習，這時還麻煩稍微等他們一下喔👍
店員們都十分親切～大推大推😍😍😍
Ps.個人最推薦的飲料是起司桂花拿鐵奶蓋🎉
大杯是有點小貴😂 但CP值超高誒！！！
當初是想說讓自己的學員可以練習找錢順便買杯飲料，想不到喝第一口就整個停不下來！！
真的很讓人有一種「活過來」的感覺😂🤪
一定要點「微糖微冰」🥰🥰🥰"
李友熊,5,飲料清爽好喝，裡面員工親切好客，是一家氣氛很好的咖啡店
吳芷郡,5,店內裝潢溫馨可愛，店員親切熱情，最重要的是餐點cp值超高！還有許多口味的手工餅乾可以選購，很值得來的一間店！
周書絃,5,抹茶青青奶蓋和烤布蕾琥珀奶茶奶蓋都是我的最愛！~滿滿的幸福感！
庭瑜,5,謝謝你們提供身心障礙者有安心工作的地方🥰好囍歡！
Rita,5,服務用心，餐點美味，經營理念更有意義！
周品繐,5,最近剛換了新的裝潢，菜單也有新增特別的青醬炒飯唷
You Jhen,5,"蝦麵炒的很好吃！！
尤其是蝦子 很新鮮～
環境也很好
好吃做公益☺️"
貴琇謝,4,蕃茄鮮蝦義大利麵份量十足，蝦子也很新鮮，服務態度很好，飲料也好喝，是一間社企餐廳，下次有機會再與朋友來用餐！！
bess,5,東西好吃，兼支持公益！環境很溫馨很舒服。
賴佳靖,5,很棒的理念、想法的付諸行動！飲料很大杯很好喝！
KJ富凱,5,感受到漂亮老闆娘的親切，飲料桂花香很濃郁
楊翊勤,5,"平常經過常來這買飲料
特調的品項都很清爽好喝
愛玉珍珠也和其他家的口味不一樣
滿特別的 最推薦輕窈一下!
這次點了鮮蝦義大利麵
蒜香很足也不會太油膩
搭配飲料很滿足"
LI ZONG XIAN,5,在忙碌的城市中，有一個如此休閒的地方能放鬆身心，極為舒服。
Yangboy,5,新品出了磅蛋糕，有檸檬和芝麻豆漿口味的～
袁秀菊,5,"雞肉便當好吃，讚
健康無負擔，cp 值高"
黃郁涵,5,"琥珀紅茶很好喝
四季青茶也很好喝
有社會責任的企業"
周庭羽,5,超級好吃～～～（蛋奶素推推🥰
噹噹,5,餐點好吃口味不油膩，吃得出食物的原味鮮甜，非常推薦👍🏻
陳杰貴,5,"青醬味道很特別, 已再訪多次！份量足還可以免費加麵喔"
3Sheng GD,5,"Friend Recommend! It’ll be glad to share with friends!
認真得營運團隊與用心的食物！
非常適合在這相約用餐、訂飲料送同事，參與社會支持的同時，內涵與聊天深度也瞬間提升了😎"
shao-jung wu,5,餐點好吃，餐廳內有販售小物及點心，可以幫助身障朋友就業。創辦人很用心，希望大家能支持囍歡樂芽永續經營。
盧元和,5,清爽不油膩的餐點，抹茶青青奶蓋好喝，有特色。
夏目漪冷,5,烤布蕾琥珀奶茶奶蓋好好喝唷
