author_name,rating,text
Samyu Wang,4,"細緻滑嫩又香又Q的板條拌上油蔥調味 香氣十足
加上店內提供的兩種辣椒醬又香又辣,
再滴上幾滴美濃粄條特有的小白兔烏醋
美味更是升級

從以前的半路邊攤,重新裝潢後成了小吃店
價位也跟著漲了
小時候最愛他們家的粄條
經過了多年,煮麵的員工換了好機批
老闆娘還在,但是不掌廚很久了
都在旁喇滴賽講電話
口感其實有點退步,但是基本水準還有維持
在台北市懷念客家美濃粄條的還是可以來品嘗一下"
Chuchu,3,多年前常常吃的一間小麵店，突然想起就繞過去吃晚餐，選坐在外頭，卻一直有垃圾水溝味道臭臭的（旁邊過去一點有堆放垃圾），餐點來了後更發覺和以前的味道有差，有點大失所望，點了一堆沒吃完就離開了。
曾芳儀,2,"前陣子剛裝潢好，但內用冷氣卻不開，現在夏天室外溫度32度以上，再搭配他們的小辣椒！只會在裡面下雨噴火，雖然餐點還可以，但不建議內用，可能不會再光顧了，熱爆了！！
另外有個客人想買辣椒問辣椒冰冰凍可以不可以，結果她直接很兇的罵客人“神經病”幹嘛冰冰凍，覺得這位女老闆非常沒禮貌..."
Mimi龍,4,"有重新裝潢後，
環境變得還不錯，
兩種辣椒放桌上，
讓客人自行取用，
一種辣，一種不辣。
整體而言，對我來說，
口味算還ok。"
SHYU EDDY (沛),3,可以加湯，工作人員很多越南人，做事愛聊天很不用心，早就點好了餐結果忘記做，直到發現怎麼其他人都上餐了，我還被晾在這裡時，才過來詢問
Zong-De Jian,3,餐點本身普通，以地理位置來看餐點價位算低，但是內用環境不算乾淨，建議外帶
Pu yuju,5,近年來吃過最好吃的生魷魚跟魚漿魷魚加魚酥羹，湯鮮食材也新鮮，其中的魚漿魷魚還是店家自製，生的發泡魷魚的脆度大小也掌握得非常適中，魚酥更是完全不必去淡水的👍，小菜也新鮮好吃，價格以我一個桃園人來說簡直不可置信的便宜，非常推薦（詢問過老闆，這個跟西門町那家小辣椒沒關係）
Sandy Lin,1,第一次來給人的印象就那麼差 有個老阿姨 態度不知道在差什麼欸==到底是要不要做生意啊 以後不可能再來
山海幸,4,住家附近吃麵的地方 生意不錯 不是排隊店
Simon Hsiao,4,雖然老闆娘要我去換零錢因為她把錢都給小孩所以沒錢找，我是乖乖的去幫她換錢啦，全家就在隔壁，孩好食物非常好吃，我就想換錢值得.只是我很想問，老板娘，做生意零錢要準備啊，且換錢該您換吧，這客服還有改進空間.
yoonyoon,2,"清湯粄條$60+燙青菜$30+海帶$25 +豆皮$ 25
有重新裝潢過，環境變成有一般小吃店水準了，可惜餐點口味大不如前，湯粄條很油膩，整碗湯都是豬油味，必須加入大量小白兔醋才吃得下去，不過粄條依然很Q彈。燙青菜淋的肉燥完全沒任何香味，小菜更是非常一般，甚至覺得偏難吃。腦海中最美好時期的小辣椒已經回不去了。"
邵永泰（鳳凰騎士）,4,這附近人氣很高的麵攤，價格還算合理。味道也還不錯，是屬於吃過還會再來的店。但是不屬於值得專程跑來吃的店，
Curtis Lin,4,價格 口味 鮮度一起考量的話  可以作為平日三餐裹腹的選擇  但自從店面改裝後  座位雖然舒適了許多  但板條的口感明顯退步退步了很多  可惜了...
邱群燕,4,客家小吃，上菜很快，味道清爽可囗，還不錯吃！辣椒醬好吃！
August July,1,"路邊攤小食卻有店面中高價格，一碗花枝羹板條要80元，板條處理不夠Q彈，外帶回去吃還是硬硬的有些還黏在一起更硬，湯頭不錯有點小甜，有時候路過會看到有小強在爬行這家小販，如果腸胃堅強的人可去試試
2020/09更新：換冷氣房裝潢後，整個份量更少價格不變，但更難吃（不論小菜或是羹湯）。更看到店員直接沒帶手套用手抓小黃瓜:(。"
Canny Lin,4,"板條好吃辣椒好吃嘴邊肉好吃
服務態度也不差
上餐很快"
lilian kuan,5,客家板條 Q 彈有勁，配料香肉片恰到好處，豆乾好吃，傳統美食口味下次還會再來。
張淯喬,4,一開始經過沒什麼注意，結果發現辣椒醬是美濃粄條專用的醬，一個很興奮的進去吃，很難得可以在台北吃到道地的粄條，尤其是那個辣椒醬根本就是美濃粄條必備辣椒醬，雖然湯頭似乎還是少了一個味道，不過已經還原了85%整體來說算很不錯了，台北物價好高，一碗粄條要60😭
黃鵬運,5,老闆娘很親切我跟老闆娘是幾10年的老朋友老闆娘是高雄旗山美濃人他的板條超好吃的還有他的劉魚羹湯很好喝小辣椒魷魚羹湯有口碑員工也很親切他們也很講求衛生條件所以大家可以去吃吃看
De-Lien LAI,2,羹湯的味道很普通，料也滿少的。
Harry King,2,店員背對著我，甩了我外帶的粄條在桌上，頭也不回的走開！粄條是Q的，但醬只是醬油膏，這樣賣60元？！什麼鬼店員😒
李宗憲,5,食材好吃的沒話說，含小菜
kuku,4,點了魚酥板條羹，羹湯的味道很不錯，夠味也不會太鹹，魚酥也不難吃
志鴻陳,4,嘴邊肉跟大陸妹的表現非常好，肉紮實量多、菜很新鮮，不錯魷魚羹麵反而覺得一般
Oscar晧恩（高晧恩）,5,個人評比大安區最好吃的魷魚羹 加飯加麵加粄條都行
圓圈圈,4,"東西很好吃，價格也不貴。
整修之後內用區很乾淨而且還有冷氣，相當不錯。"
范彼得,2,"這家店我吃了20年左右，本來同事，朋友問我如果想吃道地的魷魚羹改去哪裡？
我都會毫不猶豫的回答：小辣椒

但是近期...(這幾個月）魷魚不再新鮮了！

羹湯不再濃郁香氛（我說的不是採用大量勾芡產生的濃）簡單講：工序與用料不再從前！！

雖然改為有““冷氣房””而不像以前那樣坐在巷口路邊吃，但重新裝潢之後的小辣椒，突然變的很““觀光客””！

如果長久下去...小辣椒將會失去許多老一輩的饕客（儘管一般外行人或者年輕人會慕名而來）但我覺得這是料理界之憾！

名聲響亮了之後就亂來了！"
Oren Hu,5,"吃到一半，有人來跟老闆娘討債
壓力好大啊。"
Joy Yu,3,羹湯好喝，但是小菜份量很少。
陳昊,3,"吃很久的老店，但是自從店面裝潢好了之後，從進入店家到點餐拿餐具的動線沒有經過規劃、櫃台人員以及場內的SOP流程的效率有待改善，現在還多出了送錯餐的問題（以前沒畫單的時候員工頭腦反而清晰？），我是真的很喜歡吃你們的滷肉飯+油豆腐+嘴邊肉+赤肉羹+乾板條+魚酥羹，所以才會在GOOGLE評論上指出我觀察到的問題，希望小辣椒能夠正視並且改善，GOOGLE評分3.5不是黑粉刷出來的。
BY THE WAY , 我這三分是給店裡面的冷氣     BY 真的很喜歡小辣椒的人"
洪翊傑,4,兩三年沒來了，新裝潢過了，好吃的銅板美食依然好吃
Rosalie Yu,1,CP值低，羹湯味道怪怪的，不知道是不是有什麼神秘配方；板條很一般不知道在推薦什麼。
yuchiao wang,4,傳統小吃～便宜又美味！生意很好，不過環境就一般般嘍
安安那裡奇怪,2,"好久沒來
心血來潮吃一下
結果點了生魷魚羹，吃起來像醃魷魚羹
湯頭不對，小菜的味道也不太對
大概只剩下辣椒是Ok的
可惜了"
Hans Wu,3,重新裝璜後比之前整潔
湯凱程,3,老牌的店家  但是品質沒有維持原本~ 但是價格倒是一直漲價.....   十幾年前還會看到老闆娘在那邊邊做邊吵架  但是東西很好吃  現在有點難回去了
張瑋庭,2,"湯不錯喝
但點餐態度不是很好 真的..."
傅裕惠,2,已經是老客戶了，對待客人尤其是一個人來吃的特別不周到，說趕就趕客人，應要讓給別人。非不得已可以不用來吃，會影響心情
Ya Ju Chuang,3,太晚去沒吃到粄條😭
Mac Wong,4,板條、小菜都不錯，羹反而覺得還好
Chou Dairrene,1,"點魷魚羹加意麵，第一次給我送來魷魚羹麵，第二次湯意麵....完全不知道他們耳朵在聽什麼！！！想趕快去上課只好吃下去了，真的很傻眼
Btw，很油！！！！超級"
社會觀察家,2,改裝之後，空間比較舒適，但價格也漲了，而且東西感覺也變少了，最差的是，沒按順序出餐，晚點餐的人反而先出餐。
ANNA Lin,2,環境有變更好丶但東西變更不好吃了
EVELYN WU,5,"從小吃到大 最愛乾意麵配生羹湯 還有一訂要點一堆小菜才過癮
下班晚餐的好去處
口味好 老闆娘很親切 辣椒很夠味 推薦大家~"
chang shengchi,3,人很多，上菜速度快！味道還可以。2020.3.5再訪乾冬粉50元有附三片肉，桌上的辣椒夠味，適度的加。整體價位是高的。
Iju Hsu,4,烏醋用白兔牌好讚，不過醬油膏太鹹了
曾莫敵,4,"單價合理用餐環境整潔,餐點份量跟味道都不錯,老闆娘態度也好"
林君庭,5,"身為台北人 認真覺得是台北最好吃的食物前三名
吃了近15年了
一定要加小白兔醋  好吃到會哭出來"
廖榮達,2,內用，覺得CP值低
I Chen Lin,4,越來越有秩序，不錯喔
Sui,4,這是我最喜歡吃的魷魚羹，尤其是辣椒，辣椒醬，烏醋，用的都是台灣老牌子，配上小菜，超級對味，會讓人懷念.由於是開放式空間，夏天會很熱。要有心裡準備
Sonia Yang,4,"綜合生魷魚肉羹湯：湯好喝，酸味剛好不用再加烏醋。生魷魚肉厚，肉羹最讚裹粉少咬下去肉汁明顯，好吃！
乾拌油麵：香且味道平衡滋味好。
滷肉飯：比較像肉燥飯都是瘦肉，但滷汁拌飯不錯吃。
滷拼盤：較為一般，但店家自製的辣椒醬很香。

難得吃到口味和的肉羹湯，收入口袋名單。"
JEN-YUNG HUANG,3,"以前想到都會回來吃一下
有好吃的生魷魚羹跟意麵
但這次回來有點失望
幫媽媽點了綜合羹加粄條
裡面只有兩顆魷魚羹粒
外加一條生魷魚其他都是粄條
這樣一碗已經漲價到80元*_*"
Caren Tsai,4,"最愛科技大樓站這家的小辣椒，
生魷魚羹米粉每次必點，
小菜也會推陳出新。
用餐時段一位難求喔！"
李建勳（建勳顧問）,3,"外國客人頗多，魷魚羹紮實不錯吃。
小菜部分就還好。

環境衛生部份，衛生紙時常沒有，二樓說在一樓，一樓說沒有。 這感覺只能說，國民外交可能需要注意。"
Alexander Kang,4,魯肉(肉燥才對)不錯吃
歐Bill,4,店家態度相當良好，餐點還不錯。
Rich. H. Goh,4,便宜的小吃攤.....  很有味.
Tsai Li Chen,3,口味還行，但價位偏高。吃完總覺得少了些什麼，又去買了蔥油餅
Hsu Derek,3,魷魚其實不太入味 口味一般般
李靜亞,5,地道純客家口味板條！
艾文兄弟,5,"一進門就聞到濃濃的香味
超好吃😋"
娜娜,1,很久沒來只記得又小又貴 今天 我家女兒建安國小下課想吃魷魚羹湯，我想說來這家看看結果湯裡有點辣，問一下外面站台阿姨忙著滑手機態度很不好，過五秒好像有哦是什麼回答，再好吃的店你也會有一天客人越來越少會倒閉
JJ JJ,1,換了老闆之後味道也變了，很懷念以前的好味道，現在都是味精的味道，魷魚吃起來像橡皮筋
Jimmy Tseng,3,蒜味再多一點 更好
張俊偉,3,"我覺得還可以
吃完沒有記憶點"
Ru-Fi Chang,3,還不錯吃
Andy Yu,4,態度差（2019.10.23用餐，老闆娘態度進步了），麵食和羹類不錯吃，小菜不便宜～
CHIA-CHIEN TSENG,5,乾板條好吃，配上老牌辣椒醬，懷念好味道
陳惇旻,5,"每次路過都看客滿
這次趁人少第一次來品嚐看看
魷魚焿真的好吃
第一次來吃就遇到老闆娘過年前免費送我一盤小菜，真開心"
ChuanYu Wei,3,口味不錯，但環境及店員不太優。另外，店員常常忘記有跟他說不加香菜
賴小峰,4,和平東路上的老店比較好
劉菲,5,肉羹飯再加上一份魚酥，拌著桌上無限供應的豆豉辣椒，無敵美味的！
I Chun Fang,5,板條晶瑩剔透Q彈好吃，魷魚清羹湯頭清魷魚鮮，推！
台南圓仔,4,魷魚Q彈，湯頭不過甜，滷菜便宜好吃
艾倫,1,麵裡面有蒼蠅 😒
