author_name,rating,text
勒亞,4,位在師大夜市頂好超市旁，可搭捷運至台電大樓站。空間約20來坪，雖不大，但可找到想看的書，值得逛一逛。
Wan Yu Chen,5,書籍種類很多，還有座位區，也有很多特價中的書，很值得來挖寶
Natalie Liu,5,室內擺置書籍整齊，有新書、二手書；二手書的書價格合理。特色在於人文類（政治學、社會學文學等）、藝術類（建築、繪圖等）的書籍。這個書店的地址很好，在師大夜市附近，買書後可以去逛夜市。
王珮宇,5,"很多書籍整理的很乾淨
也很整齊的分類
還有位子可以坐著看書👍🏻👍🏻👍🏻"
曾雅鈴,5,"書幾乎都是新的
標價直接半價
然後滿額會員再打折
不過書真的很多
要花時間找
裏面也有很多張沙發可以坐著看書
空調開很強"
eo倫 L,4,"店員（1/12櫃台男店員）態度極佳，
店內空氣佳，
書沒什麼整理，可能是剛開幕以至於還沒整頓，
價位美簾，可常尋寶"
李欣樺,5,"位在師大路的頂好與屈臣氏中間的地下室，雖然是地下室但空氣很潔淨，也很涼爽。

門口有一些稍有年代卻書況良好的古典外國文學類，都結帳完才看到，且價格平實有點可惜啊

裡頭有$20，$50的挖寶書區，這部分因為，有書名的那側沒有一致朝外，導致必須冒著整疊高高的書塌下的風險，抽出底下的書.....腰比較好的人可以考慮挖寶^^""""。也有一些以前的出版社出版的翻譯西洋古典，還翻到幾本只有上集、遺失下集的書😪，真是有點可惜 …"
熱敷袋鼠,4,很多不一樣的種類，新書舊書都有，空間很舒適
Semine,5,兒子超愛去挖寶，但其實是把這當小型圖書館🤫有想要找的書找不到，詢問服務姐姐，都超有耐心幫忙找，還會推薦孩子書籍呢！！服務超有耐心～
Jhou思嘉,5,"尋寶的地方，買到好書了
書況不一定，但整體是乾淨的"
慶瑞謝,4,服務親切，光線明亮，有沙發椅可坐，沒有書的霉味，歡迎光臨，如果你有需要，
傅畝,5,安靜又可以小聲討論的環境，被書環繞的感覺，尋找寶物的樂趣，都是在這裡可以體驗到的書卷氣。
Cing-Huei Wu (吳老師),5,"會員要滿五百,就可一八五折優惠,各類書籍很多,又提供座位,可以慢慢看書挑選,店員也都非常親切,坐捷運過來是在台電大樓站三號出口最近"
林俐嫻,5,棒，可挖寶
薛力維,5,書籍多元，非常棒
Chiu Ping Lin,5,可用藝FUN券，用藝FUN券還可免費任選2本標價50元的特價書！
劉啟佑,5,底下空間意外的大，藏書豐富但理工科類較少
但以理（Dane）,5,"用藝FUN券買東西，店員很詳細解說如何結帳。
以及這店可以用街口支付，超級方便。"
Siang sheng Hong,4,"環境美美ㄉ好像在逛誠品
然後也有冷氣涼涼的ㄛ
買了一些怪書到現在還沒看"
Paul Kuo,5,"找二手書的好地方!!! 如果有會員, 買書還可以打85折, 更划算; 即便是二手書, 書況都蠻好的; 店家時不時都有活動, 店員也相當親切"
Leo Chang,4,二手書籍歸類明確，明亮的燈光和舒適沙發提供讀者悠閒的選購~
白少凌,5,可以尋寶，有黃金屋
Michael Huang,4,店面在地下室，但很寬敞，還有很多沙發座位，二手雜誌很少。
怡臻黃,5,陪我度過在台北的晴雨時光，書維持得很好，價錢也很公道，很適合一個人來逛逛散心
Akami (魚),5,很多書可以挖寶
Stella Shih,4,雖然在B1 但環境還蠻乾淨的。商業類型的書與童書不少 ， 如果不趕時間想要挖寶地可以來走走。
陳怡蒨,5,書本的整潔度維持的很不錯，不會有二手書的感覺！且價格合理。
Ling Tan,4,書籍眾多，有沙發椅可坐
Mars Hsieh,5,道地的味蕾饗宴
Jerry Wang,5,來這裡挖寶撿便宜，藏書豐富
mu mu,5,台大、師大周邊目前個人認為最好的二手書店。書多、種類多，環境乾淨，空間算寬敞而明亮，書的折扣多也優惠高，花點時間看看或許可以買到不錯的書，是一家每過一段時間都會想要過來逛逛的二手書店。
孫俊宏（米果 阿宏）,5,乾淨 舒適 挑書找書很舒服~
楊齊格飛,4,大眾書籍頗多，也有較為冷門的藝術拍賣目錄、志文出版社叢書等
葉耕宏,5,空間大，二手書整理得很好，愛書人的天堂！
