author_name,rating,text
Carol Lee,1,110元的打拋肉便當，打拋肉佔了兩格，很幽默
林承恩,5,"飯、湯、飲料可以吃到飽
獨門醬汁很好吃"
Joanne Leung,5,"來公館找吃的，從夜市的一端走到差不多盡頭，看到這家你看起來不錯的，小小的泰國餐館，點了個NT$120的碳烤霜降豬肉飯。

這裡白飯和蠻好喝的雞湯都是任取的，不怕吃不飽！豬肉很多配菜，非常好吃！唯一不太完美的是菜不那麼熱，對我這個香港人來說有點不習慣。

台灣隨處都有經濟好吃的！"
Dung Pham,3,頁面不是這家的店門、網路照片也很多不是這家的菜色😞網友給點評也要弄清楚是哪家店好嗎？被騙而來了！！
姿婷王,1,超級難吃，花了110塊感覺沒吃什麼東西，咖哩裡面兩塊雞肉，對你沒看錯，兩塊！！醬汁一般，跟7-11一樣。店裡有股不知道什麼怪臭味，很悶的臭味。男友吃的雞腿肉還可以，那個咖哩真的不知道在幹嘛....真的第一次來師大就被當盤子，110不知道在貴什麼
chi chi,4,每次來吃都吃雞腿跟霜降豬肉，雞腿軟嫩入味，霜降豬肉雖少，肉質鮮嫩爽口，尤其搭配獨門醬汁(有梅子酸甜感），更開味。配菜普通，用餐環境尚可。
Vera,4,元富期貨公司訂的，碳烤霜降豬肉很嫩又夠味，有些部位帶筋有嚼勁，醬汁略酸甜很開味，配菜三樣，滿有特色的，可惜吃不到碳香味，可能醃過的豬肉味道偏重吧～被醬料蓋過去
Jack Hung,3,以前是平價且美味，而且白飯、湯可無限取用的學生取向餐廳。但多次漲價後，C/P值下降，只有在懷念學生味道時會去吃。
葉冠宏,1,"難吃死.... 菜是涼的、肉的醬有一股強烈臭酸味 用餐環境潮濕、悶臭。
$120 給我我都不要吃"
Elbert Liao,5,"不知道是錯覺還是⋯
每次戴金項鍊的老闆在時，烤的都會特別好吃，但是老闆不在就普普"
陳玟萍,5,回訪好多次，香茅豬排好好吃😋配菜都會換，位置不擁擠，可以好好吃飯的店家。
Amy Yang,5,雞腿跟松阪豬都好吃，白飯也煮的非常Q好吃，CP值滿高的
黃琦翔,5,內用可以一直吃白飯和喝雞骨頭湯，湯裡面的雞骨頭很多，也會有菜，菜每天不一樣，有可能是豆芽菜、高麗菜、白蘿蔔其中一種。
黃煜熙,5,"泰式雞腿飯就是要吃師大第一腿呀！
雞腿飯的醬汁真的是畫龍點睛呀！"
Ting,4,菜色不錯，但是餐具使用美耐皿，美耐皿只耐熱40度.......
陳俊佑,3,"飯湯自取還不錯
招牌的雞腿不好吃，反而是霜降肉片很不錯
推薦學弟妹來這邊點雞腿以外的菜單XD"
張淑華,5,泰式雞腿肉香，香烤🐷肉特別不會硬，配菜覺得有點少白飯湯無限享用
洪鼎睿,4,"雞腿是真的好吃
可惜配菜太普通甚至偏難吃
只好扣一星"
邱郁珽,4,"碳烤雞腿飯好吃，飯湯免費吃到飽
適合食量大的學生
湯裡的大骨每次都吃到很爽"
Kelly Wu,4,"師大第一腿
師大的學生應該都吃過
公館店的配菜感覺比較好吃有價值（上次我在公館買的有涼拌木瓜絲）
價格上公館的比師大路貴$10
師大路店裡面的位子比較小
厲害的應該是那個醬汁"
劉政達,5,雞腿好吃，醬汁有入味！
Eric Chen,3,"學生美食～～餵飽師大的學生
烤雞腿烤得入味、腿肉多汁
湯不錯而且飯無限供應"
黃柏軒,5,白飯吃到飽，肉也好吃
William Wang,5,"餐點看起來很可口,值得一試"
An Chi,5,好吃的東南亞美食，平價親民喔！
Mimi龍,4,"嗯 雞腿套餐100元，
算還可以，飯偏軟，
個人偏愛顆粒分明的。
可能我比較早到，11：20分，
再加上假日，
當時沒有湯品，
稍微可惜了一點，
有機會再來試試。"
Jane,4,最推烤雞腿110元。
Yung Yun Wu,3,泰式炭烤雞腿$100，雞腿跟醬汁不錯，有飯、湯、飲料無限供應，配菜普通。
Wei Xu,1,"全部的菜都冷的
菜吃起來感覺放超久
還以為在吃昨天的剩飯"
Ku jessku63,1,同伴點招牌烤雞腿還不錯，但我點了椰奶咖哩雞肉，真是難吃，雞肉還沒熟，還滲著血，好噁
Julie Wang,4,"在118巷，橘色的大招牌滿醒目的。
餐點的選擇不是很多，不到10樣吧，價位大致上都在100元左右，以118巷來說是性價比還可以的店家。
飯跟湯都可以無限自取，很適合食量比較大的同學，而且飯跟湯的保溫都還不錯。餐點的話跟一般的便當差別不大，最明顯的區別大概是主菜是以烤製的方式烹調，招牌料理就是做為店名的雞腿飯，醃製入味，是偏甜的調味，鹹甜鹹甜的，烤得很香而且肉汁有保留住。比較可惜的是搭配的副菜，保溫做得不夠好所以配菜會涼涼的。
內用冷氣還算涼，只是尖峰時段桌子會有點油膩，擦得不夠乾淨，坐下後要自己再擦一遍。"
何名柔,4,泰式雞腿好吃，配菜普通，飯湯無限量供應，可以吃很飽，環境普通
Chih-Yu Tung,4,餐點好吃，不過後面門那邊地板易濕滑，需小心
Frost Lai,5,好吃又便宜，白飯跟湯都可以吃到飽哦～
林家惠,5,環境乾淨，口味很棒，價格合理！ 碳烤雞腿好下飯！
陳昭蓉,2,看到配菜，就覺得店家做生意太不用心：小松菜（都是梗）、滷蛋一顆、紅白蘿蔔。太失望！
Red Cyan *,3,"看評論來的，只點招牌雞腿🍗吃看看，不敢點其他的怕踩雷😂 雞腿好吃是好吃，整體來說真的太少，裡面的菜一小口而已很節省...........相對飯跟湯可續。

假日人多，坐到靠旁邊的冷氣孔座位，可要小心了，充滿許多蟑螂爬來爬去......."
KaiDi Chang,3,回憶之一，但店內較為髒。
州,5,"好吃啊
嫌配菜的你還是看看你付的錢吧
大安區的東西 100塊有配菜就該謝天了
不要拿翡翠水庫以南的物價來比好嗎？
不同國家有匯差的"
Diego Lin,2,"烤雞腿超好吃  大推！
飯和湯 可自己添
但配菜很少  跟附近其他店相比偏貴"
林秉揚,5,常常來吃，很好吃
Bruce Kevin,5,烤雞腿超好吃
洪裕溪,5,覺得好吃👌
發呆新手,4,配菜三樣不可選，白飯、例湯無限量，內用座位在本區域算多。
貓小小,3,"上菜速度快 對於趕時間的人很方便，但若不趕時間則不建議
價位90~120偏貴，肉量中上且好吃，菜量少沒幾口就沒了，白飯吃到飽但品質偏乾硬"
卡比女孩KabiGirl,3,"泰式雞腿飯的雞腿還不錯，其他配菜普通，
泰式拌麵100元有點貴了！"
陳俊友,5,不錯，飲料、飯、湯可以吃到飽
Benson Chen,4,主菜不錯，配菜可以再更加強一些！
De-Lien LAI,2,"店裡用餐環境不是很好，油煙味很重地板還黏黏的，
外帶的話吃完有點空虛。"
CHUNHSIANG TU,4,"1. 餐點大部分都是90-100元左右
2. 飯、湯、飲料免費自取
3. 份量足夠
4. 口味就是一般便當的風格"
天天,1,多年前心中的高cp店家，如今便當一個要110，（晚上十點，店內無人潮，入店陪吃還被加收20元低消，點餐時亦無告知，重點是味道比以前差多了!師大第一腿的店名該改了吧!!!!
李宜閎,1,師大第一腿只有台大學生有優惠 到底是甚麼鬼 要不要改叫台大第一腿
阿若,4,比師大本店便宜 雞腿、霜降豬肉單點70（師大90up） 店內有可愛狗狗 不過小菜本店跟這家都不是太好吃 很適合單買肉回去加菜
K.D Wang,4,十年來第一次來，味道沒變.....但夜市人變少了.....
yu-ching Yang,5,雞腿好吃！
大頭奇,5,碳烤的雞腿好吃
tony kao,4,地點方便用餐，在人潮擁擠地點
陳冠良,4,內用無限飯無限湯無限茶水，窮學生的救星，主餐普通無亮點。
盧冠維,3,中規中矩，白飯可吃到飽，但內用吃完身上味道會很重
Vincent Tien,3,烤雞腿味道不錯，搭配沾醬頗開胃，配菜就感覺普普，只能說以價格取勝
Wang ChunPing,5,"怎麼會有人說美耐皿不能耐熱....
美耐皿加熱硬化塑形 …"
Tsai Wan-ling,1,"單點一份霜降豬排$120
比便當🍱還貴10元
但是肉更少"
Megan,2,"兩顆星是給狗狗的
店家態度令人不敢恭維"
Chloe C.,5,"酸酸甜甜的水嫩雞腿排
1.美味：🌕🌕🌕🌕🌗
2.便宜：🌕🌕🌕🌕🌑
3.方便：🌕🌕🌕🌑🌑（位置、出餐速度)
-
1.美味食物：點過這家店的雞腿排跟豬肉，都非常嫩，雖然豬肉看起來比雞腿排的份量小很多，但是配上酸甜又配飯的泰式醬汁，可以吃兩碗飯，還是可以吃得很飽
2.較小的座位：生意很好，尖峰時間常常店內很壅擠，要跟大家擠在一起吃飯，不過便當菜可以吃得很快，所以不用忍耐太久
3.無限續加的湯跟飯：湯跟飯吃到飽"
中望科技Eason大雄,4,泰式烤雞腿 酸辣口味很下飯
黃常斌,5,師大在地的美食，好吃！！
黃詠翔,4,內用可以吃飽的好地方，霜降豬肉不錯
Vic Chou,1,我外帶點了泰北打拋碎肉飯 95元肉的份量卻感覺只有65元 旁邊其他店賣的打拋豬份量都比你們多個3倍... 甚至比你們便宜... 這是第一次吃也是最後一次吃了...
张彬,5,好好吃的雞肉飯
