author_name,rating,text
泡泡魚,5,真心推薦元氣御守是很適合給有二寶的月子中心，有些月中有大寶可以玩樂的遊戲區，但在疫情腸病毒都流行的非常時期，沒有遊戲區反而是元氣的強項，避免交叉感染，大寶跟二寶不能接觸，如果二寶進房間前都要紫外線消毒，大寶白天要上幼稚園，週末可以去中正紀念堂，植物園，南門園區等走跳玩耍，中正親子館也離元氣很近，元氣的周邊可以買到各種餐點，先生跟大寶吃得很開心，更不用說從大廳警衛到櫃檯人員，打掃阿姨更到護理師跟醫生通通都態度十分親切，原本以為剖腹產後的自己可能沒體力上課，參加了寶寶明信片的粉彩 …
Pinpin Huang,5,"在這後疫情時代，真心推薦元氣御守！單獨的「寶寶電梯」隔離非爸爸媽媽以外的人，完全替寶寶著想。

我待在這整整一個月，我感受到裡面的人很盡責的做好自己份內的事務。就算你離開這，還是能接到他們關心電話，了解寶寶跟你是否都好。

推薦孕婦／還在觀看的人來預定，住進來會很不想搬出去！理由如下：
1.每天掃地團隊會短短5分鐘內打掃好你的居住房間；半個月會清掃消毒1～2次你的房間，不用擔心床單上不小心的寶寶尿漬／血漬無人清理。 …"
Heidi Yang,5,"大台北看了很多月子中心，獨棟或辦公大樓裡的都看過，真的只有元氣御守最中意。
大推，推薦原因如下：
1）寶寶照護：媽媽們在意的寶寶照護問題在這裡不用擔心，每位護理人員都很專業、具耐心與愛心，對寶寶的呵護不雅於家人。也會特別留意寶寶的每天吃奶狀況。護理師不強迫母嬰同室，一切以媽媽休養為先。每天護理人員會追蹤寶寶喝奶情況及體重狀況，亦會告訴媽媽寶寶的習性及氣質。
而護理師除了對寶寶照護之外，也會針對媽媽個人的傷口狀況做紀錄與追蹤，也會幫忙換藥。甚是貼心！ …"
謝瑋玲,5,入住30天之後，覺得可以推薦給大家，護理人員照護寶寶十分用心，除了水洗屁屁外也會幫忙曬屁屁，寶寶屁股偶爾稍紅一點都很快就退，推來房間自己顧時還會提醒餵奶跟不定時關切，有任何問題詢問都很詳細回答。此外，月中課程也十分用心，雖然貪睡只上到三堂但覺得都是實用的課程。其他打掃阿姨及工作人員也都很親切熱忱，讓人覺得熱在工作，消毒跟衛生工作也都很到位，除了紫外消毒外，護理人員到房抱寶寶前都會在消毒手，再加上寶寶專屬電梯跟管控政策，在此疫情時刻讓人覺得十分安心。
洪柏淞,5,"坐月子的好選擇
元氣御守產後護理之家裡面有非常好的服務及設備讓住在裡面就像皇太后一樣幸福
裡面有提供皇太后月子餐的餐點真的超美味的
住到都捨不得離開了"
Johnny Yang,5,"從剛得知老婆懷孕後，就開始找產後護理之家，也參觀過滿多間的，遲遲沒有下訂，直到來參觀元氣御守！整體環境明亮、乾淨！大面落地窗！立馬跟老婆說就這間吧，所以直接付訂！直接期待跟寶寶的第一次旅行，入住後果然不失所望！非常完美的體驗！友善的客服可以隨時支援需求，每位護理師都將寶寶照顧無微不至！也會有許多小貼心之處！讓我老婆非常滿意！打掃房間的阿姨也很熱情，也讓我們房間時常處於乾淨的環境！單獨的嬰兒電梯（非常安全）！常常跟老婆說，如果有二寶，元氣御守仍然會是我們的第一首選！

泌乳師非常厲害👍老婆說單一次的體驗就讓她開始擠奶順利，不過也要記得體驗課程，沒有收集母乳的責任喔！

如果要說一個缺點，那就是30天太短了！期待寶寶游泳🏊‍♀️"
Taffy Chen,1,"虛有其表只會做表面工夫的月子中心，入住26天感受不到這號稱六星級該有的服務與設備，大概只有價格符合吧......

入住期間三樓嬰兒室淹水，淹到整層樓走廊外還淹到一樓，水量之大我都慶幸我的寶寶沒被水沖走了；說房間是獨立空調實而不然，主機一對四要同一層樓的媽媽同時都開暖氣才會有作用；房內飲水機水龍頭滴滴答答影響睡眠，客服態度覺得我大驚小怪，強烈反應後才請廠商來修了兩次。 …"
HW,5,提早2週生產，在待產時趕快跟月子中心說，怕會沒房間可以入住，月子中心周到的客服，在知道我們生產時間後，協助幫我們先安排其他的房間，讓我們從醫院拖著疲憊的身心得以休息。 …
Chiehting Chen,5,"回想當初拿到媽媽手冊立刻飛奔元氣御守簽約⋯因為真的一房難求啊！入住後果然每個細節都很讓人滿意。

房間坪數不大, 但空間感規劃及採光都很好, 完全不會有壓迫感, 讓人覺得很安心。

每週都固定有院長及小兒科醫生巡診, 除外, 親切的護理師也會進房衛教, 所有育兒疑難雜症都問的到。而媽媽教室的課程規劃也很用心, 場場爆滿。

產後入住期間, 媽媽覺得身心靈都有被療癒。
無論是要洗頭 做spa 或疏通乳腺都有專家服務。
元氣的團隊- 護理師 客服 醫師 房務等等都很貼心關懷產婦, 產後覺得一點都不憂鬱了呢！謝謝您們的用心！"
Syuan Lin,5,"入住元氣30多天，完全不想退房😆
1.客服人員態度客氣服務佳

2.房務阿姨每天都會清掃房間，如果房間顯示請勿打擾，阿姨都會電話詢問何時可以清潔

3.嬰兒室的護理師更是專業，對嬰兒也很有耐心，請教問題都可以耐心解答，會盡力的協助想哺餵母乳的媽咪

4.入住一段時間護理長會到房間關心媽媽的狀況

5.小兒科醫師巡診時都會來電告知媽媽寶寶的狀況"
