author_name,rating,text
JYUN,5,老闆…很會…介（推）…紹（坑）…新書…。有很多首刷，挖寶的好地方！
Ringo SS,5,已搬遷到溫州街79號，稻咖哩隔壁、多多小吃＆明目書局對面。
唄阿（DEITY）,5,雖然搬家後跟之前比笑小了許多，但是基本的書籍還是不太會缺少，老闆人也非常的親切
Luke,5,"小草(≧∀≦)
店面很小
店員不會來煩
會根據情況打折或是贈品（沒有公告的，我結帳才知道）
之前買過花語1-6
這次買番外就三本400"
羅可芸,5,GOD！原來搬家了！小時候的愛店💞
Tzu-Miao Pu,5,跟舊店比起來空間縮水不少，大家快來支持實體漫畫店啦！
Cloud Liu,5,服務親切，購買漫畫好地方。
破空,5,"本店藏有豐富且多年之各式動漫產品 周邊 甚至還有臺灣自出的小說可以支持made in Taiwan 若要尋找舊的經典番或遊戲周邊 限定的多年的收藏可以來找找 老闆很興致勃勃的分享累積的收藏。也可以預訂書籍之類，甚至參觀FF 由於目前位於新的店址許多產品尚在倉庫無法盡數展出，也可以詢問
來這根本就是各種記憶力大考驗跟回味過去，畫風的多年變化，放了多年依舊精緻的作品，海報，全套卡片……"
WenQi Zhong,5,要找懷舊老物，畫冊、海報、公仔、小說、收藏卡等等的周邊，一定要來看看，而且老闆人很好，價格比清倉價還要甜～
j idrwm,5,老闆人和善，除了低廉的價格外還有許多有用意見，推薦給想找較難搜尋書籍的人
黃彥深,5,仁愛路4段300巷的老店嗎！！1992漫畫附錄廣告發現的。
楊承霖（燦笑）,5,改地點了，新店地址：106台北市大安區溫州街79號一樓，招牌不明顯，要多加留意。
Tseng Willy (IRA),3,換到新位置，google地圖有時候標示會錯誤，找找隔壁巷子
Amanda Lin,5,老闆人很好，搬到新地方後比之前明亮很多
朝千羽,5,老闆一樣親切，買場刊都來這裡。
Victor Lee,4,雜誌種類很多，但我最後還是在博客來買新書
煞氣A最大直肥宅導師（肥宅魔導師）,4,挖寶好去處
YU-SHIUAN CHIEN,3,"看評價都還不錯
今天第一次去買場刊
店員除了收錢外連頭都沒抬起來過 覺得被當空氣...
有點傻眼就是了"
Lee Tanya,5,買快樂的地方😍
sharon lai,5,小時候來這撒錢，長大後還是繼續來 😂挖寶尋回憶的好地方
カクテル,4,"老闆人好
買場刊很方便
希望一直能經營下去"
louis無限挑戰和生活,5,老闆請的員工爆好，推爆
LIU CHARLIE,5,老闆人很好，二次元的挖寶聖地
i999ok,4,很微妙的店家 超級凌亂可是藏著許多連老闆都不知道在哪裡的寶物
Super 106,5,請問有賣海賊王嗎？
趙偉儒,5,價格公道品項齊全
chian-jiang chern,4,"時代的眼淚滿載
買書好地方"
劉桓忠（楓色之秋）,5,老闆很健談！！可惜沒來過南部啊……
Po Hsiang Yang,5,宅宅必經之地✨✨
Cheng Da Lin,5,店長人很nice，老司機AWA
喵瓏,4,"在2樓，除了菸味不舒服
真的是很棒的動漫基地"
Huang YuHan (Jerry),4,老字號的的動漫基地，位在2樓，很多周邊跟同人商品
REX,4,能夠購買場刊
Garro Lan,4,在2樓，賣很多動漫商品。
張祖銘,5,可以找到喜歡的書
Yu Hsuan Kao,4,老字號動漫同人商品販賣店
Ming Tsay (小喵),5,服務態度不錯，多年來買場刊的回憶
lu bubu,4,買CWT場刊的地方
鍾旻樺,5,還不錯
Servisto de dio,5,換店址了
楊書齊,5,溫馨
范植添,5,動漫相關的老書店
Gina Moomaw,5,"(由 Google 提供翻譯) 店主很客氣！您絕對可以在這裡找到一些寶藏，尤其是90年代或2000年代早期的老式動漫！

(原始評論)
the owner is very kind! you can definitely find some treasures here, especially old school 90s or early 2000s anime~ it's for a sure a trip down memory lane!"
Dante Chin,5,"(由 Google 提供翻譯) 看到很多時代的眼淚。買一隻雷姆回去XD

(原始評論)
看到很多时代的眼泪。买一只雷姆回去XD"
