author_name,rating,text
Grace Liu,5,"溫蒂漫步讚啦
推薦站到後面一點
有高台
比較不會那麼擠 也比較不會被擋到"
Liam Chiu,5,最近冷氣都有開了！給五顆星
Nico Chen (Chipmunk),1,永遠不會在表訂開演時間讓觀眾入場完畢，浪費數百位觀眾的時間。
琳睛,1,"1. 可能有消防安全疑慮，請重視逃生路線：
從樓梯旋轉下B1，樓梯寬度大約一扇門寬，再經過繞圈、繞過Bar 桌椅及器材等物品抵達演出空間；演出場地雖有兩個逃生出口，但也都只有一扇門寬，且兩個出口其實都只通往一個通道、前往同一個樓梯，也就是前面那個窄樓梯！

像這場liveshow結束時的爆滿人潮，光是從場內移動到場外，走走停停就要10分鐘；更遑論之後要繞一圈、經過Bar桌椅等障礙物才能到旋轉樓梯！ …"
Rika Yuuhi,4,"調酒有點隨機跑比例
不過算了吧大家都是一起來好好聽音樂ㄉ啊！"
Mia Chao,5,"好爽ㄛ還有唐騎><❣️
（我在人生最糟的時刻來這裡聽海豚首次辦專場
2020前前後後聽了6場海豚「「開始懂ㄌ」」）"
邱于泯,5,很棒的表演場地～但附近沒什麼吃的喝的！建議在公館捷運站附近吃好在來！
李珩,5,"音樂表演場館
有置物櫃有吧台
週末半夜吧台放歌還可以免費參加（雖然我沒參與過）
不錯的地方"
Moon Chen,5,"排除空調悶熱
還是看表演的好所在"
MINEE WU,5,"小場地，但五臟俱全，好處就是離舞台很近，可清楚的看到表演者，音質表現非常好，不會炸音！🥰
外頭有小bar可帶酒進場地。"
ccchen,5,以Live house來說已經很讚了...廁所超乾淨的啊我很滿意！音場也很爽，老實說沒什麼好挑剔的（╹◡╹）看完表演整個心情很好～
陳士晟（陳扯扯）,4,氣氛不錯，廁所需要再加油了，人的部分認真到有點嚴苛。
Yoi Ki,1,女員工情緒控管差 對客人用罵的 還時不時瞪人 請好好做好教育訓練
李威翰,4,很棒的展演空間，很舒服，而且跟樂手可以十分貼近，只是有時會有煙味飄進來，有點臭
Caspar Chiu,5,在這裡有太多回憶，看過太多國內外團的表演，情感面來說這裡可能是我的最愛場地
楊皓勛,5,舒服的展演空間又有酒讚讚
石大,5,光線好適合舉辦演唱會
Mark Chen,4,有夜晚洛杉磯風，很現代，但環境整潔需加強
光頭杰倫,5,任何言語不及我激動澎湃的內心，首次看DSPS的演出， 非常舒爽，然後也被河豚子的鼓手圈粉了
Tracy Huang,4,能聽團就不要奢求便宜的酒好喝ㄌ
J P,1,"樂團演出結束快４個月，還沒拿到演出費，拿疫情當理由真的好好用。
當我們樂團是員工？共體時艱？"
湯伯虎,4,裝潢不錯 只是好熱好熱
小龍老師,2,After party辦的太爛，原本11：30進場的，讓整體買票的人拖到12點半進場，然後進去了才開始準備兌換的酒水，擠的水瀉不通，動向雜亂，一點都沒誠意，票價比夜店貴，卻完全沒夜店水準，下次絕對不來
