author_name,rating,text
平野威,1,"沙拉都還沒碰 就問要不要收
我 說不要收 服務生 直接收走！
叫了還不回 繼續聊天
只能說辛苦了 耳朵聽不見
生活應該很不便吧

另外店家似乎意圖逃漏稅
我是沒收到發票啦 也沒看的有貼免統一發票"
吳家瑋,1,"摁...一時不知從何說起...
店員態度差，點餐三七步+站很遠
然之後又嫌聽不清楚，點個餐重複一直問

還給我表現得很不耐煩？

整間店就2組客，共4人，是讓你多累？

店員素質差，大聲聊天
老闆對你不好怎麼樣的，我並不關心

還給我唱起歌來了，還不怎麼好聽

上菜後，
鐵盤上的鐵鏽是可以一塊一塊挖下來的

你說我敢吃嗎？
店家也不用說什麼可以跟現場人員反應

態度差成那樣，我連危機處理的機會
都不想給你們店

總之，給這一顆星純粹為了留下這個評論

話不多說，我們上照片"
bellobellyfull,4,聽說是超級老店，從路邊開到店面！價格合理、附湯附飲料，到師大夜市想飽餐一頓的話很適合！
Akira Seki,3,這家是老店了，有看到師大路牆上的作品。東西算實惠。看到來用餐的是家庭跟學生。酥皮濃湯部分酥皮很不錯但是濃湯有很大的進步空間⋯⋯
christine k,4,"沙朗牛排，$180。點餐後先結帳，一道一道上菜。排餐附沙拉、濃湯、飲料（冰紅茶、冰水）、客惟您冰淇淋（芒果、香草、芋頭、花生）。飲料、冰淇淋隨你拿，其他都是一人一份。沙拉的調味醬放太多了。酥皮濃湯很燙，戳破的時候也感覺得到很酥。牛排大概有手掌張開的大小，只吃到一塊筋。優點是cp值高，環境舒適，有悠遊付。缺點是使用紙杯。

二訪，麵換成蛋。沒想到這個決定造成問題。牛排沒有麵隔熱，我先吃蛋的期間牛排持續被鐵板加熱，過熟。分享一下避免有人重蹈覆徹 🤦‍♀️ …"
Markush H,4,CP值不錯味道也佳，以平價牛排來說很棒
張皓閔,1,"服務人員服務上一堆瑕疵，寧願讓客人講好幾次也不願意站近一點聽，當時也才兩組客人，根本不是多忙的情況。
餐點更是慘不忍睹，蛋一翻面就是滿滿的鐵屑，餐具也只是輕碰就沾上鐵盤表層的鐵屑，食安問題令人不勝唏噓。"
謝沂諠,3,"進店裡時，店員在滑手機沒注意到，但是問問題都會回答

整體不管主餐附餐都偏鹹，可能是因為人手不足之故，出餐速度慢（當時店裏人不多，包含我大約五位客人，但從我點餐到我拿到排餐大概花了半小時）

買排餐會送酥皮濃湯和沙拉，沙拉還可以，但是酥皮濃湯的湯底有點過鹹，酥皮還好，濃湯不可續。

主餐中規中舉，沒有特別好吃，不特別推薦也不diss，但牛肉結構偏鬆散，醬加太多，但價格180，就自己去斟酌值不值。麵條跟烏龍麵有點像，是粗粗的有嚼勁。 …"
朱芸,3,"口味還可以
個人比較喜歡細一點的油麵
肉在夜市的牛排算是可以的
濃湯飲料普通～就是夜市的水準"
Yuwei Chu,4,點的是180的沙朗，覺得這個價位還有附沙拉跟酥皮濃湯已經很不錯了，還有冰淇淋。牛排跟鐵板麵比較普通，酥皮濃湯還不錯
