author_name,rating,text
陳品希,5,團課種類選擇多，教練們親切、指導細心，介於兩捷運站間，通勤方便
林彥辰,5,"推薦各位孕媽咪們來妮飛運動
不只有多樣的孕婦課程
教練和環境都非常棒！"
Lisa Lee,5,很好的運動場地，教練們專業又親切，讓不愛運動的我都開始喜歡運動了
Emily,5,很棒的健身地點～教練親切認真，在這邊運動很開心☺️☺️☺️
小乖,5,"是採光很好的運動地點呢🤗
有氧教室可以看見捷運卻不會吵，隔音優👍"
李孟璇,5,採光好，教練都很親切專業，課程多元，很棒～
邱佩琪,5,採光好，課程多元，服務人員親切專業❤️
Claire Lin,5,教室空間很大，每個教練專業又親切的解說。團課也是多元豐富，無論是一對一或是團體課都是好選擇
劉巧達,5,這裡的教練非常親切，也很專業，北護運保出品👍🏻
江珮瑄,5,"Lune馬甲線課程 推推
老師很有耐心也很專業
服務也很好！"
Joanna Chen,5,教練很棒！窩心舒適的運動空間❤️
羅昱馨,5,"提供不同的課程類型，有TRX 空中瑜珈 舞蹈 壺鈴，運動的時候會覺得很新奇很有趣☺️
每個課程都可以上～對時間不固定的人來說很方便"
佐娜,5,首次體驗slide board 課程，感覺很新鮮超好玩，大腿內側肌肉，臀部都超有感😆而且鏡子反射外面的風景整個視覺感受顯得更特別了~~~第一次體驗就愛上😍
啾咪白萌萌,4,"離大安站大概走路5分鐘！教室不大可以容納5人頂多了，剛開幕試營運兩天看得出來很多還在調整中，空中瑜珈安安老師很親切但感覺不知道是不是試體驗沒有太要求我們動作！也沒有想的難～聽說可以練到翹屁股❤️
可惜是開幕也沒有優惠頂多95折，最多堂數方案平均一堂350～老闆這樣真的沒有太吸引人喔！"
achennn k,5,教練人很好，環境很乾淨也很整齊：）
KIMI LIN,5,瑜珈的體驗很不錯，有大大的放鬆的感覺，而且老師很細心的顧到每個人的狀況
薑絲蛤蠣,5,今天來妮飛大安店體驗🍑子老師的倫巴課程！只能說👍！歡迎大家一起來運動！
徐翊寧,5,今天試上課覺得體驗很好 教練也很專業～～
Jenny Fang,5,教練超專業親切，環境很舒適喔！
Vivian Chiang,1,約課取消不彈性，停課率5成，合約條款嚴苛，只有利於店家，消費者簽約付款前要注意了解清楚！
Peilun Chiu,5,TRX課程對提升體能很有幫助，good
Ingrid Lin,5,課程安排彈性，多元選擇，上班族下班運動的好地方～
Ning Yun Cheng,5,大安新的教室明亮舒服，教練也很細心指導，讚讚👍🏿
POPIPI,5,教練很熱情，小而精美的健身空間，喜歡這裡自由選課的制度
hiang C,5,Chelsea很親切，上課非常輕鬆有趣🥰
Chuang Phyllis,5,第一次體驗TRX，Chelsea很專業貼心上課很愉快
Cheyen huang,5,專業的Chris 教練、親切的大雨櫃台、舒適溫馨的環境
YiLi Lin,5,環境優雅舒適，運動的好所在，推薦桃子🍑老師zumba
SHC,5,教練Luna跟Chelsea都好親切～
在美國曦哥與晴妹,5,環境好，教練也專業親切！大推
MMei Chang,5,教練和服務人員都很親切，運動上課很開心😃
鍾佳薇,4,原本在內湖分店運動，第一次來大安館體驗低空空瑜，覺得這裡環境舒適安靜，Connie 老師很專業😊還會幫拍美美空中飛人照😂
陳怡廷,5,瑜珈課很放鬆～❤️
ERIS CHANG,5,教練很專業、和學生都像朋友～
Tiffany Sheng,5,第一次上課 老師認真～ 環境優～
布妮（Buni）,5,"環境空間非常舒適
還有貼心的淋浴間
教練也會適度依個人能力稍做調整 推推👍🏻🥰"
YC,5,"環境很好，冷氣很涼，櫃檯服務人員也很親切，
推薦Chris教練，上課非常認真，
在他的幫忙下，運動大概三個月，已經瘦了15公斤了，體態也改變很多！！
大家快來找他上課👍🏻👍🏻"
Wenchjan Li,5,空間明亮舒適，人員親切專業，女性友善健身空間。我上Eve老師空瑜課，推薦。這邊也有其他TRX、壺鈴、有氧等健身課程，很值得來體驗！
林子芳,5,有很多種課～點數制度也很彈性，可以找親友一起買更划算！空間也很乾淨舒服👍🏻
Katrina huang,5,課程多元，教練也很親切唷！
Yi Hsin Chu,5,推薦教練課～～ Chris教練很有活力有耐心
Betty kao,5,Chelsea教練超可愛nice又專業的！
何采玲,5,空中瑜珈的老師都很用心教，不懂都會耐心的教學，店員也很熱心唷～😊😊
Shelly Hsiao,5,"教練團隊開朗又專業💪🏽
場地很乾淨又舒適👍🏽
課程多元又活潑🤎"
chia yi chen,5,舒適的運動空間，教練細心指導動作，課程可以隨自己能力調整。
Yu-Huei Chen,5,Chris教練很帥，老闆nina很親切
Amanda Chen,5,喜歡這裡舒服的感覺！TRX很棒，符合生活圈的距離！😊
Peggy Wu,5,課程多樣、教練專業、教室地點便利，運動好去處！Chelsea教練細心又專業，推推！
Chang Nicole,5,這裡採光好棒，地點也方便，整個空間很寬敞舒服，好喜歡哪！上課的感覺很順很敞開喔！
Anya Liu,5,Chelsea 的TRX 很有感覺❤️
Evonne思妤,5,"空間超美而且師資超專業
重點是現場人員都好親切一點都不怕尷尬
推推TRX課程旁邊還有超美網美牆哈哈"
Ping-Xuan Yu,5,今天第一次來體驗課程，人員非常親切
Rachel Chen,5,老師很nice，空間很棒❤️
李盈萱,5,交通方便，環境舒適，教練都年輕親切又很仔細講解
10 EILEEN,5,教練都很好，很有耐心！上課環境也很舒適！
Phoebe-Maruko Shih,5,TRX體驗中💪🏻 教練用心
楊海玲（Lynn Yang）,5,可愛小巧的運動中心，體驗後送蛋白飲！
陳怡萱,5,"TRX課程很棒
交通很方便～～～"
Ming-Chien LEE,5,非常棒的場地
metta w,5,在內湖也有教室，約課很彈性～老師也都很nice
Yunyun Chung,5,舒服的三面落地窗，光線很美，很棒的上課環境
julie wang,5,教練很有耐心，親子課程老師很有愛心。空中瑜珈很有趣。
Chen-yi Chien,5,"Luna教練很親切,隨時關心學生狀況"
GLORIA HSU,5,推Chris老師，非常認真
朵貓貓,5,很棒的健身空間💓
Cleo Chang,5,復興南路上團課來這！！！！
Sun Daisy,5,團體課很棒～
許多珈,5,璐娜教練很活潑 有勁
Clair Chiang,5,"很棒，推薦空中瑜珈跟TRX,推薦Chelsea 教練"
Yen-Hsuan Lien,5,教練專業、器材和課程設計新穎，很讚❤️
翟存翎,5,環境舒服，老師有耐心，一個個指導
MIA,5,很棒的運動空間，Chris教練認真教學推薦👍🏻👍🏻👍🏻
Susan Su,5,推薦阿克教練 人好親切又帥！！！
謝菀婷,5,老師教課很認真，值得推薦TRX
妮可,5,超讚的健身空間，歡迎大家一起來玩喔！
李怡靜,5,"很棒的運動空間,圓圓教練很棒"
Elysa Hsiao,5,場地不錯 老師上課很認真 上課完大噴汗
琦琦,5,約課很彈性 教練很親切 環境乾淨明亮 課很齊全
Ginny,5,"空間很寬敞
目前人不多 不擠
人員親切 推薦～～～"
Yu Ting Shen,5,"空間明亮舒服😌
推薦阿克教練喲！"
邱米娜,5,環境不錯～推薦阿克教練喔！
Cloe Chen,5,推Chris教練！上課有趣會幫忙矯正姿勢！
Stacy Lin,5,教練優質
ChiaChin,5,環境乾淨 教練親切 課程多元 地點方便
Ick N,5,鬧中取靜能夠安心運動的好地方
Chi Wu,5,Chelsea教練好可愛😘
Christine Liang,5,環境非常乾淨、教練非常認真、令人非常安心的健身空間！
YT H,5,老師上課很認真 推薦大家來上課！
珈,5,妮飛四週年生日快樂🎂
Chen Xuan,5,"很喜歡這個地方
環境舒適
老師親切
很喜歡很喜歡很想一直來"
林嘉倫,5,教練貼心調整強度，環境乾淨舒適
林季萱,5,推推妮飛✨✨好的運動空間好的老師跟櫃檯💕
袁嘉穗,5,教練人很好
Valéria Neis,5,老師人都很專業！
Vivian Chang,5,教練認真！環境很好！讚！
李星儀,5,教練專業，環境舒適
魚佳,5,Chris教練細心！又幽默。
楊君媛,5,老師很親切，上課有趣
Joy Wang,5,教練叫我打教練很帥
Alex Kuo,5,有空來運動喔⋯⋯
Fioretta Chen,5,老師非常親切，環境很棒
Fayfay Hsu,5,"很好的環境
老師教的很棒"
開凱,5,運動推推！
阿澔,4,還不錯玩 可以嘗試看看
Huang Yi-Ping,5,"很用心很舒適的運動空間, 推薦"
Tina Lin,5,運動的好地方
黃斯愉,5,很棒的運動空間👍👍
蔡馨儀,5,很不錯的運動環境👍👍👍
Pei yu Lu,5,老師訓練很紮實
Yu-Jie Lin,5,運動上課的好地方
博雅（阿克）,5,教練很專業！
Yu Cing Liou,5,舒適的健身空間！
Chiu Yang,5,環境乾淨 交通方便
陳若璟,5,恭喜開幕恭喜🎉🎉🎉
羅于評,5,很棒的運動空間
蔡玉芳,5,讚讚讚讚讚👍🏻👍🏻👍🏻
詠婕,5,環境舒適 教練專業 大安健身首選⭐️⭐️⭐️⭐️⭐️
Cindy Wu,5,"(由 Google 提供翻譯) 優越的地理位置和乾淨的健身中心。友好的員工。他們提供各種不同的創意課程。嘗試空氣瑜伽的好地方！

(原始評論)
Great location and clean fitness center. Friendly staff. They offer a variety of different & creative classes. A great place to give air yoga a try!"
sandy sung,5,"(由 Google 提供翻譯) 喜番喜番
空瑜好好玩🥰🥰🥰

(原始評論)
喜番喜番
空瑜好好玩🥰🥰🥰"
Wang San-Tai,5,"(由 Google 提供翻譯) 空中瑜伽🧘‍♂️非常好玩😂

(原始評論)
空中瑜伽🧘‍♂️非常好玩😂"
lovebobo54420,5,"(由 Google 提供翻譯) 位置好，地方好👍🏻

(原始評論)
Good location and great place👍🏻"
Steffie Chung,1,"(由 Google 提供翻譯) 糟透了

(原始評論)
糟透了"
Judy Peng,5,"(由 Google 提供翻譯) 空中瑜珈好玩~

(原始評論)
空中瑜珈好玩~"
Yuchi Tseng,5,"(由 Google 提供翻譯) 空瑜很棒~~~

(原始評論)
空瑜很棒~~~"
Winnie Kuo,5,"(由 Google 提供翻譯) 好地方

(原始評論)
Great place"
簡伶蓁,5,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
Yanting Lee,5,"(由 Google 提供翻譯) 瘦了🥺

(原始評論)
瘦了🥺"
江怡璇,5,"(由 Google 提供翻譯) ❤️❤️❤️

(原始評論)
❤️❤️❤️"
ChienPing Luo,5,
Hao Yu Huang,5,
HSIEN-LI YU,1,
黃雅琦,5,
Serena Hung,5,
Lulu Lin,5,
洪瑜,5,
betty huang,5,
Ya Ting Jhan,5,
Chien Chien C.,5,
HSUN-HUI TSAI,5,
Ryoma Lyo,5,
CHEN Chloe,5,
YUCHI LIN,5,
JouWen Lu,5,
