author_name,rating,text
Peggy Wang,4,"近來在家附近一間很熱門的麵包店，
店裡服務親切 麵包種類品項選擇多樣
個人喜愛品項:
📍巧克力巴布卡（喜歡巧克力的人必點）
📍酸種麵包系列
📍肉桂捲（有一定的甜度，但不易膩口）
📍法國短德腸棍"
Hsuan,4,"聽說這家肉桂捲很好吃就來品嚐看看囉～

其實沒有很喜歡肉桂味
但這👇可以接受非常好吃呦😋
「Cinnamon roll 肉桂捲可頌」：

🥐選用伊斯尼發酵奶油製成的可頌，外層酥脆、清爽的奶油香氣明顯不油膩，再鋪滿中藥老舖的肉桂粉與糖，依喜好放上奶油乳酪糖霜

「Chocolate Babka 巧克力巴布卡」：
是猶太風格！
它是用酵母發酵的麵團製成的，將其鋪開並撒上餡料，形狀看起來像個小麵包～
外頭的杏仁酥頂，乾爽酥脆！
回家吃一口⋯個人覺得太甜

「咖啡+鮮奶」☕️咖啡味蠻淡的
（3.7四捨五入囉^o^）"
Maggie Chang,5,"Boulangerie Ours
有_
巧克力可頌 $80
草莓巧克力丹麥 $100
糖煮洋梨丹麥 $80
巧克力司康 $70
焙茶紅豆司康 $70
蜂蜜丁烤腰果酸種麵包 $130
巧克力巧克力酸種 $100
巧克力巴布卡 $140
焦糖榛果巴布卡 $110
洋蔥蘑菇佛卡夏 $80
櫛瓜佛卡夏 $80
帕瑪森起司大蒜fougasse $90
法國短S棍（芥末子火腿起司餡） $80
巧克力鮮奶吐司 $160
鮮奶吐司 $100
國產火腿巧巴達三明治 $170 …"
E-bo CHEN,2,"於下午1點多致電預訂2樣商品，下午四點半後取貨。到現場，卻找不到有我預訂的商品！只能看現場有什麼⋯（是現場還有一樣是我原本有預訂的，不然是花車錢空手而回？）
店員說接電話的店員是早班已下班，因為去考試也無法打電話確認。
雖然是有說抱歉⋯但讓客人覺得很尷尬以及無言，已有電話訂了卻跟當場去沒兩樣。
無關食物好吃與否，給有電話預訂的人提供有這事情發生，也給店家注意⚠️別再發生這種事情！"
Chun-Ming Chang,3,"2021.03.20 = ★★★☆☆
◉推薦：sticky bu。
◉簡評：網美名店，內用區有很多妹子來打卡；內用氛圍很好；肉桂捲口味較為柔和，重口味可能會覺得不過癮。😆
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
最近開幕就紅起來的麵包店【Boulangerie Ours】，今日中午左右造訪，裡面聚集了不少妹子，看來是IG打卡名店。不過環顧四週，內部座位擺設在空間方面相當的奢侈，所以有種世外桃源的氛圍。沒有可以內用的位子了，索性外帶吧~

☑sticky …"
Hsu Shao-Yuan,5,"🔸巧克力巴布卡：這次最期待的款式，果然沒有失望👏
頂部有椰子粉增添香氣
麵包體下層比較鬆軟，上層偏酥脆
可以同時吃到兩種口感很棒
裡頭有很多層，都塗滿巧克力
每一口都能吃到
但巧克力的甜度略高吃到後面有點膩，能降低一點就完美了
大推！

🔸可頌：外皮很脆，越嚼越香，很強的可頌

🔸洋蔥蘑菇佛卡夏：蘑菇的味道不太明顯
在室溫下吃起來蠻油的，可能先烤過會比較好
總之這次吃起來相對普通

🔸胡桃肉桂卷：麵包體是偏軟中帶著點嚼勁
肉桂蠻香的，甜度剛好
上層的胡桃和會牽絲的香草黑糖醬，增加了味道及口感
還不錯

整體是很有水準的麵包店
特別推薦巴布卡和可頌，肉桂卷也還不錯
價位上算偏高
有機會再試試這次沒買到的布里歐"
HANNAH,5,"回訪多次的社區法式麵包店（真的有還住在瑞士時吃麵包的感覺！），最推薦巧克力酸種、節瓜佛卡夏& 蘋果肉桂巴布卡~~ （朋友說德腸短棍也好吃😋）
有點可惜是個人對堅果過敏，酸種不少品項都無法嘗試😣"
Natanich vogue (ณัฎฐนิช),5,"店內環境 簡單 大方 麵包擺設明朗
炒菇三明治我換了法棍🥖裡面還有一點大蒜味
好愛 應該吧哈哈哈 下次還會再來吃吃看肉桂捲！
麵包真的很好吃 😋不一間簡單的店
但如果你對咖啡比較講究的話
這邊可能就不是你的首要選擇～～
整體我會給很高的分數 還提供濕紙巾
畢竟吃麵包要用手的～～洗手乳也是提供Aesop
不錯不錯！！"
SHIH,4,抱著蠻高的期待過來吃，覺得可頌不錯但不至於驚艷，鮭魚酪梨三明治裡好像吃不太出鮭魚（？不知道是份量太少還是，跟朋友吃完還是好奇裡面到底有沒有鮭魚。酪梨的味道也沒有出來，上頭芝麻葉也沒有辛香味，底下的酸種麵包非常好吃，但整體作為一份三明治表現有點遜色了。店家是寵物友善值得鼓勵，店內低消是一百元，可以不點飲料好好吃麵包還不錯。
Pio Li,5,2020薪水小偷的肉桂捲之旅，可頌口感的肉桂捲很值得嘗試
蔡小函,5,洋梨可頌真的很好吃！希望能有ubereats😙 ，把每一種麵包都買來吃！
林禹彣,5,"#boulangerieours
終於到店面來吃了！

#黏黏胡桃肉桂捲 ($100)
一開始只看到肉桂可頌
一看到捲馬上點下去
肉桂味道大於可頌
麵體柔軟冷掉有稍稍嚼勁
奶油香氣與焦糖都很濃郁
胡桃分量很多

#肉桂捲可頌 ($80)
#烤杏仁可頌 ($80)
可頌體都很酥脆 層次足
但是杏仁餡我更愛purebread一些
香氣不夠 但甜度也較低
肉桂可頌上層乳酪醬稍甜
能不抹醬比較能吃到本體香氣

#蘋果肉桂巴布卡
#巧克力巴布卡
巴布卡果然很讚！
上層的酥香與內部濃郁 …"
Annie Annie,2,"內用的蜂蜜優格雞肉三明治不好吃，只加上一點點烤蔬菜要200多⋯⋯上桌的時候整盤包括「烤」蔬菜都是完全冷的，很失望
外帶的巧克力可頌好吃，兩顆星給巧克力可頌"
August July,5,散步不經意發現的新店。強推起司剝皮酸種Sourdough，吃了如沐春風，就是走在巴黎街道感覺，咬勁Q彈不生硬，一入口幾秒麵包就跟舌頭混為一體，牙齒切碎後很快就感受到酵母和剝皮起司的美味，就跟在歐洲吃的麵包一樣好吃，很快就解決它。肉桂卷Roulé à la …
Wu Niki,5,空間超大超美！內用有低消 但非常值得點杯飲料好好欣賞這美麗的空間！早上11點就開門 這時候人不多 較安靜 這裡也有一些書籍可看！靠窗的位子較適合閱讀 裡面雖然很美 但燈光也較昏黃！有些品項有固定出爐時間 可先上ig查詢！美式茶感重不苦澀 我蠻喜歡的！
Caroline Hsiao,5,"番茄櫛瓜巧巴達三明治+烤蔬菜

蔬菜甜美可口，巧巴達麵包彈Q配上櫛瓜和蕃茄等清淡但好吃"
