author_name,rating,text
Curtis Lin,5,藥師說話直了些   但是防疫期間家裡急用酒精棉片  她們想辦法整出一盒給我  可見其心血熱  只是不擅假辭而已
Momser Wu,4,服務親切，藥師很仔細的說明，有空時還會提供衛教知識
蕭慶安,1,女年長藥師態度不佳，拿回家的高血壓藥，劑量還會拿錯的！真是不可思議…
黃蓉,4,兼賣健康食品、生活用品，服務不錯。
tato Jian,1,沒有認真在服務客人，感覺只想打發🤦🏻‍♀️🤦🏻‍♀️
陳勇助,5,這家藥局的人都還不錯，都會記得顧客的需要，值得來光顧。
Taipei,1,非常惡劣的態度！不知道為何要在這裡工作！
林宥宣,2,"很兇....
前面在處理事情
後面的店員搞不清楚狀況就罵客人....
讓人不舒服

但還是辛苦了！謝謝您們"
Chen C.C,4,腰嚴重閃到！吃了6包，幾乎全好。藥開的很好。
Steve Huang,1,服務態度差 兩位店員都是
Lo Apple,5,藥師態度很好、給你一個👍👍👍👍👍👍
034 12,5,很方便能夠讓我拿到慢性病   處方箋的藥而且家裡就在山上
Ethan Chen,5,很專業，推薦產品很好。
Lin Lin,5,藥師親切
劉吳闕,5,長期購買，很親切的店家
蘇永通,4,服務不錯，詢問藥品藥師解說詳細
Sean Chen,3,加入會員還不錯
Ryan Wang,4,藥師服務熱誠
Kai-Chun Lin,4,
Peter Chiu,5,
黃柏元,5,
黃盛群,5,
Chih Yueh Shih,4,
Jimmy Chou,3,
