author_name,rating,text
楊彩琳,4,超級老牌的麵包店😂😂貝果好吃🥯還有蛋糕便宜又大碗喔
angel shen,4,之前來買過 覺得還不錯吃 尤其他的蒜香麵包好吃 推
連衛安,5,"本身不愛吃貝果，但是這家真的好喜歡
花生很好吃"
C Mickey.,3,"#0508
蘑菇pizza 麵包嚐鮮
雖是蛋奶素成分麵包
口感卻一點都不清淡
偏重口味
防疫需求
目前麵包都已經單獨包裝供客人挑選
※※※※※※※※※※※※※※※※※※※※※※※※※※※
交通方便近捷運站
貝果口味買五送一
藍莓乳酪跟楓糖好吃會回購
葡式蛋塔也不錯
咖啡核桃蛋糕質地變硬
沒以前那麼好吃
巴斯克乳酪蛋糕新品上市
卻沒提供切片販賣
建議切片販賣
比較適合單獨消費並想嚐鮮的顧客"
曹靖媛,5,"去看完台大杜鵑花之後，就去附近找點心吃，沒想到被我發現一家這麼厲害的蛋糕店！
一般的貝果口感我不愛，覺得太硬，但是他們的貝果超級好吃！我只買了一個芝士貝果（好後悔沒多買幾個）皮薄、酥脆，內心軟Q、很有嚼勁，味道也很香！價錢也很便宜！
下次我要買不同口味，還要買他們的雞肉派（比外面賣的大很多）！"
咪醬,2,消費經驗不佳，連使用的原物料是什麼都不清楚。ㄑ
Yushan Wei,3,貝果好吃買了很多次，可是買多的時後發現各個品項發票沒有價格，只有總金額，1.2次回去才發現被多算錢了。
MAX,5,貝果還不錯，比較偏鬆軟，有點像711的軟法，路過都還去買，可惜星期六只賣冷凍的
Ming Kao,4,吐司不甜，好吃。可惜不預訂，隨性來會買不到。
李惠鈴,5,三代傳承的老店，我愛吃法國麵包抹大蒜醬還有貝果麵包皮Q彈內軟，兩種麵包口味挺多，一次購好幾條，放在冷凍庫要吃直接拿出來烤3-5分鐘就像剛出爐一樣，超級適合我可以存放多週，隨時想吃就有熱騰騰的麵包可以吃🤪超有幸福感～
33 5,1,"培根法國麵包已改為軟麵包和以前脆的不一樣
變不好吃了👎
1.該品項調整並未明顯的注明
2摸上去發現是軟的立即表明要退（尚未離櫃）
說是因爲發票登在載具沒辦法退

經查主關機關公告資料
發票就算開載具也能退"
方大頭,3,"「得記」創立於1960年，店名取自於創辦人陳再得先生之「得」字而命名，至今已伴隨著公館走過半百個年頭了。

最早設立的「得記」店鋪，初期一樓以販售罐頭雜貨及一些傳統麵包為主，二樓是名為「得記古典名曲」的咖啡廳。在當時經濟並不富裕的年代，幾個台灣傳統甜麵包：紅豆麵包、奶油麵包，可以喝咖啡的情人雅座，讓座落於充滿濃厚人文氣息的公館的得記，陪伴了許多台灣大學、國防醫學院、三軍總醫院的莘莘學子一同成長，為許多學生留下無限美好的回憶。 …"
Kate Kao,1,買了熱狗堡跟三明治，三明治超乾，熱狗堡有夠偷功減料，不要叫熱狗麵包叫美乃滋麵包吧！熱狗切片放，連半根都不知道有沒有，一口咬下去超油都是美乃滋跟菜感覺超噁，美乃滋又調的不好吃。失望，看評價不錯才來的。
Cheng Isaac,5,每次來這附近必買我愛吃的菠蘿麵包，家裏附近賣到32元還普普…
陳建萍,3,海綿蛋糕20漲到28，45元的咖啡核桃瑞士捲蛋糕停做，蠻可惜的！藍莓乳酪貝果還不錯吃！葡式蛋撻冰過好吃！
vivi,5,經過都會聞到陣陣麵包香，每次去公館必買的ㄧ家麵包店。店門口都會有現烤的香蒜法國麵包、咖哩法國麵包、花生法國麵包，切成ㄧ塊ㄧ塊供客人試吃，1個35元，3個100元。店內環境清潔，燈光明亮，麵包擺放都很整齊，麵包盤擦拭的很乾淨，麵包種類也很多，招牌貝果有很多口味，原味、楓糖、藍莓乳酪、花生、巧克力⋯也會切成ㄧ塊ㄧ塊供客人試吃，有賣冷凍的貝果，可以買回家冰凍，隨時想吃的時候，自己在用烤箱稍微烤過。現在好吃的波蘿麵包很少，德記的很好吃，有傳統的味道，也有做成波蘿油，花生、芝麻、椰子奶 …
C J,1,外面賣烤麵包的人員態度非常的差
Cheng Kitty,4,喜歡吃這家的大蒜烤吐司及奶油餐包。
Yin Chen,3,"2020/8/7

海綿蛋糕30:微甜，配黑咖啡應該剛好
貝果一個40
花生口味：花生醬滿好吃的濃濃得
起士口味：外層起士，烤了後酥脆"
小芒,5,可頌、三明治、麵包及甜點等都很好吃!
李美華,4,從小就會來這買麵包口味多，可以來試試你喜歡那一種...
劉惠萍,1,食品不錯吃，但服務品質差到不行，不是家人要吃，不會想去買。東西買付完錢後，就袋子(需付錢)給顧客要自己裝袋，服務員就在旁看你忙(其中不滿項目之一)。連一颗星都不想給。
Jie,2,"五穀雜糧麵包（葡萄乾）一份$50，咬起來像是吃泡芙，裡面都是空氣...一點都不紮實，而且五穀雜糧也只有外面ㄧ層，裡面除了麵粉、葡萄乾只剩下空氣...
Ps：結帳時詢問店員可否切，店員回答不行，可能因為麵包很空氣吧哈哈"
John Pathfinder,5,"－john Pathfinder．約翰探路－

評等：5星－值得特地前往，必吃美食。

2020/4/4 多次造訪後補充
麵包店門口的法國吐司是非常好吃的小點心，每次路過，聞到剛出爐的香蒜法國麵包總是會買一個邊走邊吃，最推薦香蒜的法國麵包！"
Valerie Li,5,"肉鬆蔥卷很好吃！美乃滋超多，吃完會有點罪惡感XD
麵包軟綿，肉鬆也不是廉價的豆粉味👍
司康偏向台式口味但不油～
稍微烤過外酥內鬆軟，很可以
基本上麵包類都不錯而且不貴！"
Nell Chen,4,老店，麵包好吃。喜歡他們家的鳳梨酥 小小一塊15元，一次吃一塊不會過量是家人的最愛。
談珈維,4,"公館老字號麵包店。
麵包及它的酥餅(蘿蔔絲餅)，還有 咖哩餃，雞肉酥&桂圓蛋糕，鳳梨酥等美食，非常推薦，勿失良機。"
h dan,5,葡式蛋韃好吃，皮酥有層次餡料濃郁，最近每去必買
林群軒,5,檸檬塔好好吃喔
闆娘,3,麵包已經不是很便宜了，現在又要加購塑膠袋（只能少買些
CoCo Yang,5,"常常專程搭車來德記買冷凍貝果，
一次買12或18個，可以吃一個月。
藍莓乳酪(最推)、花生奶油、巧克力、楓糖夾心，一個35元，買五送一，等於一個30。

比網購他們家一個便宜十元。

要吃的時候就烤五分鐘、燜兩三分鐘。
就會保有酥軟，不會太甜口，是家中老小都愛的產品。"
蔡ㄚ達,5,貝果跟辣味大蒜麵包。真的超好吃～（尤其烤箱烤過之後更棒！）
Polly Anywhere,5,"這麼多年，一樣的味道，親切的服務，讓人感覺太幸福了。謝謝。 This place offers the same flavors all these years and offers such sweet and warm memories with every bite.  Thank you.  It’s lovely, very very.  The service is always friendly too."
sfy1125,5,二十多年來熟悉的好味道，許多種類的麵包蛋糕都很好吃，價格也公道。
陳怡秀,3,麵包價位平價
Rachel Shen,5,Bagel很特別，最喜歡楓糖口味！蛋沙拉麵包很好吃，是交通方便、選擇多樣的麵包店
Sean Chang,4,老店，走過路過都要買，好吃！
李純純,5,杯果好吃，回烤過外酥內軟，會爆漿。
