author_name,rating,text
Chen Jo,4,街角靠巷邊，只此一席坐，最有FU的位置！
珊珊,3,"最常來此門市消費，那天遇到太ㄎㄧㄤ的店員，心不在焉的，感受不好。
而且喝完之後上吐下瀉（不是很確定是不是星巴克造成，但可能性極大）"
穎川げん,5,店員態度好～繪畫功力也超強，前面的杯子根本是藝術作品XD
Stephanie Yu,5,清幽，很適合看書，但是人蠻多的，還是可以找到位置。
Matt Yu,4,假日比較吵一點，對面就是台大，很多學生老師會在此出沒。店員很親切，會仔細說明飲料的作成與搭配。
劉至謙,5,因應防疫 營業時間有改喔
張䕒尹,3,夏日新口味，不錯喝
Jade The Best,5,可是我沒去啊，我比較窮都去旁邊路易莎。
jason sun,5,早晨醒來來杯咖啡☕️！精神百倍。
Quiny Hsieh,1,服務態度很差，尤其是叫Mickey的人!
黃小姐,3,一週去三次，都沒有辦法買到早餐蛋松露堡（店家根本就沒訂）不然不會每次都這麼剛好
Ying Ting Huang,5,服務挺好的，出餐速度也快，不過蠻早就打烊了～
Sue Chiu,2,這家星巴克店員服務態度不佳，不若其他門市服務給人愉悅感，有待進步。
YC Yang,5,店員親切，環境不擁擠也不吵雜，景色優美
Supman,4,氣氛良好，店員親切，適合坐著喝咖啡聊天，其中也有大桌子可供大家使用筆電，也有在窗旁的長條桌可以讓人坐在落地窗旁。
Tim Kuo,4,到了就讓人有回到了家的感覺
江雅筑,5,空間舒適，服務態度很好，會主動打招呼
Chang Gary,5,座位蠻多的....靠牆的一排座位下都有提供插座可供客戶使用！廁所的清潔度也非常好👍
蔡承臻,4,一大早就生意不錯，點餐結帳蠻快，座位稍擁擠
Sylvia Wu,5,位於學校附近的咖啡店，有大片的落地窗，天氣好時可以欣賞到安全島上的綠蔭美景。服務人員相當親切，會主動提供近期的優惠活動。
mickey M,2,一早心情就被破壞掉，使用環保杯裝咖啡，結果杯子外圍全部是溢出來的咖啡並未做擦拭感覺很差，
noname noname,2,位在地下室的廁所很噁，建議打掉重蓋。
簡赤焰,4,冷氣有點太強…
李海泉,3,方便.舒適，主要有濃濃的想念...
Richard Ho,4,這家的景點不錯，尤其是面對窗戶，在下雨天的時候，有文青的感覺。
Yaoyao Yen,5,我在店裡喝咖啡，有位穿黑色圍群的男生，煮的咖啡，超難喝，不止一次，而是每次，希望他好好學習煮咖啡
Livia Yen,4,冷氣不涼好熱
SP J,5,星巴克很多店，這家店感覺特別溫馨，也喜歡一片綠意的窗景
林祐辰,1,史上最差的星巴克購買經驗，這個店長要不要檢討一下員工訓練，點餐較高大店員動作慢到極致，只會一直說「等我一下喔」，對結帳器材操作不熟悉，書寫速度也很慢，製作飲料的E英文名字店員也是一樣非常緩慢，另外，針對前面的客人餐點做錯，延誤到後面客人取餐時間，這樣的流程是合理的嗎？
bella hau,1,該店的廁所實在太恐怖了～一走入地下室就飄來一種霉味，廁所地上溼答答，裡面冷氣爆炸冷～洗手台裡滿滿的泡泡……沖馬桶聲音極大～真的很像電影裡的鬼屋情節……只想快點離開這個地方，可以改建一下廁所嗎？看起來也很老舊……
Jason Tseng,3,週一下午人也是蠻多的，蠻多人在這邊看影片，環境略顯吵雜，跟店家沒關係，是聊天的人音量沒有控制
HSU 徐TE-JUI 得瑞,4,如果素食多一點，生意或許可以做更大
黃英洲,4,面對台大校園的一片綠意盎然，書香咖啡格外有文青風味。
陳威辰,4,店面空間不錯，位於台大後面的星巴克，受學生歡迎
yanhan chen,5,店內環境優良，給人的感覺舒適，但是如果要專心來這裡讀書之類的可能要注意，有點吵雜。
吳睿慈,5,"店員很nice
服務人員很熱心也很有人情味~"
Rex Liu,3,部分店員有些態度不佳
Shuyi,1,"連一顆星都嫌多
除非你有很多時間可以慢慢耗
不然就是跟店員很熟
否則飲料等到你懷疑人生
因為店員不會按照先來後到的排隊製作飲品"
老頭ㄦ,5,這家的景點不錯，尤其是面對窗戶，在下雨天的時候，有文青的感覺
MY CHEN,4,當我盤子ㄚ，一杯飲料買一百多塊，不過玫瑰蜜香那提真好喝，真香
紀建良,5,環境優美，舒服
小愛,4,下午坐在窗邊的位子可以欣賞光影的變化，非常喜歡。
Yu-Kuang Wang,2,跟朋友一起買咖啡，朋友用信用卡付，我需要把錢找開給朋友，請店員幫忙居然連看收銀台都不看就說錢不夠，又不是沒消費找店家換錢，傻眼。
許志忠,5,適合閱讀書籍及小型討論會議的不錯選擇。
林駿丞,4,有插座可以充電
Jason Wu,3,生意很好。服務親切。
黃德人,5,"整潔明淨 店員懇勤 服務有禮
空間設計 商務讀靜 向位各俱"
chihyu chen,3,服務人員態度佳，但洗手間的清潔度稍嫌不足。
Chia-Hsin Wang,4,座位算不少，不過人也很多。今天的餐點加熱後中間還是冰的...
Justin Cheng,5,台大對面的喝咖啡好去處
馮禹嘉,1,"店員可能是因為買一送一的關係，不知如果使用會員卡就只是指著放卡的地方說""放這""，態度從頭到尾都不佳。"
陳俊友,5,店員服務良好，飲料速度算快
吳Miles,3,台大後面的星巴克，位置選得真好，但過於擁擠
陳逸修,1,"今日內用餐點，
環境髒亂，回收台都爆了，
員工態度一副無所謂的樣子！！

不會再去～～"
Wen Huang,1,很慢 態度很奇怪
Kj Chang,5,服務很好的台大隔壁星巴克。
Sylvia Lee,5,很喜歡坐在落地窗前的座位享受陽光與行道樹帶來的微妙感受。
Michael Huang,4,廁所常常不通……等很久
沈義晨,5,舒服，不過看書會有一點點吵
Elaine HSU,5,"很悠閒的咖啡廳 好大喔
櫃檯人員們都是帥帥的小哥哥"
林承恩,5,"店員都很有禮貌
掃去早晨的煩躁"
Chang Rick,4,"如空調能令室內空間保持涼快及不悶熱的話 , 就 五顆星了。"
侯岑岑,4,環境比較普
33 ViVi,4,氛圍很棒
Tsai jacky,5,很舒服的門市
李彥成,1,現場極度沒有效率，點個外送是遇過最慢的店
Jesse Liu,5,知名台大外圍門市。
陳育家Spike Chen,5,"第一次覺得星巴克也可以很文藝
滿滿的書籍 可以隨時拿來閱讀
累了 可以望向辛亥路上的綠意盎然的行道樹
也可遠眺台大校園
一個悠哉度過假日時光的好地方"
Anthony Lin,4,平常時間人就很多，不好找位子
蘇浩峰,3,動作過慢
Kevin Tsai,1,"已經被錯單到第三次了，第一次是點星冰樂說不要鮮奶油，但做好時還是被加了鮮奶油，結果店員不但沒有抱歉，居然回說：「你試試看啊，很好喝的」當下真的只有傻眼可以形容。
第二次是點了四杯咖啡，三熱一冰，最後卻作成三冰一熱，再有一次是點紅玉紅茶，最後作成東方美人。這顯然是店員們漫不經心，連基本的餐點內容都做不好，如果不是離學校比較近，真的不會想再去消費。希望店家能好好上緊發條。"
MD Wang,5,麻煩確認所有客人都有消費，否則幾個小時占著桌子一毛錢也沒花，對我們已消費的客人太不公平。
Julie Tsai,4,店員親切，但有插頭座位較少
Albert Wang,1,現場沒什麼顧客在排隊，但店員服務態度十分差勁，也都在聊天。建議該門市採用自動販賣機提供咖啡，或是調撥7-11門市人員，都可以提供更好的使用者體驗。
Chun-Kuang Chou,4,台大後門附近。
王力緯,5,適合久坐的好地方
jumbo C,4,生意太好了經常等不到位置
嘉嘉Kitty Kao,5,服務好~雖然工作人員都是男生但都很細心也很有效率~
Jones Chang,3,可，但人太多，沒其它地方可去嗎？
王作勤,5,店長人又帥服務又好
