author_name,rating,text
蔡沅儒,5,"接待店員超親切
對素食者非常友善 新人要找婚禮小物很推哦！"
Betty -Sinext,5,"吃起來酸酸甜甜,帶有水果香味,
不黏牙,超好吃~
推薦檸檬.芭樂.覆盆莓,一顆接一顆~"
wang shirley,5,"香軟好吃，跟之前吃過的糖不太一樣，一點都不死甜！！！（個人好愛覆盆莓口味 >W< ！）

每一口吃到都覺得滿滿的水果香！覺得好幸福！

讓人一口接一口！超涮嘴～！"
雨璇吳,5,很熱心的每總口味做介紹，每總口味我都很喜歡。買一些回去給親戚朋友吃每個人都很愛。訂了喜糖不安的心情才平復下來。
Trista chang,5,接待的店員很親切且介紹的很詳細，我平常是不愛吃糖的人，這次來試吃，發現軟糖既然可以這麼好吃，覺得幸福😊
Sophia Wong,5,"一直有注意到這喜糖，評價一直很不錯，
剛好在婚禮展上看到頃吃的喜糖，果然不錯，感覺很天然，酸酸甜甜的，真的會一口接一口吃光光的🤪"
徐加加,5,香甜好吃，門市人員服務親切～造型超可愛的婚禮小物！
U w,5,店員服務很好，而且素食的法式軟糖實在是太少了！口味很特別也很好吃😋
張庭語,5,"法式軟糖超好吃~申請試吃很快就拿到了!
好吃到一下子吃光光忘記拍照了"
Alice Li,5,超級好吃~訂婚訂完，結婚再訂😊
劉珍妮,5,這間法式軟糖超棒的，口味眾多包裝精美，最主要是食品很健康喔！是用海藻糖製作的，從小朋友到老人都可以吃唷，而且老闆態度超親切的!講解超詳細，人情味滿滿唷!!大推~~~~讚讚讚  ^_^
Kira Huang,5,真材實料，健康好吃！
Wendy Tsai,5,老闆親切，東西好吃~天然水果香其中含有膳食纖維，以海藻糖取代原有蔗糖吃得健康無負擔!
ChienYA2,5,軟糖都被拿光光，我自已沒吃到啦！  超讚  天然水果香其中含有膳食纖維
劉海琦,5,水果軟糖很純、味道天然、好吃！非常推薦
吳英,5,法式軟糖跟一般的完全不一樣，巧克力更驚到我了  店員人超好  東西好吃又有特色
YUKI LIN,5,服務人員很專業  參加了幾十場婚禮，法式軟糖最棒  以海藻糖取代原有蔗糖吃得健康無負擔!
耀德黃,5,服務人員非常棒，東西也很好，就是地點有點太偏僻了！所以客人無法太多，很可惜
白石遠,5,法式軟糖跟一般的完全不一樣，巧克力更驚到我了  很熱心  糖很好吃不死甜
徐雯軒,5,"服務很好很貼心～都會有試吃跟介紹💚💚
東西也都很可愛唷！"
施佳音,5,"服務非常親切 加上軟糖好吃到打包好多回家
值得推薦的婚禮小物店家
口味豐富讓人很喜歡😍😍"
呂昱達,5,水果軟糖超級好吃，老闆超級貼心的~~優惠也很多，而且還有一直研發新口味(馬丁尼與巧克力)，超讚!!!
陳秀嫚,5,服務非常親切  軟糖都被拿光光，我自已沒吃到啦！  東西好吃~
小蓮張,5,都會有試吃跟介紹  法式軟糖跟一般的完全不一樣，巧克力更驚到我了  糖很好吃不死甜
蕭程元,5,我覺得婚禮一定要有  服務很好  以海藻糖取代原有蔗糖吃得健康無負擔!
謝定家,5,軟糖都被拿光光，我自已沒吃到啦！  回頭率超高的  東西好吃又有特色
陳奕瑜,5,天然的水果軟糖，口味獨特非常好吃！
亮亮,5,店家很親切的服務  法式軟糖跟一般的完全不一樣，巧克力更驚到我了  軟糖很好吃
謝淑伊,5,上菜前準備的，正確的選擇，滿佩服自已的  店員人超好  水果軟糖超級好吃
綠茶加珍珠,5,店員很親切，很有耐心詢問需求，東西好吃又有特色，大大推薦給大家
陳韋伶,5,軟糖我挑的，老公說挑的好  東西好吃~  都會有試吃跟介紹
Zhi Xuan Yeh,5,"不會太甜，口感也不錯
不像有些軟糖吃起來好像在嚼香皂一樣"
蔡紫瀅,5,看花花有推，真的很棒  店家很貼心  東西好吃~
PY LIAO,5,謝謝店家很親切的服務，軟糖很好吃喲！😊東西超可愛的~~~
黃基喵,5,法式的喜糖台灣也有了耶！一定要  東西好吃又有特色  老闆親切
Dok Kna,5,很有耐心詢問需求  餐廳送的喜糖都沒人要吃  大大推薦給大家
Albert Liu,5,很特別的伴手禮，不錯哦  老闆超級貼心的  天然水果香其中含有膳食纖維
bggg1018,5,店員人超好  結婚必備法式軟糖是真的  加上軟糖好吃到打包好多回家
G北鼻,5,看花花有推，真的很棒  店員很親切  軟糖好好吃
pei pei,5,服務人員很專業，給了很多意見，軟糖好好吃！👍
李建勳（建勳顧問）,5,"好吃！
想不到更多的誇讚詞，
吃了就知道好"
fk433,5,服務很好  婚禮一定要有，WIKI說的。哈哈  糖很好吃不死甜
柯柯科科,5,"店員人超好, 很熱心, 軟糖也很好吃!!"
PeiShan Lee,5,軟糖好吃！店貓很可愛😍
涵涵,5,法式的喜糖台灣也有了耶！一定要  服務人員很專業  軟糖很好吃
杜久智,5,結婚必備法式軟糖是真的  接待店員超親切  東西好吃~
陳慧霓,5,我覺得婚禮一定要有  水果軟糖超級好吃  店家很親切的服務
林小彤,5,軟糖我挑的，老公說挑的好  老闆親切  東西超可愛的
黃諾軒,5,結婚必備法式軟糖是真的  東西超可愛的  店員很親切
蘇敬祐,5,餐廳送的喜糖都沒人要吃  水果軟糖超級好吃  服務很好
王冠仁,5,服務人員好 態度佳 東西也好吃 真心不錯
黃俊衡,5,我覺得婚禮一定要有  軟糖很好吃  都會有試吃跟介紹
王前崑,5,軟糖口味多好吃😋健康又有特色！
Wayne,5,婚禮必備喜糖 頃吃法式軟糖 店員人超好  東西超可愛的
陳小安,5,東西好吃，服務又親切，超推
Ivy Lee,5,服務很棒❤️ 糖很好吃不死甜！！！
邦貫鄧,5,老闆人超好 軟糖也超級好吃😋
吳靜專,5,店員親切解說~很棒~真的很好吃~
Purin,2,外送軟糖普通
劉宥昕,5,軟糖超好吃 服務超級好
戴蓬澤,5,服務人員專業 態度也很好
曾上銓,5,態度良好～非常熱情
何孟芙,5,東西好吃實在！：）
E Ho,5,好吃，不會太甜口味又多！
Brian Lien,5,"(由 Google 提供翻譯) 一直出新口味~~好好吃哦！有天然的味道

(原始評論)
一直出新口味~~好好吃哦！有天然的味道"
葉依萍,5,"(由 Google 提供翻譯) 軟糖我挑的，老公說挑的好 店家很親切的服務 水果味道相當濃鬱

(原始評論)
軟糖我挑的，老公說挑的好  店家很親切的服務  水果味道相當濃郁"
盧比,5,"(由 Google 提供翻譯) 結婚必備法式軟糖是真的 水果味道相當濃鬱 服務人員很專業

(原始評論)
結婚必備法式軟糖是真的  水果味道相當濃郁  服務人員很專業"
小輯,5,"(由 Google 提供翻譯) 軟糖不會太甜，水果味道也相當濃鬱！

(原始評論)
軟糖不會太甜，水果味道也相當濃郁！"
Yi Chun,5,"(由 Google 提供翻譯) 偉大的！

(原始評論)
Great!"
庭唐,5,"(由 Google 提供翻譯) 糖果好吃

(原始評論)
糖果好吃"
日本娜娜,5,"(由 Google 提供翻譯) 很熱心 我覺得婚禮一定要有 水果味道相當濃鬱

(原始評論)
很熱心  我覺得婚禮一定要有  水果味道相當濃郁"
Elain Kuo,5,"(由 Google 提供翻譯) 口味很多，很好吃！ 😁😁😁

(原始評論)
口味很多，很好吃！😁😁😁"
Go Gooo,5,"(由 Google 提供翻譯) 很特別的伴手禮，不錯哦 超讚 水果味道相當濃鬱

(原始評論)
很特別的伴手禮，不錯哦  超讚  水果味道相當濃郁"
Ray H,5,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
林鈺家,5,
林秀蓉,5,
張容慈 Rosie,5,
Kris Hsu,5,
Victoria Huang,5,
yung-chen Liau,4,
陳怡伶,4,
潘潘,5,
Sweety Su,5,
Chang Norika,4,
賴建宇（Jim）,5,
Nancy Weng,5,
冰莫JCL-KPOP翻譯-,2,
