author_name,rating,text
Shu,3,"義大利麵好吃，湯普通，裡面沒什麼料，整體份量偏少，CP值不高，但願意為了味道花多點錢也不是不行。

服務態度的話，我和朋友則是都覺得「不值得加一成服務費」，吃飯過程就只有加一次水，也只有老闆娘一位服務生，倒不如用自助但不用服務費的方式還比較好。加服務費自然會期待服務多好，結果根本還比很多沒加服務費的還差，感受相當不好。而且，吃飯中還突然關一盞燈，是有必要那麼省電嗎... …"
Su Sarah,5,"這是我吃過最好吃的義大利麵
每次去都始終如一的點加大鮪魚蘑菇麵
酸酸甜甜鹹鹹超好吃"
YI WEI CHEN,5,兩年多沒來一樣是好吃到嚇死人🥲
Kenyon,4,鮮蝦墨魚麵和牛肉千層麵好吃~
阿薛,5,份量偏少，一般人尤其是男生建議加大，用料很實在、新鮮、不油膩，墨魚麵非常好吃，天然的食材，會持續回訪的店👍老闆娘很細心介紹，用餐愉快
Christin Huang,5,"對學生來說價格略略高，但我覺得餐點跟服務都很棒~
老闆娘很親切！我點的青醬雞肉味道很好，青醬濃郁雞肉也很嫩~附送的湯也好喝~"
Channie Shih,5,"吃了四次還是覺得無敵的白醬海鮮麵！
店家自製的黑森林蛋糕，歐倍拉蛋糕，都好好吃🤤 很濕潤。
吃完義大利麵，用甜點做結，真的推推🥰"
Jing Su,5,"好好吃😍😍😍😍😍😍😍
價格有點貴～份量有點少～但超好吃！"
Vincent Wong,5,好好食的店，服務好細心，人客不多，多得好友推薦，墨水章魚麵是我在台灣食過最合我口味的，不會太鹹，蠻新鮮的，大家不防一試，不會失望
Kuo-kai Lin,4,一間對義大利麵有堅持的店，裝潢是希臘風格簡單又不失質感，老闆娘一開始就先說餐點現點現做要等久一些，點了紅醬培根義大利麵，結果差不多15分鐘後上菜，上菜時老闆娘特別提醒「麵直接捲來吃，不要拌麵」，後來結帳的時候再問了老闆娘為什麼要特別囑咐這個，他說有的義大利麵是調理包所以要拌一拌才能吃，但他們家的麵都是現炒的所以不會不均勻，然後拌麵會讓麵涼掉會影響口感，可以看出老闆對於自家產品的檢查。 …
Yun,4,"鮮蝦墨魚麵215+10%服務費，老闆收237元
好像沒有墨魚汁，吃完不會嘴黑黑
不過口味我還蠻喜歡的，有清炒的香氣。
份量再多一點就更好了！"
Jenny Liao,4,義大利麵很好吃，醬汁味道很足。但內部裝潢稍微老舊，窗邊的位置很曬，小小可惜
Beatrice Kao,5,每一口吃到的都是用心與專業！真的如老闆娘強調的，是正統義大利做法，跟一般就是不一樣！
Judy Guu,5,三訪的好吃義大利麵店! 今天點的是培根蔬菜義大利麵，每條麵都充滿培根的香氣，收汁收得很好，更難得的是麵體仍然Q彈，不會因為料理時間久而軟爛。現做需要等待，例如清炒就會從爆香開始，跟外面強調料多但不入味的調理包很不一樣。以學生來說價位高且份量少，女生來說八分飽，男生吃的話建議加大。但還是很值得，很好吃!
閻離喚,5,大推南瓜醬跟青醬系列，濃郁鮮甜（當然其他風味也很好吃）。老闆人非常好～
Y Chen,4,老闆態度好，環境舒服
CLARE LEE,5,杏香辣雞義大利麵（醬跟麵體都絕頂，料也均衡，建議加麵）
Sharon Chen,4,用料新鮮實在，麵的軟硬適中，是附近最好吃的義大利麵店，但也因為真材實料，對學生來說價格稍高，份量較小，女生吃8分飽。
Yuli,3,"好吃歸好吃 但真的很貴 份量又少
老闆娘還偷加價
210+215再加一成應該467
老闆娘直接跟我收470
雖然是小錢但這樣的感覺不是很好"
hsiao-ting Tseng,4,份量蠻少的，味道很不錯，義大利麵的口感也很好，不會太軟～可以給99分！😆
Chloe Chen,5,好吃，老闆娘很親切
nrtceh chen,5,"2018-0623再次來嚐~又多了套餐可以選擇~
來了多次，美味依舊。😀😁😃😄😆
很多人推薦。
份量嗎？說少的可以+40變大份量……"
Money Chein,5,"餐廳用料實在，是真心為客人把關食安的好店家。
餐點好吃，吃得出店主堅持不用調理包及含有添加物食品的用心。"
廖元祺,5,老闆很親切也會仔細說明餐點，餐廳氣氛也滿好的，適合和家人朋友聚餐聊聊天。墨魚麵非常好吃，麵體不會軟爛、是我喜歡的口感，蝦子也很新鮮。
楊智鈞,5,地點近台大，方便聚會。餐點美味，服務親切。蛋糕也很美味。
總舵主夾娃娃,5,用心煮服務親切的好餐廳，老闆娘的過目不忘令人佩服，全部自己做的義大利麵和蛋糕賣這個價位實在佛心
Lillian Hung,5,千層麵超讚的😊😊
chin Yu,5,醬料比例調配得很好，麵條不會過軟或過硬，擺盤還有用心的特別小巧思XD 老闆娘人很親切>///<
Steve Ho,5,"東西超級好吃
水準很高的低調小店
廚師聽說是美國回來的
在地食材，正統美味"
Linda Tung,5,皆為現煮的食物，要能耐心等候，味道合宜，份量不太，會讓人感到意猶未盡，還想再來。中午時間人較多，最好先訂位。
鄭凱懋,3,牛肉千層麵雖然好吃，但是基本消費額度有點高，需要兩百元。且無法共餐，有點可惜。
Peiring Tsai,5,餐點美味，老闆娘親切。
Addison Lee,5,青醬超好吃，墨魚麵的蒜片超香
Ryan Tsai,4,麵很好吃，但加麵加40麵還是很少，蛋糕有點普通
Chen Bormann,5,烹煮用心、食材棒、氣氛輕鬆，重點是非常好吃。
Janifer Hsu,5,餐點精緻、美味，吃得出老闆的用心！激推！！
