author_name,rating,text
ChiWen Chang,2,"老闆一直緊迫盯人，讓人吃的很趕...
店內提供燒焦的海鮮煎餅，無法接受。

跟以前用餐感覺差很大！"
Allen Chen,1,"平日（禮拜三）中午13:00來，
整間店空盪盪只有兩桌客人，
一人前來用餐被拒絕，
連加價都不行。
（重點是也沒有註明不能一人用餐）

真的很會做生意。"
Linda huang,4,2021元旦假期與老爺騎著腳踏車到公館，天氣好冷，老爺想要吃暖呼呼的烤肉，因為臨時起意，所以就找了這家愛樂廚房-韓式烤肉，老爺與朋友一起來過一次，銅版烤肉吃到飽一人398元，不用服務費，價格整體來說非常划算，有海鮮煎餅、部隊鍋、炸雞等吃到飽，韓式料理的各式涼拌小菜也都有，肉類有6種都是吃到飽，最後一般的汽水、橙汁、檸檬紅茶也一應俱全，店在二樓，旁邊就是是小公園，用餐景色不錯，我們下午二點半左右到，只有三桌客人，可能昨天大家都在熬夜跨年，所以沒啥人，總之愛吃銅版烤肉的人是不錯的 …
陳冠樺,3,位於公館商圈2樓，吃到飽的韓式銅盤烤肉料理餐廳；雞肉、豬肉可選，羊肉騷味明顯（較不建議），辣炒年糕、海鮮煎餅（菜量比花枝多）、部隊鍋（泡麵好吃，搭火鍋料）、炸雞（完全素雅，沾辣醬），小菜普通，沒到一盤皆一盤，但也不難吃；鮮少吃銅盤烤肉的人，建議不要來，因為烤焦了，老闆娘會不太開心噢噢！
HMH Tofu,3,"有數種韓式小菜 6種肉 蔬菜 炸雞 煎餅 炒飯 冰淇淋機東西相當多樣 但其實只推薦大家烤烤肉就好
肉的部分不會因爲他的價格便宜而不好吃
尤其醃過的辣雞肉 豬肉都特別好吃
他提供澆在銅盤上的是水而非高湯
所以蔬菜類跟火鍋料的根本沒什麼味道 有點可惜
煎餅跟炸雞可能擺久了 不太好吃 勉強還行
辣年糕泡久了其實軟爛的 沒什麼口感
他還有送一碗小的部隊鍋 泡麵部分有點煮太軟
但整體算好吃的了
老闆的服務其實很親切 但真的沒什麼服務品質
桌子黏黏的 但沒收服務費還可以
整體而言以cp值來說有四顆星
想吃肉的學生可以考慮
如果要吃好的 則是三顆星 不建議抱著太高的期待"
憶憶,5,老闆娘親切熱情大方。上菜上到還沒吃到一半就已經快飽了。好吃。一人398不用服務費，用餐時間一個半小時（老闆娘的口語，夠啦夠啦。）哈哈。
Cindy Yu,5,"海鮮煎餅 炸雞 部隊鍋 和各種小菜都很好吃
肉也沒有因為是吃到飽而品質不好 真的很棒❤️
以後一定還會再來！
（不懂為什麼當初看評價只有3.5顆星⋯⋯
（根本超過五顆星了！！！"
國見比呂（林聖博）,5,除了本身銅板烤肉之外還有附小菜，煎餅炸雞，部隊鍋，cp值超高。
鄭捷文,4,第一次來用餐，小菜種類很多，一人398不加服務費，炸雞，海鮮煎餅不錯吃，外場1人的服務也親切，樓梯旁一架鋼琴也可隨興去彈喔
S.Q Wang,3,交響樂伴食，感覺蠻舒服的，口味偏鹹，服務還算不錯，假日生食青菜僅限一盤，讓人傻眼，單獨吃調味肉片，鹹到吃不了幾片，小菜食材雖是一般，但料理的不錯吃，算是亮點之一，不建議假日去，沒生菜真的很扣分。
M J,4,"禮拜天大人398的價錢很親民👍👍

外場先生豪爽可愛，我們第二輪只要了炸雞跟煎餅各半份，仍然送來近全份的量，並邊說半份怎麼夠吃，好親切！😆"
雅心游,5,"超級無敵大堆❤️
是我這輩子吃過cp值最高的韓式烤肉
部隊鍋 炸雞 還有一堆小菜都非常好吃"
Richard Chen,5,有人情味的老餐廳，唸書的時候來吃過幾次，後來到外地當兵工作就慢慢遺忘。今天剛好經過，就上二樓來懷念一下。一樣的老味道，一樣的高CP值。一人 398，不加服務費，烤肉，小菜，炸雞，煎餅，部隊鍋，霜淇淋，飲料吃到飽，划算。
Cynthia Hung,4,銅盤烤肉、各式小菜、海鮮煎餅、辣炒年糕、拔絲地瓜、部隊小鍋、炸雞肉、飲料及冰淇淋，吃飽飽！
chu Kuo,5,炸雞，蜜地瓜可以一直點，食物份量很足夠，菜，肉自己取用！泡菜和泡菜蘿蔔都很喜歡，每人398元，不收服務費！平日四人同行一人免費，這個價位也值得！
晨曦數學,5,很讚，但是配菜別吃太多，不然肉都吃不下了
史塔森傑森,5,東西蠻多的，炸雞點心可以一直點，老闆娘人很熱情，還不用服務費，良心店家。
Jerry Wang,4,好闆很客氣，韓式小菜做的不錯，價位對得起餐點了。
莊大熊（大熊老師）,5,"老闆熱情,食物也好吃唷,平日還有優惠,真的很棒"
陳彥樺,5,老闆人超好，我們1人遲到，後來到取消不吃，但老闆仍然說可以吃不算錢，還請吃水果。食物美味價格划算，重點老闆人超級nice
Lucy,3,對於愛吃肉的人銅板烤肉是好吃的，其餘的熟食真的還好，不過價格便宜CP 是算高的
minjung H,4,雖然裝潢舊了點，但是很有味道，店員也很勤奮地打掃。週間四人同行一人免費哦
Jessie Chou,2,食材不新鮮，味道普通，吃完全身過敏
林小牛,2,"難得來吃，平常都是路過，平價吃到飽銅盤烤肉，餐點肉品尚可，其實可以不用這麼多配菜，主攻肉品品質即可；老闆娘控制欲很強，很囉嗦，吃到沒什麼心情...
開很久的店了，住附近第一次來，也不會有下次
還是祝她生意興隆🥸"
栗山未来,5,好吃，而且老闆娘超好～菜單上雖然沒有蔬菜拌飯，但其實背後是有小小的貼心故事，如果還是想嚐嚐，老闆娘還是會願意大展身手的，而且超好吃。用餐過程中還會一直關心顧客的用餐品質，還會給顧客意見，讓我們吃到更好吃的韓式烤肉～
Miki Ieong,3,服務很熱情親切，口味不是正宗的韓式，食物種類很多，也都可以無限續加，價格也很便宜，但味道一般，不過cp值算高～
Sunny Chang,4,高CP值，小菜多，韓式烤肉都一樣。
Yijin Hou,5,好喜歡熱情可愛的老闆娘，東西也好吃
Timothy Yeh,4,肉品品質不錯，很好吃，熟食和小菜也都還不錯，服務人員很親切服務也很迅速
Chin John,3,一就坐老闆就會「熱情」的端出部隊鍋、炸雞、海鮮煎餅和拔絲地瓜，當然都可以續盤。但是，個人覺得上述這些，再包括肉品和小菜，全部都相當普通。只有「烤肉醬」真的很特別，還有「霜淇淋」真的很值得一試。
吳卡,3,公館老店，吃粗飽，美味程度實屬普通
吳聖虎,3,食材樣式種類很多 ，能同時享受烤肉烤肉鍋跟部隊鍋， 還有一些小菜可以食用，服務也很親切熱情。 但整體用餐感覺與價格相較就變的很普通。
佐藤翔太,5,本店的環境舒適，老闆人好親切，價格親民，很喜歡他們家的泡菜很好吃。
陳世平,2,老闆態度不好，食材不新鮮（蝦丸酸酸的、豬肉片味道也很奇怪）口味不夠道地，四人同行三人學生就無法使用學生價⋯⋯
Ki ma Huang,5,韓式烤肉，不貴，東西也多……只能給五顆星了
Caesar Zhang,5,東西超多超豐富，重點是吃到飽才398。CP值非常高
Alibe Chen,5,東西好吃又多元，如果有在做減醣的人也適合，果然是吃幾十年都很棒的餐廳
Mila Lin,3,"跟以前不太一樣了。
1.自助吧的菜太少，花椰菜跟香菇一直被拿光。
2.羊肉好吃，其他肉感覺普普，小菜還可以，有辣炒年糕跟豆芽菜海帶芽泡菜等等....一直塞海鮮煎餅，光吃他就飽了....冰淇淋不知道什麼口味，味道太淡吃不出來。
3. 價錢很划算，四個人還一人免費。

整體來說還可以，但是以前真的比較好⋯⋯供參考⋯⋯"
Eli Wu,3,食材OK，吃到飽CP值不錯。
Wei Chang,5,"學生時期最愛來的餐廳
除了銅盤烤肉最喜歡吃他們的海鮮煎餅和炸雞"
Justin Unknown,3,本次是第一次去吃，若以吃飽為角度，cp值是高的。但除了肉類口味尚可外，其他附帶食物雖然多，但並不算太好吃。觀察用餐環境，衛生也不太好，服務隨性，像是在傳統小吃店的感覺。也許適合小孩和學生，因為有折扣。
Wendy Wang,4,服務態度不錯，東西都是自助式，有各種小菜泡菜等等的，還有年糕。肉質普普，但身為學生的我可以吃很飽，覺得cp 值尚可唷！
黃貫庭,2,在2019年中去吃的，跟大學時比起來好像有換經營者?不確定，不過整體的水準不比當年，當天吃飯時送的海鮮煎餅是冷的且是酸的，然後自助區有蒼蠅，衛生環境水準不夠，肉印象中是醃製過的，吃起來就那樣子，對我來說，整個用餐品質是無法對得起收費的，不過用餐後段越來越多人來，甚至滿場，看來是我沒有吃到這間店的精隨。
紅豆,5,平價吃粗飽的韓式烤肉，適合想大吃特吃的人。環境擁擠需要加強清潔。老闆服務很好。
李一峻,5,我在這吃了十幾年 吃到我小孩都生了還是來澎場 這CP值代表了老闆對客戶的愛 我不太懂一堆人在嫌甚麼 尤其是海鮮煎餅 小孩愛死了
Ann,1,環境衛生不佳 一進去桌上有先擺好的火鍋配料感覺是放很久的 盤子上有很多灰塵 火鍋加的湯也只是水而已完全沒味道 自助區更不用說超級沒衛生東西完全沒用蓋子蓋起來都不怕東西跑進去？肉就像重組肉一樣 一夾就散 牛羊豬味道完全一模一樣根本沒差別 炸物感覺也是放很久整個是冷的 辣炒年糕完全沒味道溫溫的一點都不熱 吃一塊肉就完全沒胃口 才剛吃而已就急著來收錢是怎樣 吃個晚餐好像是買罪受一樣😑😑
張哲僥,1,一直關我火 肉是要怎麼熟
WANG ANGEL,1,態度差、東西也不怎麼樣，如果不是最低是一星，連一星都不想給...
李沁潔,5,平價、好吃、服務親切
Yang Klaus,2,"一進去店員很熱情接待
而且銅板烤肉假日399吃到飽真的太便宜
在台北應該很難找到這個價錢
但品質就很一般 不用太多期待
基本的牛豬雞 綠色蔬菜
幾樣韓式小菜（泡菜可以推一下）
然後炸物有雞腿、花枝丸跟煎餅
飲料機就氣泡飲料跟柳橙汁、可爾必斯

但環境真的很不ok
就活生生被我看到一隻蟑螂在沙發上爬
然後被我打死後 我看到沙發的縫縫
都是滿滿的灰塵 看到整個心情都吃不下飯了

抱歉 只能列入一次店名單了"
YuJing C,4,"老闆平日會送石鍋拌飯、煎餅、部隊鍋
個人認為只有烤肉本人有在水準之上
其他品項略顯無味
但老闆人很好～"
Phoenix Huang,5,"好吃的口味
服務很到位
吃得飽一直補貨
感覺給人家吃不怕
很舒服"
Dog Bad,5,物美價廉，食物美味，賓至如歸
Foodie x Hunter,4,乾淨簡單、美味的韓國烤肉、海鮮煎餅、火鍋、小菜、飲料晚上還有韓式炸雞、價格也不貴適合學生吃到飽的人⋯⋯
Tingyeh Wu,4,石鍋拌飯料很多，很豐富，但是口味偏鹹，有一點可惜。餐的種類分為吃到飽和單點，單點的部分有提供飲料，是檸檬紅茶好喝，小菜總共三種，覺得還可以。
ok963ok,5,"老闆很可愛
肉質還可以
拔絲地瓜超好吃的
每次一補就空
這麼多東西可以吃很擔心他沒賺"
wen lung Hsieh,1,到這家店用餐次數不下有十次以上了，記得以前到這家店真是c/p超高的，現在399的水平真的只有差來形容。價格一直調高，品质一直在降低。现在只能說老板賺飽了，绝對不推荐的一家店，没有下次。各位老顧客可能不㑹來看谷歌的評論，在這留記錄是给新朋友參考，看到其他人的留言就知道対老店的失望～菜色無言，環境復古（老舊），服務人員只有差勁👎來形容～
小瘋（MissCrazy）,4,"大學時期就常和朋友來這裡吃烤肉了~
小菜很多樣還可以續
是""吃到飽"" 的用餐方式
目前價格一人$380  沒有服務費~
老闆相當親切~

雖然來就是吃銅盤烤肉
但配菜種類及小菜相當多！
有湯有飯有炸物有肉
每次來都覺得誠意相當足
也因為推行不浪費原則
所以現在的小菜都改成自助吧形式
湯和飯及其他肉類料理的部分
有需要就可以直接點

比起早期來是直接 一桌放一份
這樣吃不完浪費很可惜
現在的方式好多了~"
p1aib,4,沒有負評說得這麼糟，以附近一帶而言算是有cp值的店，食物也不會不新鮮。
W,1,一人398，但食材新鮮度和種類只值98，年糕放很久整個冷掉像人家吃剩的，煎餅也是難吃到爆直接吐掉，小菜也就那幾樣可以選，肉類超級碎口感也不好，新鮮度感覺也不優，環境也老舊髒亂，直接拉黑，活了30年吃過最難吃的吃到飽
汪洋百川,5,20年來，唯一支持
蛤蠣,1,"衛生爛到爆，去的時候還有2隻蟑螂在地上，叫他們來掃，還托托拉拉

連一星都不想給"
李紅昕,5,"一人380
銅板烤肉，小菜及熱食吃到飽
假日用餐時間1.5小時
服務態度優良親切"
チンシズカ,2,"衛生，服務正常
食物不優，只有吃飽
菜盤選項不多
小菜有怪味
環境普普，學生居多，吵雜
一分錢 一分貨"
會考大會考（洪安）,5,服務親切，風味獨特
郭瑾祥,5,"CP值超高
老闆很親切"
張淵凱,5,老闆很熱情可愛，會煮鍋麵跟鍋飯😄，超飽足感。
