author_name,rating,text
天天快樂,1,"一開始自己看了這裡骨科評價高的羅逸帆~去看診才知並非如此~例如評論說,醫師會親自幫你打石膏, 是騙人的~事實是叫你自己苦苦等到護理師有空過來~護理師打完石膏, 就去批號領藥~護理師石膏到底打得OK嗎?(還被迫自費買了他們的石膏鞋250元),醫生連看,都沒看~醫師醫術和經驗?
誇張的是他連開診斷證明都不會~該寫的醫囑要休養多久, …"
陳福建,5,"永和耕莘醫院位處中興街（前是有名的韓國街），是永和地區的地區醫院。在全國人口密度最高的永和地區，人稠街窄（常可見到很多的無尾巷）的醫院，自然無法擴大規模，提供更好的醫療ˋ醫護服務，總讓人有醫療品質較差的印象。
唯難得一見是其他醫療院所少見的，對手術骨科住院病人，每天會有物理治療師，到病床為病人做物理治療，並指導病人如何自我做復健。
自醫院高樓望去，可見建築屋舍密集的景象，也可以遠望比鄰的台北市，新光人壽摩天大樓ˋ101大樓就在不遠處。"
林芯伃,1,前幾天發燒想要快篩，護士小姐直接指引到急診室，到了急診室卻說要再等一個小時，我體諒現在大塞車醫護人員都很辛苦，但等完才知道是做PCR(這期間都沒有解釋只要我在外面等時間)，篩完後醫護人員說報告要等三天，等了三天再打電話卻說5-7天才會出來，等到第7天依然沒下落...?
顏雅蘋,1,幫家人掛號，家人去到哪裡竟然說這不是他們的掛號，他們沒有2222診間號，說我掛到中和耕莘？！然後我家人就又回來了
Jeff Fu,5,2020/08/01推早診的推家醫科，新進勞工體檢，醫師和護理人員很棒，很有效率重點是口氣都很好，目前碰到醫院最有服務品質的醫院，醫生也不是制式化的隨便問一問，檢查確實，抽血站解說也很仔細，繳費也迅速，不會像其他醫院不耐煩。
Angela Wong,2,"新冠肺炎長者預約系統
5秒內 六個時段全部額滿
資料都來不及輸入
難道週六早上9點有600個人 都在5秒內 完成勾選時段和身分證字號嗎？
還是先保留了呢"
路人甲,1,掛急診 結果問完旅遊史跟哪裡不舒服 護士就叫我出去給蚊子咬 過了5分鐘又出來 叫我交450和健保卡放袋子？拿四包藥三天給我回家吃 連急診醫生都沒看 有夠瞎 這樣還可以領健保補助 難怪健保老喊破產 笑死
ben Lu,1,要做快篩+pcr，結果到現場小姐說我的情況要到急診，到急診手續完成等了一個小時，只給一個棉花棒，原來只是pcr，篩檢在我剛剛問的地方，小姐說我沒問清楚，但我第一時間就是問你們耕莘醫院的小姐呀，明明就是沒有說清楚，好多醫護都態度不耐煩，真爛
bella hau,1,楊怡和醫生真是太沒醫德，陪老媽媽去看診，什麼問題都沒問病人，用一個儀器叫病人戴上搖搖病人的頭，也沒解釋就直接開藥！然後叫媽媽明天來抽血就可以出去了～（全程大概不超過兩分鐘）病人想發問，醫生說：“那都藉口啦～你藥吃完就會好！”完全不聽病人講話欸～旁邊的病人家屬想發問，醫生大聲說道：“你有掛號嗎？”（意思是叫家屬閉嘴），真的是長眼睛沒看過這麼囂張的醫生～暈眩權威？什麼問題都沒問病人就可以診斷～我真的不相信！
嚮導,1,骨科 郭國平是怎樣？ 不幫忙檢查 只開消炎藥 吃了一個月沒有用 後來檢查是細菌感染 有夠爛 你的態度會害死人 建議別去看他
