author_name,rating,text
CHIACHEN LIN,5,外帶或是內用都非常有質感，和果子美到捨不得吃，我懷疑和果子不是拿來吃的，是拿來用看的，充滿意境式的美感與想像，可以滿足很久，冰焙茶非常清爽好喝，餐具好美。
Shuwei Leander Liu,5,"202101

簡樸的茶室，店內裝潢著日式元素。櫃台小小的，當日的和菓子會展示在玻璃櫃裡。建議電話訂位時可以順便交代想保留的菓子，以免向隅。一入座店員就會非常親切地招呼。當天朋友比較晚到，店員也不會催促點餐，讓人感覺非常放鬆。用茶的座位大部分是兩人座，此外還有小包廂，可以在訂位時詢問店家可否使用。

店內書架上有很多關於和菓子、日本茶室介紹的書，時間許可的話，可以舒服的閱讀。尤其在疫情期間無法出國，或許來到這裡可以安撫一下想出去玩的心。 …"
Lieselotte tete,5,這次點了夢見草、初櫻還有山吹。和菓子口感細緻，香氣內斂，不至於膩口。很好的體驗
yun Ch,5,"很舒服的地方！
和菓子都很好吃
抹茶牛奶也不會太甜膩"
魚兒,5,"非常美好的午後時光，今天是平常日雨天待在這個角落，很舒服很自在。
老闆是日本人（整個店服務相當好也很親切，也能聽到親切的日文）和菓子可愛的讓人愛不釋手，每次去都會有所不同，相較於日本和菓子的甜，已經有稍微改善為沒那麼甜，但卻也不失日本風味，加上平日能坐在塌塌米望著窗外，再配上現點現刷的抹茶，超級幸福組合，大大推薦的是抹茶布丁，入口的微苦味，綿密的口感，由微苦轉甜入候後，香味口齒留香，也太驚喜了！（為了它我會再次光臨） …"
sin_as_zk 7,5,這家的上生菓子不只總類多又好吃，很像在品嚐藝術品捨不得吃😆 蒼壽的味道意外的淡，不過人家本來就是薄茶🍵
松鼠,5,"運氣很好，在榻榻米區落座

這次享用了美味的和果子（櫻富士）及抹茶（蒼歲）

櫻富士用色療癒；蒼歲特殊的奶香甚是喜歡❤️"
張大菜,5,"第一次來
感謝朋友帶我來
櫻餅上面的葉子帶點梅子的味道
鹹香也不會太甜好好吃
還享用了心心(巧克力)、福梅(洛神花)
抹茶選了碧光也非常好喝
喜歡黃豆粉白鳳豆可以喝牛奶的朋友
千萬不要錯過白鳳乃瀧好好喝ㄛ

期待再訪
心心是朋友幫忙拍的 金箔好好看喔
內餡巧克力是苦甜的成熟風味好好ㄘ
福梅的洛神花也酸度適中也很推薦ㄛ"
Wang Debby,4,"外帶了櫻餅跟鬱金香，總共三百
櫻餅我覺得沒什麼味道
這家和果子不會很甜，吃起來剛好
給四顆星是因為小小一個這樣的價格真的太貴了"
林靜宜,5,還蠻喜歡這個同時能感受台灣茶及日式茶的空間，期待下次的回訪。
