author_name,rating,text
林薔,5,滴咖啡的老闆人很好，布朗尼很好吃，咖啡也特別好喝
Calvin Weng,5,很舒服的室內格局，咖啡尤其好喝，老闆待人親切，聽說老闆有個暱稱“抹茶大大”，好像要推出抹茶商品，好期待
Boison St,5,"這家店還沒倒，太神啦！
全台北最好喝的咖啡店還在欸。

老闆又更狂了，原價 160 單品黑咖啡直接台幣 30 賣，不好喝不用付錢直接丟垃圾桶，我傻眼😂🤣，要吃飯旁邊買菜來，廚房隨便你用。

#貨真價實的單品三十到底是三小"
Ethan Huang,4,"老闆和善的
許多常見的單品~
首見“熱冰滴” 大開眼界、有熱桂圓&肉桂香，有趣。"
Erica Chen,5,咖啡香濃 曼特寧 卡布 都好喝 布朗尼 不會太甜 起司蛋糕很正
YF Lin,4,老宿舍改建的咖啡廳，氣氛令人愉悅放鬆的地方，主打手沖咖啡，位居大馬路旁，卻有難得的緩慢舒服😌
Katty Chien,5,不限時間，愛坐多久都可以哦！咖啡和飲料都很好喝～老闆說 ，他營業到晚上 12 點哦！
王皇文,1,甜點與飲品皆普，如若世界放棄職人與文青的精神，那這家店將無以宣稱他自身存在之必要。店內昏暗的黃與木質的構成將跌入一種邊界問題，各種固體與咖啡氣味也將幻入知性的醉態之下，所有的概念將在此融化軟爛，共跳液態的舞，無以成長 …
邱芸榛,5,很好吃，老闆人很好，還招待了飲料。
王美玉,5,西點好吃，價格合理！
張鍋巴,5,"老闆非常有個性
特製舒芙蕾令人驚艷
隱藏版木棉黑咖啡順口好喝"
Hung Amy,4,老闆很熱情，虹吸式煮法，建物本身有故事，很輕鬆自在的環境。
B.Man J,2,"經過很多次從來沒有進去過，感覺上應該是還不錯的店，至少開了不少年了，今天我點了冰卡布奇諾......

我對咖啡雖然不是很有鑽研，但是我至少知道義式咖啡都是由濃縮咖啡配上不同比例的牛奶製成。但是這家的卡布奇諾居然是冰美式加上奶泡，中間也沒有牛奶，而且點完幾分鐘就好了，我甚至沒有聽到咖啡機的蒸氣聲

喝到這裡我對這家店有些懷疑，網路上幾年前的照片跟現在店內的陳設有些出入，人員也是，我自己的猜測是之前老闆有請專人泡咖啡，但是現在店內只剩下不懂咖啡的老闆，中間發生了甚麼事情我就不知道了。"
陳好彬,5,咖啡味道不錯，老闆喜歡聊天，一邊聊還喜歡一邊請咖啡。氣泡咖啡非常新奇，被請了一整杯XD
劉蕎瑜,5,現在到店裡內用，可以享外帶優惠價格，不限低消也不限時，於是就點了店內有名的布朗尼，一吃驚為天人，稍微甜了點，但配黑咖啡或茶品剛剛好。
張雨晴,5,老闆非常親切，咖啡都是用有機咖啡豆，場地也佈置得很有家庭客廳氛圍，人情味十足。推薦各位來挖取老闆的寶藏~~
萬宏傑,1,一家典型只做一次生意的店，不過也沒關係啦，或許老闆開店是為了燒錢不是賺錢，可能他很有錢吧。老闆的態度講好聽點是有個性，講難聽點就是不把尊重放在心裡面。
Yu Chen Chang (玉貞的網路日技),4,這種森林小木屋感覺的咖啡館，在晚上看起來非常動人。以前常常午間在這邊喝咖啡度過閱讀的時光。但不知道為什麼他的人氣常常不高、可能大家都跑去台一牛奶是冰了
康小白,5,藝妓咖啡、冰滴咖啡超級好喝！！老闆非常熱情、知識淵博，店狗橘子超可愛～
Shih Chia-ying,1,"我是招誰惹誰?
今天下午，天氣很熱，經過新生南路這家咖啡館，設有外賣窗口，想買一杯50元冰咖啡，無奈等半天沒人招呼，就想說進店裡看看，只見老闆在講電話，我看一下店內價目表，都是單品咖啡，一杯一兩百塊。等他講完電話以後，我說我要外帶。
老闆∶你在店裡點是店裡的價格喔。
我∶哦，那我去外面點。
老闆∶你要外帶還偷吹我的冷氣。你們有眼睛是沒看到這個手搖鈴嗎?這就是要呼叫老闆用的。
我∶（當他開玩笑）啊，剛剛沒看到。那你的布朗尼是自己做的嗎?
老闆∶這個不好吃，不要買。
我∶不會吧!
老闆∶你是查過網路才來的嗎?
我∶不是，我是路過。
老闆∶我只賣熟客。我今天不賣你。

奇怪，我路過還不行?你那個手搖鈴那麼小，我沒看到，你提醒我就好了。兇甚麼兇?"
Formorsol “Soul's ture vioce”,2,"清ka-pi 未輸是清水 無味的咖啡
佇台灣開店無接受以台灣話買物 無意思"
Wayne Horng,5,很舒服的氛圍，很棒的咖啡！
黃世堯,3,老屋新建改造成玻璃屋，蠻有特色的，點一杯耶加雪菲在這聽著英文老歌，悠閒的規劃著明天的行程，享受著這片刻的愉悅。
黃翠文,5,充滿人文簡單氣息
陳心荷,3,"老屋建築很特別，
但咖啡本身不符這價位，
室內空間人少的時候可以，
人一多起來回音非常大。"
Hitomi Sato,4,"咖啡好喝，手工甜點好吃!
店為日式建築老屋，老闆的概念很好，很不錯的咖啡店。"
POCHANG CHEN,5,"第一次無意間喝到他們的咖啡就驚為天人
從黃波旁、翡翠藝伎，到冰咖啡都很棒
裝潢設計很有格調
老闆很博學多聞、交友廣闊
真是談笑有鴻儒，往來無白丁的店"
glanada zen,4,窗景隔絕喧囂。吧台傳來陳建年
KEVIN CHUNG,4,咖啡不錯，單價比較高，相對人也比較少
游士瑩,5,"老闆人很好
讓我們待超久
還提供好多冰塊讓我們調酒哈哈
真的是一個好地方💯💯💯"
Chivonne Gao,5,謝謝帥帥老闆，我有吃有拿的。 開心極了。
尉。。,1,"雷@@
虹吸濾布根本沒清乾淨
根本在喝濾布水
一開始聞豆子味道超正常
但虹吸完 焦苦味和奇怪的雜味馬上出現

老闆感覺就沒想賺錢
隨便用用而已"
Emma H. Y. Hsu,5,咖啡好喝，服務生很親切，也常常來幫忙加水，氣氛安靜，適合約會或帶個筆電來這裡工作。
Jung Yi Wang,4,氣氛佳
Angus Tu,5,老闆人很好相處，和我們一起聊天
yei shin Tsai,1,非常糟糕的店，咖啡難喝就算了，老闆態度還很差，感覺很現實好像瞧不起學生客人一樣，絕對不會再去
黃琇棠,5,老闆相當溫暖，手藝也是沒話說！相當有溫度的咖啡店
PL Chan,4,我很喜歡這個環境 檸檬批也很好吃
王映晴,5,可以久坐，老闆很好很有趣
陳瑞宜,5,老闆超讚超親切 會想和老闆做朋友的那種感覺（？ 氣氛很好 環境很讚 檸檬塔很好吃！會想再去一次
王力平,4,咖啡種類多，選則廣，環境氣氛不錯。
暗工梟,4,户外座位較放鬆，室內有些擁擠。咖啡不差。
許家維,1,"老闆態度輕蔑，請他介紹咖啡完全不想介紹，自己表示給你一杯客人喝了都沒意見的咖啡，詢問豆子種類竟回專門應付你這種客人的冠軍咖啡。
另外抹茶拿鐵非常稀，反應後不情願的拿到廚房三秒後拿出來一樣稀，大概也沒有任何處理，可謂對顧客毫不在意，對咖啡毫無熱情。"
蔚晴徐,2,"已在外帶處與老闆對眼，也沒走過來，我以為他只是客人。搖了櫃台上的鈴，他才不情願的結束跟女顧客的聊天...
咖啡與店家一樣讓人提不起勁，拿鐵的奶泡，空洞到比螞蟻還大，老闆好像對他自己做的咖啡事業也完全沒有熱情"
Josephine “素晴らしい”,5,老闆人很親切，雖然店裏沒有賣餐點，只有甜點，但只要詢問老闆通常會允許帶外食入內，適合久坐，音樂很好聽
Wei Han,3,整體上覺得一般般，啤酒不是很喜歡。
Travis Jackson,2,我來過這家店幾年，地點很棒，咖啡貴一點但好喝。最近我發現他們外帶的大杯咖啡分量減少一成多。我好奇心地問外帶櫃檯小姐，大杯咖啡裝滿了沒有？她假裝不知道我的意思，所以我跟她說每次我來買外帶大杯咖啡，杯子都是裝滿咖啡，但這次很明顯少一成多。她說因為她們怕我會燙傷自己所以裝的比較少，可以加水但會變淡。我說每一次我來都是裝滿了，不是杯子空的二成。她繼續用各式各樣的藉口來敷衍我：因為上次我來是夏天所以他們擅自加了冷水。才怪，上次買的不是夏天，我買了時都看他們濃咖啡時候，都沒有加額外的水， …
Howard Wu,1,以前經過會買，但這次態度超差，以後絕不再來。 咖啡店不調整冰塊量可以理解，但我只是詢問「請問冰塊量可以調整嗎」，老闆就態度輕蔑的嗆我「那你去就便利商店買啊，我們都賣標準的」。 被嗆的莫名其妙，話不能好好說嗎？令人不爽。
劉銘傑,4,光顧前看了下評論，看完決定去別間，結果出乎意料，別間評價更差，就光顧路程最短的這間，然後運氣不錯，沒遇到態度不好的情況，好險。
凱洛,1,老闆很有個性，只對熟客態度好，今天第一次光顧愛理不理，詢問了也不回應，不會再去了。單品咖啡品質普通。
Samantha Huang,1,外帶詢問是否有證件折扣，老闆及店員用輕蔑與揶揄的態度回答，令人不舒服😡
黃翎育,4,"在這邊坐了一整個下午，很安靜
還有一隻狗狗很乖，但他有點大隻
布朗尼超好吃！
抹茶拿鐵是有點苦味有點稀的那種！
熱可可是大人口味很好喝！！"
Wan-Chun Lai,4,咖啡及甜點中規中矩，屬於大眾能接受的口味，價格也是，不算cp值高，以鬧區大馬路上來說可接受。雖然下雨天室內和廁所會漏水，不過服務不錯，很適合逛街走累了來休息一下。
蔡宗翰,3,咖啡不錯，但座位滿熱的
Odon Sarnai,3,這種天氣不開冷氣很可怕
Nightmare LA,5,老闆很ㄎㄧㄤ
Yi-Chen Lo,1,老闆態度惡劣，搞不清楚是在開店還是耍流氓
shu-ping chien,5,老闆親切，服務貼心，咖啡好喝（方圓兩公里內最好的美式），非常滿意，值得來品嘗喔！
溫秉彝,1,態度不敢恭維，要來請三思
Sunny Chen,5,老闆熱情健談，現榨的新鮮檸檬汁酸甘好喝！
GoddardLiu,5,專業的特色咖啡店，老屋活化的成功之作，有各式各樣的咖啡豆，還有鎮店之寶日據時代古董磨豆機！
Chen Wan-li,1,拿鐵很水，咖啡不是現磨，老闆不是很熱情
Mary Wang,1,態度差，想坑人錢
Heu-Cherng Lin,5,老闆超友善。
P T,1,老闆會在同一空間抽煙
Carol WU,5,"東西好吃  咖啡好喝  老闆超隨興…
很愉快的用餐經驗"
JopheiY,4,有好的氣氛還有好喝的冰滴咖啡~喜歡陽光灑進大落地窗
Joe Chung (莊詠州),5,良好的服務品質。充滿懷舊感的風格，適合細細品嚐。
Xin-Hong Lai,5,冰滴咖啡的確好喝，公館的冰滴可與之媲美的，只剩山豆咖啡和湛盧了吧~
水無喵,4,老闆很和善，咖啡很好喝價格公道，店內氣氛很好
Lee艾咪,5,肯亞ok，以前還有好吃的凹蛋糕，現在沒了...可惜
Amber Wang,3,焦糖拿鐵偏甜，價位也不便宜
Yu Han Hsieh,4,點了美式冰咖，很大ㄧ杯，不酸不澀的味道，很順口
Sharon Yuan,5,有個性的咖啡廳，很棒的甜點！
TY Lai,4,很有氣氛，老闆親自推薦的咖啡和甜點都不錯
Jc,1,老闆對女顧客笑咪咪，對男顧客視若無睹，服務態度差。
YU-JYUN LIN,3,簡單小店、單品咖啡
Ian Chen,4,環境佳，適合好友小聚
莊文政,3,咖啡不錯，空間稍微下小了一點。
U L,2,咖啡是好喝，可是服務態度有待加強
Conrad Syu,4,外帶價格跟內用價格有差別 要注意
林小舞,1,外面很常有抽煙味飄進來
周家鋒,5,"老闆人很有趣
咖啡很好喝
店內裝潢很特別"
翁玲,2,位置佳，老闆酷，咖啡卻很普通
精心挑選電子音樂,1,沒付餐紙巾，態度差
傅廷暐,5,小憩品咖啡，悠閒過人生!
Liu龍川,5,冰滴咖啡不錯，早上時光相當悠閒
Ker269 Jair,5,經典
brad hsu,4,地點好！環境好！空間好！咖啡不錯！價錢......尚可！
游煌銘,4,布朗尼一定要點來吃
周俊雄,4,悠閒，咖啡口味佳！
簡宏昌,3,咖啡不錯，老宅改建氛圍不錯。
Elise Yang,4,經過都會來杯外帶拿鐵
Aaro H.,4,外帶咖啡比內用便宜許多
Chloe J,5,老闆很親切～
歐陽立,5,精品咖啡，高品質咖啡豆
Emery Ken,4,咖啡好喝，甜點好吃
鄭皓元,2,普通，定價過高
LX58,4,有WiFi上網。
Sig Chen,4,好貴...
Trevor Wang,4,咖啡好喝，甜點也不錯。
elsabonjour,4,外帶的也不錯唷
林裕愷,1,服務態度非常差
Bulu Adan,4,單品咖啡種類不少
00744 SSS,5,老闆人很nice
Dan Huang,4,老闆很熱情，不限時，咖啡不錯
leoo leo,1,不值一評
黃少渝Cheryl Huang,1,態度差勁
Yuan-Chi Chou,5,老闆很好聊
garfi wang,4,只有好喝的咖啡，沒有別的
Chun-Ying Hsiao,1,服務態度差
JH W,3,環境尚可
GuanJhen Su,4,蛋糕不錯
瑄,1,服務差
Vito Wen,4,老闆很酷
芝芝媽,2,很熱
Travel Men (IG: MenInTravel),5,"輕鬆, 舒適"
