author_name,rating,text
t zhang,5,饅頭很紮實，每個25元，老闆誠實告知今天不必預訂，果然，10:30去買到無糖全麥饅頭，我要的口味！
陳大仁,5,看看這剖切面！老麵發酵，紮實、美味、健康！強推！
有有,5,從小到大，只吃這家，搬離再遠，都會來，1次至少20粒，白饅頭、甜饅頭、花捲都會買，手工饅頭，真的不一樣，吃了就知道！
Yuhan Su,5,我家阿母最喜歡的饅頭，沒吃過比這家香的饅頭。只是經過常常賣完🤣
jade Huang,5,保證好吃，這是國軍口味的饅頭，不要以為一顆饅頭25元很貴，那是因為以前的原物料便宜，饅頭都是這麼大顆，而現在原物料貴，大部份的店家都選擇做小偷料來抗漲，但是他們選擇漲價來維持商品的品質，這也是很不錯的做法。
Steve Wang,5,數十年的老店，從對面店面遷來也多年，仍然能維持老一輩製作饅頭的品質已屬不易。
John Wu,5,這裡饅頭真材實料 吃後不胃酸
Henry Chang,5,從小吃到大的好口味，尤其雙色的甜饅頭超好吃
KiKi Liu,4,"2020/10/29（四）15:32
❖ 鹹花捲（$25）
❖ 養生全麥饅頭（$25）
❖ 全部只有四種口味：無糖白饅頭、甜饅頭、鹹花捲、養生全麥饅頭，一個都是25元。先買了兩種口味，還沒吃，但感覺大顆又紮實。"
阿伯,3,生意怎會這麼好，每次下班過來，總是剩沒幾顆饅頭可買
聚金翁,4,這家在台北正宗饅頭店存數不多裡頭的少數幾家之一，老闆是用嗆鍋老麵天然發酵做成的饅頭，具有特殊的風味。喜歡饅頭的人士會喜歡這家店。
Jim Wang,5,饅頭還是習慣這家的味道和口感，忘了帶錢也不急著收，要我有經過再付。
黃添福,5,五十年老店.鑽！
Ariel CH,4,"價格便宜！
饅頭紮實！簡單的味道！"
劉家,5,店如其名，沒有浮誇，還真是沒有水平相近的競爭對手，與眾不同的不一樣饅頭
tomdd huang,5,從小吃到大，熟悉的老味道，唯一就是大，吃了不會胃酸.脹氣，食量大的一顆剛剛好。
李嘟,2,真的很紮實，但很乾，會有點噎到的感覺，而且一顆要$25蠻貴，也沒什麼特別味道
monpin yen,4,從小吃到大的不一樣饅頭店，味道仍然一樣，口感也依然是那麼扎實，值得推薦！
Grace Wang,5,有嚼勁 口感 好吃的饅頭 真的是不一樣
鄭Teresa,3,口感紮實，但結帳的年輕人，態度沒有友善，很酷！
張正才,1,二年前感覺味道變差了，吃不到那熟悉的味道，所以給了三星，這兩年斷斷續續買了幾次，卻感覺越來越遠，上週再專程來買，只是熟悉的剝絲，熟悉的厚實，熟悉的麥香，全沒了，吃起來只比傳統的麵龜結實一點，當初的“不一樣”變成了“一樣”，記得以前看過老老板製作過程，機器跑一，二遍，就撒點麵粉，過程簡單卻踏實，整個饅頭製作完成後只感到厚實，可是現在呢？外觀大小近似，可是一拿起來，立刻露餡，這次真的是很失望，是簡化了壓製過程？還是減少了重量？吃了五十年的不一樣饅頭已經成了絕響，真是可悲，又少了一 …
林穎成,2,不懂為什麼評價那麼多人說口感紮實？反而覺得很乾澀，雖然很大一顆，乍看很划算，買了兩顆，吃得很痛苦，一顆都吃不完...
vincent chu,3,偏硬扎實的口感，但香氣還好，就一般饅頭沒有不一樣。
t s,3,真的不一樣，吃看看，很實在
黃治彊,4,饅頭口感紮實，價格公道，只是生意興隆，購買需碰運氣。
pp pp,4,雖然比一般饅頭貴但大顆，味道不錯。
草壯,5,北市少數幾家手工饅頭店，仍保留了饅頭香及饅頭該有的嚼勁
傅曼玲,3,紮實好吃，但是漲價了!一顆饅頭$25，漲幅25%!饅頭雖不同同米飯!但是麵包饅頭也是主食之一!一家四口三餐都若吃米或麵食類，若這般25%漲幅! 有沒想過稻米麵粉屬安全戰略物資!
張學平,5,各款饅頭大又結實又好吃，一個 25元。
Hingis Lee,2,幾年前常買，後來味道變了，變的更乾，我想常吃懂得會懂，現在比較少去了，雖然還是很懷念饅頭味
唐文達,4,大約七八天會去買一次。該家饅頭較吃的慣。
柯小姐,3,看了評價買回來吃發現沒有什麼特別好吃，口感有嚼勁但卻沒有麵粉的香味和甜味，芝三岩阿婆的手工饅頭比不一樣好吃太多且便宜，喜歡手工饅頭的人不彷試試看
許昌榮,5,真的不一樣饅頭，大山東饅頭，新鲜現作
Marc CHOU,3,感覺沒以前好吃了...
吳Kevin,5,"好吃我吃過最Q彈的饅頭、不黏牙、不脹氣、麵團完整發酵功夫一等一，饅頭頗大顆小鳥胃可能要分食。
這份功夫用25買到算是很划算的了！"
ting lun,5,近期吃過最Q最有嚼勁的饅頭，能吃到麵體的樸實香味，好久沒吃過這麼扎實的饅頭
C C,4,"剛開始吃時,不覺得哪裡不一樣,但吃幾口後就發現比一般的饅頭口感細綿...非常耐吃! 經過還會再買!"
Jane Wang,4,饅頭好吃
李玨偉,5,有夠好吃，你吃吃看就知道
Chai-chun Yao,5,老麵的好味道
蘭子惟,4,鹹花捲讓人吃不膩
yueeh,4,饅頭紮實。乍看之下單價高，但他們的饅頭幾乎是普通饅頭的 1.5～2 倍大。有時候十點剛去買不到，且經常賣完就提早就關門了。
林岳儀,4,一個饅頭價格賣25元，重量蠻重的！😊吃起來給人的價格蠻實在的！
可以認識妳嗎?,4,無糖白饅頭
黃輝峰,5,很好吃，我去買之前，都先預訂否則時間不對要等下—次出爐
Joseph Wang,4,"不花俏, 紮實, 傳統老麵饅頭就是不一樣."
T L,5,"位於台北市金山南路的手工饅頭老店，採用老麵發酵、手工製作，饅頭撕開可以看到別處的饅頭不常見的一層一層的紋理，非常有嚼勁，一粒25元看似不便宜，但非常紮實有飽足感！
時常有排隊人潮，剛出爐時香氣四溢，是一間從小到大都很喜愛，非常推薦給喜歡麵食、饅頭類的老饕饞客的好店👍👍👍"
Martin Tsao,4,鬆緊度恰到好～～
Strike Lucky,3,聞起來香，吃起來普通，太大顆不好咬，小貴
Lee Scott,4,超實在的饅頭，非常好吃，價格也有點偏高。
黃思中,5,美食堅持純真
李家麒,3,第三代接手大至上還能維持住原來的口味，但也只有第二代的七八成功力，還是吃的出來有所不同。
shihlun pan,5,做工實在，沒參有的沒的，純饅頭
蔡名竣,5,最好吃的饅頭。
林莞,4,"口感很紮實，好像原本20元現在漲價了
會看到他們的蒸籠，蠻酷的
有看過需要排隊的狀況"
Alfa Cheng,5,吃了40年，每次回台必光臨。
陳建萍,3,至少三十年以上的老店了！大學時代第一次吃！紮實口感難忘懷！
Susam Yang,5,真正老麵發酵，口感紮實吃了不會脹氣。
mi cheng (妮可喵),5,很紮實道地的山東饅頭，錯過出爐時間就買不到了，愛吃饅頭的人必吃！
Micki M,5,很紮實 真正的山東饅頭 噎到的感覺屬正常現象 但越嚼越香 飽滿一顆25元合理
子芍,5,饅頭紮實 吃起來麵粉香在口中綿綿的 超好吃
Arlo Lai,5,"饅頭很軟Q,口味真的沒話講..."
Ricky Wang,5,超正點的咬勁與麵香！
Minerva L,4,搬家過後似乎評價較差。不過想要吃到紮實饅頭，這裡還是首選。
張育榕,4,看的到老麵饅頭的用心製作，口感也不錯，不過常常要排隊…
古大,4,有點貴但確實不一樣
Haewei Wan,4,真正紮實的手工山東大饅頭，不花俏的平實滋味。
李少白,5,老字号的手工饅頭店，少見了
劉素貞,5,饅頭真的是不一樣  很棒
Bokang Zhu,5,至少50年歷久不衰的店！2011年左右已經搬到金山南路二段149號。 This mantou (Chinese steamed bun) shop has been around for more than 50 years! They have moved to No 149 Jinshan S Rd in circa 2011.
Jack,5,饅頭很扎實大顆，半顆就可以吃超飽
REX KUO (Head),4,好紮實的饅頭
peaceoldman,4,扎實的好饅頭!很適合沾湯或夾控肉!
謝學順,4,典型北方饅頭硬實感，耐咬有韌性
Jack T,5,從小吃到大的紮實外省口味。
WILSON宇,5,好吃口感很扎實，跟店名一樣很不一樣的饅頭
陳世宜,5,饅頭真的好吃，但又漲價了，一顆25元
Yiling Chang,5,新鮮現做從小吃到大
shiba eat u,4,樸實的饅頭 買回去夾蛋很不錯
Joan Lin,4,饅頭濕度變得很乾
Joe Huang,3,很貴，賺觀光客錢
John Hsukarski,4,從他們搬家前吃到現在
Wu Yin-Yu (ifool),4,饅頭扎實好吃，老式作法口味。
陳怡芬,5,超讚
Kim Kim,5,不一樣饅頭店，饅頭真的不一樣
jeanne chang,3,有時饅頭上有點黑黑髒髒的東西
カクテル,5,饅頭真的蠻好吃的
simon wang (金字塔),4,很特別的饅頭，好吃 🤗
黃皓宇,5,純天然老麵發酵 好吃的饅頭
Chih-Wei Peng,5,道地 真材實料的饅頭
Wanping Chen,2,和以前不一樣了！
proof key,3,有點貴耶
Mala Yang,5,對我來說是饅頭的原點
Wenbi Brian,3,漲價了
Jason志,3,還不錯吃的饅頭店
Foodie Eater,3,饅頭很新鮮！
SU KAI LIN,4,樸實的味道
Singmu Jiang,4,有時要排隊了
kenru En,5,饅頭扎實帶麵粉香甜
Wei-Ru Chang,4,愛扎實饅頭的第一選擇
Jensen Fang,4,一級棒
Andy Hung,5,"(由 Google 提供翻譯) 很紮實的麵糰，沒有過多發酵膨漲。吃到這個老麵發酵的饅頭，開始省思，其它香氣濃鬱的饅頭是否加了過多的香料或者調味劑來增加口感？這是否才是原來饅頭無添加的味道？等待更專業的網友來品嘗下評論。 (先給5顆星)

(原始評論)
很紮實的麵糰，沒有過多發酵膨漲。吃到這個老麵發酵的饅頭，開始省思，其它香氣濃郁的饅頭是否加了過多的香料或者調味劑來增加口感？這是否才是原來饅頭無添加的味道？等待更專業的網友來品嘗下評論。(先給5顆星)"
Tedman Chan,5,"(由 Google 提供翻譯) 大概四十年前，在師大諗書。
在台北今天又是雨的一個黃昏，
偶然走進金山街，也就是今天的金山路，
看到和平東路進去右邊第一條小巷裏，一家店外有好些人在買東西，
蠻熱鬧的景像在這條頗清靜的小巷來說，的確不太尋常。
好奇心驅使，也就走上前看看哥兒們在搞什麼玩意。
.
一看，原來是家賣饅頭類北方飽子店。
心裡覺得奇怪，飽子店有什麼稀奇，這家店哪來這功力，買的人忒多！
作為一個祖上由福建蒲田，南遷廣東珠江東岸，來自香港的僑生， …"
卡道因,2,"(由 Google 提供翻譯) 很不一樣，嚼不斷，強大麵粉味，吃不慣。
常看到有人排隊，一次買一大袋，於是跟著買，果然如店名，這種口感第一次吃到。

印像中10年前店在對面，當時吃起來和現在不同，比較好吃。

(原始評論)
很不一樣，嚼不斷，強大麵粉味，吃不慣。
常看到有人排隊，一次買一大袋，於是跟著買，果然如店名，這種口感第一次吃到。

印象中10年前店在對面，當時吃起來和現在不同，比較好吃。"
Ying - Woo Wang,5,"(由 Google 提供翻譯) 在台北最好的饅頭。便宜，大，密，美味肯定。它通常會從購買它的所有當地人售罄，所以時間安排是需要考慮的一個方面。我通常會得到原糖和紅糖。

(原始評論)
hands down best mantou in taipei. cheap, large, dense, and tasty for sure. it's usually sold out from all the locals buying it, so timing is one aspect to take into consideration. i usually get the original and the brown sugar."
Pop Koko,5,"(由 Google 提供翻譯) 口感有特色。

(原始評論)
口感有特色。"
姜志明,4,"(由 Google 提供翻譯) 好吃喔！

(原始評論)
好吃喔！"
王明智,5,"(由 Google 提供翻譯) 好吃！

(原始評論)
好吃！"
陳光南,4,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
Charlie Tai,5,"(由 Google 提供翻譯) 老店。

(原始評論)
老店。"
Tseng wing,5,"(由 Google 提供翻譯) 就是好吃

(原始評論)
就是好吃"
s.c huang,4,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
leilei wang,1,"(由 Google 提供翻譯) 比起老一代的饅頭，差太多了。往事只能回憶，唉！

(原始評論)
比起老一代的馒头，差太多了。往事只能回忆，唉！"
屁屁豬,5,"(由 Google 提供翻譯) 好吃!!

(原始評論)
好吃!!"
王海文,4,
abby yin,4,
孫振元,5,
袁隆昌,4,
王瑛,5,
SHU JI Zhou,3,
鄭金安,3,
黃國連,3,
江大帥,5,
林于婷,4,
Richard Li,4,
akeko CHEN,5,
韓宸瑋,5,
Ming Li,5,
刺刺刺刺,5,
葉秉豪,4,
黃聖欽,5,
張景棠,3,
Danny C,4,
Joe Chen,4,
Gleeman Yu,4,
Ming-chih,4,
L.H. Jou,5,
范金麒,4,
Jasmine Yen,5,
皮卓,5,
余昱豪,3,
shwsan,5,
Cindy Chou,3,
胡胡,3,
葉樺殷,2,
謝春,5,
陳美華,5,
JACK C,5,
沈陽,5,
to ku,4,
李仲男,5,
尹彬,3,
謝玉珍（能恒）,4,
Ken Yang,5,
Dale CHANG,5,
Kevin Hu,5,
大醉貓,4,
