author_name,rating,text
曹力仁,5,明亮、書架整齊、可向店員詢問價格與用書資訊
ChihCheng Jen,5,很棒的書店，有非常多德、法、西、義、俄語的書籍和教材、工具書等等，佈置得也很棒，也可以刷卡(特價品除外)。
Sydney,5,我都在這裡買法文小說或教科書，門市人員親切，比信鴿好得多，環境整齊舒適
Martin WENG,5,"販售歐系圖書,德、法、西、俄、義......等國的語言教材及工具書
環境整潔 服務人員親切..充滿文化氣息的地方💖💖💖"
莊智伃,5,"大概是台北 歐語書種類最豐富的地方了
很喜歡這家小書店"
demi,1,服務很差，國外代訂填寫資料直接拿給你填寫也不管你會不會寫就不理你且一率回覆isbn我們不會幫你查你自己找自己寫，講話很不客氣，有啦收錢時滿客氣的！
黃柏崴,5,"如果我要買外文書，我第一首選一定是上林
藏書豐富，店員也會很熱心幫忙找書"
天空飛翔,5,老闆的服務親切，週到。
YuHua Tuan,4,廣播電台歐語系的教科書很齊，環境寬敞
hao-yu Yang,5,德文書目豐富
Yu-Shin WEN,5,"書店裡的小插圖很可愛, 讓人愛上逛書店"
高瑛婕,5,"販售各式語言教材，並且有購書優惠。
書局位置有點隱密，小心不要開過頭。"
K. H.,4,找歐語書的好地方
AJ ahn,3,有外文書，但不大。
張天齊,4,不錯 買外國語言書的好地方
吳宜臻,5,書籍完整，有師大學員買課本可以打八折，其他參考書可以打八五折
汪立峽,4,專賣德文、法文、西文書籍的書店，兼售外文童書。
林羿君,5,用網購比較方便 店面不大，什麼書都有
Kelly Chiu,5,有賣很多歐語書。店員可以給你建議如果你需要幫助
陳德全,5,歐語系的書籍及原文教課書的專業書局，有不定期的講座，內容很精彩！
Claire Huang,5,"賣很多德文考試書籍
店員也很熱心～"
陳小猴,5,店員很熱心地介紹書籍而且很貼心的幫我留書
CLAIRE HSIEH,5,書藏豐富，服務很好
Yun Tsai,4,"七八月舉辦的講座，老師講的很棒。
書局裡的歐語書籍很豐富。"
chieh-hsin chen,4,尋找歐語教材的好地方
Yu,4,"很可愛的歐語小書店！
書籍種類多，服務人員也很親切友善！
去的那天下午沒有開冷氣，蚊子有點多😓"
乂 CurseOfDimensionality乂,5,活動很好玩！上次參加德國啤酒節！課程很有趣還有啤酒喝😂
An LIN,5,德文書籍多而齊全..繪本也很可愛..櫃檯收銀妹妹靦腆親切..很喜歡
Pai Fang-I,1,"7/8下單買的DVD,收到之後與預期有落差,所以電話諮詢客服後即依照流程於7/12自付宅急便運費辦理退貨,查詢宅急便包裹送貨狀態,也確定於7/13順利抵達,但本月(8月)信用卡帳單上仍有這筆消費款項,打電話詢問銀行,銀行行員也確認有這筆消費款項,且這筆款項是於7/20請款的,並未退刷,我想...要做網購的商家,是否在帳務處理上應更仔細些?"
CHIA-WEI YANG,5,店員專業，而且書籍齊全
施貝貝,1,"書籍種類多，西、德、法語書籍皆有，不過店員說話用字簡短、語氣冷硬，詢問問題時大多只回答「沒有。」、「一定要⋯⋯」、「只能⋯⋯」，服務態度令人不適。
現在購書管道眾多，並非一定要去這家書店購書不可。"
Hung Fu Tsai,5,"可以買到想要的德文教材, 到10月底還有打折, 空間寬敞。"
邱珮玟,5,服務親切
張耘瑀,4,適合找外語原文教學書
Lin Yinzhu,5,非常可愛的書店，書種豐富，空間舒適～
Yi Chin Chang,5,十分有特色的歐語書店
葉心,5,各種語言學習用書或是課外讀本
馬仁彥,5,學習義大利文的書這裡最齊全!!
蘇茗瑾,5,簡單好逛書很多
GooJ H,4,有點太早關了  外文書很多
Anthony Cheng,5,外語資源充沛
Diego Tu,4,豐富
Yeh豪,4,外語書專門店
Chih ling,3,書有點貴
Rita Hsu,4,會提早開欸
macleod wilson,1,賺錢比文化重要
Wu Nesma,5,書籍選擇多
Chi-ting Yang,4,可愛的書店
Geoffrey Kinsey,5,"(由 Google 提供翻譯) “陽光書”

(原始評論)
""Sunny Books"""
Jonas Yeh,4,"(由 Google 提供翻譯) 有很多外語書籍的好地方

(原始評論)
Nice place with many foreign-language books"
Yo Wang,5,
Mio Chen,5,
Hermann Long,4,
劉銘,5,
Gilda Kao,5,
Yudaw,5,
Ted Jong,4,
April Lu,5,
elsabonjour,3,
林靜靜,5,
pinnn Yang,5,
william chen,5,
傻大姊,5,
謝君佩,5,
Ian Wu,5,
Hazelnut麵包,4,
吳佳蓉,5,
Meng Huang,5,
Hsin-mei Huang,4,
鍾漢建,4,
Leonard Lee,3,
李穎慧,5,
yw chiang,4,
Occental Language Centre,5,
HSIAO FANG LIN (拳山事務所),4,
Paige Siara,5,
Matilda TING,3,
CH C,4,
Luc K,1,
Sin Chang,5,
廖瑀婕,4,
Becca Chu (朱珮瑜),3,
林小球,5,
陳逸慈,5,
黃國維,5,
羅麗惠,2,
Viviane Chen,4,
康順羽,5,
吳灃洪（A ken）,4,
Carolina Huang,5,
林幸蓁（Jessie L）,5,
Debbie Shih,5,
Jamce Liaw,5,
潘宇軒,5,
張長榮,5,
Li-Ching Chen,5,
林彥宇,1,
Eva Lo,5,
陳宣愛,4,
chang John,4,
Amy Chen,5,
Magali Chen,5,
Iv。 T。,4,
李明,4,
Ciara Lin (Ciara Lin),4,
Yi-Min Zhong,4,
林芳君,5,
Chen Timothy,3,
Carol Lo,5,
丁竑維,5,
april Chou,5,
Jonas Tänzel,5,
Rena Walnut,5,
連昱揚,4,
YC H,5,
Calvin Han,5,
王道（A ken 瘋紅 楓虹）,4,
Andy Shen,5,
朱恩揚,4,
先生翁,5,
Chen-Ching Ting,4,
黃嘉琳,3,
