author_name,rating,text
童彤,5,"很讚

只是當我一口氣衝到最高樓層看時
聽到「咚」一聲
有人從電梯出來😂

六七樓洗手間維修中
要到五樓才有洗手間"
Wang Huna,1,三不五時有重擊聲響或人聲喧嘩的嘈雜圖書館
Benjamin Hsu,5,氣氛超棒，設備看得出來有投資過，內部空間也設計的很有美感
謝ian,5,每隔幾年來，都可以見到改裝的更加舒適便利，很棒的地方。
林肇寬,5,國立大學級的圖書館，果然不同凡響，裝潢新穎，各種聲光電化設備應一應俱全，學生自修及研討區域齊全，唯自修座位稍嫌不足。
林嘉焜,5,國立大學的圖書館，讀書環境讓人羨慕。
JayT,4,一二三樓花大錢裝潢得炫目漂亮，入口刷卡誤判率有改善 仍太高；wifi 設定有改善；六日9:20-17:00
于子晨,2,"很多人不戴口罩
館方也沒有很認真去勸導"
黃啟恩,5,擁有許多稀有書籍，飲水機的水很涼
Teresa Yeh,5,全新圖書館登場，氣氛很好，可惜藏書不夠多
AHeng Go,3,藏書很亂，即便有整修也只是局部硬體，書庫亂七八糟，常常找不到要的書，但是服務人員的服務很好。
李炤彤,5,圖書館的阿姨很親切很厲害，甚至還會幫忙找書，就像哆啦A夢一樣
midiland lu,4,館藏書籍豐富，也有許多座位可以在館內享受安靜的閱讀時光。
Sin-tshong Tsu,1,對於來參觀的人而言，內部建築設計可能很炫，但對於真正使用圖書館的師大學生而言，這個設計簡直是惡夢，完全沒有隔音可言，一樓借書的聲音高至五樓都聽得一清二楚，每次一樓佈展或撤展時，整個館內都是木工的噪音。只要外面下點雨，頂樓天花板也會跟著嘩啦嘩啦響。然後網速經常只有個位數 (Mbps)，跑個Google搜尋都有困難了，談何讀書、做作業？
Henry Lin,4,重新裝潢，看報不用再刷卡，另闢專區，專供看報。
啟民翁,3,"校園景色：
孔子銅像及校訓碑，巴洛克式古典建築，公共藝術---作育英才銅雕及説明牌，小鳥與牛塑像，公共藝術---師大大師，公共藝術建築---羅馬廣場，花園涼亭，師大藝術節校園小羊擺飾，德群畫廊的展示，畫廊極大的展示空間。"
楊德倫（Darren Yang）,5,圖書館整修後，變得非常漂亮 ^^b
楊子萱,5,圖書館改裝之後變得很舒適
苦多郎,5,還不錯，學生的使用率還挺高的，尤其是三樓，快客滿了
喔郎喔,5,讀書的好地方，外賓可於櫃檯換證進入，有許多當期雜誌、期刊可以免費閱覽。
Yeh JC,4,書舊，陽台不能使用，儲藏空間不夠用，書堆許多，單車停車不太方便，出入口設計不易懂
zhenlin jiang,5,對校外人士最友善的大學圖書館，沒有之一。訪客無密碼Wi-Fi點擊即連，方便快捷，前台工作人員態度親切，一視同仁，沒有額外限制。規模甚大，學生很多但並不擁擠
Hong yang Leica,4,高等師範學府、受業解惑、師表養育聖地 #LocalGuides
L,4,建築更新後變得很漂亮，藏書還沒看過
蔡宗翰,4,三樓整修過後環境變得很棒
CHIA CHUN JOU,5,偶爾會有奇怪的人出現，但冷氣涼設備好
chigo la,4,"三樓以下4.5星 以上1星
又擠又亂"
黃惠慈,4,門口的置物櫃消失了!感覺挺不便的。
張志明,4,有特色的圖書館
Chung-Yun Kuo,4,讀書空間蠻好的，可惜附近施工聲有點大
簡鳳玉,5,唸書之好地方。有一人一張桌子。也有大桌子可6人一桌。非常安靜。
Sarah Liao,5,1樓之前裝潢過 更喜歡師大圖書館了
Tzu Wu,5,師大圖書館看書認真看
姜柏宏,5,當初設計中空的藝術建築物，很漂亮，但搞得現在一樓在施工，一到七樓都很吵，天才。
Caroline Jao,1,連月修繕，嘈雜不已，安靜看書、讀書的空間已經被毀壞了，什麼時候才能還我們一個安靜讀書的空間？真的心很疲累。
HY L.,5,裝修過後，自習環境更舒適了
白布衣,4,很有特色的建築，很古老的書架與設備，也有很新穎的廁所與設備
Tracy Yu,5,"乾淨明亮
學生證可以借獨立讀書室"
Qian-jing Chen,1,"內部設備很好，
環境很適合讀書，
不過非師大的人進去得換證，
內部人員歸還證件也沒在看，
拿女生的證件給男生，
覺得工作人員的教育訓練待加強。"
Momo co,5,最棒的圖書館之一
明仁mingren,1,台師大是買圖謊騙創作設計詐騙公款設計師的產生器
鄭貫廷,5,看書好地方！！
陳君睿,5,書很多 燈光明亮
