author_name,rating,text
SUPERGOAT山羊,5,超好吃一定要吃他們的辣椒🌶️ 保證讓你嘴巴很爽。
翁鉫復,4,普普通通，可以用悠遊pay
步芝明,3,"1080630週日點心：
1.外地人路過買來嚐鮮，一個50元太貴了，如果30~35元還可以接受，50元應該是麵館的價錢。
2.口味如同前面的評論一樣，稱不上特別好吃，蔥不算特多，麵皮的確厚，難怪沒有排隊的人潮了。"
連芋兒,1,吃一次就夠了，皮變厚，價格也變貴。賣的很跩，50元去隔壁巷可以吃好又吃飽
Robin Huang (Switechic),4,不會太油，加了辣醬就蠻好吃有味的，個人沒有偏好蔥太多，這家的餅皮很有嚼勁，趁熱吃好吃！
ChingYu Pai,5,吃過這邊的蔥餅之後，就會覺得蔥餅就該這樣，外皮煎得金黃酥脆咬下又帶有嚼勁，內裡的三星蔥新鮮甘甜，可惜相較以前份量有減少，但還是讓人很滿足，跟一般$30的蔥油餅是不一樣的層次😁時不時會讓人回味，生意很好要早點過來，以免賣完收攤撲空嘍
sxqert SU,1,看到一家人全都在抽煙桿麵皮 也太噁
Ivy Lin,4,味道不錯，辣椒夠辣。但料太少在吃餅皮的感覺較多。
WU DAVID,3,哇靠，竟然一片已經50了，哈哈，重點是變難吃了，態度也不好！
李均慧,1,"變貴難吃，壞了宜蘭蔥的美名，態度又差
對面超商的微波蔥餅都贏牠"
Lucy Huang,5,香酥餅皮恰恰好的筋道，一口咬下熱氣撲鼻是麵香蔥香，吃到最後也毫不油膩，超好吃
Nic C.,4,現煎餅皮酥香，皮薄餡多，青蔥鮮甜不辣口。數量有限，有時傍晚便完售。
阿光,2,50蔥變好少QQ 某一男老闆態度很差，問一下蘿蔔絲餅的問題態度很不耐煩
XE TDEE,5,很好吃，會讓人一直一條一條吃下去
林宗明,3,辣椒有辣，餅皮有點脆硬，蔥沒有想像的那麼多。不錯吃。一份50元。
李品欣,5,超好吃，簡簡單單 蔥甜皮脆
陳奕安,4,"服務態度是不算好，反正我也只是買個蔥油餅也不太在意。味道幾個月前比較好吃，蔥香皮脆胡椒辣，真的棒。現在感覺蔥變少了點，導致餅皮變得比較乾硬，香氣也沒那麼濃。
推薦偶爾當下午零食吃。"
HsinYun Chang,5,加辣椒醬很讚，一個50元份量很多可以直接當正餐。
gha778813,1,一個50塊太貴，中間都是皮，只有外圍哪圈好吃😂
TJ Li,2,以前大排長龍，現在不用排隊也沒人吃，不知道是不是換過老闆了。
王惟惟（惟惟）,5,目前還是50元
Wentyng,4,好多人排隊
Rita Lee (阿釘),1,"昨天去買了4個 結果蔥也變太少了吧...
感覺都是麵粉 蔥空空的...
不會再去買了 漲價蔥又變少
跟以前比變很少卻又變貴...!!!!!"
陳書哲,3,"漲價,蔥變少,沒以前好吃
不過久久來公館還是會買,可惜品質不能維持
辣椒醬很辣"
Gs Sun,1,很久沒吃今天經過順便買一個，結果跟以前差太多了，漲價就算了，餅皮太乾又幾乎沒什麼蔥，香氣全無，還不如隨便路邊一家的蔥油餅，打壞自己招牌，不會再買了
書冊搜藏家,3,東西蠻好吃的...如果排隊輪的到你的話...
Darren Liu,4,皮越來越硬了～但內餡香氣依舊很香，不過現在都懶得去排隊了，覺得沒有一定想要吃了。
張淑娟,2,"蔥餅跟以前比起來不好吃，而且漲價，曾經買到煎焦的
現在已經不怎麼需要排隊了"
allen c,3,辣椒包很帶勁，不過總覺得蔥餅味道跟以前不太一樣了
Joe Hsieh,2,在台北這間算還行，這水準宜蘭滿街都是。
incautious Tsai,4,現煎的蔥油餅，餅皮偏厚，夾雜著蔥，蔥份量一般，頗有飽足感。
