author_name,rating,text
Rita Wu,5,"IG：_rita.foodie

#日日の台北美食推薦🦄

「胭脂紅·餅乾蛋糕禮盒」 660$

內容物✨ 蛋糕： 檸檬鳳梨/黑巧克力/窯烤地瓜/包種茶梅，各2片～
磅蛋糕配茶吃很愜意，裡面最喜歡可可跟抹茶❤️

餅乾： 巧克力玉米脆片/燕麥葡萄乾/柚香烏龍茶/起司開心果，各4片～
餅乾比較沒那麼甜，單吃也不會太膩，喜歡💕

#popdaily #popyummy #Eeeeeats #FoodPhotography #FoodPorn #FoodGasm …"
baibai chiu,5,"追蹤 🔍IG : chiubaibai

BOBONONO門市位在古亭站旁，從外觀看起來就像間文青咖啡廳，白色素面的外牆搭配綠色植栽的點綴，還有門口可愛的木凳長椅，光看就讓人忍不住想一窺究竟。

店裡面很寬敞，左邊是讓人來試吃的客人的試吃介紹區座位、右邊則是有各種禮盒的展示及手工餅乾，如果不是買禮盒，也有提供現場餅乾、磅蛋糕的購買，即使不是喜餅也可以挑選自己喜歡的口味買回家唷。 …"
好事夫妻（The Hos）,5,"FB/IG/Popdaily 搜尋：好事夫妻The HOs
.
好事夫妻很開心又收到好友的喜餅禮盒！
祝福這對新人的同時，
也希望 2020 繼續越來越好😀
話說這禮盒真是漂亮，不過度包裝卻又自帶格調，
不愧是設計師新郎新娘親自挑的喜餅👍🏻
.
📣心得老實說📣
禮盒共有八種口味，
店家不使用任何化學添加物，
卻能將食材的特色展現出來😋
每一款都很有特色而且好吃。
我們最喜歡的口味有，
💜芝麻脆餅 #先生最愛
芝麻認真多，每一口都是滿滿的芝麻
💜燕麥葡萄乾 …"
張文鏵,5,"追蹤 🔍IG : wenwen0821
在古亭捷運站5號出口，大概步行5分鐘即可抵達，店內主打商品就是磅蛋糕跟手工餅乾！
店外觀以白色跟咖啡色調組成，看起來很溫暖的感覺，蠻吸引人的，進去後裡面有座位，燈光也是走黃光，很溫馨文青，還蠻喜歡店裡的氛圍！
他們強調運用在地食材，結合台灣農作物，回饋本國農民，另外他們也是用環境友善包裝，減量包裝，為保護地球也盡一份心力，還蠻喜歡他們家整體的感覺的😉

這次吃的是磅蛋糕
🔸6入綜合蛋糕$250元 …"
涂涂,5,"彌月試吃很用心
免費試吃也很大方
店裡裝潢乾淨舒服
店員也很親切"
黃珊珊,5,"搜尋
IG:33_eater
FB:33_eater
-
蛋糕禮盒（磅蛋糕10入）💰390
這款禮盒蛋糕口味有五種
一個口味各有兩塊分別是⬇️⬇️
黑巧克力、窯烤地瓜、包種茶梅
香蕉核桃、檸檬鳳梨 -
特別說一下33最喜歡的前3名
🍋檸檬鳳梨
🥇個人心目中的第一名
口味上有清爽的檸檬和來自台南的鳳梨果乾
檸檬的香氣混合上鳳梨果乾的酸甜
擦出不一樣的火花🤩🤩🤩
-
🍠窯烤地瓜
🥈接下來第二名的這款
是使用台農57號地瓜
雖然用料簡單但吃起來卻不簡單 …"
Jacques Zhang,5,"店長很親切，才剛進店裡就很熱情款待
最喜歡地瓜跟檸檬鳳梨口味，蛋糕口味不會過重
店家堅持以最天然的手法製作以及原產地直送
吃起來不會負擔，家裡有長輩要吃也非常適合
因為趕時間，照片拍得不多 哈哈哈"
Lingyu Hsu,5,蛋糕很美味，朋友也喜歡，而且服務很好!
HsienCheng Liu,5,手作餅乾有很多不同口味，需要自己慢慢咀嚼讓芳香及食物在味蕾裡散開吞嚥，如果還有淡淡茶香配合就更加絕妙了……，每次購買除了滿足自身味蕾也買來給好友至親們品嘗，願他們一樣能開心滿足，獨樂樂不如眾樂樂！
Hypnos Huang,5,蛋糕紮實好吃，包裝簡約好看，選擇作為二寶的彌月蛋糕，頗授親朋好友的好評。
