author_name,rating,text
林美榕,1,"２０２１／３／１０購物

真的覺得很不行
一進門
店員招呼我們上前，
給我們試吃千層蛋糕

我和友人討論著要買多少泡芙 是否要口味混搭 或買其他品項
我提出了 想買一盒泡芙當早餐、分朋友
而友人也說想購買一盒
我們問了保存期限、方式　，混搭口味等等的問題
店員告訴我們　建議要冷凍

但由於友人擔心我的冰箱冷凍庫有些問題
會無法冰整盒泡芙
便說 ：「還是你先買單顆？」
但我還向友人說 冷凍庫的功能或許還能用（我內心想買整盒泡芙）

於是我們正在猶豫要購買哪些品項 …"
curry ku,1,店員服務態度極差，我買一盒被說“只買一顆也要試吃哦”，傻眼 ，尖酸刻薄到極點，重點是泡芙還很難吃，皮軟內陷普，唉!
Karen Lien,5,好久沒吃豆酥朋，沒想到心血來潮吃看看，現在內陷變成有點像冰淇淋，很特別，超好吃的啦
10 Ko,4,還可以呀。C/P值還好，但是給foodpanda 外送時給的優惠活動都沒有，要直接與豆穌朋訂才比較優惠，但又無法刷卡也無法隨訂隨送到，有點難抉擇....
C Mickey.,4,"泡芙比乳酪塔好吃
藍莓雙餡泡芙好吃但偏甜
可以單獨購買一個$50以內
會想回購的店家"
Chieh,5,"店員好親切～～～
一直請我們試吃
甜點都很便宜！搭配組合也有特價～"
lune lune,5,非常好吃，大推蔓越莓雙餡以及巧克力口味（其實每個口味都好好吃呢）。店員非常和善又幽默，推薦的咖啡也很好喝（推薦耶加雪菲口味的，可以喝到層次豐富的莓果香）～
Yichien Wu,5,"怎麼這麼好吃的泡芙跟餅乾！
大推巧克力杏仁片٩(˃̶͈̀௰˂̶͈́)و

而且店員人都超好的！"
yuehwan chang,5,藍莓乳酪貝果好吃，不過希望醬再多一些。哈哈
SY L,5,"推薦豆酥朋的泡芙
拿到時內餡是結凍的 口感像冰淇淋那樣 很好吃
單餡泡芙比雙餡更好吃一些
推薦原味和巧克力口味的單餡泡芙
雙餡就是原味的餡加上一些果醬 覺得吃起來比較甜膩
如果要買雙餡的話推薦藍莓跟草莓
可以單顆購買不一定要一次買一盒
-
老闆娘人真的很好 態度很好也很親切
店面雖然很小但是很涼
店內有提供許多試吃 如果有想買的品項可以先試吃看看
不只有賣泡芙、小乳酪塔、蛋糕、綠豆酥、蛋黃酥、餅乾等品項
也有出售咖啡等飲品
如果有經過不妨來試試他們家的點心"
Junia Wu,5,"店員很親切~會讓我想繼續跟她買XD
泡芙和起司塔都很好吃"
Ima Chiang,5,冰滴精品咖啡常有新豆新的風味驚喜~店員親切耐心介紹😊高級享受價格甜甜💗推推！
R,5,店員很親切～會細心介紹產品還慷慨提供試吃，還倒咖啡給我喝～重點原味泡芙超好吃😋芝麻也很推，應該說所有口味都不錯吃，一盒八入統一口味140$，混搭160$，送禮自用兩相宜！
Pei Chen,5,還記得前幾天熱的要死，就馬上進來這裡吹冷氣等人，阿姨馬上很熱情招待我～而且產品又好吃！喜歡它的餅乾跟乳酪塔❤️她請我喝一小杯冷萃耶加雪菲（中焙），不愛喝咖啡的我立馬點了一杯來喝！
N. Barbour-Lacey,5,"Delivered by delivery app/website foodpanda.
The cream puff/ Profiteroles are so tasty. We tasted sesame, original (taste like custard ice cream), and chocolate flavors. They all were very lovely.

我們用foodpanda 點外送，整體服務很棒，泡芙們都一個一個包在袋子裡，感覺是冷凍拿出來的。原味、芝麻、巧克力都很好吃。整體服務來說，好棒。"
吳族煒,5,很好吃，價格合宜
Pei,1,"店員態度很不專業
覺得購買經驗不佳
詢問店員是否能單顆販售 一直說可以啊但是要再買乳酪塔
最後我還是因爲想吃 而買了一盒裝"
嫣李,5,阿姨人很親切 餅乾跟泡芙很好吃
石文佳,5,看起來很好吃😋
陳瓊瑜,5,"同事分享，讓人一吃就很驚艷的泡芙，還有其它點心也很好吃。這裡的點心送禮自用兩相宜。
師大店的老闆娘就像網路上說的，很親切，很熱情的介紹商品給客人試吃，卻沒有強迫推銷的壓力，個人很喜歡。"
范文芳（范風箏）,4,甜點不錯吃，老闆娘親切好客！巷弄內的甜點美食！
