author_name,rating,text
大胃怪卡卡,4,"重新更新位置擺設後（大概一兩年後）
再度光臨
冰一樣很好吃
還有肉桂捲和草莓便當"
洪之晨,4,"很細緻的冰品 整體的呈現與其說是冰品更像是甜點
份量相較其他日式刨冰店 比較少 單價也相對比較高 冰的口感是吃得到稍微的顆粒感

椰子草莓 奶蓋是像蛋白霜那樣的空氣感 一些些檸檬皮 很清爽，草莓醬的甜度很剛好 香氣很棒 整體來說是好吃 但沒有意外的一道草莓刨冰

萊姆葡萄 肉桂粉讓整個冰品很有深度 但不會搶過太多味道，葡萄乾泡了萊姆酒 酒味很濃郁 但也因此 起司醬幾乎被葡萄乾的味道壓過去 以致反而變得多過於單調 整體上是很大人味的冰品

兩道冰品內都有一塊奶酪 味道不強烈 口感很嫩 吃不太出來是什麼 這個部分有點可惜 如果可以針對各個口味有不一樣的安排會更好"
タンヨウ,5,"推，這次吃了高山茉莉鳳梨，很意外這種茶也能做到味道足夠，頂端的鮮奶油濃郁，冰裡的茶凍吃起來清爽，底層的蜜漬鳳梨同樣很有記憶點
另外還點了蘭姆葡萄，冰上的酒漬葡萄超級酒香，嗆辣嗆辣的，配上濃郁奶香的淋醬，整體是非常和諧的味道
雖然價格偏貴，但真的想當美味"
楓緋,5,"令人驚艷的店！
第一次被朋友帶來的愛店
店內的餐點都很簡單，以冰品為主，可卻能吃出用心
抹茶覆盆子的組合很特別，微微的茶香和覆盆子的酸甜，是從沒吃過的口味
非常喜歡奶油起司葡萄柚！裡面藏著一顆奶酪，絕對是奶製品愛好者的蜜糖
另外還加點了一份蕨餅
第一次吃到熱騰騰的蕨餅，非常特別！沾著粉吃，滿嘴都是淡淡的甜味
價格不算便宜，但份量大、也非常好吃，覺得cp 值還是很不錯的
要不是離家遠，一定會時常光顧🤣"
Vincent Chang,4,"先說咖哩
清新的氣質很符合文青般的店裝
味道不錯但不到會想回去一直吃的程度
再來說冰的部分
可能真的是吃過最好吃的雪花冰
沒有之一的那種
唯一的缺點是
他真的價格有點點貴
以上

2021/03/25
二訪
老樣子
冰非常棒
價格非常貴
但味道相當好
可惜真的真的是
太太太貴了點
不能常常吃
偶爾想念
可以去
吃個"
YC Chang,5,"雖然貴了點但很值得的冰
不過萊姆葡萄是超重口味的酒味，菜單上沒有圖片建議問清楚再點喔"
od Liu,5,"店內環境很舒適，日系簡約的風格讓人忍不住多觀察一下小細節。
冰品很精緻，都會不忍破壞完美的狀態。"
TYCoon Tu,3,來幾次了，不知是不是沒新鮮感了，感覺沒以前那麼好吃，現在有低消150
廖小誠,5,店家很細心，每種冰品上桌都會仔細說明，幾乎吃了菜單一半以上口味，每次吃不同口味都很驚艷，肉桂捲是我吃過最愛的口味跟口感，每次必點！
ychn,5,"從開店初期就一直很喜歡的店💕
一份冰不便宜，但是論口味和味道都是台北地區絕無僅有的店家，絕對不是常見的空有外表的打卡美食（但拿來拍照也真的很好看啦）
吃過好幾種口味，最喜歡起司系列的，香濃滑順的奶香搭上水果和奶酪完全是絕配，在最後把果汁和融化的奶水在一起並且喝掉也很美味。
起初會覺得老闆有點兇，不過常常去就知道老闆只是很有原則，乖乖照規矩就不會被罵xd

各種口味心得如下：
🍊奶油起司柑橘🍊 …"
Daphne Wu,3,"2018/12/17 蔬菜豬肉湯咖哩+起司，湯咖哩送上桌後，快速拍了一張照片之後，不敢耽誤滿心期待的快快喝下起床後的第一口湯，ㄜ！湯是溫的，配著飯吃就立刻涼掉了。

問了隔壁正在收碗筷的店員「小姐，湯喝起來是溫的，請問可以幫我加熱嗎？」，小姐把手伸過來模了湯碗，露出些微我在找麻煩的眼神後，什麼也沒說就把整盤端走了，就這樣又等了 7、8 分鐘，換了一位男店員也是什麼也沒說，放下就走了。 …"
