author_name,rating,text
Yu-Tung CHEN,5,"和朋友一起手作甜點，好玩好吃，更一起聽社會企業的創業故事，好開心！
Instagram追蹤 #創業不帆惱
下次一起去囍歡樂芽吃義大利麵！"
Tina,5,環境很舒適，來這裡做香橙甜酒瑪德蓮，還可以享受餅乾下午茶XD 一邊聽社會企業經歷分享😌
陳彥安,5,感謝創辦人細心教學，成品很棒，環境也很好，可以品嚐美食又可以做公益，推薦大家來看看
Nien-Hsin Li,5,怡帆很用心也很親切的在教學，點心也很好吃，值得來體驗的好地方~
NTCH黃郁淳,5,餅乾跟蛋糕都好吃！看得出製作者的用心，大推！
wendy lin,5,來參加火腿青蔬派的課程，環境舒適寬廣，教學過程簡易好懂，手作好玩😁看到成品很可口很開心！下次再來做甜點❤️
朱鳳治,5,店裡很乾淨，而且餐點CP值超高的，飲料也做得很用心，完全感覺不出來是身障者員工做的，如果有機會再一次前往，我不是因為愛心，而是因為餐點好吃
王迎曦,5,非常歡樂的一個下午，在舒適的場地學習做蛋糕順便聊聊天，老師又親切有氣質，大推樂芽手做蛋糕課程。上次買中秋禮盒也超級好吃、用料實在！
周家慶,5,"巧克力杏仁餅乾 巧克力雪Q餅 超推👍
很多餅乾都超好吃得👍
忍不住一口接著一口😋
下午茶 送禮首選！"
Angie Lee,5,布朗尼很好吃!! 是不挑人的口味，不會特別乾或特別濕，重點是甜度也很適中~~送禮的好選擇唷
陳維竺,5,今天的布朗尼課程好謝謝怡帆的耐心指導。從備料開始到低筋麵粉、砂糖與土甜巧克力的出場，過程中不乏手忙腳亂，但是怡帆依舊掛著親切笑容慢慢的講解，也回答了我許多烘焙的疑問，對於新手的我來說，今天的課程氛圍很自在，而且讓我越做越開心。尤其後面撒上核果的時候，我覺得好療癒喔哈哈！最後，成品出來我真的很有成就感，吃著溫溫的布朗尼再搭配怡帆準備的茶，覺得今日午后時光很愜意。在這個每天為疫情緊張的時候，能夠在這裡好好的學習如何製作布朗尼，並且聊聊近日的生活，我想這也是現在很需要的自我照顧吧！ …
Lin Erin,5,活動好玩又好吃～～ 好開心😃 老師親切有耐心，少見的鹹食體驗課，希望更多人知道這麼有意義的活動和樂芽的經營理念❤️
陳筝,5,我買了，請朋友吃，都說好吃，很有面子。讚！
許乃文,5,手作課程很有趣，老師親切也有耐心，成品也好吃
詹雅筑,5,"試了三款新出的磅蛋糕都好喜歡💕
我最喜歡豆漿芝麻～比起一般磅蛋糕吃起來比較沒有負擔，是想吃甜點又不想負擔太大的好選擇"
Chi-Ying,5,環境乾淨可愛 餐點飲料烘焙產品都很棒☺️
da-fa Chen,5,樂芽企業社幫助許多弱勢的朋友，讓他們能夠學習一技之長外也能獲得更合理的薪資，比起許多大型社福團體，樂芽也許還在成長階段，但是弱勢朋友們在這邊學習更有實質幫助:)
羅麗,5,親切好玩
Alan Lin,1,每天經過都有老人在外面椅子抽煙，後來發現其實是員工，又臭又不衛生。你只到抽煙不是簡單消毒就好了嗎？整個空氣中懸浮微粒，加上衣物上沾染三手菸、焦油，這些你敢說消毒的很徹底嗎？我親眼看見抽煙員工直接進入室內，這種人根本不應該做餐飲，虧你還叫「清新樂芽」咧，笑死
許凡人,5,義大利麵好吃
黃澤棋,5,利用假日的時間跟朋友報名手作坊，創辦人親自教學，很親切熱情!! 大推!
lightinpool you,5,假日到樂芽上泡芙的手作課程，上課的過程很開心輕鬆，老師很親切，地點好找空間舒適，泡芙烤得好看又好吃！
Ys Yang,5,推奶類飲品跟菊花仙草凍 好喝
Jeremy Yeh,5,用心的社企，課程活動非常用心而且有趣，能學到實用料理技巧與社企理念！
家子勝,5,餅乾好好吃，還能幫助弱勢，一舉兩得啦！
何岳庭,5,"(由 Google 提供翻譯) 茶很好喝 理念很棒 推推！

(原始評論)
茶很好喝 理念很棒 推推！"
陳怡菁,5,"(由 Google 提供翻譯) 非常好吃😋

(原始評論)
非常好吃😋"
廖偉成,5,"(由 Google 提供翻譯) 好吃好玩😉😀🤣 有趣😉

(原始評論)
好吃好玩😉😀🤣 有趣😉"
JaeHyun JungWoo,5,"(由 Google 提供翻譯) 超棒的

(原始評論)
超棒的"
謝易霖,5,
劉雅文,5,
Yin Liang,5,
Vickie Chen,5,
許許好人,5,
Avon Liu,5,
李名桀,5,
許tony,5,
周品繐,5,
WEI PING WU,5,
呂佳蓉,5,
wu wu,5,
gabriel,5,
YiLien Lai,5,
