author_name,rating,text
Jean Lin,1,已經來了幾個月的黑色短髮櫃台小姐服務態度總是很差，臭臉+不屑，我們已經是住在這很久的老顧客了，消費受到這樣的態度對待感到灰心。即使店家離家近，但不會再光顧，寧可去較遠的其他麵包店。
mu mu,5,看到店裡放了一排的起酥蛋糕，感覺是店家招牌，但我們最後沒買，因為已經挑了好些東西，而且我覺得一份$230好貴喔…。 …
sasah fox (狐狸),5,"是台北起酥蛋糕名店，也是台式麵包店。出爐時間下午2:30之後的到4:00建安國小放學這段期間的麵包款式最齊全，各式各樣的台式鹹甜麵包擺滿架上相當豐富。
招牌起酥蛋糕很有重量，份量相當紮實，外層的酥皮厚度不厚，但吃起來有千層的酥鬆層次感，尤其鹹香滋味特別搶眼，頗有畫龍點睛之效。除了招牌起酥蛋糕，我覺得其他品也表現不俗，像是布丁燒和芋泥肉鬆都頗讓人驚豔。不但價格平實、用料實在，懷舊的台式口味更是讓人回味無窮～"
Sharon,5,"這是我熟悉的百合麵包園耶！
曾經....曾經我連續吃了10幾年，後來因為地緣關係的改變，所以較少吃，
這次有機會再度品嚐....
沒變！包裝沒變！經典好味道更是通通沒變！"
金金,5,"起酥蛋糕也太好吃啦
金黃的外皮香氣逼人
外酥內軟鹹甜交織好唰嘴😋
桂圓蛋糕紮實綿密香甜可口
還有滑嫩嫩布丁燒
跟料多實在芋泥肉鬆
大大滿足味蕾令人回味無窮👍"
Ming Wu,5,"起酥蛋糕的酥皮特厚，與蛋糕相當密合
口感像是起酥濃湯上的酥皮
尤其烤箱烤後酥皮香更為濃郁！

中間的蛋糕體綿密，吃起來淡淡的香甜
超級刷嘴會讓人一塊接著一塊😋

-
⚠️要注意的是當天沒吃完絕對要冰
個人覺得冰過的口感比常溫更棒👍"
妮雅媞,5,"起酥蛋糕不愧是大小朋友都指定要吃的人氣招牌，硬挺的酥皮和軟綿的內在，這種互相衝突的互補纏綿，拿捏得恰到好處。
一打開就充滿桂圓飄香的桂圓蛋糕，每一杯都烤的飽滿澎皮，焦糖般的亮澤感彷彿在招喚你趕快來吃我，除了頭上的許多核桃，軟綿中還可以不時咬到桂圓的肉體在裡面，用料也太實在了吧 🤗
上層蛋糕內餡布丁的布丁燒，厚實的布丁層可以看到上面有許多小黑點點的香草籽，夏天冰冰涼涼的來一杯，滿足你對甜食的渴望~"
Ann Her,5,芋泥肉鬆麵包45元一份，除了最尾巴沒有餡，其他地方餡都超多，芋泥也不會太甜，很實在的麵包。
0opstyle,5,"🍞🥯🍮
突然回憶起這名店伴手禮🎁
老字號麵包店 台北必吃 趕快吃起來～
我很少從小吃到大都喜愛的店家
有的店家可能品質和味道會變
又或者是我自己的口味變了就沒愛
百合麵包園 評價一直都不錯
從小到大都是我很熱愛的❤️
家人看我帶回家也覺得很驚嘆
實在是太久沒吃用啦 懷念
之後一定要記得常常買回家吃🛍️
.
士林人氣麵包店 推薦✨
台北必吃台式麵包店的起酥蛋糕 宅配推薦
.
🍞 #起酥蛋糕 230元
一盒有9片
談到百合蛋糕坊
最最最經典就是這起酥蛋糕
這人氣伴手禮 …"
可以認識妳嗎?,5,"有蒼蠅沾麵包  快9點起酥蛋糕蓋上蓋子
富士山、戚風、起酥蛋糕230的蛋糕、巧克力丹麥牛角、芝麻麵包好吃 丹麥吐司不錯 蔥麵包反而奶油味是主角
丹麥菠蘿普
黑岩豆豆晚上買的，隔日中午吃壞掉有發酵的味道 起酥蛋糕有蛋殼 某位晚班店員結帳太急，放桌上的盤子一拉夾子掉在桌上，她還是拿那支夾子裝袋 巧克力乳酪棒是苦的 芝麻餡糖沒弄散"
