author_name,rating,text
wanyun,5,跌倒的擦傷原本因為自行擦藥、貼人工皮，未意識到自己的傷口比前一天更嚴重，但藥師非常的有親切又有耐心的告訴我處理傷口一步步的順序及知識，讓我再照做完隔一天就好非常多！！
陳健民,3,藥局
林晨薰,5,人員很親切，服務非常貼心，主動幫忙熱水沖洗，哪怕我只是花65元買東西，依然笑容可掬，非常優質的店家，大推
lee Alisa,2,"問個藥水不耐煩
感受度不是很好"
甲板日誌安迪,5,藥劑師有夠親切，像媽媽一樣超溫暖
林雍起,5,藥師很親切
賴羿菁,5,藥師姐姐人超好，很健談xDDDD
Lily Lee,5,星期日也有開
허관욱,4,"(由 Google 提供翻譯) 乾淨又美味。大米和小菜都可以吃。可訪問性不好，因為它在巷子裡。

(原始評論)
깔끔하고 맛있어요. 밥, 반찬 무한리필. 골목 안에 있어서 접근성이 좋지는 않네요."
Jonggu Lee (jonggu),5,"(由 Google 提供翻譯) 店主英語很友好，藥房也很好

(原始評論)
주인아줌마 매우친절 좋은약국 영어통함"
Livia Huang,5,
