author_name,rating,text
張煥基,5,專業度100， 一心解說有耐心， 總是面帶微笑 ，值得我稱許的，讚！
aa a8016205,5,推薦業務：陳亭如小姐，專業、動作迅速、不怕麻煩的解決了我的很多問題！
羅曉潔,1,"已經重覆寫了二次, 直接被刪檔...過程不陳述,直接感謝陳姿君 小姐的服務,更感謝永和分公司連事實都不願意讓人在此陳述. 直接看圖就好."
費恩梁國際,5,服務快速，致電諮詢，回答詳細清楚。
李萬華,4,我為了定環島郵輪的票来這裹。接待我的小姐親近有禮，該處理的開票手續都很專業的完成。出發前一天郵輪因氣候關係行程有變，小姐也有即时用電話通知。
張玉鳳,5,阿里山旅遊的行程非常棒!!
celine Chen,5,永和門市 服務態度親切 專業 尤其是怡婷 服務專業又貼心 不住永和區只要想旅遊 就會想找永和門市訂購 超推薦
Betty Wang,3,親切度未達服務業標準，對自己的產品認識不足。
黃貞雯,5,服務人員很親切，有機會會再來。
Yu,5,推薦段本浩先生，服務非常好，每次出國都找他，總是可以推薦適合我們的行程。
李健豪,5,想計畫國內旅遊，進門詢問碰到趙小姐，親切接待，講解明細，有得到想得到的資訊，是個不錯的經驗
謝育祥,5,"蔡先生讓我對旅行社有不一樣的看法
他的服務至上 覺得自己是像公主一樣
被捧在手掌心上"
張立恩,5,"撥電話詢問旅遊行程
是一位蔡騏丞先生接洽
讓我很開心的報名這次行程
服務非常好"
Adam Huang,4,這次請雄獅旅遊代辦護照，速度頗快而且櫃檯人員服務親切，也提醒相關的旅遊規定。這邊如果開車會比較不好找車位，建議騎車或是搭乘公共運輸工具。
LIDIA,5,推薦業務段本浩先生，耐心、親切，下次想讓他繼續服務！
YOHSIN CHANG,5,推～專員趙語菲 效率好 服務親切 精準且快速解決我問題～非常感謝
Chichi,5,"業務蔡先生,很有耐心一一回覆,並協助處理退票,十分感謝!謝謝"
陳璇瑩,5,段先生服務非常好，人很親切，出國旅遊都找段先生。大力推薦
fish Lee,5,"已經跟團二次雄獅，這次從美西回來不小心遺失ㄧ大包貴重物品，回台才發現😱
好險我的業務蔡騏丞先生，從剛開使承辦就很有耐心，人又客氣。最後也很熱心、不厭其煩的幫助我～最後找回了遺失物😂🙌
實在是太感謝了！！

出遊想找可靠的業務，推薦永和門市蔡先生👍"
Byron Wu,1,"服務態度非常不佳，一胖一瘦兩名戴眼鏡男子
如果什麼都要顧客打電話去總公司詢問
要你們門市幹嘛？擺好看的？"
顏廷育,5,蔡騏丞先生服務很好的 ，帶肺炎風波過後會持續找雄獅
Daniel Tsao,5,"門市人員陳姿君小姐超用心、細心的幫我們找行程及可以配合的時間

領隊及當地導遊很親切
當團員遇到問題也會馬上幫團員做解答
時時刻刻注意團員的狀況

整個泰國之旅 我們都有很棒的體驗喔！

謝謝你們的用心，辛苦了！

下次旅遊，也會找雄獅^^"
Titan Shih,1,辦個美簽說系統維修，沒法辦！車位夠難停了！浪費我時間，況且下午就電話來問了，為何不說沒法辦！為這事，他家業者能辦，就你雄獅說不能辦。無愧森林之王。
古爵,5,沒想到門市的陳亭如小姐，解說超詳盡，態度好的一個不行，不但長相甜美，笑容迷人，聲音也超好聽，服務態度更是好到讓我驚艷，如此這般的服務人員，實在不可多得！！讚
戴誠,5,我是雄獅老主顧，永和門市的小蔡（蔡騏丞）這個青年真的是非常棒的業務，每次叄團我向同行的團員提及人家都抱以羨慕的眼神；因此我每年出國4-5趟都是叄加雄獅旅遊找小蔡服務。
沈渝雯,5,明年打算規劃到日本自由行，很感謝蔡騏丞專員給了我們不少建議，讓我們的行程變的更豐富，也很熱心協助我們購票訂房，真的很貼心，之後有需要還是會找蔡專員為我們ㄧ家服務，謝謝您！
Bilun Hu,5,"大推蔡騏丞專員!!!
非常感謝門市服務人員蔡騏丞先生的協助
在詢問的過程中很仔細的解說內容
也會和我們分享當地的經驗和氣候及注意事項
就算是門市內詢問的客人不斷湧入 也不會隨便敷衍
而且非常有耐心的替我們解答每一個問題  非常感謝"
chris ho,5,推薦段先生，非常的專業，也很熱心的為我服務，讚👍🏻👍🏻
游棋婷,5,陳亭如小姐寄介紹行程很熱情，很專業，讓人很放心，是個專業的業務小姐!!
簡奕綺,5,雄獅旅行社提供優質的旅程，讓旅客們在每一趟旅行中留下美好的回憶！經辦人員蔡騏丞服務品質跟態度非常好，所提供的旅遊資訊也非常明確及優惠。。。超推
黃靜雯,5,門市服務員陳亭如小姐 對於非常愛旅遊的我與家人提供專業的用心服務 任何旅遊諮詢也都非常耐心親切地回答  旅遊的交辦事宜不僅耐心叮嚀 也都會站在客人面設身處地為我們著想 她的專業耐心與招牌親切笑容 是讓每年出國兩三次的我與家人始終持續支持雄獅旅行社的原因🙆
Yuan Tsao,5,服務用心貼心，陳姿君小姐非常專業，嫻熟各項業務能充分掌握狀況和客戶需求，提供重要建議。辦理證件和訂機票都十分快速，價格公道
ho Austin,5,段先生服務超級熱心，非常專業而且仔細的幫我介紹行程，非常推薦他。
阿民,5,"出門旅遊有一個好的專員就沒煩惱，愉快又安心的行程找蔡騏丞專員就對了！
愉快的日本行程讓人下次還會再次找蔡騏丞專員！！"
Tina Chou,5,謝謝李佳汘小姐，之前幫忙處裡日本機票事宜，讓我們有ㄧ個愉快順利的日本行。
董玉嫦,5,謝謝李佳千小姐針對我的旅遊的需求提供準確的資詢;永和門市的人員忙錄之中  、也都很幫忙謝謝大家
陳菁,5,感謝亭如幫我們安排的長灘島旅遊。。很開心。。謝謝你。。希望下次有機會再麻煩你囉
陳壹筒,5,旅遊就怕付錢後就找不到人服務，這次日本自助旅行出了點問題，還好當下有找到蔡騏丞專員的幫忙，真的非常感謝他！服務真的讚啦！
Chi Chen Liao,5,"極推「段本浩」門市人員
服務態度超優！講解行程非常清楚，還會幫忙找優惠與划算的旅程，公司能請到段先生真是公司撿到寶👍🏻"
鍾和晋,5,服務人員親切，有疑問也很熱心回答
吳楹筑,5,想去的地方很多一改再改感謝門市人員[段本浩]人員，不厭其煩的一直在幫我找行程，找到最適合我的旅程真的是非常有耐心的一位人員，非常推薦這位先生，態度非常好很優質的人員
陳建儒,5,蔡騏丞 蔡專員非常專業，而且超熱心服務態度超好動作又快速，下次出國遊玩一定會再請蔡專員協助。
en k,5,要出國購買機票與辦理簽證⋯等事項都交給門市人員段本浩，辦理業務迅速，有問題詢問都非常細心解說，也會叮嚀要去的國家有什麼注意事項，專業知識足夠的門市人員，大推！
葉格志,5,這次家族旅行還好有找蔡騏丞專員服務，專業服務，優質規劃，親切笑容，向朋友一樣，好康的推薦一點都不手軟，回來後意猶未盡，明年再找蔡專員來規劃一下另一趟旅遊！讚👍
Irene W,2,服務態度可以加強一點，態度讓人很尷尬，讓人不好意思問問題。以後可能會去別地方辦了。
FY Tsai,5,黃宥瑄小姐親切、迅速、服務周到，推推
吳宜卉,5,"詢問行程或旅展優惠，有問必答值得推推的門市人員段本浩先生👍🏻
不會因為需要業績而不告訴優惠給顧客，真的是很棒的店員！要出國都找段先生辦理👌🏻"
Youting Chou,5,"為了這次出國準備很久
還好有蔡專員幫忙~~
才能順利成行
有需求可以找蔡騏丞喔"
陳冠均,5,"大力推薦：蔡騏丞專員
專業！客氣！人謙虛！
三次旅行都給我非常滿意的服務，原本要介紹女友給這優秀的年輕人，只可惜他一直拒絕我"
Xiao-hui Yu,5,"門市人員-陳亭如小姐
服務態度超親切，辦事效率快，解說行程清楚明白提供了我許多旅遊景點的特色，專業知識充足及非常有耐心解答我許多疑問，值得向大家推薦👍👍👍👍👍👍"
kiki,5,"大推蔡騏丞專員!!!
非常感謝門市服務人員蔡騏丞先生的協助
在詢問的過程中很仔細又細心的解說內容
除了跟我們分享當地的經驗和氣候及注意事項，各項細節他都貼心的幫我們注意到了！
非常感謝！！"
家菱,5,服務人員蔡騏丞真的很專業！服務也很熱心～對於我不懂的問題都依依解答，覺得出門找到一個熱心的服務人員很開心～推推推推上門找他啦👍
Cheng-Fang Fang,3,服務不錯，但有部份行程不明確，待修正！
朱毓堃,5,有到店詢問泰國旅遊國 蔡騏丞業務非常的專業 且用心 在詢問當地旅遊相當的用心 且給我很多良好的建議 在此推薦
david hsu,5,謝謝李佳汘小姐昨天幫我訂到便宜的機票，讓我省了好幾仟元！
阿維陳,5,推薦業務蔡騏丞，精闢的講解行程內容，非常之專業，下次還是會在找他
高仕杰,5,蔡麒承專員服務真的很好，已經請他規劃2次行程嘍，都非常棒，工作認真，態度又好，下次一定再找他
ei W,5,推蔡騏丞先生，解說非常詳細，非常用心，找他就對了！
Stewart Chang,5,謝謝蔡騏丞專員，每次的行程都給很好的建議跟貼心的安排，讓我們都很期待每次的行程，真心推薦👍
H H,1,"今天上班的服務人員態度很差，臉很臭，還不斷打斷客人說話，之後還口氣很不好的一直不斷跟客人說「蛤？」
聽完客人說話很難嗎？
一直狂打斷，客人是要怎麼跟你講他的需求。"
Nini Chan,4,服務態度良好。回訊也很快速。
DanielTsao,5,陳姿君專員熱心解說 、服務熱心(⁎⁍̴̛ᴗ⁍̴̛⁎)
鄒承宇,5,推薦業務：趙語菲小姐，效率快速～解決我的問題
黃珈儀,5,門市人員-陳姿君小姐服務親切、熱情接待、介紹詳盡，有旅遊規劃的可以指名找她喔！
Henry,5,"去雄獅問行程,專員陳亭如,動作快,報價也給得很快 ,很推薦"
何淑涵,5,推薦蔡騏丞，服務很好，又專業，人誠懇
孟育謝,5,推薦業務：陳亭如小姐，專業、動作迅速、不怕麻煩的解決了我的很多問題！
Pizza Lin,1,如下面反應進門市連看一眼都沒有，店內共三名員工，彼此都有自己顧客要處理，但在輪到我取件簽名時丟了一張紙和筆過來連一句話都沒說，簽完馬上抽走連一句話也沒講，這態度是？？
鄭瓏瓏,5,因地緣關係，我都在雄獅永和分社委辦出國所有事宜。她他們服務非常非常好。值得信賴。我接觸過的服務人員每個人都很親切，當然還是有固定長期委辦的怡婷.騏丞。都是非常好的。我認為很應該給她他們鼓勵及讚賞。也謝謝她他們的服務。
曹致瑋,5,推薦業務陳姿君小姐服務熱心講解明細找他就對了
Hui-Lung Yu,5,我跟趙小姐訂五年了，服務都很好又親切，大推
Amber Huang,5,服務態度良好，專業。
eva wang,5,陳姿君 服務真的很好唷~~~~很親切 服務很到位
張皓鈞,5,"段本浩 服務超好的，有問必答
一堆雞毛蒜皮的問題，都很細心的回覆"
王虹茹,4,顧客很多，最好在家先做功課，服務人員應接不暇
林佳億,5,"超棒超專業的業務~段本皓
人超細心的"
陳壹筒（OneTone）,5,"雄獅旅行-蔡期丞專員
行前認真說明推薦講解，
行程中積極協助解決困難，
從一次的香港之旅後，只要我想出國，我就一定會去找他洽詢，不管是預算的挑選、地點的推薦，還是個人偏好與相關旅遊疑難雜症，他總是提出最專業的建議，我欣賞這年輕人的服務精神與態度！
出國旅行選雄獅，專業服務找蔡氏！"
林政宏,4,櫃台人員待人親切，本職學識豐富，詢問的問題，都能獲得滿意的回答，還會給些良心的建議，感覺蠻不錯的。
高怡如,5,我和先生報名參加金門三天兩夜的自由行，門市接待人員親切介紹行程，供我們選擇，歡迎有旅遊需求的人，前往洽詢。
洪志賢,5,服務人員：陳亭如小姐協辦公司旅遊服務熱誠，同事大家都讚不絕口。
AKA.阿豪 L.J,5,委託事項都處理得很快很棒。要找旅遊的我推薦雄獅段先生！
Mindy Lin,4,感謝陳姿君小姐的熱誠服務喔！
Emma Sun,1,門市人員態度超差，進到門市像是沒客人一樣連看都不看一眼，服務時臉也很臭。
楊華淑,5,"人員的服務態度都很棒,很積極~
小寶,怡婷,亭如謝謝你們~"
許毓瑄,5,蔡騏丞專員對於問題很認真及耐心回覆，會給很好的建議，以後有旅遊上的問題及需求會再找蔡先生👍🏼👍🏼👍🏼
鬆餅,1,詢問日本自由行跟迪士尼門票時櫃檯小姐臉很臭
Yu Ting,5,謝謝蔡騏丞專員，每次行程建議都能夠細心並且替消費者做最貼切的安排，沒有ㄧ次旅程是失望的，真心大推👍
tk yang,5,"今天來辦理護照，服務專員動作迅速俐落，覺得專業。
旁邊的阿姨問東問西，真的很佩服服務人員的耐心與細心，由衷佩服。"
防彈囧囧菇的羊肉串,5,謝謝許姐姐，因為她仔細認真的服務，此行玩的很開心~~~
PEI-YI Lin,5,陳姿君服物員態度親切又細心，此次旅遊交給她辦，讓我們超級輕鬆的，下次ㄧ定要再找她！
66 Yuyu,5,"服務態度非常專業!
也非常細心 講解也很也耐心
服務品質非常好 推!
段本浩 段先生!!"
阿逸,5,"感謝段先生  很細心的講解行程
讓我很快速的找到適合的行程

擁有很完美的旅遊  下次一定要在來  謝謝🙏"
黃婉敬,5,"推薦服務專員 陳姿君
詳細的旅遊資訊，讓我能好好旅遊，下次還是要找她服務！"
Chinte Chen,5,陳店長的貼心服務讓我此趟旅程回憶滿滿，也省了很多錢！下次旅遊ㄧ定會再找雄獅永和門市
鄧維明,5,服務人員廖店長非常優秀
David Wu,2,走進門市 彷彿置身無人之地 完全沒人管你 不會主動打招呼 門市人員都各忙各的 眼神對上了也若無其事 好幾次了！！
DINGDONG SIOU,5,"很有耐心讓人問些雞皮蒜毛的問題
感謝 蔡騏丞 服務人員"
cutfivepizza,5,"十分感謝
服務專員對於行程的專業建議
讓我對這次旅遊體驗加分"
Ting Li,5,服務人員 陳姿君小姐非常的熱心，也很細心的介紹，讓我有相當好的旅遊經驗喔！
楊承,5,"服務請找 業務段先生
大小事通通包辦 行程清楚明瞭"
michael168 kao,5,服務快速有效率！
張哈哈,5,服務人員很有耐心替我講解～～～～真的得到很多幫助！！
張睿杰,5,服務人員很親切～下次還會來找他們服務！
Michael Wu,4,Ms.Irene 服務態度親切 能仔細聆聽客戶的問題
cho echo,2,服務品質尚可 但店內冷氣超強 進出很不舒服也很不環保!
Robin CHANG,2,服務人員不會主動與客戶連絡，服務有待加強。
Joanne Wang,2,雄獅出團品質都不錯 但門市服務人員態度超冷淡 一刷完卡態度才比較好 去了很多次感覺都很不好
Sara,5,感謝李小姐的服務
吳大進,4,服務熱誠   細心解說
李建澤,5,讚啦讚啦，門市的人超親切
Dorothy Teng,5,副店長很熱情而且用心
C J Hsu,2,不舒服的一次問答體驗
Jannie Hsu,1,很差很爛不推薦
王薇晰millie,5,服務好。專業
彭登錄,5,服務親切
Aries Wei,5,服務很好
肥們里,4,服務不錯
林惠慶,4,明亮舒適
Tasha Kung,5,陳姿君小姐 👍👍👍
江孟皇,3,還不錯啦
amos chen,2,門庭若市
陳裕勝,5,很好的服務
Popsicle Eilish,1,超爛!!!!!!!!!
沈伯威,5,服務員很漂亮
Yves Tseng,1,"(由 Google 提供翻譯) 出不了票差點無法上飛機

(原始評論)
出不了票差点无法上飞机"
Norman Kuo,5,"(由 Google 提供翻譯) 在地方便

(原始評論)
在地方便"
雷御廷,1,😠😠😠
周賢才,5,"(由 Google 提供翻譯) 普通

(原始評論)
普通"
張建華,5,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒"
高黃彩清,3,😀😃😃
陳儷仁,5,
陳有仨,2,
董怡倫,1,
dechin ts,5,
刘小玲,4,
"諶宏軍（Hung-Chun, Chen）",5,
David Lin,2,
JACK,5,
林名秋,1,
佳雁許,4,
王淑婉,4,
CS Pu,4,
香浴巾,5,
張家榮,4,
女王老師,5,
林秋美,3,
東尼庫克,4,
周秉蓁,4,
Eko Ali,1,
RU H,1,
張慈芳,4,
陳忠興,4,
蔡梅冠,5,
Henry Liao,5,
Elsie Lin,5,
邱鉅晁,3,
徐美蓮,1,
黃清和,4,
語荷,5,
YunTing Chen,5,
陳亦雪,5,
天空是藍的,5,
ユー。,4,
張朝琴,5,
子源,1,
Pohao Liu,4,
headdy chen,3,
Chang Lexra (Lexra),3,
周士凱,1,
Dennis Tsai,5,
PN S,4,
Chu Kate,3,
Anthony Chang,2,
Daniel Moreno Cavalle,5,
Leon Chen,1,
黃祐祺,5,
郭顥毓,5,
André Lin,4,
Eko Wu,1,
林建玉,5,
Wei C,5,
蔡奇典,5,
chia ying,4,
吳承翰,4,
Mickey Lee,3,
