author_name,rating,text
陳冠霖,5,"雙人套餐A:
清蒸檸檬魚 調味酸甜開胃 豆芽清脆沒土腥味 魚也處理的很好沒有腥味

椒麻雞 雞腿肉外皮炸的酥脆肉質不乾柴 搭配些許高麗菜絲及同樣酸甜的調味 不會有油膩感

蝦醬高麗菜 淡淡的蝦醬味 調味適中 處理的偏軟 個人比較喜歡清脆口感 稍微沒這麼喜歡

椰奶西米露
西米露加上些許碎冰 淡淡椰奶香 不會太過甜膩 配料很特別有透明像果凍的東西 吃起來卻有花豆的感覺

泰式涼拌海鮮
內容 番茄片 香菜 小黃瓜清脆爽口 洋蔥同樣清脆沒有過多的嗆辣感 還有魚丸 魷魚 淡菜 …"
Insa,5,"因為住附近，從大學開始就吃了10年
最近在家時間多，更是每週都會點一次外帶，最喜歡打拋飯和辣炒筍絲飯，外帶時間快，電話中服務態度也很棒～

今天心血來潮在正餐外，點了摩摩渣渣，取回來才發現整碗椰奶粉都沒融化⋯吃起來都是粉渣，畢竟一碗也要百元，有點小失望⋯希望店家以後稍微注意。

—————————————
*補充：後來老闆有來電解釋，粉渣感是因為椰奶必須冷藏保鮮，製作時沒有溶解好，但食用是無虞的，也承諾下次點餐時可退還費用，處理方式和態度都非常的nice喔，5顆星！ 會繼續支持我愛的泰國小館～"
shih chieh Huang,5,"這次是跟幾位年輕的朋友聚餐，由於他們都在台大與師大，所以選定來泰國小館，因為網路風評還不錯。到的時候店家的態度相當好，我們入座後便開始看菜單，老實說以我患了泰國將近20年來說，我對於台灣的泰國菜抱持著？因為很難找到道地口味。

因為我的年紀最大，所以大家還是習慣學問我想要吃什麼，但是我把決定權交給他們，因為像我這樣龜毛的人，大家到最後應該會餓死才對…。 …"
Afiqah Hanis,5,"目前在台灣吃過最泰國🇹🇭的食物了😭
好感動.... 酸辣湯愛了！但是...可以再辣就好😂

非常建議帶著一群朋友一起吃，更划算喔！
下次一定會再光臨！！"
Faye Chen,3,除了月亮蝦餅其他菜色過一段時間會想不起來好不好吃
Gary Chen,4,難得看到泰式料理可以做兩人合菜，而且不喜歡蝦醬的話還可以調整成辣炒；雖然飯無法無限續，但以不到五百元的價位，能夠吃到椒麻雞、檸檬魚、空心菜以外，還有一碗西米露當飯後甜點，其實 CP 值算蠻高的，推薦給大家（建議可以避開熱門用餐時段）
Sandy Lin,5,餐點好吃 我們三人點了599雙人套餐+月亮蝦餅+椒麻雞米線套餐總計1100元有找(不收服務費)
謝玲玲,4,"光顧了幾年，有段時間經過，會外帶打拋豬肉飯，期間漲價過一次。打拋飯類漲到168元一份⋯好在味道水準有保持住。所以還是繼續光顧。
*蝦醬空心菜、高麗菜一樣好吃。
*意外發現：泰式雞肉炒飯好吃，微酸甜，飯粒粒分明！不辣！適合胃不好（食道逆流）、或小朋友吃。

*（偶爾還是有雷菜：有點過-泰式咖哩雞肉，飯外加20元，共240元好像！幾塊雞肉在咖哩裡-甜爾無味）"
簡維廷,4,"台大公館老字號泰式料理《泰國小館》，是很多人從小吃到大的在地美食。

用餐環境分成一樓、二樓，重新裝潢後乾淨許多。

每人低消168元

開味涼拌類、清蒸煲類、燒烤類、熱炒類、泰式咖哩、酥炸類、熱湯、甜品飲料、冰淇淋等，菜色選擇非常多元

我以前最愛《泰國小館》的地方，就是平價客飯類，現在價格漲到168元，但以一人份來說，還是算蠻划算的。

來到泰式餐廳，月亮蝦餅是許多人的必點菜色，酥度不錯、瀝油功夫也有做足，吃得到蝦漿口感，感覺蝦子用量應該不少，喜歡月亮蝦餅的人可以點。"
Cai ying蒼蠅,5,"紅椰汁咖哩超香 味道很濃
搭配飯完全不會膩
泰奶真的讚o(*≧▽≦)
店員人也都超好的👏"
